,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,230000.0,0.1576524741081703,46.0,40.0,7450.0,182149.12100200696,256050.78338768665,372919.8165606071,129666.87160939787,157082.47593386847,232320.3719091084,304238.5941076246,349037.1734953953,0.9914113182573936
1,2018-02-28,242000.0,0.1423220973782771,13.0,47.0,8875.0,183653.91777774144,256686.7378927753,375012.2143994208,131313.87413563268,158594.52746714794,234007.2478389748,306131.7416241639,351128.5430247064,0.9928822723022188
2,2018-03-31,239950.0,0.16331096196868,11.0,60.0,8000.0,185121.7474315702,258997.105703451,377127.82322020695,132768.2832608384,160033.83394447438,235636.96228079635,307913.7594088164,353188.0744162337,0.9989723567302642
3,2018-04-30,253800.0,0.1569230769230769,8.0,70.0,6225.0,186321.60032748067,261458.8520642937,378898.8235759701,133593.33843034654,161102.07717615122,237034.6735207741,309363.6970237153,354834.0194545819,0.9996307655750104
4,2018-05-31,249719.0,0.1793427230046948,7.0,75.0,8100.0,187644.76931632624,264570.4863648838,380835.6695939685,134221.06342242754,162283.6374520651,238559.2364582836,310965.4321496549,356928.2322357495,1.0011216011946988
5,2018-06-30,265719.0,0.2010723860589812,11.0,68.0,8000.0,189101.6172694896,268232.78378164594,382710.591304441,135123.8485873336,163685.42413155528,240121.2212438809,312525.3143951034,358935.3058193544,1.0005360137449302
6,2018-07-31,269450.0,0.2229787234042553,10.0,62.0,10000.0,191371.63841529423,273769.0302811938,386074.58483695006,136844.38621988162,165904.9283905838,242649.0891830744,315369.1950964581,362315.8512035597,0.9985147856303622
7,2018-08-31,278358.0,0.2250203086921202,13.0,59.0,9100.0,194198.6244083736,277701.94587767555,390497.9547862167,139255.16514820966,168654.28814085145,245844.311772078,319147.4046113245,366484.9515286887,0.9988881124332112
8,2018-09-30,273263.0,0.2294220665499124,14.0,48.0,9000.0,197214.45774053023,280012.0912661132,394941.99710177217,142000.70880108976,171652.0345062357,249230.568671621,323077.690657958,370617.2522790334,0.9964487426007574
9,2018-10-31,268000.0,0.2332123411978221,21.0,34.0,8000.0,199756.0553451541,281285.48911367333,398268.4930294454,144326.42705565997,174291.71371328094,251947.5506021815,326144.9409223522,373703.8100266508,0.994592357230634
10,2018-11-30,265000.0,0.221311475409836,25.0,33.0,6950.0,201861.56341192,282008.0154532239,400670.75650120416,146196.54916060902,176483.88203611074,254069.3707349617,328396.57762631145,375941.4338387518,0.9949264921185405
