,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,218145.0,0.1322314049586777,79.0,22.0,,144215.68503710165,232847.9471833685,441581.96728181513,165545.4539681467,164291.91227147225,240261.1623007192,358081.28181335534,557190.2310666386,0.9733426349931972
1,2018-02-28,215000.0,0.1111111111111111,51.0,26.0,,145856.00856373203,234150.45546660887,444006.0696287477,167295.46341399974,165782.77204363633,242088.6028450816,360316.1328704315,560923.526641687,0.978543049027122
2,2018-03-31,212000.0,0.1424657534246575,116.0,33.0,,147869.01226645664,238090.9810217011,446254.3995150399,168720.66174175605,167335.08232200154,243713.99202106064,362128.6252530994,563405.3824511829,0.9839980130151168
3,2018-04-30,243750.0,0.1113989637305699,34.0,28.0,,150036.39954375275,241435.3324365077,448719.547954934,170669.81522048652,168990.6930354009,245320.4116357745,364048.7296722179,566173.3751804518,0.9865190339620912
4,2018-05-31,221500.0,0.1246943765281173,89.0,36.0,,151914.67715124067,244450.5089537828,451475.09091143287,172852.00094303116,170439.82450511388,246908.35761968605,366364.350696241,569801.5059252927,0.9854052511668918
5,2018-06-30,274000.0,0.1471861471861472,34.0,37.0,,153105.70592266278,247722.21626459493,453736.2885758107,174801.5482566167,171513.66248460548,248393.2807375712,368477.7751238521,573730.539913512,0.9863438295371532
6,2018-07-31,252500.0,0.1425619834710743,34.0,37.0,,153870.74969882026,250420.1389348425,456181.39848290273,176221.9622626799,172531.63030946688,250117.3307903056,371143.2615580207,578802.9820116282,0.9843218369515054
7,2018-08-31,218500.0,0.1504424778761062,42.0,27.0,,154214.2190845074,250699.2477871524,457890.668676822,177154.18898024046,173423.52495447325,251619.27228816724,373372.8035927124,582396.8239512718,0.9823433427454522
8,2018-09-30,228000.0,0.1320754716981132,54.0,28.0,,154514.050472516,250821.68320812107,459322.91318005446,178510.44628892944,174441.8995615386,252949.81411210727,375293.0705134368,585681.0599956812,0.9795694020488642
9,2018-10-31,239776.0,0.1281407035175879,38.0,37.0,,154890.43478436288,250701.87431862825,460299.3830801979,180084.3131088066,175436.76282166096,254081.4281846237,376743.649037169,588233.410568987,0.9795692760118432
10,2018-11-30,260750.0,0.094240837696335,32.0,42.0,,155526.56382401186,249465.36759366287,461454.8824178483,181793.58352966188,176425.21491825196,255170.10815306264,378230.7998974007,591233.2973221118,0.9780497594059948
11,2018-12-31,235000.0,0.0566572237960339,55.0,39.0,,156170.58691985928,248854.36991695545,462586.53121599386,182779.9777903249,177314.45406826728,256228.4556408989,379690.5698258316,594003.802728077,0.976273295121986
12,2019-01-31,235000.0,0.1321321321321321,47.0,43.0,,156524.04094904065,247658.9531011188,463451.1540966062,183280.9735027931,177995.27184187263,257044.83578797663,380698.08349662094,594986.236657207,0.9760850837931384
13,2019-02-28,227500.0,0.100864553314121,57.0,47.0,,157028.56853001413,248491.67793774983,464639.7584272908,183198.17538741347,178788.9551461146,258161.71542863967,381968.04839111975,595367.9873730884,0.9774794015220928
14,2019-03-31,249750.0,0.1284153005464481,83.0,47.0,,157534.56239274246,250915.67961689088,466123.2742117981,182810.31324574407,179428.51851129314,259297.5934490341,383474.67463142535,595607.9851249802,0.9848571083788036
15,2019-04-30,244276.0,0.1288659793814432,58.0,40.0,,157980.51886078555,252825.48759960508,467643.9024981847,181916.99963958687,179931.03784800685,260370.7056432408,385108.0047839766,597269.5373966475,0.9822805315065912
16,2019-05-31,261400.0,0.1628498727735369,55.0,38.0,,158337.2621356826,255805.7122436225,468941.02717819245,181435.55507002524,180410.88555853025,261336.6006437297,386443.1579374879,599249.3442115997,0.9850046317389652
17,2019-06-30,275000.0,0.1699507389162561,47.0,39.0,,158654.99764433087,258721.71675200807,470205.70331218495,181287.22066481653,180927.9638405712,262154.6180359503,387530.5438907494,601300.49368246,0.9837791684479714
18,2019-07-31,232450.0,0.1927437641723356,68.0,45.0,,159127.76278311908,260298.6961893716,471269.1273538335,181274.4656385108,181487.9511673001,262965.3625219609,388273.2255630754,601777.1698340769,0.9841930554370084
19,2019-08-31,234000.0,0.1484018264840182,34.0,50.0,,159814.65354884657,261905.0080899145,472635.6750025881,181351.3703198611,182221.21503078533,263843.5673106695,389301.9333034952,602502.4520686859,0.9815931402809466
20,2019-09-30,218500.0,0.1425178147268408,57.0,43.0,,160956.37944945114,263105.04343402805,473934.6300122039,181720.5985794511,183404.3395801476,265118.4000102351,390620.9504954913,603418.7446398387,0.98242402909528
21,2019-10-31,276000.0,0.1829268292682926,69.0,39.0,,162664.2191266816,263862.3969462096,475768.4242066196,182534.55732905035,185061.2851175113,266695.1523727881,392356.2798859136,604860.6074204221,0.9781202688915588
22,2019-11-30,229000.0,0.1291139240506329,59.0,39.0,,164504.194848353,263572.76240525726,477407.3265810906,183405.54299510267,186719.68956654507,268296.3543718791,393985.1877556614,605722.9182654937,0.981165585119377
23,2019-12-31,249000.0,0.1002710027100271,57.0,41.0,,166067.70334676895,262890.2080301714,479037.64117436047,184500.35946426343,188154.01960459165,269657.7728926048,395807.16039929824,606759.6528267019,0.981366314496152
24,2020-01-31,251200.0,0.1129943502824858,119.0,44.0,,168123.9601514016,263029.1848151942,480863.0859619256,186145.1297120851,190028.99471671987,270965.3408914769,397349.3945637891,607760.3272226353,0.9763314715539836
25,2020-02-29,272000.0,0.1775956284153005,26.0,44.0,,170056.878635231,264241.6741077756,483239.795111163,187372.91424645565,191814.58065351783,272541.54885792,399420.4104452321,610982.2057284593,0.9770995907904444
26,2020-03-31,267406.0,0.1444141689373297,38.0,42.0,,172078.42689622112,267475.362878244,486287.556776785,188121.11393068056,193607.4693923816,274513.0826252128,402043.3681896108,616348.4652371244,0.9849714050187698
27,2020-04-30,256109.0,0.1008902077151335,50.0,42.0,,173522.53568826854,269209.64666404604,488226.6554484324,187929.0565136571,194729.55663659624,276061.4061445745,403916.6985551,620740.5471564537,0.986718921002108
28,2020-05-31,280000.0,0.1432584269662921,62.0,51.0,,174535.8558671203,270308.2342838932,488545.243862293,186729.1098258587,195199.2130177284,276760.9589294033,404765.1698582452,623984.6409785317,0.985630545786048
29,2020-06-30,259500.0,0.0992167101827676,58.0,54.0,,175220.04453219395,273140.98338212154,487589.84828002594,184553.80289806493,195331.88444370337,277177.28556351626,404923.7245737128,625549.8420382193,0.9876110542012276
30,2020-07-31,292000.0,0.1191709844559585,51.0,49.0,,176086.59017728633,276950.62069756154,488102.5778939159,183178.26815490425,195682.5124379924,278406.208848102,406898.1635850864,629641.6043185517,0.988213479130257
31,2020-08-31,291250.0,0.1301939058171745,64.0,53.0,,177776.0980171628,280063.8839472244,491431.35455849423,183203.2319745432,196796.78160439664,280632.1703012019,410616.963699283,635830.540075516,0.9862083957927558
32,2020-09-30,270605.0,0.0741839762611275,63.0,52.0,,180496.9619253498,284364.3068638804,497983.9139945142,185385.58273980927,198826.3527132098,283909.1783152392,416145.2907871998,644847.7796966735,0.9894959613693082
33,2020-10-31,298500.0,0.1414790996784566,74.0,49.0,,183194.88313226416,286295.62898430065,505666.6000752709,188364.6080155733,201059.54776738712,287501.46794253844,422376.6319717473,656039.7514291293,0.9881305251641882
34,2020-11-30,270000.0,0.1076388888888889,38.0,44.0,,185686.756377828,287052.4128901933,513245.39095085865,192559.0760950925,203632.1195464141,291303.6180357199,428801.1222065958,667210.949655456,0.986735841676162
35,2020-12-31,307375.0,0.060377358490566,41.0,61.0,,187662.2717212307,288400.9200031272,519759.7380889125,196975.6702910049,205844.9881250229,294633.38158181537,434938.26430327137,678602.3656171304,0.9873983037837888
36,2021-01-31,287750.0,0.0818965517241379,64.0,73.0,,189416.75539366543,289050.672183744,525735.2617346365,200780.09315950453,207928.7433494501,297910.12951509445,441365.0717528565,691057.0533202951,0.9859453026741822
37,2021-02-28,358250.0,0.0504587155963302,54.0,82.0,,191642.5062643456,293917.6849570831,533314.5392137129,204274.845841391,210300.8807446401,301846.6382627003,448895.0491499487,705271.7560961251,0.9887149274532272
38,2021-03-31,300000.0,0.0711462450592885,24.0,89.0,,194238.43451910795,299421.7265409053,540819.0704126089,207871.5889035835,213187.1908790985,306056.169417006,456161.4813588378,718275.1108841359,0.995012266182366
39,2021-04-30,353700.0,0.0833333333333333,21.0,99.0,,197719.734442401,308228.8921130466,551022.7462758751,213327.214002158,217158.771394806,311576.78244510485,465042.0329805655,734041.3784647146,1.0018030347914015
40,2021-05-31,327750.0,0.092511013215859,22.0,90.0,,202081.28474345707,319772.1851267487,563728.3784563718,220486.28006187693,222409.59420187504,318363.5043275378,475638.6730829316,754191.330913701,1.0051974513649682
41,2021-06-30,340000.0,0.1035856573705179,32.0,84.0,,206846.4344314786,327277.6908562393,576942.9134907717,227113.0098039955,227937.2669734823,325496.40974631166,486461.5329195287,774519.0013257809,1.0063787730263147
42,2021-07-31,325000.0,0.1,22.0,84.0,,211646.67837353155,333762.71029818244,588118.7568297331,232145.78323476025,233346.8573929783,331848.1176266455,495296.9943969291,789761.4424817666,1.004598957482854
43,2021-08-31,348500.0,0.1527272727272727,29.0,80.0,,215649.8114723356,339225.411850955,596142.4327825512,235754.76459357832,237872.1427782889,336982.0772472901,501861.5195009919,799817.6814590538,1.0015529604435516
44,2021-09-30,312250.0,0.1205673758865248,32.0,70.0,,219350.6889211873,342541.8850436321,603483.305764666,239820.8720330152,242372.0271300148,342073.6231381773,508675.3993319508,810870.7626775568,0.9978416550984306
45,2021-10-31,362000.0,0.1450381679389313,40.0,71.0,,222742.3809057585,345857.3086725749,611227.7762817991,244518.0691215051,246394.40746795875,347098.6030728125,516068.662559199,823498.1028019829,0.9961960846081808
46,2021-11-30,295000.0,0.0811965811965812,32.0,85.0,,226165.343341248,348730.5460561156,618782.6060704307,249610.61490937087,250288.3854135122,352075.3742111782,523280.9529714268,835675.421403895,0.9951581095047944
47,2021-12-31,334950.0,0.0973451327433628,40.0,96.0,,229222.80583156715,350226.47177570406,626286.2596556311,254061.3905067044,253902.74573294283,356835.9715637248,529708.102058563,846102.0766184445,0.9956447999794308
48,2022-01-31,342000.0,0.1359223300970873,45.0,100.0,,231632.5268574596,352226.54125097475,634374.7133473302,257678.6982131948,257325.98308315864,362041.8409382124,536909.9040513067,858093.1264995687,0.993847527239458
49,2022-02-28,324750.0,0.088235294117647,14.0,101.0,,233311.1749992379,355645.26316275774,642366.416225559,260114.8504456088,260320.0874710593,367435.0021831081,545199.8660685049,871935.6269571198,0.9954569920856402
50,2022-03-31,364000.0,0.0878661087866108,19.0,100.0,,235442.3702240228,364027.92755814624,653109.4621751636,263346.6213749218,264037.45075005665,374117.0998853464,556042.1446292944,890055.9751252896,1.002158338035683
51,2022-04-30,377500.0,0.0944206008583691,22.0,87.0,,238402.74386186173,373074.0910497774,665368.5639347822,267439.2968027618,268506.78847864334,381266.4261662168,567758.6543791002,910566.972626004,1.0055738201272368
52,2022-05-31,446000.0,0.1711026615969581,17.0,67.0,15000.0,241909.73258412708,381270.4930811696,679355.8515623288,272510.048810932,273448.70364965795,388411.366021985,579171.8483051133,930630.26522817,1.0068774140625214
53,2022-06-30,391862.0,0.1778656126482213,25.0,59.0,20000.0,244799.08580844608,386751.1785905921,691507.2298301087,276793.6575926977,277592.99802940857,394293.1382310626,589020.6355064361,948589.4461519838,1.0022765015047048
54,2022-07-31,373750.0,0.1535433070866141,21.0,55.0,20000.0,246991.3274029514,388435.2972987215,698234.5568214352,279159.4863874247,280289.1485928735,397849.578604503,594760.9639215367,957969.3510792096,0.998559524690398
