,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,540000.0,0.118763557483731,,21.0,29500.0,359780.6911060934,569407.2238587479,1114435.8173290316,311066.57722030167,462270.169455563,621762.4638236789,963222.69331455,1503580.638345597,0.9657794258771992
1,2018-02-28,546200.0,0.132,,27.0,25000.0,359790.4713962421,560726.3953201724,1113691.6409363088,311144.12295020773,462076.1861213399,620526.7815949498,961924.6268228564,1501049.8177410627,0.9687982692216904
2,2018-03-31,499000.0,0.1388750622200099,,30.0,25100.0,357513.2647084565,560047.3493629498,1105974.002274895,309726.6757490527,459589.8493048048,615878.5968097686,954581.9109519687,1487133.7956851593,0.9711760346714026
3,2018-04-30,550000.0,0.1370481927710843,,32.0,25000.0,355284.016931229,562066.2531104423,1097141.1287339423,308263.6563988119,457095.43739214464,611451.5577021461,947001.6136972982,1471520.9504862807,0.9714883804652046
4,2018-05-31,499000.0,0.1313832424392662,,27.0,24000.0,355079.41865080246,566640.7634237879,1096029.1662586275,308450.93711621064,456939.251483854,611295.2456420927,946969.2452023638,1470093.8272437546,0.97352256984325
5,2018-06-30,535000.0,0.1112774451097804,,27.0,20000.0,355508.0240319094,568184.9711058408,1096932.119550724,308434.27874210424,457019.966512217,612019.9209807792,948546.8541271348,1471388.39276122,0.9741922586154594
6,2018-07-31,540000.0,0.1183282980866062,,24.0,20000.0,356382.12937467266,572503.1739341795,1100994.3285244908,308359.7149837605,457533.38852709887,614163.01314033,952880.0518426287,1477756.606943433,0.9720641381654744
7,2018-08-31,508050.0,0.1237474949899799,131.0,21.0,20000.0,357506.9997281353,577403.6493300479,1106663.3186543032,308042.3113407619,458429.618076982,617085.1450874166,959262.7042222156,1490203.961235233,0.9715907582890938
8,2018-09-30,551250.0,0.0865435356200527,109.0,22.0,25000.0,359265.3998598501,581759.7540192851,1114700.7697080087,308517.3127782116,460409.3681568504,621309.0850116223,968809.3111165124,1509534.1566924404,0.9723972654704074
9,2018-10-31,550000.0,0.1217524197656648,110.0,22.0,24300.0,361861.2337233613,586582.5237363395,1124214.430548272,309735.40436503646,462972.3568615584,626404.5300095208,979619.8836297776,1531804.892005831,0.9718529267120062
10,2018-11-30,523500.0,0.1346336822074215,164.0,22.0,24000.0,364930.7933697011,590060.8142518044,1134962.624012157,311953.2279407758,466145.1087603536,631831.1177466732,991440.0298808338,1551994.30178061,0.971180340009114
11,2018-12-31,490000.0,0.1156367041198501,93.0,21.0,20000.0,369064.0770427025,593561.8006330888,1149162.0012775569,315278.23347480653,470422.7864374763,638872.1122204901,1005082.2816446524,1572404.9722456553,0.9710325938144332
12,2019-01-31,575000.0,0.2002561912894961,75.0,21.0,24000.0,370394.6671412794,584330.0195044648,1155443.6308839424,316827.08461262885,472514.1435053912,641233.6163948951,1010867.893464584,1577496.2761055797,0.9660924589097458
13,2019-02-28,545000.0,0.1862097440132122,98.0,22.0,24100.0,369511.5048397582,578413.2622083259,1153453.858325251,316619.44660920784,472365.87786973873,639376.3443217359,1008188.3400167088,1569594.7639356276,0.96753312636432
14,2019-03-31,580000.0,0.2006633499170812,117.0,22.0,20950.0,366577.9232339424,578257.8778851028,1144847.5902796693,314874.37147842743,470139.7158731353,634148.4133478674,999611.039811002,1552915.5521443551,0.9721962255414228
15,2019-04-30,560000.0,0.1727389627089584,107.0,23.0,20000.0,365052.1599886638,579801.0356404786,1140292.6779748,314055.591494349,468933.1014595176,631614.6903210203,995886.9933262172,1545574.3783158318,0.9737342574354224
16,2019-05-31,556250.0,0.1668157423971377,109.0,20.0,23000.0,364905.1562649198,582489.5491616147,1138998.792543674,313798.2259728592,468776.5827593328,631602.0514387499,996150.001828121,1544468.408335734,0.9751531062115346
17,2019-06-30,535000.0,0.1331183786273606,141.0,24.0,24000.0,365925.1131809573,586457.7762292633,1139250.9192672735,313871.4086763142,469487.1966772711,632637.3840279412,997858.9412355692,1546354.5044059015,0.9755750244128284
18,2019-07-31,520000.0,0.1404193076548025,99.0,28.0,20000.0,367562.4371153666,590205.353788946,1141170.5048192013,314489.90933196334,470828.5829690301,634266.4692991835,1000755.9486692012,1551456.837401364,0.9755600056230664
19,2019-08-31,500000.0,0.1258883248730964,108.0,30.0,25000.0,369249.8809911715,592067.9172335148,1143150.566181233,315161.0779411586,472262.5496518398,635908.110613124,1003308.3759348196,1556852.7869026214,0.9735209686372562
20,2019-09-30,555000.0,0.113871635610766,127.0,30.0,21450.0,370476.7484751028,594667.7003948434,1144320.2637472854,315778.430840377,473220.55642509833,637551.5139904476,1005786.2733186194,1562349.3310235192,0.9741186860432932
21,2019-10-31,500000.0,0.1310201967892283,129.0,29.0,20450.0,371895.484018626,598142.215672196,1145489.471106983,316175.8182739434,474395.12786638894,640015.8675556484,1008536.0111701128,1566471.9031322866,0.973204418426681
22,2019-11-30,536500.0,0.1112224448897795,93.0,29.0,20000.0,373983.2200280584,599449.0216023228,1148589.0950829126,317506.50924830424,476122.1108562558,643316.5251207366,1013428.674285146,1573120.0140906388,0.9741057519369192
23,2019-12-31,567500.0,0.1281553398058252,100.0,26.0,24000.0,376595.58218423295,598268.2419008547,1153345.1435116364,319493.7966384332,478508.7507279688,647315.3068300057,1019395.6000442244,1579116.6917221292,0.9722608879432946
24,2020-01-31,585000.0,0.2135135135135135,79.0,25.0,20100.0,380386.9259562646,605483.5838908623,1161506.6379038822,324545.72829601885,483276.3062250158,652289.4366145144,1025365.2384270768,1583523.8935588251,0.9698108195066218
25,2020-02-29,627000.0,0.2959621993127148,100.0,22.0,25000.0,384221.0363769591,609428.0328341259,1169966.5255377972,329755.2976387022,488657.4051611325,657387.467070336,1030522.9681873264,1587127.3552703068,0.9725337752124292
26,2020-03-31,583000.0,0.1346568839015968,112.0,22.0,24100.0,387891.3780766918,612554.1744800379,1177608.281408999,334391.33340906,493861.4349910573,662084.0534556363,1034805.6234426023,1592313.2886883924,0.975655678740745
27,2020-04-30,585000.0,0.0769953051643192,100.0,23.0,21000.0,389806.6663287415,613810.29291206,1179829.5433595297,335368.722277229,495932.68593245256,664433.0769833544,1037530.3576582992,1598253.3476580654,0.977086381969822
28,2020-05-31,650000.0,0.1030126336248785,165.0,28.0,20000.0,390533.1526873666,613598.3397868116,1178638.2135749871,334795.03274155414,496075.3806835469,664880.9605100825,1038239.6952289876,1603062.3670487318,0.974795704402478
29,2020-06-30,535000.0,0.1269135802469135,132.0,32.0,19001.0,390876.4464662933,616682.8391868138,1177966.7960956274,333772.9320092678,495826.4249478834,665021.5947415311,1039467.1003670124,1609933.8451449375,0.9756052024812604
30,2020-07-31,630000.0,0.122,160.0,37.0,20000.0,391679.2671384295,621910.0634628197,1179749.4083959025,333465.20653263706,496456.04462798405,666726.0156426543,1043054.5235765834,1618254.6198279583,0.9766544061216624
31,2020-08-31,612500.0,0.1090534979423868,167.0,36.0,16000.0,393740.0783657457,628903.2833003192,1186790.098059782,334291.92239132343,499053.5682674223,671464.5707407886,1051547.0779380088,1632324.479202523,0.9779484248414247
32,2020-09-30,600000.0,0.1095520777118186,111.0,34.0,18000.0,397346.1692775872,639628.0547911143,1197787.7360640103,336374.1274906096,503716.6711969813,678937.0272061366,1063834.0372305848,1650513.2209451117,0.9791542993965856
33,2020-10-31,670000.0,0.1087962962962963,89.0,33.0,20000.0,402661.29006476136,650399.9663912726,1212911.6669048923,339531.0462133576,510114.4808227998,688775.3052913058,1080763.8859780673,1678259.6356563976,0.979986833699746
34,2020-11-30,614500.0,0.0960244648318042,132.0,35.0,17500.0,409835.9547211072,664193.4734080067,1233785.6146702853,343988.72732178186,518670.3818535305,702157.8692216882,1104791.9245216486,1717352.3166229092,0.9806064233086376
35,2020-12-31,625000.0,0.0847044485070079,106.0,40.0,24900.0,417509.5533851173,669819.3852142585,1257373.116719806,348770.446792853,527647.1994539583,716214.5333886401,1131988.7946561885,1763518.4869107257,0.9809905070932572
36,2021-01-31,675000.0,0.0984274898078043,92.0,51.0,20000.0,424233.8988691815,674750.7984861098,1280602.1041363326,352494.0030942336,536060.9659796524,728970.1299624996,1156953.5725179778,1808206.218021832,0.9777522889592812
37,2021-02-28,722000.0,0.1043671354552183,40.0,68.0,25000.0,429545.3394601126,682627.3056650456,1301292.5304170763,355590.6210602589,543280.7229159825,738735.7983809253,1176170.0696379647,1844706.692811075,0.9810847876034824
38,2021-03-31,705000.0,0.1034761519805982,31.0,71.0,25000.0,434765.9828702906,695771.478603513,1321091.6569285973,358653.29170100176,550744.3674332767,748921.9656609303,1193443.0931009229,1875504.5930408195,0.9880244018973494
39,2021-04-30,675000.0,0.0950533462657614,25.0,68.0,24950.0,441918.4367175884,715156.0131297796,1346610.3215748677,363566.4684874005,560398.8197290368,763100.3581421804,1217608.670518623,1912775.670758303,0.9934617253584408
40,2021-05-31,720000.0,0.0990206746463547,15.0,67.0,30000.0,451362.9724100815,737366.8458255042,1380642.2342059568,369951.8773813785,572607.250118293,782027.0958957225,1251412.087112354,1964324.074338433,0.995959594794978
41,2021-06-30,725000.0,0.1231155778894472,17.0,70.0,24000.0,462384.20582672674,759617.7370167531,1423237.133348927,377909.8570056209,586938.520885852,804121.2631439782,1293167.3911263433,2025691.036804123,0.9977335629109088
42,2021-07-31,704500.0,0.1197452229299363,14.0,70.0,34000.0,472206.8512672588,771105.8727211484,1464336.5697734288,385210.4864595679,599885.9090484692,823590.8282946656,1331742.8509856318,2082975.574252064,0.9976792545694612
43,2021-08-31,675000.0,0.1208791208791208,16.0,65.0,40000.0,479861.2643370875,778886.7707009218,1497262.2610597468,390259.5101582709,609616.7216256309,838220.7242840803,1362578.9812479422,2129218.6934545003,0.9958614270610796
