,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,189000.0,0.1194295900178253,94.0,32.0,10000.0,140551.25533206548,217711.23711690347,343332.2982642057,145893.04323994872,171607.18197530156,217101.53632153312,273518.6983276824,295817.71548945666,0.964813982147942
1,2018-02-28,210000.0,0.0827067669172932,102.0,32.0,10000.0,140781.02292132165,215950.0510110541,343489.46414810227,145780.98711111475,171782.37132155537,217512.4886801991,273844.5557600992,296137.72136756283,0.969775658626213
2,2018-03-31,205000.0,0.100664767331434,132.0,41.0,10000.0,141207.4797096116,217294.68640887816,344290.8229788463,146068.14278428743,172215.85076486185,218028.2336575128,274619.30555441434,297231.2995630662,0.9680859372349976
3,2018-04-30,211200.0,0.1202370872142252,84.0,48.0,10000.0,141741.9841282464,219129.4099068599,345630.82569546683,146548.90051313138,172792.18450662922,218758.14813922663,275742.2942260839,298582.8183198473,0.9769075727813415
4,2018-05-31,221000.0,0.1304018195602729,56.0,47.0,10000.0,142773.38315303755,221781.1198831551,347859.4233299861,147564.48467324287,173942.88548482268,220078.6069269268,277552.72286860016,300696.5865934,0.9768608408579952
5,2018-06-30,220432.0,0.1718641718641718,51.0,41.0,10000.0,144083.87101452696,225436.72578844192,350664.3948839453,148966.82929031304,175387.7563889739,221873.99868481743,279863.4665436566,303380.5310554392,0.9827178090500794
6,2018-07-31,225000.0,0.1974043715846994,63.0,42.0,10000.0,145912.18284757444,229934.36791820315,354174.3885999549,150895.0341087673,177424.7940217006,224268.4006905309,282869.498032266,306875.0336157943,0.9833435565860776
7,2018-08-31,214350.0,0.2005475701574264,71.0,41.0,10700.0,147832.94606108157,231903.9337364544,357811.9524682473,152938.7240261161,179599.43019032062,226723.23778023207,285917.8794528925,310472.00824668043,0.9812181608912516
8,2018-09-30,215000.0,0.1701837985023825,85.0,38.0,10000.0,149432.89773531852,233098.3203252704,360691.6690559242,154847.7438954851,181479.20360692128,228682.925136262,288323.46066488844,313355.22862453153,0.9789052360558178
9,2018-10-31,219000.0,0.1835443037974683,95.0,37.0,10000.0,150171.5582880375,232536.3848131988,362108.59318513685,155907.59944495143,182382.6877390029,229502.38173964768,289537.9138899693,315104.9125111857,0.9740678262316396
10,2018-11-30,210000.0,0.1314373558800922,77.0,35.0,10000.0,150685.40695166934,231795.4388814144,362774.97840272094,156738.73708687074,182937.29338431216,229882.91044323627,290309.53436921287,316544.7075406865,0.9714900287980776
11,2018-12-31,242740.0,0.0987124463519313,107.0,38.0,10000.0,150780.85155520338,229786.186831512,362640.2132701069,157018.47541541187,182896.94668204323,229689.9902990728,290342.90791098424,316929.2936557307,0.9691600463434676
12,2019-01-31,229900.0,0.1412535079513564,90.0,44.0,10000.0,150899.9807345137,228166.84149117488,362024.8174012171,157204.43094413073,182748.11280361493,229476.9748939201,290032.2713040124,316294.1848614374,0.9662890941408224
13,2019-02-28,210333.0,0.121713729308666,112.0,50.0,10000.0,151068.16224499754,227373.76560336872,361329.1749923068,157198.0975455397,182646.962627812,229468.8904440664,289745.2583940194,315062.3867434057,0.9683185679300454
14,2019-03-31,225000.0,0.1375565610859728,123.0,50.0,10000.0,151350.36585171244,227919.1357766224,360881.0177060067,157231.17339440514,182780.35951127563,229829.5333047312,289846.1667778013,314166.3382319294,0.9691595927053896
15,2019-04-30,225000.0,0.1468354430379747,71.0,50.0,10000.0,151665.46113977395,228767.9477858672,361030.6717807711,157194.1355010436,183079.1464944382,230483.95277124632,290441.8580550027,313932.2506324938,0.9723098405144568
16,2019-05-31,240000.0,0.1645474943904263,48.0,44.0,10000.0,151889.97082313805,230776.3294217988,361031.48482442176,157091.12567510383,183222.9743367456,230963.68802116447,290881.19712385786,313715.6305895996,0.977929702084874
17,2019-06-30,220159.0,0.165922144224633,60.0,43.0,10000.0,152416.77441089696,233631.1165920527,361509.0165222334,157287.98227046127,183688.3034313548,231824.57126527568,291632.66982743406,313862.5066185254,0.982265653684442
18,2019-07-31,240000.0,0.1869095816464237,59.0,45.0,10000.0,153341.03671442147,237216.4223548887,362485.1882670163,158242.29682864083,184682.51411503096,233126.47084002665,292660.3825217239,314608.604028255,0.9824519022195618
19,2019-08-31,245000.0,0.2017426273458445,64.0,47.0,10000.0,154562.68242950313,239523.0277333996,364424.89902908914,159504.18234491444,186050.53640088625,234904.1795849088,294354.0526691999,316317.5779668715,0.9799711460035566
20,2019-09-30,245000.0,0.1933514246947082,79.0,46.0,14000.0,155706.04293009947,241208.3169381283,366642.9301957674,160660.84814574532,187323.75789817912,236526.4504972027,296170.397998548,318287.07479689893,0.9787462065837936
21,2019-10-31,231958.0,0.1814461118690313,90.0,41.0,10000.0,156692.13892089788,242009.09887790703,368737.8827479151,161519.4091741113,188355.1625664977,237842.4504195844,297942.9872031053,320215.1232945741,0.9763993278842892
22,2019-11-30,235000.0,0.1310240963855421,90.0,37.0,10000.0,157706.12845933592,242435.209908256,370514.3097211251,162574.38285654,189466.2189383681,239063.9737527425,299511.4700312035,321892.2328602835,0.971655697442536
23,2019-12-31,244252.0,0.0882604970008568,76.0,45.0,10000.0,158753.96159852235,241743.95910092408,371511.3461917085,163545.83621751485,190517.6885254889,240129.0567566116,300727.44536669226,323179.2775498541,0.9726833469259296
24,2020-01-31,225000.0,0.1337824831568816,101.0,56.0,10000.0,159908.4518500641,241502.2367667393,372099.743453128,165195.41079819086,191907.8680899448,241102.1600888654,301639.75288432825,324208.7879373894,0.9677048564148066
25,2020-02-29,212000.0,0.166832174776564,110.0,57.0,10000.0,161222.40163703953,241856.8264023268,372796.2545037077,166701.9419289745,193244.0834100716,242319.16441975164,302908.20609158004,325678.1635362614,0.9691763175182052
26,2020-03-31,240000.0,0.0848484848484848,147.0,58.0,10000.0,162677.29220652906,242655.56514192064,373839.0587899431,168249.70125205137,194526.5215522468,243647.9432657837,304429.18885173736,327427.2874348801,0.972996594587428
27,2020-04-30,263250.0,0.0539609644087256,76.0,96.0,10000.0,164107.40715909438,244069.28547205465,375134.6315156611,169019.3446385841,195400.4526237326,245037.62973525384,306216.83112518,329320.32304725656,0.975493411270511
28,2020-05-31,254857.0,0.0763274336283185,90.0,135.0,10000.0,164775.24989606286,245137.201456369,375466.4942147758,169208.3103083147,195569.4743786756,245507.4768069572,307029.57581681747,330138.4747678274,0.980502519130202
29,2020-06-30,252500.0,0.0902255639097744,52.0,146.0,10000.0,165339.52797862963,248267.1714158189,375946.3459998607,169316.26508463154,195810.11738014745,246100.11062525472,307899.0824205502,330907.9140173272,0.9759388471977776
