,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,75250.0,0.1313559322033898,,-26.0,,34176.017016589234,77186.68088695417,146483.66396113147,26528.94463209057,40750.590548649256,92256.89142932955,145142.94763176693,186507.5150471703,0.97409306537226
1,2018-02-28,99000.0,0.104602510460251,,-28.0,,34223.4753783106,76528.72396164805,146816.6777675463,26486.079459481905,40916.11748137928,92608.31297180372,145386.58636137997,186808.34519417724,0.9755744991882044
2,2018-03-31,92500.0,0.1369294605809128,,-27.0,,34368.50683678885,77398.44409482917,147338.97592597324,26424.576773931407,41134.85307982218,93077.57645538154,145647.66901990992,187224.46729143555,0.9801018425801756
3,2018-04-30,81500.0,0.1739130434782608,,-24.0,,34597.82896033977,78365.86617728842,147703.1422577154,26490.76959173843,41204.90573400065,93530.06199585156,145490.7010810776,187009.2077248917,0.9823051032609552
4,2018-05-31,112000.0,0.1308411214953271,,-17.0,,35039.3567956762,79712.79307645845,148269.61015686384,26901.32821030654,41438.50563092826,94175.79641909928,145528.22666927075,187147.0879238277,0.983746725399988
5,2018-06-30,92250.0,0.1434977578475336,,-11.0,,35074.71503836319,79623.56587464752,148378.8686328668,27138.01974597712,41365.89726699234,94404.53580053557,145290.02954189476,186728.4674557052,0.9831226563632424
6,2018-07-31,81500.0,0.136150234741784,,-1.0,,35065.753582803976,79713.6358373989,148202.8091767993,27273.375222871164,41294.15904853735,94232.10367665406,144949.40733681034,186425.2380212721,0.9827777087509016
7,2018-08-31,96500.0,0.1497584541062802,,-1.0,,34905.36609592256,79771.44532719554,147875.23179775148,27209.72662277866,41191.307036569575,93885.53474088314,144563.9913602329,186052.75555465303,0.9812258908289953
8,2018-09-30,105000.0,0.0543478260869565,,-6.0,,34934.45821951877,80121.49815920592,147851.86279584485,27171.76261759216,41231.38999793133,93888.36798985094,144474.52293096168,186064.40874432845,0.9826896476257552
9,2018-10-31,80000.0,0.1508379888268156,,-5.0,,35003.00151392767,79922.03156299943,148063.43250146066,27226.152477685235,41314.03235863185,94128.60247412189,144756.94177112138,186424.7044093348,0.980449910424771
10,2018-11-30,68750.0,0.0823529411764705,,1.0,,35281.69895349797,80176.41679314249,148462.93706308535,27341.808426123607,41487.62754848154,94626.99608806396,145240.4759383529,186951.9793425117,0.978687248663186
11,2018-12-31,101500.0,0.1075949367088607,,20.0,,35796.33978987248,80432.71013740302,148965.95872657569,27641.035166507223,41803.99359028803,95114.14605373604,145859.9764908779,187479.0654063986,0.9794681725314948
12,2019-01-31,86000.0,0.0939597315436241,,25.0,,36244.00686209566,80601.38269831464,149757.51503017836,27814.37970366852,42185.93893423387,95874.77440236858,146729.51882245546,188073.9877041689,0.9755257512263452
13,2019-02-28,76000.0,0.0992907801418439,,27.0,,36140.63058413478,79844.14096342756,150338.9019727649,27657.979083360537,42190.849953954006,96451.4353407328,147356.91431841566,188234.2905158397,0.9776396097162888
14,2019-03-31,107950.0,0.1079136690647482,,16.0,,35535.867147150035,80209.2910808908,150701.01709795964,27165.32520384532,41951.30588004319,97056.4907514152,147916.58838253745,188323.10742673549,0.979899488097995
15,2019-04-30,91250.0,0.0916030534351145,,19.0,,34695.811413996526,80636.81123922476,150816.29451754913,26524.5299371486,41490.6343327486,97393.5812882989,148349.96068199768,188387.07243741635,0.9824159888819136
16,2019-05-31,92500.0,0.1298701298701298,,7.0,,34251.1689996702,81966.28057861491,150976.74488143474,26225.30712721325,41274.21045477468,97778.95687776372,148885.88528533408,188739.4350460521,0.9853375781847252
17,2019-06-30,91000.0,0.1493506493506493,,10.0,,33985.95469176109,82940.67734134896,151378.05599028085,26071.940011413884,41136.12619498907,98175.16941952998,149582.97730058353,189476.4861253488,0.9861548243806052
18,2019-07-31,117500.0,0.1381578947368421,,16.0,,33853.2624529401,83792.43370134989,151969.6546521342,26112.35824430118,41183.40824792999,98696.99496372556,150362.28776502414,190529.2720959457,0.9847267903033672
19,2019-08-31,82000.0,0.1428571428571428,,23.0,,33749.53383981468,84294.12076754322,152786.15863006748,26202.75059418773,41353.9906307266,99336.93247754892,151413.46785099676,191947.74459781032,0.984178272669644
20,2019-09-30,102000.0,0.1210191082802547,,18.0,,33645.07873325598,83985.67942273464,153154.93748242027,26325.56893937361,41533.04582517451,99720.11796850902,151940.772443354,192719.31807359503,0.9825248605156542
21,2019-10-31,85500.0,0.1180555555555555,,10.0,,33767.58937138548,84458.50285116526,153576.77641848035,26536.924799078766,41770.17226061239,100196.44527549022,152419.5141207616,193313.8231685191,0.981735062845972
22,2019-11-30,85000.0,0.0833333333333333,,7.0,,33859.50469880327,84032.90952267923,153946.83607612705,26622.629013281083,41843.77290480586,100533.90766417734,152819.83361929955,193885.4697823373,0.9812159993474944
23,2019-12-31,97500.0,0.1111111111111111,,9.0,,34079.31079866326,84270.95593701348,154780.6229791567,26774.45059568048,42053.03433201332,101095.5624273136,153730.83419312633,195121.5152045593,0.9774487745461984
24,2020-01-31,92500.0,0.1489361702127659,,25.0,,34228.43200804819,83784.01553142606,155443.68645388237,26850.684603990576,42249.122945000505,101312.4980027886,154590.4314749455,196252.2742851205,0.976805555638644
25,2020-02-29,95000.0,0.175,96.0,26.0,,34581.58460149011,83841.62365488181,156137.89280486552,27098.18581947336,42626.774654418405,101583.04111177631,155486.89372081592,197243.1366638272,0.98143614451056
26,2020-03-31,55000.0,0.073170731707317,38.0,25.0,,35029.60877160858,84235.5338669367,156565.53001660193,27474.21930410072,43053.378887769,101715.42522932448,156072.59613525643,197864.5323782801,0.9848007301337444
27,2020-04-30,115000.0,0.1418439716312056,35.0,29.0,,35537.65632625297,85496.6042241352,157154.22371022162,28009.78743499493,43582.10293949154,102151.64501379064,156875.23720932435,198876.9985556201,0.9877561917931396
28,2020-05-31,87250.0,0.1550387596899224,50.0,47.0,,35799.86265893101,86800.71316266399,157632.87558650793,28343.468334260964,43852.26202473115,102592.75259017052,157600.0456404136,199809.6773473585,0.9833071185267748
29,2020-06-30,106500.0,0.1388888888888889,31.0,62.0,,35614.88296562284,86713.74793848152,158028.91675153057,28227.19808195795,43579.21926291174,102956.7503148985,158301.796546943,200520.09503246937,0.98752738811885
30,2020-07-31,91000.0,0.14,29.0,71.0,,35267.04987900072,87960.63337056327,158576.10986669888,27941.26419000166,43119.64138336422,103419.01059601932,159083.58922005387,201368.68163670425,0.9894790996554884
31,2020-08-31,105000.0,0.1290322580645161,36.0,81.0,,35343.794244257704,89879.42934363714,159754.6537971515,28001.246612751213,43173.23305202878,104310.0490826716,160349.88805724971,203030.787314636,0.990621530847674
32,2020-09-30,119000.0,0.0823529411764705,22.0,77.0,,36272.01754142531,91788.55759000748,161954.06582268028,28836.461454188902,44071.03627509936,105904.98398377222,162563.35716213135,206080.64187213065,0.9924508378162952
33,2020-10-31,110000.0,0.1290322580645161,9.0,55.0,,37728.40484852302,93633.09598530825,164751.89363626667,30122.21423674435,45443.39498139537,107928.44193150743,165354.3701367361,209888.5599077805,0.9932960551357044
34,2020-11-30,107250.0,0.1276595744680851,17.0,35.0,,39092.4994661056,95009.8535811772,167802.57538170693,31439.30194623013,46795.33717589112,110123.46399502426,168514.3643262096,214182.32265827103,0.9930195716117124
35,2020-12-31,130000.0,0.0705882352941176,12.0,31.0,,39982.608604721456,96277.70702811371,170762.63554130992,32367.385755506868,47898.199030352174,112284.1605716996,171695.4325301648,218448.3260287769,0.9935312113097708
36,2021-01-31,123500.0,0.0888888888888888,20.0,42.0,,40470.76022551857,96743.01723434989,173224.87913721713,32881.12438496612,48714.82809751448,114114.22729899222,174508.29773472546,222265.0126291868,0.9933655758539652
37,2021-02-28,120000.0,0.0579710144927536,12.0,82.0,,40893.284836423176,97722.82707919089,175437.01877719388,33205.08347316805,49423.17629670876,115814.91075564871,177165.7198261035,226057.7484233617,0.9943684895655364
38,2021-03-31,120000.0,0.0609756097560975,5.0,100.0,,41652.75217544185,100900.76538746431,177945.395492718,33893.602637347176,50591.11770554786,117968.90375473612,180170.06285177413,230167.4072653212,0.9999680624461772
39,2021-04-30,121000.0,0.0410958904109589,4.0,103.0,,42632.14848716601,103477.12503595254,180857.4347887101,34721.13029863761,51977.14054277906,120336.83116084748,183654.60634134072,234767.7769176316,1.0066642024943668
40,2021-05-31,134250.0,0.0869565217391304,7.0,91.0,,43621.92294870225,106422.40928073305,184067.7755514728,35686.32060724428,53486.37562504838,122722.38693381222,187367.6179264947,239615.98601464115,1.009788237997944
41,2021-06-30,113250.0,0.1235955056179775,5.0,86.0,,44558.941261910215,109693.48791425482,187260.0850994948,36560.76390312732,54937.17676126893,124976.18492184998,190884.15407678185,244369.57425888567,1.0139779670899076
42,2021-07-31,125000.0,0.0886075949367088,12.0,68.0,,44803.47383810984,109472.76145874524,189790.1505696803,36925.43791437374,55581.4029430052,126636.86005357667,193650.4363747382,248165.06537589323,1.0135862989498026
43,2021-08-31,125000.0,0.119047619047619,8.0,61.0,,44676.47606986628,108303.09765834497,191069.7967817468,36938.32710193857,55561.51090289202,127366.24998507246,195273.3246104504,250527.48324234167,1.0106883879832609
44,2021-09-30,138000.0,0.1046511627906976,11.0,66.0,,44189.33701196992,107948.23137943404,191301.82826264537,36492.60423699568,54762.0834737858,127209.12936575476,195910.84066857875,251749.77257942027,1.006941334030975
45,2021-10-31,133000.0,0.14,9.0,51.0,,44357.1541436941,108791.60986806585,191609.5451321035,36511.4999155879,54558.01842838278,127354.96447209777,196553.54600217848,253080.4209960032,1.0049376418400346
46,2021-11-30,105000.0,0.1341463414634146,11.0,51.0,,45095.89950294074,111065.9957137414,193061.26429255388,36991.168925506376,55203.49134752488,128657.90789479949,198191.1799862312,255488.58056579588,1.0032095607370652
47,2021-12-31,160000.0,0.1139240506329113,15.0,52.0,,45854.090497494886,110787.9543035187,194704.3589225508,37578.9314373157,56092.752698847886,129954.98691021284,200191.6206967876,258276.92427438908,1.002645260296224
48,2022-01-31,155000.0,0.1125,20.0,81.0,,46866.476712345735,114118.40168561028,197720.4965894497,38417.83252591921,57591.87801451372,132382.48792740444,203816.91736782924,262905.0545929784,1.0020684811103029
49,2022-02-28,119500.0,0.0909090909090909,5.0,89.0,,47845.46485165439,117527.67083532093,201624.65677547432,39199.63824420057,59369.78639162031,135526.33311206562,208556.2592522174,268575.254627893,1.00513742769977
50,2022-03-31,132500.0,0.131578947368421,7.0,93.0,,49192.92895357765,120750.06734743436,206607.41139343497,40272.89456584468,61805.00332707809,139691.74534990132,214286.42797524863,275430.5172439926,1.0141428916953152
51,2022-04-30,145000.0,0.0918367346938775,5.0,84.0,,50384.36154961823,124554.36656228108,211500.22279130155,41204.61734584219,64052.77026939099,143481.80123709457,219675.97349721767,281814.77231210883,1.020020641561169
52,2022-05-31,150000.0,0.125,8.0,83.0,,51514.16913639946,128423.35113993452,215606.1892505885,41839.8430423188,65951.40485872718,146586.7689755895,224040.10893177483,286943.3346908396,1.0235586124567375
53,2022-06-30,165750.0,0.2019230769230769,24.0,64.0,,52386.81008051891,131896.12135247258,219635.75829063667,42372.89169463999,67479.44110828202,149780.0073165544,228227.61171432704,291618.6724834012,1.0162610970977082
54,2022-07-31,158000.0,0.2166666666666666,7.0,49.0,,52926.559146388194,134402.8078946463,222924.77462230963,43010.20064136184,68877.30566383594,152742.91809214003,231732.43925423067,295535.3238028223,1.005741162945568
55,2022-08-31,145000.0,0.1583333333333333,11.0,49.0,,53108.76966018771,134686.20226138132,225498.72585493032,43899.56320806534,69867.51767193091,155189.0473114266,234654.2511670578,298835.92429028795,0.9986082265729904
56,2022-09-30,128260.0,0.1441441441441441,8.0,49.0,,53279.507240403465,135422.51743776497,227030.33725223248,44704.39825738466,70907.75887167774,156906.54130873823,236584.555565055,300986.43726008054,0.9941380332868512
57,2022-10-31,160000.0,0.2336448598130841,12.0,40.0,,53123.72784783898,136221.36251923197,228273.0979220732,45046.402451119146,71611.29985132987,158359.93819519854,238168.8611217233,302590.58587298484,0.9897070607578788
58,2022-11-30,147750.0,0.1428571428571428,18.0,20.0,,52977.60235687063,136042.31990083636,229101.1867499473,45093.94357648146,72455.77906752891,159536.97384775814,239181.2057610532,303473.264710274,0.9885805184056214
59,2022-12-31,95000.0,0.123076923076923,24.0,24.0,,52191.935428685225,134029.15505618387,229439.90378445585,44838.43205606928,72659.41107291788,160051.99404107613,239597.4738236309,303507.3664828401,0.9848225240228607
60,2023-01-31,145000.0,0.0952380952380952,17.0,41.0,,51906.92135980935,134934.62889015494,229665.91393739925,44635.01947172586,73079.65197769558,160544.09246138736,239819.84775992777,303376.2127624606,0.9842363752975192
61,2023-02-28,140000.0,0.152,25.0,55.0,,51606.91459402045,134364.0681600734,229780.83305106487,44342.45651333858,73226.32803690252,160980.486796052,239944.1715827262,303249.91119650326,0.983724622685065
62,2023-03-31,132000.0,0.1680672268907563,24.0,48.0,,52053.14763726183,136694.90125455995,230546.4612914247,44386.65991660923,74228.31691743217,162258.66795171375,240679.4093562365,303632.08788303635,0.9886504750378956
63,2023-04-30,107000.0,0.0803571428571428,59.0,68.0,,52434.50346876775,138726.10195558233,231418.73747126028,44693.89980571647,75318.51907417341,163365.43700153477,241433.61201756189,303752.18541627494,0.9939394700081684
64,2023-05-31,162000.0,0.1415094339622641,8.0,79.0,,52717.6240122593,140588.38736633037,232736.98162360824,45024.5093638894,76544.02041492912,164619.15180462098,242459.6063967934,304017.3707025988,0.996363965527166
65,2023-06-30,146700.0,0.1339285714285714,10.0,78.0,,52343.573772747135,140846.9050147292,233749.6332214629,45015.14551556887,77056.65374883669,165257.14058521573,243261.5781395697,304323.4463157262,0.9964941651188476
66,2023-07-31,150000.0,0.1724137931034483,9.0,56.0,,51814.871519760345,140948.8459698276,234179.84266573624,44628.49390733495,77134.20241400629,165509.96847822084,243676.0937955529,304278.09055256896,0.9955578298187264
67,2023-08-31,117900.0,0.1525423728813559,17.0,53.0,,51534.29542413061,140006.27042117165,234182.6293156968,44234.02786351895,77012.12094343801,165475.92009785294,243923.0428734625,304117.50916384155,0.9951311629717026
68,2023-09-30,140000.0,0.211864406779661,15.0,36.0,,51829.59744984838,140284.5145712147,234328.5998676805,44229.26251872879,77196.19135791548,165703.97857135316,244487.28210037493,304414.39552158816,0.9926920734807092
69,2023-10-31,119000.0,0.1603053435114503,13.0,29.0,,51820.691585331486,138790.18701224518,234270.67614314947,44132.540706618056,77056.36794687378,165696.80042936295,244835.77600500625,304636.3655877709,0.9910129451556294
70,2023-11-30,65000.0,0.192,28.0,18.0,,52073.86884395555,139859.5497663467,234693.8980432507,44431.78219726388,77621.20539401808,166225.16552965651,245585.35570440508,305214.10125929007,0.989493699577422
71,2023-12-31,134250.0,0.1774193548387097,19.0,29.0,,51854.24970002975,137956.4516796428,234551.1046914114,44281.65389894384,77793.54166080797,166274.89107681936,245700.1621638859,305133.0642631046,0.9834738161530544
72,2024-01-31,139900.0,0.2110091743119266,63.0,38.0,,51526.41329958078,135677.6646385244,234209.4763254361,44219.91901289636,77897.0738819315,166065.63188011327,245766.31393687744,305149.9094399779,0.980124286110748
73,2024-02-29,134500.0,0.1941747572815534,19.0,40.0,,50841.90660932447,135522.55484433135,233649.90223629805,43760.95159802196,77471.82336241863,165625.34628696475,245769.81832347345,305024.39668589365,0.9851284223290832
74,2024-03-31,141750.0,0.1623931623931624,14.0,38.0,,50716.558185063855,137969.5426209488,234174.89682526773,43447.69590054823,77426.42301850203,166180.90351794535,246777.06728394865,305968.55008236883,0.9892172209436318
75,2024-04-30,,0.2479338842975206,16.0,44.0,7000.0,51322.77114797233,141227.97517152317,235926.2417835796,43531.39104004145,78068.24831929358,167920.62881642315,248840.76303190147,307917.4648749797,
76,2024-05-31,,,,,,,,,44083.56757593816,79257.11332445334,169952.37542979405,251181.46237475285,310468.7247094395,
