,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,96500.0,0.1253333333333333,,-25.0,,53244.69195211128,102437.38664080547,178218.32880418818,33702.62242709109,57787.1182426416,104788.25969361808,154495.6612876892,190134.69946697084,0.9735592219342498
1,2018-02-28,108500.0,0.1344086021505376,,5.0,,53940.41266592041,102308.50812598408,179006.24546924795,34333.103775935575,58469.31800426781,105462.40592258652,155331.22500890758,190976.34727775608,0.975966688038783
2,2018-03-31,93500.0,0.0958549222797927,,37.0,,54587.428664447885,103182.09645088122,180109.2243739944,34739.611942120835,59108.62574531639,106359.09514073993,156449.68978835136,192184.48164190885,0.9796139779105558
3,2018-04-30,102000.0,0.1578947368421052,,44.0,,55072.523816984445,104661.00347879095,181208.590192082,35098.86850817265,59535.42920336613,107189.94135766856,157468.11851303943,193317.77484652493,0.9815554037738746
4,2018-05-31,111200.0,0.1311475409836065,,34.0,,55324.76208263626,106237.74684615676,182195.6325568623,35211.22238713317,59711.87840039192,107880.85454000716,158337.7591462412,194389.2142113438,0.9878348294035766
5,2018-06-30,98970.0,0.1632653061224489,,33.0,,55516.80933173877,108043.40363387852,183097.2505282703,35353.13160843704,59850.29714944872,108504.6236761022,159062.11221418146,195319.619950178,0.9889169163523838
6,2018-07-31,130000.0,0.1756440281030445,,37.0,,55828.65410651652,110003.62330745722,184159.2226726377,35480.972979485414,60145.79587518327,109303.11450368963,159944.57291896336,196442.0614536169,0.985443042558176
7,2018-08-31,117450.0,0.1670480549199084,,10.0,,56199.88433915229,111066.7414783416,185095.7010437119,35631.05838890031,60489.39878362304,110103.77804954308,160796.59769097585,197538.0348586388,0.98093916659753
8,2018-09-30,94000.0,0.1741071428571428,,-13.0,,56507.897550110094,111237.83851746956,185859.711522468,35606.40440898657,60681.848032230126,110719.9925567287,161600.24760663955,198567.3245485317,0.9748698512040312
9,2018-10-31,100000.0,0.2172949002217294,,-28.0,,56654.81988240127,111089.32943940278,186189.96356609467,35501.068720582894,60671.93630725414,111000.75831449512,162080.1882195661,199209.1092483648,0.9778023231528042
10,2018-11-30,94000.0,0.161662817551963,,-9.0,,56965.24834033722,111438.5931506856,186547.7745177196,35594.332007967554,60815.37369935613,111398.38183778943,162634.51622981508,199850.78975250627,0.9732618037269558
11,2018-12-31,111000.0,0.1083743842364532,,8.0,,57544.47821327303,111074.4303884618,187086.82457078013,36053.41368578564,61305.41367730894,111999.56312451122,163249.28527783827,200547.39794963,0.9724418877818805
12,2019-01-31,78000.0,0.1524547803617571,,19.0,,58497.68685917784,111061.33127292368,188173.4643880794,37147.6899646368,62451.86434458284,113021.52551915232,164146.11424179235,201698.84485637024,0.9620074204718012
13,2019-02-28,110250.0,0.1445086705202312,,24.0,,59533.27184058144,111287.4420402532,189473.2660962142,38477.91849911816,63914.12144808101,114132.88659731114,164973.3434166316,202998.8572008345,0.9749438107726756
14,2019-03-31,94950.0,0.1404494382022472,,8.0,,60879.53675848988,112767.63956678286,190840.78046850703,40193.383117472906,65874.05452528606,115383.98408762208,165754.27484609614,204251.9064255962,0.9742845660605968
15,2019-04-30,115000.0,0.1710526315789473,,5.0,,61979.20483924294,113687.77347691033,191541.8690635933,41641.04608065775,67487.63323408151,116120.4367396164,166025.9342946759,204761.50491417016,0.984696026156502
16,2019-05-31,115900.0,0.2024691358024691,,4.0,,62684.26405828382,114602.52130254993,191740.7718131553,42513.0186433917,68522.24994130991,116387.9706424014,165907.74063679346,204629.28297761493,0.985934373803888
17,2019-06-30,115500.0,0.1572769953051643,,29.0,,62662.79640631293,115444.83144165447,191575.0657124917,43044.5188490726,68678.46189418656,116155.5144527604,165451.80525441488,204063.3729663959,0.98775167307315
18,2019-07-31,128000.0,0.2390745501285347,,27.0,,62327.65308862773,116460.2315513855,191726.29374028448,43186.43378860554,68356.62890660792,116017.62857049232,165269.98438434632,203819.52462979787,0.9842653476911256
19,2019-08-31,124000.0,0.2030456852791878,,38.0,,61947.545200469904,117010.94160612632,192085.60810475991,43446.46477493086,67889.25480129918,115986.01443069144,165388.82402005434,203878.7839548105,0.980026259536435
20,2019-09-30,130500.0,0.2040302267002519,,13.0,,61762.76683740438,117670.98844838436,192701.69015120927,43126.6893802408,67585.06117163743,116262.70784214626,165920.24706184803,204459.58584050369,0.9785643507768504
21,2019-10-31,131000.0,0.2256410256410256,,-3.0,,61657.922000161954,117292.89626161208,193313.14826767007,42793.48164119588,67301.40195577564,116483.66925543638,166524.2361392027,205231.569165734,0.9731436604953084
22,2019-11-30,122750.0,0.1769662921348314,,-24.0,,61929.97048039499,117561.2781105095,194129.0214634401,42812.58462522529,67418.42252519603,116951.58499160325,167325.54107552572,206322.5532237346,0.9793326300988132
23,2019-12-31,93000.0,0.1234567901234567,,-1.0,,62353.40572640512,117124.50220969056,194968.10744310924,43313.40547732331,67719.72928723747,117447.03449790349,168223.5148557762,207542.9574292919,0.9742679464942408
