,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,90000.0,0.1515151515151515,,-36.0,5000.0,42020.68312054342,96169.50225470672,187244.36321435389,28706.814501624933,33949.61425002685,95210.83247567288,191271.8186612276,254414.25374373328,0.972704581048344
1,2018-02-28,98000.0,0.1253985122210414,,-27.0,5000.0,41980.82523803664,94984.88355461606,187165.6930258006,28994.76639383204,33895.52271711663,94863.03864870477,191458.51553907315,254958.02821379263,0.980670877769338
2,2018-03-31,115500.0,0.1338912133891213,,,5000.0,41928.59524700732,95215.878559138,186978.2917368689,29218.53828201767,33773.748068179615,94679.31282920836,191286.32976480605,255203.89381409631,0.9920473995374152
3,2018-04-30,109900.0,0.1590909090909091,,-21.0,5000.0,41761.22050875758,96483.32003059458,186737.3011484479,29403.508792325243,33552.38414525295,94453.53822485251,190947.44778321584,255172.58296431915,0.984143124761462
4,2018-05-31,115000.0,0.1424242424242424,,-28.0,5000.0,41750.83911946382,97151.54350284665,186653.46801333944,29794.63059122082,33561.94268297873,94375.24250059309,190734.00386841592,255595.91896089783,0.9825442790356564
5,2018-06-30,129000.0,0.1570415400202634,,-13.0,5000.0,41602.48330565595,96602.63974679937,186581.3258902086,29935.90784920347,33509.24777039836,94066.2307589015,190811.92894212625,256052.02601521672,0.9823297173172476
6,2018-07-31,119500.0,0.1732925586136595,,4.0,5000.0,41572.98307050844,97538.63674045494,186854.3456094894,29998.40394038696,33523.240911133405,93774.80516894466,191323.535758182,257032.2854456282,0.9807508155060188
7,2018-08-31,134000.0,0.1568825910931174,,-1.0,5000.0,41626.10013075647,97465.92989716196,187212.1013694775,29803.185329910222,33589.77899691399,93561.45206313812,191968.64218989524,257899.6079201286,0.9819499313144546
8,2018-09-30,88100.0,0.1360174102285092,,-28.0,5000.0,41943.60893794448,97450.08243364602,187686.3309165959,29813.80265741327,33815.43505094098,93661.24942453712,192635.5563465205,258766.30131660705,0.9831639101873424
9,2018-10-31,102500.0,0.1521252796420581,,-32.0,5000.0,42176.31264855438,96975.31811820948,187601.25445032524,29552.40296067269,33929.2630313478,93715.1706117324,192691.53419693364,258758.489388863,0.978700157016836
10,2018-11-30,129500.0,0.124004550625711,,-32.0,5000.0,42399.46640709743,96645.87810202882,187746.5073643241,29385.386262089607,33999.94086457447,93890.02714932954,192902.9086706653,259160.5565922589,0.978262134672513
11,2018-12-31,125000.0,0.0922882427307206,,-31.0,5000.0,42712.63183736751,96266.9295454135,188201.45171682475,29311.312325876508,34158.84109426957,94123.12740158154,193431.3430859058,260162.7752757848,0.9803884681343248
12,2019-01-31,99000.0,0.151177199504337,,-24.0,4600.0,43007.905287399706,94797.0654102027,189036.76384110007,29643.65809414364,34448.71057495544,94035.47999006308,194401.8344974245,261343.4024212358,0.9706405845867906
13,2019-02-28,117000.0,0.1153358681875792,,-11.0,5000.0,43376.7797986525,95084.17608232448,190015.78699429808,30155.59356728601,34931.581648339656,94058.42454522656,195516.35162329688,262149.9201751453,0.9710354489378747
14,2019-03-31,120000.0,0.1416256157635468,,-5.0,5000.0,43915.296469927045,96266.15977344832,190865.76086397943,30874.694197469496,35680.345439168304,94178.50527009496,196359.4675155196,262417.45477704686,0.9774457453566422
15,2019-04-30,115000.0,0.1627620221948212,,-14.0,4900.0,44666.90202214389,97788.41559038006,191482.86246159792,31575.571535578583,36528.10937404975,94661.40498186609,196859.55863216272,262513.1872493347,0.974470311260543
16,2019-05-31,127500.0,0.1311881188118812,,-10.0,5000.0,45346.91163687362,98547.2304440055,191565.294720078,32248.95488949896,37235.75418248709,94865.70994882224,196815.46352416216,262065.8958750018,0.9820368953053662
17,2019-06-30,155000.0,0.1351351351351351,,-7.0,5000.0,45620.61151787982,99208.33246659908,191615.7568678652,32615.15949024905,37505.40240748759,94967.2842354514,196776.9038545864,261733.9322348213,0.9777221916709794
18,2019-07-31,125000.0,0.1662591687041564,,1.0,5000.0,45616.27954650554,99850.91300488652,191530.26447276413,32843.82314606863,37479.637882383,95009.49909703185,196633.15531246152,261236.25198829093,0.9841926377733988
19,2019-08-31,139500.0,0.1339066339066339,,5.0,5000.0,45302.38740076085,98912.3339992199,191453.5277318101,32674.5011187676,37110.61817971498,94896.94076125223,196556.85346016125,260946.5290586613,0.9795174381963252
20,2019-09-30,130000.0,0.137452711223203,,13.0,5000.0,45042.60747060936,98695.59803702052,191037.8766325033,32401.19583422612,36736.143179503946,94717.82286555375,196266.4919291958,260322.8240491912,0.9810194422621912
21,2019-10-31,128000.0,0.1350681536555142,,10.0,5000.0,44611.48774354516,97530.67981841174,190828.07365013263,31792.760763517417,36172.58377286839,94364.46834957396,196315.66368626343,260395.80310667967,0.9788067073303836
22,2019-11-30,115000.0,0.1243386243386243,,5.0,5000.0,44592.74181719968,97964.22465479645,191176.21716490827,31607.132608331096,35995.68263134293,94581.56634949164,196902.5792968969,261338.3448178549,0.9802288722633729
