,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,158000.0,0.1434127369956247,47.0,41.0,5000.0,117622.66650647226,182252.1745047067,316086.57975229854,81560.16798156966,113824.42114652442,166286.2960504714,263211.6002719811,377693.185884446,0.9763509998102358
1,2018-02-28,171000.0,0.1470442126179831,21.0,42.0,5100.0,118488.3865654937,182929.1782785036,317144.8817931412,82159.91069232857,114614.77129767356,167315.72848714484,264417.3015408507,378847.7725790317,0.9778427030294802
2,2018-03-31,172000.0,0.1546345811051693,13.0,46.0,5100.0,119589.66945856692,184787.9747188148,318444.8990220384,82933.77415036084,115668.048401415,168467.5826678325,265737.29189290944,380072.8535355543,0.974850149332516
3,2018-04-30,178000.0,0.1683736173699303,9.0,50.0,6700.0,120451.38549430625,186340.48420985768,319594.0855206931,83881.09419676325,116602.45834062171,169413.88148309986,266732.1260452329,381307.2023828693,0.976486950352823
4,2018-05-31,183575.0,0.1918077983458054,9.0,50.0,6000.0,121074.9169791442,187950.77883541828,320629.654798771,84906.38950291014,117325.24591601768,170106.0860022205,267556.4060286384,382518.3739071342,0.978215250090398
5,2018-06-30,189950.0,0.2182163187855787,12.0,46.0,6000.0,121299.64443018608,189066.56986617888,321145.76871966943,85653.37734269895,117646.3966645435,170477.34812417036,268011.74907026766,383340.4531144887,0.9783246673892104
6,2018-07-31,180000.0,0.2514792899408284,13.0,43.0,5100.0,121715.8130372271,190810.8737702442,321875.89707317884,86536.16998981127,118160.26741231814,171137.66160421548,268740.20573350246,384267.19463794975,0.9753888044591756
7,2018-08-31,176000.0,0.2659764369867904,16.0,42.0,5100.0,122283.91420893284,191443.02014743804,322727.16549814126,87208.82582738549,118850.89958411596,171990.57850975406,269691.74623927125,385374.4921471349,0.9711977092440988
8,2018-09-30,174450.0,0.2448301329394387,22.0,40.0,5000.0,122854.20469767472,191238.7303735641,323395.27200615086,87668.85841046786,119553.17370673864,172865.0466653672,270440.4113131814,386278.8178305219,0.971663660040162
9,2018-10-31,170000.0,0.2446415373244641,27.0,38.0,5100.0,123155.1115727849,190914.36397420705,323638.5346391816,87968.84216275062,120006.94886338065,173469.97677372012,270940.6597230562,386727.2728032738,0.970982872413202
