,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,152367.0,0.1472162740899357,,19.0,5100.0,81976.36934869016,141178.77848266836,236151.08597190783,73633.34282429655,79902.30558123016,144660.19256160015,220306.7891377628,289491.82837957004,0.9733426349931972
1,2018-02-28,142750.0,0.1504854368932038,,18.0,5000.0,82251.63682698738,140589.2495583385,236226.56024517235,74284.64601571178,80284.55425347097,145002.56467871543,220340.190126674,289740.362532532,0.978543049027122
2,2018-03-31,159950.0,0.1593059936908517,,21.0,5000.0,83019.28254814092,142671.79736605508,237186.4479816587,75417.90851520713,81053.77784726665,145654.64471274885,220831.38027276745,290868.06539805484,0.9839980130151168
3,2018-04-30,159900.0,0.1628630705394191,,26.0,5000.0,83885.21314109025,144757.65276580167,238497.78604519364,76854.91033646723,82008.7760860593,146519.44601805657,221758.70685838533,292542.23356301174,0.9865190339620912
4,2018-05-31,158000.0,0.1658938691396187,,29.0,5000.0,85075.34672799557,147800.74276523717,240850.56603619223,78737.12082381996,83364.11372595602,148104.29637532064,224075.33161191887,296096.0460721303,0.9854052511668918
5,2018-06-30,165000.0,0.1463168516649848,,27.0,5000.0,86139.15553787758,150422.80516668982,243470.7520836429,80538.806108145,84736.78537322594,150023.01428467932,227013.8549511264,300259.9699275893,0.9863438295371532
6,2018-07-31,169435.0,0.1627675460428073,,25.0,5000.0,87391.84431407273,153323.43083183825,246589.7991568776,82296.5588785789,86235.10942991072,152264.9180135066,230590.48520432503,305186.34799209936,0.9843218369515054
7,2018-08-31,155000.0,0.1939328277356446,,22.0,5000.0,88379.4823549831,154441.27751015054,249401.4790733667,83557.77352204575,87585.40538071537,154287.47625119574,233845.8457388364,309759.06820966845,0.9823433427454522
8,2018-09-30,149900.0,0.1722379603399433,,24.0,5000.0,89466.2967944566,156055.46825029282,251909.9146382956,85040.59763605015,89091.52638415643,156264.9229855504,236798.2622737926,313853.5311790392,0.9795694020488642
9,2018-10-31,157500.0,0.167824074074074,,25.0,5000.0,90230.6855091432,156665.41045726262,253849.9491856198,86290.03163311389,90425.6118086453,157842.48406585664,239311.58623801367,317466.3563135914,0.9795692760118432
10,2018-11-30,164000.0,0.1265899454875833,,27.0,5000.0,91106.9458381777,157543.3661922643,255684.5031505119,87647.55390235611,91722.72305211535,159556.52625271492,242018.55716916805,320967.98805301124,0.9780497594059948
11,2018-12-31,164000.0,0.0972938144329896,,26.0,4900.0,91633.03021263178,157145.66682626482,256983.65156443787,88534.09097660474,92640.68921814776,160800.9539739005,244185.16165995225,323572.05808081763,0.976273295121986
12,2019-01-31,162000.0,0.1687541199736321,,31.0,5000.0,91971.62724234432,155882.28718690036,257800.3991824061,88979.8814516014,93060.87000267356,161467.78522178615,245249.80874092795,324315.58232315094,0.9760850837931384
13,2019-02-28,168500.0,0.1431385423506237,,34.0,5000.0,92331.17015204184,155972.6125364125,258506.1734510465,89094.74034380166,93311.28288855113,161639.78304490013,245574.8403518797,324191.51989077707,0.9774794015220928
14,2019-03-31,156500.0,0.1434809731752963,,37.0,5000.0,93013.45226183283,157855.07807339536,259483.9483974256,89112.70261034252,93567.26081018324,161891.68315460187,245950.94834450065,323985.4315120455,0.9848571083788036
15,2019-04-30,176500.0,0.157396449704142,,34.0,5000.0,94029.02341951842,160074.4868684142,260923.52987508787,89311.40070644999,94125.72405400632,162593.34163156545,246912.6241377309,324683.96605757094,0.9822805315065912
16,2019-05-31,175000.0,0.1656013945380592,,32.0,5000.0,95240.89160654962,163225.41508318394,262734.8376130233,89817.82255733106,94921.13189955673,163626.3786266411,248232.98581580832,326112.25024890056,0.9850046317389652
17,2019-06-30,180000.0,0.1597261836851112,,30.0,5000.0,96500.8166739846,165728.96654757217,264663.3140141605,90322.6156579248,95811.19527038776,164697.42592833834,249436.1987498669,327597.73840860755,0.9837791684479714
18,2019-07-31,174700.0,0.161806746712407,,35.0,5000.0,97804.1194943417,168206.83700673797,266599.2531506982,91111.44779287174,96949.66920711966,165920.44759285596,250660.6990149956,328930.6773926401,0.9841930554370084
19,2019-08-31,174257.0,0.1724537037037037,,34.0,5000.0,98924.63233009649,169410.62474108767,268260.30121630843,91750.2750401448,97992.02679709192,167021.41818165802,251627.1115285471,329841.5399808159,0.9815931402809466
20,2019-09-30,150500.0,0.1668696711327649,,32.0,5000.0,99756.22499000689,169788.9638515157,269631.974033196,92413.5738961418,98916.340510035,167986.45617166706,252462.791493705,330809.52051676536,0.98242402909528
21,2019-10-31,165000.0,0.1719143576826196,,30.0,5000.0,100288.16460222016,169564.52752270253,270669.85613872024,92907.54901062744,99440.25986379036,168567.8560453311,253017.7554327552,331711.9178793507,0.9781202688915588
22,2019-11-30,173000.0,0.1325136612021858,,31.0,5000.0,100461.77289717838,168813.54935431876,271161.80008272413,93328.13408414832,99626.01587583746,168883.0268465796,253469.6371531633,332512.8262530536,0.981165585119377
23,2019-12-31,165604.0,0.1130434782608695,,35.0,5000.0,100521.45035436167,168134.73358827108,271300.3370464243,93810.77406215944,99762.80760081786,169103.26184664972,253907.9299943701,333169.180047344,0.981366314496152
