,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,155000.0,0.1725377426312005,45.0,42.0,5000.0,95975.1231020146,164685.30123758965,285175.1165992329,69315.05749873148,119243.10801806448,163941.34277303927,256458.36060172663,375896.6292352416,0.9763509998102358
1,2018-02-28,159950.0,0.1521438450899031,18.0,46.0,5000.0,97039.52557836732,166734.3954097515,286555.33134576335,70593.47104507375,120124.236319,165130.74819571592,257876.92827237284,377331.5777841338,0.9778427030294802
2,2018-03-31,157000.0,0.1716917922948073,12.0,50.0,5000.0,98804.32994250486,169493.51787312725,289145.55818922044,72382.81059957127,121584.93349817576,166873.72265632608,260150.0541851408,379998.5043504476,0.974850149332516
3,2018-04-30,164900.0,0.1925067273856344,11.0,54.0,5500.0,100478.74842906774,171800.79541928938,291608.9245291288,73842.58870750143,123000.4859406856,168494.78419382588,262265.0193149592,382774.5633058919,0.976486950352823
4,2018-05-31,170000.0,0.2267586735671842,9.0,65.0,6499.0,101663.85317283194,174130.59989565378,293532.6082146683,74666.80596147249,124082.92473354551,169764.14115025607,263975.6050630959,385242.9900606693,0.978215250090398
5,2018-06-30,175000.0,0.2247899159663865,15.0,81.0,6000.0,102456.27201916404,175832.34621390022,294750.4424008284,75094.90897920042,124843.29996362752,170705.29127041294,265160.41585934843,386984.68305255,0.9783246673892104
6,2018-07-31,180000.0,0.2480974124809741,15.0,96.0,6000.0,103292.00908581616,178071.84178175053,296096.81353694765,75651.3460651335,125658.08160260745,171758.3859565777,266474.2976623636,388718.17984320497,0.9753888044591756
7,2018-08-31,172000.0,0.2632025810833758,14.0,93.0,6000.0,104207.46573731054,178899.42531626363,297236.8238268725,76330.77990663123,126510.94868358668,172788.65542773638,267692.00088624004,390098.6723348803,0.9711977092440988
8,2018-09-30,163950.0,0.2481177275838466,18.0,75.0,5100.0,105139.2771051303,179403.2104499712,298160.9163346484,77032.07478838967,127375.1191736002,173764.83962604246,268696.0502513144,391107.6773398399,0.971663660040162
9,2018-10-31,169900.0,0.2649128686327078,20.0,57.0,5000.0,105905.66748745006,178819.58601624164,298626.2865730095,77578.68888366791,128114.78688158988,174489.5327751227,269351.28625966137,391493.9077069946,0.970982872413202
10,2018-11-30,168000.0,0.2233566183055705,26.0,50.0,5000.0,106797.01056913997,178768.3119906644,299212.35711167194,78099.14860555087,128913.38252464648,175288.96498161345,270041.84165500005,392047.0602067332,0.9693210213292974
11,2018-12-31,172500.0,0.1474476306691071,42.0,51.0,5000.0,107735.23003859184,178308.16511174064,300073.6743826165,78697.24300889549,129746.06532397104,176154.81113613138,270938.87319042766,393044.58590034914,0.9682436951143748
12,2019-01-31,165000.0,0.2165721231766612,38.0,53.0,5000.0,108863.8802520592,178760.52988678843,301355.38554058614,79697.58259208545,130753.20308816114,177128.3322250872,271869.8546499578,394014.8461679013,0.9677315016143484
13,2019-02-28,167350.0,0.1768085106382978,27.0,57.0,5000.0,110099.07047408742,180093.19299397522,302994.5565787979,81022.12696100684,131841.487035975,178106.36159357513,272916.64494972146,395003.6518816052,0.9699510272738036
14,2019-03-31,169000.0,0.1763558330081935,13.0,57.0,5100.0,111468.94138474992,182030.65934480008,304748.264600131,82596.91179191535,132957.41499634157,179083.29937212254,273918.88256326754,395677.8363997145,0.9711765108461904
15,2019-04-30,174256.0,0.2173996175908222,12.0,57.0,6500.0,112620.49258967872,184238.1889578868,306224.9092532957,83818.54091045402,133797.76062353214,179986.237584534,274845.4572518402,396233.7806521097,0.9743620544834588
16,2019-05-31,184200.0,0.2343294460641399,14.0,52.0,7000.0,113419.0884739147,186345.6012182361,307057.62400414405,84750.07170802871,134321.08528103647,180696.4911023405,275354.6284782424,396241.9988096666,0.9734236764423708
17,2019-06-30,190000.0,0.2424242424242424,13.0,49.0,6000.0,114043.4662979932,188192.39172946409,307675.033040138,85511.33323369952,134753.77077549556,181341.38480987828,275765.3840151387,396173.3051493249,0.9707296058957726
18,2019-07-31,189900.0,0.2748815165876777,14.0,48.0,5500.0,114517.12260487973,189358.0502468125,308146.1229618178,86057.08517272044,135135.04823953498,181874.2436223213,276151.36047822674,396132.1428921826,0.9748973484477949
19,2019-08-31,183250.0,0.289432037981361,17.0,47.0,5100.0,114931.72210985544,189814.3145913256,308706.05507982423,86368.98856561167,135522.530107324,182435.2844737209,276719.7431123533,396409.6140699231,0.9738900870754064
20,2019-09-30,179700.0,0.2908180876769071,17.0,43.0,5000.0,115102.3613042563,189812.74086779347,309074.9379169793,86316.47241058023,135715.11791020606,182880.1603508221,277324.58759580035,396804.2856031642,0.9736766627027368
21,2019-10-31,180000.0,0.2899621863183224,20.0,41.0,5000.0,115523.01652791577,190108.32111169392,309923.8629284208,86429.05448651493,136144.23902250963,183622.7733888988,278371.8312862637,397864.32380078593,0.975160702545824
22,2019-11-30,173000.0,0.2398017537171178,21.0,40.0,5000.0,116312.26810706271,190287.5214219612,311088.10944664973,86933.6687381009,136852.09528420618,184590.81196599943,279702.4225719851,399167.66489937017,0.9694082520931898
23,2019-12-31,175000.0,0.1729948326218827,39.0,43.0,5000.0,117361.4037111951,189791.15092305213,312549.8435344678,87742.62386285262,137798.75675223162,185740.19474617057,281260.6421768536,400882.645979234,0.9703496804978492
24,2020-01-31,170000.0,0.2290748898678414,38.0,48.0,5000.0,118537.22745920868,189775.78208989027,313708.3018154612,89098.13876317466,138917.0125667313,186688.299891068,282369.57927459833,401995.06128458114,0.9712806646073951
25,2020-02-29,175000.0,0.2333488588728458,16.0,54.0,5000.0,119566.06901024874,190113.77780887284,314648.2991970251,90074.17717623264,139853.5308175996,187504.1935098529,283319.0729678275,403201.35559325246,0.9753067919126044
