,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,72000.0,0.1122807017543859,,-10.0,,33017.22926764867,77308.2301907513,147416.75293685342,,39251.34675681836,78500.85844811548,123367.90481138443,,0.97409306537226
1,2018-02-28,81000.0,0.0932835820895522,,-16.0,,33418.41176516308,76790.55212702719,148005.59936621785,,39768.35160196384,79191.42771447079,124188.4425788598,,0.9755744991882044
2,2018-03-31,85000.0,0.1131386861313868,,-3.0,,34065.20138255818,77874.90964102949,149280.35191235083,,40578.286583009656,80360.72368833142,125780.4380589631,,0.9801018425801756
3,2018-04-30,80000.0,0.0674846625766871,,9.0,,34665.23637847004,78966.68913374978,150504.83982313145,,41258.13772696464,81487.7808411244,127336.95309970812,,0.9823051032609552
4,2018-05-31,91000.0,0.1265822784810126,,6.0,,34907.149059954434,79501.42160943324,151413.38472386438,,41489.947184805824,82007.76882590819,128443.07626106768,,0.983746725399988
5,2018-06-30,80500.0,0.1335403726708074,,-5.0,,34912.89927605923,80747.89543529124,151893.4673405201,,41403.52541220397,82036.7740934423,128995.9926501588,,0.9831226563632424
6,2018-07-31,80000.0,0.1506410256410256,,-2.0,,35223.0582712457,83436.93431063434,152875.69817690997,,41616.00728147083,82466.57883805998,129891.6798493538,,0.9827777087509016
7,2018-08-31,99500.0,0.1143790849673202,,-1.0,,35590.90313509555,82764.45756622838,154065.40043188,,41909.36111186947,83083.08539900754,130951.28838175412,,0.9812258908289953
8,2018-09-30,112250.0,0.053763440860215,,-8.0,,36007.477970455184,83360.92558938604,155479.27751177925,,42209.4852609472,83858.89583015493,132217.4295606164,,0.9826896476257552
9,2018-10-31,83000.0,0.1620689655172413,,-8.0,,35988.62308349364,82881.91249947505,155989.09334494054,,42049.13568072399,83845.21386525648,132649.17863470185,,0.980449910424771
10,2018-11-30,92000.0,0.1127272727272727,,-7.0,,36300.27855068279,83763.40517785508,156816.33656105085,,42236.17304085707,84367.95426992241,133518.59405152654,,0.978687248663186
11,2018-12-31,75000.0,0.1067193675889328,,3.0,,36652.779384817455,84278.06012976517,157350.06031103237,,42482.77182884614,84846.86984671028,134143.3776726297,,0.9794681725314948
12,2019-01-31,67500.0,0.1245283018867924,,11.0,,37128.9018582143,83250.18418453552,157863.53258099468,,42918.92041079031,85261.12649866176,134750.06270202817,,0.9755257512263452
13,2019-02-28,86000.0,0.10727969348659,,20.0,,37506.50756077724,81897.83154545263,157926.5595031375,30526.39172626816,43343.72023007035,85292.1230271628,134996.10029914867,163881.72489688674,0.9776396097162888
14,2019-03-31,82250.0,0.1075697211155378,,19.0,,37829.49769399218,81372.74538052133,157858.58871451934,30587.9059206921,43739.42942037637,85150.11993615345,135155.3946402352,163855.06186221098,0.979899488097995
15,2019-04-30,63500.0,0.1485943775100401,,17.0,,38010.66549945008,81749.80374139092,158069.2253053938,30516.90861073133,43949.96590263358,85218.8079565738,135585.71133595394,163821.25248020532,0.9824159888819136
16,2019-05-31,90000.0,0.1198501872659176,,12.0,,37960.77647720668,82181.11737439316,158002.4490138422,30407.16361907606,43827.67722448853,84947.34726140475,135571.70695944462,163579.32864695275,0.9853375781847252
17,2019-06-30,83000.0,0.10727969348659,,12.0,,37632.41640043151,82472.54073844555,157979.76408409962,30175.925545055,43428.59333358368,84453.29389613232,135552.0307164333,163637.010700249,0.9861548243806052
18,2019-07-31,67500.0,0.1287878787878787,,17.0,,37371.77220404906,83590.09178699632,158060.74579054432,30023.536628595823,43134.20395303987,84069.0114466934,135627.5400857931,163859.45074919114,0.9847267903033672
19,2019-08-31,94000.0,0.1312056737588652,,18.0,,37490.782279737534,84929.88811093403,158570.80661207717,30167.25345151193,43249.55408449776,84416.3519065384,136303.3884817506,164857.32682120448,0.984178272669644
20,2019-09-30,79000.0,0.1529850746268656,,11.0,,37796.60898608656,84837.27643081703,158792.31715181592,30392.442021365485,43572.36692562424,84942.3641659087,136786.41082791417,165587.5481064221,0.9825248605156542
