,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,259500.0,0.1657355679702048,63.0,46.0,,175969.15334586427,253260.6730414166,377876.4335911432,149919.88403930198,170451.60720581483,242843.1546478556,298327.5131450679,343708.5445529694,0.9952317035182582
1,2018-02-28,240000.0,0.1261425959780621,52.0,47.0,,177997.6774402101,254215.674991663,380596.9506643655,151569.60025424493,172321.23988387617,245112.4178443304,300648.8280606729,345985.5847513633,0.9974034559419712
2,2018-03-31,254000.0,0.1155698234349919,19.0,49.0,,179830.35620313825,256664.5863159345,383547.08180370455,153357.813678851,174033.14106629018,247093.561673042,302716.3760305657,348384.3041187493,1.000017224617332
3,2018-04-30,237500.0,0.1622464898595944,26.0,51.0,,181108.75765532465,258863.6663465702,385996.78052783647,154846.1628015955,175297.08043280663,248481.06854819,304180.3499491234,350435.9090827154,1.000997576730447
4,2018-05-31,252500.0,0.1974110032362459,20.0,50.0,,182409.62592794184,262101.2901492356,388701.164662349,156640.24059974533,176628.00350798992,249985.27197819256,305867.56974990945,352957.5777642921,0.999937254290932
5,2018-06-30,252500.0,0.172573189522342,40.0,50.0,,183314.75683268,264157.37985873735,390697.8006032277,157499.47860996035,177462.5194443862,251190.15369706487,307158.89390140004,354808.3524991196,1.0005397766505506
6,2018-07-31,250000.0,0.2114285714285714,32.0,49.0,,184492.28412216945,266885.3791309767,392972.8071125432,158291.94674755094,178435.67735230536,252637.93596300084,308673.9775098844,356617.7094540365,0.9978586747443356
7,2018-08-31,254000.0,0.1930555555555555,43.0,45.0,,185383.56399920047,268040.9458770256,394352.2445227338,158827.25908127584,179278.70911466947,253652.44116102628,309713.4326024946,357700.35355158715,0.9957346824685688
8,2018-09-30,267500.0,0.1958762886597938,60.0,42.0,,186403.40245926843,268160.0257751229,395338.7791938035,160255.72855828246,180544.0138553549,254511.66983379,310697.4187506284,358805.57405492413,0.992991081249572
9,2018-10-31,249450.0,0.2244318181818181,42.0,41.0,,187331.72930711025,267710.0190846358,395884.95617600327,161632.59659074782,181866.4046419171,255266.0107120423,311584.1409691751,359853.54317218746,0.989870188012509
10,2018-11-30,260000.0,0.1689497716894977,41.0,42.0,,188609.4829901612,266852.6297578474,396938.1304905319,163179.17717766107,183378.8513198667,256316.2659805836,312665.7766314479,361178.82629986975,0.9895963862226476
11,2018-12-31,259250.0,0.126418152350081,74.0,44.0,,189971.27039271969,266374.5795170578,398156.21714699344,164516.89148443766,184807.824965551,257563.9745464774,313797.380463174,362337.9870735793,0.9883132251141684
12,2019-01-31,259000.0,0.1700787401574803,79.0,47.0,,191658.55602329844,267125.0891439114,399355.6066438367,165864.3146994505,186349.08580642447,258875.6106929212,315014.3486381133,363902.05924597854,0.988744039414998
13,2019-02-28,250000.0,0.119309262166405,39.0,49.0,,193342.15283205407,268585.0479152505,400738.5988701218,166295.99134316322,187503.33964623904,260341.2616466653,316552.8698567175,365957.7109570888,0.9878372262982036
14,2019-03-31,252500.0,0.172573189522342,54.0,50.0,,195114.3381655137,271238.1778194475,402808.37516588514,166378.74528596245,188457.8398559788,262074.41015691785,318520.9102511814,368870.3688552844,0.9908190103006248
15,2019-04-30,265000.0,0.1635036496350365,34.0,49.0,,196286.0429292148,273097.42867137346,404516.5662687102,166229.514407678,188997.272653692,263454.6844962049,320015.8763026371,370962.9768794766,0.9940540583743348
16,2019-05-31,271500.0,0.175108538350217,29.0,49.0,,197098.86828178624,274925.7192534888,405572.2252242144,166621.10748464116,189625.4974037631,264288.0130774683,320801.41740493267,372164.8330915281,0.9957654633869428
17,2019-06-30,280000.0,0.1766423357664233,33.0,49.0,,197794.53532102425,277141.3907808453,405844.1557142042,167234.16434485323,190328.8799571704,264742.4452494649,321038.45475255995,372706.30787777744,0.9954805287700657
18,2019-07-31,282500.0,0.2155425219941349,43.0,50.0,,198497.47429868765,278401.41339542525,406032.3257411979,167665.8887547629,190979.30402211155,265130.8131192248,321221.49736977246,373351.9537198424,0.9945398725995772
19,2019-08-31,260750.0,0.2148876404494382,32.0,50.0,,199505.75719182115,279975.5822349266,406648.63054712507,168144.1973270781,191777.46661179024,265921.5356881025,321755.2776340792,374460.79939516255,0.9928740682186928
20,2019-09-30,260000.0,0.1943661971830985,26.0,49.0,,200511.9428095496,280796.5619268032,407541.6705273748,168487.69552344116,192623.83705665983,266839.5176438885,322548.4069963678,375792.8923879712,0.992417203684879
21,2019-10-31,275000.0,0.1729323308270676,42.0,47.0,,202070.09835289573,281467.7093211265,409402.8137911271,169462.51571026017,194165.3692732023,268370.6533307401,324128.4840046927,378007.09363104985,0.992824816931412
22,2019-11-30,285000.0,0.162754303599374,46.0,46.0,,203919.09041626504,282435.6985007202,411900.17682799074,170656.0194744213,196047.8707315639,270335.644308787,326329.21835627354,380868.7569315483,0.9915196335938696
23,2019-12-31,269000.0,0.0897009966777408,65.0,46.0,,205856.60619565324,282683.0084347353,414577.8546916692,171938.76695689815,197949.47337143248,272465.31315864326,328765.5530759126,383933.4792587033,0.9903483170574674
24,2020-01-31,320000.0,0.1617900172117039,60.0,47.0,,207829.9379777826,282998.50095269684,416343.9367193545,174380.0008994864,200782.454765165,274365.5505940451,330328.1226550068,385431.3524268093,0.9883007975237712
25,2020-02-29,275000.0,0.1930116472545757,58.0,50.0,,209725.33982863728,283525.7089222481,416999.0658568721,177738.05548321633,204437.9496655962,275733.0915537061,330807.0918565197,385260.9523602919,0.9934234670305198
26,2020-03-31,280000.0,0.1365079365079365,22.0,53.0,,211668.829352573,285265.5570913447,416827.51505951845,181684.264282775,208696.80842562512,276919.13704445184,330619.5328907725,384035.1916971482,0.9962847210738652
27,2020-04-30,289750.0,0.1129032258064516,48.0,58.0,,213401.5557137637,287847.3339888046,416671.6933793966,185002.921326058,212110.07566254048,278021.31972062745,330668.0779913698,383195.74473040417,0.9969357672235736
28,2020-05-31,279500.0,0.1486928104575163,37.0,63.0,,214284.11257135723,287807.3634364664,415762.4468070255,186990.86753902657,214005.3282998775,278289.525601266,330104.5279271755,382046.5361592972,0.9923416943855892
29,2020-06-30,290000.0,0.1386861313868613,31.0,70.0,,214795.686551198,289833.33847087587,415108.95900085353,188311.52619366505,215092.33293070827,278349.90906006045,329746.182329539,381254.025342064,0.9945075980894492
30,2020-07-31,309000.0,0.1504761904761904,23.0,73.0,,215969.00373414104,293983.017836129,415435.2713977824,190106.7179242346,216647.34985419924,279008.998976511,330047.07852577616,381516.2096312268,0.997118925462564
31,2020-08-31,325000.0,0.1361702127659574,13.0,73.0,,218079.91196929067,297980.9318551367,418472.78569985606,190904.24019607992,217593.5182687291,281215.3025562722,332981.55890602537,385400.9909258147,0.9971542359638988
32,2020-09-30,316500.0,0.1327014218009478,17.0,65.0,,221176.5235659854,303716.7228072729,424594.3758873599,191652.4944922948,218476.1212762471,284998.56038877467,338286.60393328924,392713.1435636682,0.9995689953938796
33,2020-10-31,298500.0,0.1188340807174887,11.0,62.0,,224485.29797944057,308720.6940410624,432681.93290753104,191582.54744879648,218774.7918182285,289775.3963372874,345455.8934209371,402573.52921899385,1.0002029661328375
34,2020-11-30,310000.0,0.0913838120104438,14.0,62.0,,228748.48662012312,313767.34562848264,441817.8689942116,193663.91533586223,220947.8459665412,295523.1543853712,353252.4231247327,412996.3292307987,1.0015870262461646
35,2020-12-31,320000.0,0.0901408450704225,16.0,69.0,,233056.918332829,316961.215089712,449943.6043140036,196079.0484461914,223776.6962181936,301059.7964079234,360432.25741961226,422571.8564097213,0.9999138060576174
36,2021-01-31,322500.0,0.0830945558739255,15.0,76.0,,236804.7031416096,319002.3029817226,456496.51551671774,197953.6307212285,226293.71965757463,305612.7676321177,366349.565259736,430688.84641869785,0.9998559608972172
37,2021-02-28,348140.0,0.07,11.0,82.0,,239929.0874851883,323310.80951017723,462646.0741126957,199593.3912495032,228509.36903553733,309697.76821641275,371796.14889239456,438008.2328773509,1.003963293779924
38,2021-03-31,350000.0,0.0847457627118644,10.0,88.0,12500.0,243086.4681768705,329838.7843809463,469332.5239649049,202044.2798654895,231003.6553740484,314054.9454324112,377657.7591789288,445583.67421644,1.0093539544073862
39,2021-04-30,355500.0,0.0861111111111111,9.0,91.0,,246822.8830893236,338113.5774914955,477895.3611000828,205750.6912733332,234304.8114351616,319578.7411004147,384637.5790630801,454111.45751794375,1.0167970660203949
40,2021-05-31,360000.0,0.099502487562189,10.0,88.0,,251044.07660028955,346098.6966729031,487293.8952436414,210184.50395626752,238138.7881611712,325648.5911849745,392078.4237532318,463558.8020751961,1.022063450913239
41,2021-06-30,340000.0,0.1397058823529411,11.0,77.0,20000.0,255622.68867538768,354250.65423460945,497185.9046294008,214863.7024456248,242328.4520915219,332118.8543962047,399846.1982855408,473265.0506853484,1.0230763810340968
42,2021-07-31,362000.0,0.1150442477876106,12.0,73.0,20000.0,259329.41080356823,359303.21336223773,505510.4201807448,218380.7092991713,245760.02453579745,337821.18943047925,406975.5358189409,482210.3524497256,1.021563551744685
43,2021-08-31,360000.0,0.183066361556064,14.0,70.0,15000.0,261847.75770836044,362344.7758444543,511744.2175608867,220462.08443075325,248316.63793706617,342432.0035543764,413165.2230112884,489606.35352423374,1.0142543280618646
44,2021-09-30,357500.0,0.1560693641618497,20.0,67.0,20000.0,263718.03024863667,365598.5063439187,516390.7798920407,221682.6007286784,250584.07437799507,346030.68573614204,418359.49573218566,495880.7734850263,1.0105488509353708
45,2021-10-31,377500.0,0.1540130151843818,14.0,62.0,13600.0,266411.1479263738,369279.6617400238,521473.44937436,223935.56648282649,253878.20765859445,349954.43234504486,423726.283042365,502349.7665962245,1.0067516624959478
46,2021-11-30,392500.0,0.109375,11.0,62.0,20000.0,270096.3373391254,372617.025951009,527353.9407534208,227183.37601498872,257949.80261303493,354496.90270451707,429362.56043791206,509053.7837525489,1.0060651537329235
47,2021-12-31,365000.0,0.0777479892761394,25.0,69.0,24450.0,273507.56099791825,373776.10685844073,532774.1649499617,229776.87498384577,261495.98427406405,358975.7780198267,434663.39268374833,515059.2013995152,1.0076776776512646
48,2022-01-31,355250.0,0.1061007957559681,14.0,78.0,14750.0,277618.81166389893,377904.7975160359,538207.7925778058,231645.0396493262,264782.174574761,363458.181990665,439892.71849597455,521136.7128126874,1.005320569169617
49,2022-02-28,380000.0,0.1074380165289256,13.0,84.0,15000.0,282422.78812853544,383760.2014713055,544204.3431608035,232857.5698480521,268051.624968357,368348.0676820335,445670.2313097023,527898.7738346561,1.0153250036157908
50,2022-03-31,400000.0,0.1280193236714976,11.0,82.0,15000.0,288381.7824937243,391808.042631516,551937.4254794029,234825.0083619084,272018.75992723554,374313.54263554304,452735.5650936042,536285.441618506,1.024437495264211
51,2022-04-30,386000.0,0.1246882793017456,10.0,76.0,14600.0,293655.0574723508,399473.2519061961,560047.8672423717,237027.0802978761,275799.427423946,380462.1928376874,459891.5897414436,544634.2681580964,1.025163692906249
52,2022-05-31,400000.0,0.1730337078651685,10.0,66.0,15000.0,297829.1411818827,404395.1900928143,567052.68353887,238784.0773745005,279028.7139712916,385629.1836679207,465962.759433538,551964.6541254037,1.0211234476657798
53,2022-06-30,400000.0,0.2124463519313304,16.0,61.0,15900.0,301053.409067805,408362.30186225474,572112.4420203475,239972.46131389044,281544.3307441068,389479.638111381,470325.69242885214,557251.8485764462,1.0074016399533583
54,2022-07-31,422500.0,0.2105263157894736,15.0,59.0,15000.0,303377.4934254358,409052.991871628,573964.6878083018,240139.3135454525,283258.4865811185,391586.44966268976,472417.6223550424,559576.6107464518,0.9996366927165348
55,2022-08-31,387000.0,0.2336283185840708,16.0,55.0,16000.0,304400.7033739798,405127.7685410861,572433.304524893,240047.1047184359,283937.7328106382,391701.0461586407,471736.4081317792,558135.3576664341,0.9959741696159206
56,2022-09-30,385750.0,0.2690909090909091,25.0,51.0,15000.0,304671.0472031156,401700.3058017928,568151.9404708956,239659.16900555755,284354.44295175216,390293.21873504046,468779.8354161957,553620.4915544965,0.9936211908610276
