,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,189900.0,0.1384083044982699,,14.0,,132575.03154187655,198749.8634061973,313464.3454062292,107046.30893992436,157857.1401995968,183141.18515862268,230831.28927387777,287087.509421126,0.979738452763688
1,2018-02-28,169950.0,0.132258064516129,,32.0,,133269.45606244577,198148.1307537967,313929.5414242898,107457.0565358844,158417.4292453894,183638.5320832992,231382.3710869505,287751.7527233329,0.9875815000141244
2,2018-03-31,182000.0,0.1463414634146341,,47.0,,134204.57097598832,199934.2732752144,315095.05980450107,108279.913032723,159218.98393046387,184426.0899151961,232313.460859758,289026.74258927075,0.9952087041024772
3,2018-04-30,173000.0,0.14321608040201,,45.0,,135011.09917507457,202507.8772258318,316547.1604050785,109181.76642162108,159980.37511057724,185300.05364334385,233365.46010584835,290568.8646052524,0.9933935692814856
4,2018-05-31,174700.0,0.208955223880597,,44.0,,135667.5077334748,205884.2279005976,318317.97296774416,109801.09662461944,160765.2036268576,186295.86433936944,234610.05899816705,292416.0737992631,0.9953448360497124
5,2018-06-30,184000.0,0.1452631578947368,,43.0,,135938.74367008088,208142.2897061128,319412.7229459198,109773.22503215336,161296.67386897872,187039.37515129824,235484.33137606017,293593.6708915004,0.9974063866736254
6,2018-07-31,189000.0,0.2043956043956044,,43.0,,136306.42230853837,211613.41583987,320357.7274360521,109716.90567949536,162047.95922125014,187933.7625078135,236485.99691648936,294694.4195414285,0.9989278055754108
7,2018-08-31,201750.0,0.2130801687763713,,40.0,,136788.37085827938,212817.2049734085,321291.4556685271,109949.56658511068,162817.8710482438,188743.38477605965,237424.3971170974,295801.14863691694,0.9930182329775612
8,2018-09-30,192800.0,0.251063829787234,,37.0,,137301.27618471082,212872.0084185586,322468.21186988073,110479.15645444403,163556.3048210896,189491.73313297963,238422.70626500528,297188.52501260507,0.9929206175950394
9,2018-10-31,170000.0,0.2472647702407002,,27.0,,137535.0223059555,211403.0508010825,323228.362505955,110837.31689579086,163922.06743495603,189770.322125338,238976.2739343486,298187.8462923539,0.9942220726712016
10,2018-11-30,166000.0,0.1536585365853658,,19.0,,137836.53476220774,210469.95329969143,323888.2282457066,111285.00846214883,164325.6515255634,190077.5043279793,239508.5978704228,299012.44180233934,0.9897232608073342
