,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,142750.0,0.1375545851528384,81.0,34.0,6000.0,56875.9072697625,104563.79618373491,177960.93098780708,41563.32715410791,57584.657389917615,107821.62484704152,183196.8684821957,267255.17459285044,0.9733426349931972
1,2018-02-28,139000.0,0.1283753873395307,102.0,33.0,5000.0,57393.952407031495,104441.15347961608,178773.67214815645,41968.79381468402,58079.48885572497,108487.02135022606,183991.82081285943,268020.45736289903,0.978543049027122
2,2018-03-31,131488.0,0.1319561551433389,65.0,34.0,5000.0,57940.14684240619,105925.36960218384,179475.97970081444,42292.23055123613,58545.49067904411,109122.52086840537,184662.8661753036,268644.2169928779,0.9839980130151168
3,2018-04-30,134106.0,0.1353989813242784,54.0,37.0,5100.0,58430.67897237042,107269.59734546806,180119.74531141296,42608.7904686037,58992.90820584786,109747.7937213172,185228.9623210345,269206.58731010853,0.9865190339620912
4,2018-05-31,139250.0,0.1486658195679796,65.0,39.0,6000.0,58888.15292777424,108722.32268332668,180803.19909692384,42878.46167680551,59392.851780770696,110502.7362705142,185750.81249287547,269735.0106921546,0.9854052511668918
5,2018-06-30,131500.0,0.1510327022375215,69.0,37.0,5400.0,59167.66663411169,109592.0841589048,181246.7740930793,42972.525284907526,59667.455866231125,111150.2942314816,186046.95630088588,270056.6478945874,0.9863438295371532
6,2018-07-31,150000.0,0.135909683022145,58.0,37.0,5100.0,59501.96623185533,110167.04109242524,181786.5344702826,43095.786480381765,59966.12774165722,111703.1001270366,186559.93653558768,270789.84730522474,0.9843218369515054
7,2018-08-31,145000.0,0.13883217639853,51.0,37.0,5001.0,59811.85385461769,110357.3178678345,182096.60256413385,43244.550997324935,60339.64573000655,111995.27138684236,187001.94619749315,271683.4995029999,0.9823433427454522
8,2018-09-30,140040.0,0.1331679073614557,36.0,35.0,6000.0,60290.24864796356,110794.81001640006,182408.082207946,43536.89903824829,60857.5854175324,112258.26949970884,187500.05379420376,272587.9299779516,0.9795694020488642
9,2018-10-31,146718.0,0.1493610223642172,55.0,32.0,5500.0,60564.41655543216,109863.6382095318,182406.7584300862,43634.95917594184,61097.39638114315,112346.76030364548,187702.2419981465,272965.5108038839,0.9795692760118432
10,2018-11-30,137203.0,0.1289795918367346,86.0,32.0,5100.0,60829.59572445595,109702.2851888407,182619.09139891752,43795.16965677229,61296.62422865725,112575.97562029584,187950.87788614817,273034.2605119287,0.9780497594059948
11,2018-12-31,141000.0,0.0800508259212198,86.0,33.0,5000.0,60955.7997030424,109574.87570705128,182933.221911718,44065.32975542479,61442.83788957368,112745.06199831524,188251.6956646695,273139.0197396036,0.976273295121986
12,2019-01-31,143866.0,0.1148416634872186,126.0,35.0,6000.0,60840.5201801155,107915.91179769913,183391.41948198687,44423.03360983383,61307.2136676491,112663.2010308634,188834.76253405595,273879.61036341585,0.9760850837931384
13,2019-02-28,144200.0,0.1475903614457831,90.0,36.0,5100.0,60534.10705801091,107520.74156546112,183954.62295722603,44648.01878917965,60799.412807369285,112524.47828813508,189695.53521217103,275343.4082484695,0.9774794015220928
14,2019-03-31,146000.0,0.1320045129748025,80.0,38.0,6000.0,60312.51489894142,109121.9650549767,184820.40735378207,44724.92820423809,60189.981060309285,112623.57847967508,190984.7575415175,277340.354627988,0.9848571083788036
15,2019-04-30,145000.0,0.1240903868249712,90.0,37.0,7000.0,60613.03910949753,110814.01020104234,185810.2488526906,44917.252704474005,60178.9394101013,113294.53512981144,192222.6677450987,279027.231588153,0.9822805315065912
16,2019-05-31,148650.0,0.1589584143023707,91.0,36.0,5000.0,61317.40665866988,112645.36633562994,186593.7558731043,45271.35823723625,60664.33845374398,114189.92244648364,193096.67633205047,279679.0068805861,0.9850046317389652
17,2019-06-30,155000.0,0.1251968503937008,77.0,36.0,6000.0,62132.53710514563,114421.50104034886,187195.12609243268,45694.34811835591,61343.7379896529,115160.97204636496,193604.2571545435,279901.9632632534,0.9837791684479714
18,2019-07-31,157100.0,0.1458417034953796,89.0,38.0,6900.0,62923.99782633904,115580.57319791336,187765.1109556564,46076.07154929938,62031.1306248056,116157.5496819832,194034.52861105665,279919.7876376098,0.9841930554370084
19,2019-08-31,150725.0,0.1631493506493506,99.0,39.0,6000.0,63335.93397923264,115604.9527771433,188408.5737113928,46222.96823570016,62339.74534863935,116915.86530052168,194645.8086897923,280546.2205159844,0.9815931402809466
20,2019-09-30,143731.0,0.1392197125256673,89.0,38.0,7500.0,63658.0428147777,116144.7923301556,188944.0780010526,46338.76985601616,62600.73072390061,117449.44791821064,195267.87714733844,281269.1000452926,0.98242402909528
21,2019-10-31,155100.0,0.1473941368078176,90.0,37.0,6000.0,64001.82215105542,116323.9394906151,189643.57735815845,46574.157569518,62874.76263539647,117987.07917120733,196116.6800415446,282446.07553980313,0.9781202688915588
22,2019-11-30,154900.0,0.1274179983179142,68.0,37.0,6000.0,64548.075643100274,116442.65134188769,190477.52046984865,46975.75384188542,63364.35619813993,118697.81885895478,197065.6961654492,283770.3769652324,0.981165585119377
23,2019-12-31,148500.0,0.103844454264251,90.0,39.0,7000.0,65241.424710154206,116927.75934636008,191290.16061190443,47526.236825723776,63962.00236466812,119426.95985381516,197926.803077268,284968.40629278985,0.981366314496152
24,2020-01-31,150000.0,0.1331923890063425,90.0,42.0,6000.0,65883.01640762755,116755.36079127873,191880.5339217486,47955.61714772761,64507.26459164525,120021.17900017176,198566.9841009949,286003.6719411598,0.9763314715539836
25,2020-02-29,159000.0,0.1850533807829181,76.0,43.0,6000.0,66761.12307479353,117578.31331356418,192574.4547690578,48583.81738900671,65280.58386354949,120782.79990985108,199258.07466606647,287007.96278990165,0.9770995907904444
26,2020-03-31,158000.0,0.1311881188118812,53.0,43.0,6000.0,67645.4795258765,119106.63292179964,193361.35519329805,49201.45609905299,66082.78273068061,121622.16210136912,200006.72953553053,287893.3791337222,0.9849714050187698
27,2020-04-30,155000.0,0.0802690582959641,65.0,46.0,5900.0,68600.5275178413,120571.97545160644,194124.33365097,49949.64732446525,66972.04597923794,122462.07910564216,200692.4190202702,288291.06996548973,0.986718921002108
28,2020-05-31,165000.0,0.1175446234218546,70.0,50.0,5100.0,69189.29566491989,121744.9484552328,194506.76562353104,50335.06342514753,67470.87438960293,122997.20200717558,201003.7500740172,288227.68921536003,0.985630545786048
29,2020-06-30,170925.0,0.1264031234748658,54.0,51.0,6000.0,69515.0762679106,123170.12580007226,194976.5746003903,50399.77602540007,67634.56386597159,123558.3214574571,201483.23348286064,288295.1626625489,0.9876110542012276
30,2020-07-31,172500.0,0.1006925945657964,47.0,52.0,5100.0,70070.60211655781,125096.95878309757,195894.61208618505,50580.57292397899,67966.37779409764,124453.07542052174,202437.6226682846,289334.53945856635,0.988213479130257
31,2020-08-31,175277.0,0.1194029850746268,40.0,53.0,6000.0,71195.74085281084,126841.2078867632,197526.4544805828,51176.12801636125,68883.63526970649,125815.49339509995,204146.0742612261,291644.72103561764,0.9862083957927558
32,2020-09-30,176000.0,0.1060419235511714,28.0,53.0,7000.0,72895.14193107051,128676.54852503464,199524.0301167283,52328.68662111501,70449.79858025607,127434.29947147348,206214.3321748131,295042.54384469497,0.9894959613693082
33,2020-10-31,164512.0,0.1105651105651105,26.0,52.0,5999.0,74777.23525477748,130057.46072090064,201799.15593488305,53535.339565416136,72206.03820510629,129286.70168411662,208650.444023444,298955.41567071585,0.9881305251641882
34,2020-11-30,169000.0,0.1130543410368519,22.0,50.0,7000.0,76762.79005742098,132040.49202275494,204384.53889386644,54831.446576390765,74039.55080972468,131446.9809892458,211473.51735840648,303131.7947326793,0.986735841676162
35,2020-12-31,176500.0,0.1107574793125397,34.0,52.0,6000.0,78544.06688860204,133424.1692172336,207121.9522932972,56053.45430349634,75717.11679961451,133620.3554393125,214527.50003977225,307389.8963024994,0.9873983037837888
36,2021-01-31,170000.0,0.121861604409063,34.0,53.0,6000.0,79992.33147466985,134260.926932281,209718.0793332154,57054.63959577736,77058.75146483946,135620.76619249425,217403.1954138433,311586.3049385817,0.9859453026741822
