,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,122683.0,0.1352112676056338,52.0,31.0,,79026.14083477354,138283.9999106901,249465.46305325173,82517.19712340871,96711.1327946578,141772.09016805343,193068.3433362681,261376.8389306344,0.9735592219342498
1,2018-02-28,136514.0,0.1011235955056179,29.0,31.0,,79637.85482374682,138181.14008082586,249868.65773418368,82723.52210844756,97189.51767404415,142330.49144260582,193622.8048655924,261936.41909491373,0.975966688038783
2,2018-03-31,141900.0,0.1467661691542288,17.0,38.0,,80191.0808035045,139031.69069160777,250420.9859579844,82877.99063769728,97651.88736894104,142929.80345282223,194261.8098169316,262622.2355531047,0.9796139779105558
3,2018-04-30,133950.0,0.1683168316831683,15.0,49.0,,80928.79989556975,140974.03282880108,251700.39639762204,83175.15218347243,98259.5140342281,143793.56453596722,195363.5634880048,264005.7854045755,0.9815554037738746
4,2018-05-31,128500.0,0.1757990867579908,6.0,52.0,,81755.30022689152,143236.5828982215,253401.6415737293,83658.03115348383,98945.14569034018,144721.41214598063,196654.2323788679,265792.29316551314,0.9878348294035766
5,2018-06-30,152000.0,0.1837606837606837,19.0,45.0,,82629.65922436731,145568.8539481211,255429.1115484885,84229.63294756024,99758.26344000713,145760.88229563026,198198.6362932592,267852.29678270285,0.9889169163523838
6,2018-07-31,147000.0,0.2086614173228346,19.0,41.0,,83648.07025399258,147619.5154992521,257339.53962942693,84998.12890656189,100716.00334750638,146761.60127164578,199697.55892527231,269934.89820824174,0.985443042558176
7,2018-08-31,140069.0,0.2304761904761904,18.0,43.0,,84505.17145999592,148689.0112975886,259053.2222849733,85603.73401802183,101578.9365879364,147701.12936855783,201147.11574406663,271986.48087289743,0.98093916659753
8,2018-09-30,146400.0,0.2164179104477611,15.0,37.0,,85346.03809870144,149608.31685772058,260591.1922448825,86209.84003086526,102354.8886297508,148621.42612135204,202479.3024460477,273947.2246626686,0.9748698512040312
9,2018-10-31,151845.0,0.2552380952380952,23.0,29.0,,85888.56346262225,149589.15773219397,261712.77055428867,86565.63454501815,102864.42131649663,149413.43834024403,203613.3289273292,275650.3290615049,0.9778023231528042
