,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,115500.0,0.1553884711779448,78.0,27.0,,79747.41529617195,136850.13040627888,232875.09069667468,,83393.86292659881,130447.90531393402,201209.52609145315,247387.3429991188,0.9732199256503468
1,2018-02-28,125000.0,0.144578313253012,61.0,34.0,,80716.60698949128,135270.1519482744,233479.1770379225,,84795.5084105761,131637.69517868478,202730.6816005632,249217.24184812524,0.9773665144997014
2,2018-03-31,120500.0,0.1970074812967581,20.0,43.0,,81795.09491724691,137708.87703940927,234943.202662526,,86298.08976161944,132933.4033318206,204409.3859044909,250989.431488894,0.9813461122025272
3,2018-04-30,125000.0,0.2395833333333333,17.0,49.0,,82528.52972260288,139337.14625411562,235929.05962507208,,87292.96319137822,133822.10810834754,205366.0320621227,251919.2746188891,0.9862158400355244
4,2018-05-31,140000.0,0.2222222222222222,9.0,50.0,,82864.31755034399,140831.04701052836,236550.7990920297,,87909.65604785601,134346.81512995108,205980.7605330136,252692.8929290872,0.9916839192748538
5,2018-06-30,151000.0,0.2462203023758099,18.0,49.0,,82550.50614156049,142086.79409452813,235700.20326303787,,88118.48437248317,134340.40316673042,205960.20395971675,252976.54422193664,0.9939165547134198
6,2018-07-31,136700.0,0.2418032786885245,19.0,46.0,,82546.59608076581,145168.84343220884,235364.6995964908,,88556.28568234811,134427.5508388347,206338.55819347128,253774.88638024067,0.9920515124356918
7,2018-08-31,152510.0,0.2632653061224489,18.0,40.0,,82504.73147576768,143588.16007946988,234800.3926547938,,88992.0976893025,134395.26558452655,206655.1231862596,254455.9414493653,0.9895570832827356
8,2018-09-30,135000.0,0.2553191489361702,23.0,33.0,,82382.26176805628,142730.32805422088,234490.3533111928,,89359.41105510281,134429.36274110904,207013.390136094,255151.6764379414,0.9846187340259868
9,2018-10-31,133000.0,0.2328482328482328,31.0,32.0,,81641.76116355188,140132.63285687324,233309.58111280217,,89311.92177537554,134052.76981292118,206932.09308982152,255511.12815626813,0.9785753513231786
10,2018-11-30,134950.0,0.1826697892271662,36.0,35.0,,81157.5673494921,138125.07381508665,232633.9660711214,,89279.11940155279,133902.84677782623,207128.1215895772,256065.10153837912,0.9780576890667227
11,2018-12-31,160000.0,0.121813031161473,46.0,40.0,,80869.05796583818,137282.61592161658,232311.25599606743,,89430.3558615942,134126.800421603,207637.71944371227,256743.6154099564,0.9751694635380346
12,2019-01-31,127850.0,0.244776119402985,70.0,44.0,,81379.86420403983,137431.1870436434,233017.25131942183,,89876.35364607215,134600.1382777687,208030.6772926748,256873.26323827737,0.97328122867896
13,2019-02-28,115000.0,0.1761006289308176,34.0,49.0,,82676.39056992852,138728.19501959762,234893.26266699893,,90709.01240866537,135585.87563577454,208768.98539209008,257178.10756120752,0.976388625304616
14,2019-03-31,139250.0,0.1656626506024096,19.0,54.0,,84513.47680627469,141354.506723398,237242.6815822739,,91779.1077998125,136710.023569682,209593.3867717463,257316.52320572024,0.979482125574462
15,2019-04-30,144000.0,0.164021164021164,8.0,56.0,,86128.2026098626,144083.1464160649,239412.33258617367,,92697.81610447924,137878.31367595444,210628.65086976043,257869.4105783068,0.986080219671152
16,2019-05-31,149500.0,0.2267303102625298,8.0,49.0,,88553.8974603062,151762.6569448706,242612.7384560684,,94322.95475026892,139679.5724427323,212427.5461903663,259223.2652835638,0.9893359809140656
