,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,134250.0,0.1279904306220095,91.0,31.0,5000.0,65397.46397476774,131908.82768329515,250767.50143827565,80955.17072001689,68635.30575722334,118803.96076223494,210757.95540845973,323103.0317076757,0.9730258755463488
1,2018-02-28,125000.0,0.1150509241795548,84.0,31.0,5099.5,65116.36258234348,131445.89871831713,250523.3419620201,80887.88133549923,68600.96002904305,118679.89915099622,210731.0288929077,323226.5033613339,0.9763657847007952
2,2018-03-31,138000.0,0.1409419044345135,24.0,32.0,5000.0,65109.93079215905,132577.13263300702,250849.7660320025,80742.64866742697,68782.4516851241,118814.38332304428,211038.3077371988,323869.43043323426,0.9807536993151202
3,2018-04-30,140000.0,0.1508994003997335,38.0,32.0,5000.0,65239.91126246165,133755.36371279406,251267.8241116968,80820.21991454583,69068.12623665757,118971.45001407457,211378.38226888524,324462.1710835567,0.9862839102311212
4,2018-05-31,144500.0,0.1557296767874632,61.0,31.0,5000.0,65347.83823759644,134821.07335455442,251701.76376767145,80952.01786201446,69329.73943246985,119205.9832758119,211710.7617962584,325160.7168302448,0.983695654952074
5,2018-06-30,134950.0,0.1626762873073138,41.0,31.0,5000.0,65093.005932002765,134924.4201775415,251574.46231930723,80972.55076346359,69287.78850432464,119133.70525597896,211711.2322684075,325236.45747927675,0.9798890435225064
6,2018-07-31,143000.0,0.163917872770111,44.0,31.0,5000.0,64972.908935607375,135946.75981971913,251630.73646245885,81158.1746017416,69353.13568661876,119227.79366787596,211963.6898425081,325695.41503908613,0.9803084848863732
7,2018-08-31,129900.0,0.1620581029051452,62.0,32.0,5099.0,65033.94204539728,136545.58973625125,251956.4361921366,81778.09631040743,69714.8992739122,119534.5794711403,212436.5055000953,326665.01132477884,0.97843718575131
8,2018-09-30,138375.0,0.1435336976320582,46.0,31.0,5000.0,65268.063812012864,136734.46793385045,252558.60602416747,82925.86640521674,70235.85133941729,120083.46453174634,212998.03024811845,327930.9138472755,0.9795145001665652
9,2018-10-31,141000.0,0.1596296296296296,63.0,30.0,5100.0,65262.072061407926,136072.69664728563,252847.7701830245,83893.86680580353,70598.33132039291,120500.85348138397,213352.1695715676,328663.21465680463,0.9816668996254077
10,2018-11-30,135900.0,0.1088125775755068,88.0,31.0,5000.0,65286.76735645562,135823.9076261372,253027.6044590276,84498.8772681025,70819.40325115151,120827.73557864252,213593.9761152966,329310.20809966355,0.984160361957944
11,2018-12-31,136563.0,0.0909901873327386,60.0,35.0,5000.0,65420.229297234095,135383.4072856296,253003.55293872007,84754.67388730374,71110.87532597876,121147.5011954038,213714.02413381057,329599.44268469914,0.974978880727456
12,2019-01-31,130000.0,0.1395950021542438,67.0,36.0,5000.0,66204.61712343736,136874.1899245265,253783.13169582933,85238.93117266883,71879.81245165727,121740.11242593658,214145.9803230589,330377.305886551,0.9798450301091146
13,2019-02-28,139900.0,0.1298646362098138,69.0,37.0,5000.0,67245.15781267616,138594.5875888177,255219.30436031232,85674.93029939423,72849.73892258848,122477.06291634344,214848.5030033396,330949.21978793875,0.9753469130387604
14,2019-03-31,137875.0,0.1532846715328467,35.0,36.0,5000.0,68641.85667513429,139698.39542411966,256972.1798951856,86139.57271791679,74000.88521634936,123152.84756734136,215666.04333490573,331847.09256330424,0.9802838872878452
