,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,149000.0,0.0691823899371069,,46.0,,124246.63616905428,191943.97163299363,313663.30164014705,126878.17487805925,134288.69496696445,186033.45517045844,235326.36423999,293964.8199443491,0.9914113182573936
1,2018-02-28,204950.0,0.0833333333333333,,47.0,,125595.7568416004,193512.7794474149,315214.0771490058,128651.23279955084,135574.20963456618,187511.55404663345,236723.65529931764,295446.1877419213,0.9928822723022188
2,2018-03-31,179950.0,0.0853994490358126,,52.0,,127422.89192845252,196609.0262121263,317812.4164123336,130818.6302949648,137276.24051594443,189634.56622973472,238907.40931146577,297963.0235069354,0.9989723567302642
3,2018-04-30,189000.0,0.0804020100502512,,54.0,,129078.39192980988,199330.6029964834,321185.7461738615,131958.91137110675,139040.7989194348,191968.172730223,241606.39962761648,301267.4179585766,0.9996307655750104
4,2018-05-31,219600.0,0.1271820448877805,,55.0,,130537.1352696144,202736.79777454736,324897.4898585981,132972.04166617544,140641.0080700364,194313.25127215005,244526.99223954728,304904.92450200435,1.0011216011946988
5,2018-06-30,180000.0,0.1235431235431235,,52.0,,131511.6757936133,205848.4549095937,327821.2100044606,133892.10585503813,141894.66406433252,196178.34318650176,246831.04294676133,307691.0207256088,1.0005360137449302
6,2018-07-31,209500.0,0.1540178571428571,,50.0,,132843.6496783888,209481.4562723361,330726.4218069969,135752.52162425127,143264.72945873896,198168.8414421,249243.98382420884,310577.52584126755,0.9985147856303622
7,2018-08-31,190000.0,0.1931818181818181,,47.0,,133900.79507368317,211132.9410655868,332911.13216770085,137379.5870677128,144456.5003514777,199756.5178557014,251224.61404861973,312804.3271378674,0.9988881124332112
8,2018-09-30,189950.0,0.1558139534883721,,44.0,,135026.60851499683,211963.779020788,334750.1347402421,138835.5536434192,145609.2838831152,201132.40700636,252946.61427547925,314699.5692683069,0.9964487426007574
9,2018-10-31,200000.0,0.1853658536585365,,44.0,,135765.7397874504,211844.7093917681,335919.9899674489,139417.81170779414,146407.2044286285,201992.0064058616,254141.26258370813,315965.5921315197,0.994592357230634
10,2018-11-30,218000.0,0.1208791208791208,,45.0,,137042.03217090634,211860.83371101727,337448.0440723777,140366.7535575295,147613.10700233295,203122.26885385384,255477.88364681395,317437.1864338853,0.9949264921185405
11,2018-12-31,180000.0,0.069078947368421,,46.0,,138304.30373466108,212010.9892801057,339088.5601129132,142089.2250798878,148897.02204272777,204350.4874487937,256842.0400402429,318912.1801927541,0.9929831064939286
12,2019-01-31,192500.0,0.1235955056179775,,48.0,,139814.2368845153,212782.8764118045,340653.78606608295,145848.910200599,150831.36865424973,205829.4638026232,258050.3633936498,319912.1140786717,0.9916025302602732
13,2019-02-28,190000.0,0.11284046692607,,54.0,,141341.14790088247,214409.31024945527,342105.1100823942,150512.5262659994,153108.5002289811,207558.37251408256,259348.21380188697,320735.2975352241,0.9925811160000698
14,2019-03-31,199912.0,0.0815602836879432,,61.0,,143544.97624529022,217402.2641226436,343948.01231000177,155958.64878751978,156158.74428211313,209802.802463904,261060.764166832,321967.48646032606,0.9961050436782154
15,2019-04-30,201750.0,0.1468144044321329,,60.0,,145376.66826939496,219161.3468854596,345686.2209502226,160213.63294006788,158735.60255355833,211948.99536576483,262866.8079675626,323426.6023628293,0.9969293098934962
16,2019-05-31,199900.0,0.1684210526315789,,56.0,,146649.52436818043,221251.42043061645,347129.80673743365,163361.9589711401,160516.60962153907,213663.66955266343,264395.3365419302,324692.7071228023,0.9988770606029008
17,2019-06-30,229000.0,0.1624649859943977,,53.0,,147234.89121793548,224966.9471652337,348627.0290425659,165232.16887388602,161634.8946213119,215177.483134303,265855.60649244644,325980.2447128026,0.9982134980047932
18,2019-07-31,237000.0,0.1763157894736842,,54.0,,148048.11165772643,228015.11676262048,350496.9496563873,166503.73897090452,162773.79399968268,216864.2572068456,267573.1284863414,327566.3121334866,0.9990231713845056
19,2019-08-31,225000.0,0.1763157894736842,,55.0,,149022.57023966403,230095.87296587508,352831.953134266,167129.30496247535,164096.73053454628,218752.70498064143,269710.53207414184,329745.3084484518,0.9981708493138236
20,2019-09-30,237977.0,0.1586402266288951,,53.0,,150044.40220721182,231327.85855381383,354559.96767090267,166998.6317420368,165292.87858394938,220364.047947904,271614.5711589593,331617.0366569343,0.99715603591672
21,2019-10-31,217450.0,0.2044728434504792,,48.0,,151350.6168840127,232070.15816732447,356530.4660592429,167021.99616409672,166629.3534863628,221875.29973697584,273631.6805300738,333894.66305337084,0.9962218064656204
22,2019-11-30,235000.0,0.1024590163934426,,45.0,,153321.809416935,232880.7978889852,358833.0974271091,168242.58665799213,168480.3105404241,223607.111939214,275747.01303333463,336475.8015097129,0.9971116756128734
23,2019-12-31,251250.0,0.0961538461538461,,52.0,,155511.5394475774,233628.79715684263,361353.36940588657,169193.51079180467,170512.41142115984,225463.3608383801,277922.92180474213,339194.6608097638,0.9933552600979112
24,2020-01-31,212500.0,0.1036036036036036,15.0,59.0,,157319.94729602788,233254.29682655053,363025.500280778,167685.66110621247,172131.83766103306,226996.6591958876,279484.5910705396,341090.7603470065,0.993422391064416
25,2020-02-29,208500.0,0.1511111111111111,36.0,63.0,,158494.19451130237,233764.18807055097,364089.0181686583,164045.15428991776,173148.04396132124,228165.1048793849,280584.7180084461,342407.30694508326,0.9944013151221348
26,2020-03-31,215000.0,0.140495867768595,20.0,61.0,,159992.75216744925,237610.8256512221,365660.4826704548,161053.1396812823,174485.67423642572,229676.32203939697,282103.6478789577,344217.63004629867,1.0010362755780993
27,2020-04-30,223500.0,0.139917695473251,27.0,72.0,,161924.98722504897,241390.55704993565,368508.8251225767,160322.45387225572,176527.34079789257,231914.6516929156,284489.3268931452,347019.7908506747,0.9998608803566338
28,2020-05-31,241000.0,0.084870848708487,12.0,80.0,,164116.12293831955,244377.36646978624,371575.2556863151,160977.55967299503,178935.90763017288,234367.85339544085,287057.51753262384,349838.6133185516,0.9982164705246293
29,2020-06-30,244000.0,0.1385281385281385,8.0,85.0,,165461.88090351946,247245.7530689807,374277.6234810253,161555.22884936337,180710.2806515135,236345.3029454898,289268.0883832866,352218.30069807864,0.9998942479755506
30,2020-07-31,270000.0,0.1456692913385826,7.0,84.0,,166854.57443077868,251840.82848201093,377394.4042285973,160358.0073725812,181908.36423587232,238448.3355097561,291912.0736826382,355420.3954961133,1.0007448407340092
31,2020-08-31,259000.0,0.1471698113207547,7.0,83.0,,168436.3938737153,255386.4647247097,381941.42221197794,158022.42863062993,182905.79405536424,241057.8674190805,295595.6040909708,360433.6443934824,1.0015839718938908
32,2020-09-30,260000.0,0.1838565022421524,11.0,75.0,,171153.18781973122,260057.24966266696,388101.9970255151,156130.64373175724,184602.4592466508,244718.46735783448,300574.94912726496,367168.435710903,1.002291423286139
33,2020-10-31,262000.0,0.1506849315068493,17.0,72.0,,173798.0409626651,262157.8370732181,394485.2084199732,155809.99093596646,186494.78915634923,248460.0618548093,305801.3707508304,374078.6752098284,1.0026302100060225
34,2020-11-30,235000.0,0.1299435028248587,12.0,74.0,,176668.14532259208,264665.37764942594,401328.015596973,156905.55738206647,188781.26264662776,252535.27447769497,311382.62778443686,381236.6033995635,1.0029594082192437
35,2020-12-31,269950.0,0.124223602484472,12.0,80.0,,179209.1145065194,267654.9403911889,408016.9884102519,158191.4597188934,190901.932067966,256468.28695964816,316944.3045386914,388366.65515355207,1.0027930558878262
36,2021-01-31,269000.0,0.1345029239766081,7.0,79.0,,182397.8427713776,271137.99353771587,414875.0174918054,159844.26459604644,193632.9570372757,260712.1875418319,322771.5116390793,395569.6293773757,1.003793215955104
37,2021-02-28,281200.0,0.1012658227848101,12.0,81.0,,185883.47041835624,276077.785695576,422246.8656884925,161597.57471996243,196779.6306146137,265313.7609619453,329088.7915870295,403293.7719422263,1.0097531489162443
38,2021-03-31,258750.0,0.1229946524064171,5.0,80.0,,190234.8135820616,284797.76566855074,430804.7939135993,164118.07883556266,200943.94614144045,271021.80224680755,336465.98859539966,411935.2188904488,1.0182688404849731
