,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,70500.0,0.1504424778761062,,-10.0,,68111.36721085438,106994.56718578562,177190.37950190878,49229.00182960736,66966.86732635357,111602.78905989636,159428.1858198497,210496.7785677501,0.9763509998102358
1,2018-02-28,108000.0,0.1387755102040816,,-4.0,,68381.64044022562,105937.0328786614,177361.0826619908,49863.0075374051,67445.65096770068,112143.35502522104,159553.9728650212,211111.08922381443,0.9778427030294802
2,2018-03-31,113300.0,0.1269230769230769,,5.0,,68868.63603040531,107347.02258324482,177784.96623269797,50538.74450239615,67972.00912968598,112798.5971660078,159909.43762234115,212148.67510355668,0.974850149332516
3,2018-04-30,88550.0,0.1589147286821705,,23.0,,69099.20776421983,107455.502090763,177891.70580370133,50874.14752186056,68191.75871698237,113228.2003836381,160145.92065409225,212923.24168438383,0.976486950352823
4,2018-05-31,120000.0,0.1872791519434629,,29.0,,69170.41732228266,108645.79604475386,178066.3695849453,51235.1608802648,68373.88215284627,113633.15407244152,160550.2191745603,213818.33329821355,0.978215250090398
5,2018-06-30,88900.0,0.1941391941391941,,33.0,,68503.46256040096,108824.5045240344,177631.65915457977,51034.08723691202,68044.47595249648,113344.05591882738,160575.0545387194,214353.68403889285,0.9783246673892104
6,2018-07-31,112250.0,0.1893939393939394,,26.0,,68258.53208621545,109688.85497155489,177700.04623802193,51086.31691872504,67981.34200158365,113173.60042753624,160921.7633514104,215491.6974835205,0.9753888044591756
7,2018-08-31,105000.0,0.1891891891891892,,21.0,,68135.07508931875,110001.04888370004,177902.8494660097,50927.308136753214,67975.38303110037,113085.5128995747,161414.27324954444,216795.0157207942,0.9711977092440988
8,2018-09-30,144970.0,0.1659751037344398,,16.0,,68276.96467494908,110666.99703598536,178307.849311707,50762.8889377054,68053.51994533422,113383.04714352444,161959.40275062024,217847.3226352117,0.971663660040162
9,2018-10-31,119000.0,0.188,,9.0,,68356.60470833916,110659.81936465256,178600.2379695822,50399.04386713751,68109.7503083545,113873.7395368448,162515.686475998,218532.77558423017,0.970982872413202
