,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,142700.0,0.1319796954314721,,-1.0,,97282.5941090918,159025.05566224118,268276.8747578827,98859.51516888468,111967.21788731728,158986.93381351966,202081.15734588008,251742.511319926,0.9665308593221844
1,2018-02-28,146750.0,0.1067415730337078,,14.0,,97850.67677349415,158968.32746065911,269187.1575302645,99340.21804183089,112461.53215384582,159706.35059760892,203178.66768229552,253012.13309889936,0.9698279768439872
2,2018-03-31,149900.0,0.1196172248803827,,31.0,,98653.19455667264,160986.16679948813,270515.9405954732,100027.45591447952,113115.43151146424,160491.75961499012,204481.798514092,254757.5800252738,0.97422958220035
3,2018-04-30,138000.0,0.1333333333333333,,37.0,,99606.744111643,163128.24760465758,272326.13056927256,100828.05140758846,113958.37606954604,161450.08061581396,205940.7969922912,256685.38968907905,0.9740475714253508
4,2018-05-31,155000.0,0.1955719557195571,,39.0,,100574.0818418197,166081.22036263836,274712.905920993,101651.88737531767,114912.59815555916,162663.63798115644,207611.04290463275,258904.5207786972,0.9776911005264206
5,2018-06-30,148750.0,0.1604095563139931,,31.0,,101330.13083267953,168513.7899511529,277006.6217780679,102425.61337883594,115766.643811429,163786.27639757574,209114.6212288021,261021.62547101188,0.9811619297570257
6,2018-07-31,169900.0,0.1814946619217081,,27.0,,102320.86350362869,170923.0833257601,279551.06667910976,103487.4082529564,116807.92063847352,165101.1023891742,210907.6223698716,263491.0698343857,0.9770818846594496
7,2018-08-31,159000.0,0.1895910780669145,,37.0,,103120.7057091344,171660.50895215062,281652.4167331494,104278.05140836428,117731.64133063414,166174.15994132173,212403.6070971081,265722.8980121054,0.9765210681922782
8,2018-09-30,150000.0,0.1811023622047244,,48.0,,103775.17949567914,172344.08733717853,283204.55069794646,104896.70381714134,118590.42933959472,167229.2581075212,213767.5899415262,267503.34201416915,0.9717245945722914
9,2018-10-31,145000.0,0.2066115702479339,,32.0,,104114.64502738629,171781.17306323777,283977.5704812656,105308.30466889172,119208.89423574635,167902.0693542665,214556.53869710327,268523.191114163,0.9749066900875714
10,2018-11-30,125000.0,0.1633663366336633,,27.0,,104639.20356902236,171732.23186261134,284924.9511598311,106004.3822211293,119975.80159828834,168820.03711576658,215550.36399858768,269598.4261286435,0.9736286192143008
11,2018-12-31,139450.0,0.08,,22.0,,105160.43643289983,171149.0663679699,286004.03844940645,106754.68384127568,120678.93730301004,169720.2907913691,216497.8747735409,270486.936420288,0.9662527055158264
12,2019-01-31,140000.0,0.0958083832335329,,37.0,,105521.55753153226,169743.20174294105,286696.04420813016,108082.16487167828,121516.88625839484,170384.888767743,216742.33720610905,270575.7377315449,0.9619329331940092
13,2019-02-28,125250.0,0.1618497109826589,,39.0,,105753.25851971464,169546.11310904805,287009.9299310059,109974.09149935356,122493.61262945282,170726.48627679594,216409.8017700816,270190.6081958336,0.9673226143028222
14,2019-03-31,127000.0,0.1280788177339901,,50.0,,106104.84449303844,170553.65792807817,287228.2941282823,112468.8685076125,123695.10664048477,170835.80116127935,215867.2029151469,269724.188546214,0.9725924984351464
15,2019-04-30,144000.0,0.1745283018867924,,48.0,,106351.60880380722,170804.55874935703,287231.7247521678,114365.18101393772,124510.70928485435,170732.8276181964,215369.70894673988,269207.3225376638,0.9775259010768592
