,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,319500.0,0.1031390134529148,36.0,55.0,,239641.22154925263,336018.1178635474,509972.52905971085,235448.1857849012,278433.8383514855,342437.71344137687,406752.11288491375,459583.83642457024,0.9914113182573936
1,2018-02-28,309100.0,0.1176470588235294,9.0,60.0,,242263.67379107047,338438.0457284106,513695.1847199605,237669.3459776144,280963.1681399101,345408.2781609996,409952.33351411327,463219.500849532,0.9928822723022188
2,2018-03-31,310391.0,0.1149897330595482,10.0,62.0,,245169.34124622183,343465.72574650176,518350.825267483,240181.24777917724,283828.04336529045,348770.01813849184,413894.9211160063,467764.7517527407,0.9989723567302642
3,2018-04-30,310141.0,0.1153119092627599,8.0,60.0,,248053.81628695145,348112.41399573325,523170.871624616,242621.4354707172,286717.8626766498,352245.3373753385,418073.5376503935,472414.68618622114,0.9996307655750104
4,2018-05-31,330000.0,0.1505016722408027,9.0,55.0,,250824.8383285605,353256.072507704,527896.7624309462,245171.98072593324,289582.63969578786,355549.84918782325,422095.2016023413,476924.4171982161,1.0011216011946988
5,2018-06-30,320000.0,0.1901639344262295,10.0,48.0,,253289.31646540665,359593.08315207285,532348.3529887457,247432.2765289429,292219.17305922275,358648.7964117772,425838.1086284074,481128.4385341256,1.0005360137449302
6,2018-07-31,330000.0,0.194888178913738,13.0,50.0,,255948.3923982276,365145.7927909777,537490.9257427611,250064.3157025552,295172.23892117344,362043.37970982975,430028.10267838935,486052.2084021088,0.9985147856303622
7,2018-08-31,320000.0,0.2138461538461538,14.0,50.0,,258716.57517633503,367396.9212902532,542642.0441309544,252694.25343616155,298304.1125509472,365489.4675352779,434250.2667113164,491092.40853391663,0.9988881124332112
8,2018-09-30,331100.0,0.2156549520766773,17.0,43.0,,260782.68106827923,367453.585160101,546101.6722618764,254699.48168200496,300546.0240451556,368061.8961876179,437384.0468831423,495015.6226370171,0.9964487426007574
9,2018-10-31,329999.0,0.2473867595818815,31.0,34.0,,261901.6466038513,366254.0896722051,547780.3435261115,255667.0188165726,301726.3732526934,369582.9296094955,439297.5521387255,497537.3907949508,0.994592357230634
10,2018-11-30,347450.0,0.1722772277227722,32.0,29.0,,262545.92408369656,365204.0327431413,548643.4263085609,256349.99553549185,302369.8680539587,370564.047041864,440620.6776455201,499340.847088032,0.9949264921185405
11,2018-12-31,330000.0,0.1208053691275167,46.0,31.0,,263814.7017142806,365390.0061609231,550790.2621761234,257868.3098256163,303785.9601186051,372129.7698512799,442563.0737304768,501775.7339674594,0.9929831064939286
12,2019-01-31,320000.0,0.2283653846153846,36.0,38.0,,265426.6015754713,363930.0404386974,552793.1205388244,259943.00320842807,305340.01691426936,373694.6470741005,444190.4545263508,503520.9165006443,0.9916025302602732
13,2019-02-28,310000.0,0.0918918918918919,23.0,51.0,,267259.7071994572,365166.4526048973,555081.5692818152,261976.3810066931,306895.02371397894,375528.72108444857,446083.3683534688,505423.9172764307,0.9925811160000698
14,2019-03-31,343750.0,0.1370786516853932,11.0,61.0,,268961.0487192363,368472.41318731685,557218.0621384898,263957.8737948696,308202.4737507218,377218.2518761815,447953.8033646303,507134.2594717464,0.9961050436782154
15,2019-04-30,360000.0,0.165983606557377,12.0,63.0,,270492.066263004,371094.48701232375,559589.832200946,265798.9528589807,309550.8033131019,378883.6237376313,449940.9110857151,509064.78414099966,0.9969293098934962
16,2019-05-31,356750.0,0.1774744027303754,9.0,56.0,,271994.6221347073,375336.7580087206,561748.6054498836,268025.6242588362,311052.11012304114,380306.4261305893,451629.6772620489,510865.43570603774,0.9988770606029008
17,2019-06-30,364995.0,0.1978527607361963,13.0,51.0,,273580.96757494885,380922.43387380446,563805.5683141387,270244.29080629,312636.6542686496,381750.6015309358,453210.1744873784,512573.4356987081,0.9982134980047932
18,2019-07-31,345000.0,0.2336874051593323,14.0,49.0,,275453.7407402412,384874.5169513781,566007.8839217264,272703.2797482436,314468.9100835183,383566.4096465074,455039.92243575794,514491.4435287968,0.9990231713845056
19,2019-08-31,359995.0,0.2438625204582651,19.0,48.0,,277771.9553431079,388002.1628726539,569107.586403483,275394.0708556965,316803.91403815016,386049.63081004826,457632.7684462949,517149.3490546756,0.9981708493138236
20,2019-09-30,346500.0,0.2650176678445229,21.0,47.0,,279725.1107889698,388830.3860540488,571523.6749415762,277501.9485217147,318778.2820658824,388205.7786799755,459750.4647285426,519201.2351424261,0.99715603591672
21,2019-10-31,355000.0,0.2245762711864407,17.0,48.0,,281877.38855999307,389847.7706257155,574696.5241022703,279969.72177474754,320994.2202353694,390594.6367544073,462244.5262373271,521819.3649135513,0.9962218064656204
22,2019-11-30,356000.0,0.1513513513513513,28.0,47.0,,284061.08334689453,391249.4299326959,577862.7160864075,282560.8622928958,323231.8910952295,393058.3289456695,464772.4267941567,524547.26793702,0.9971116756128734
23,2019-12-31,339000.0,0.0879478827361563,23.0,55.0,,286753.83224792086,392375.38569725817,581824.3310423415,285505.43950109155,325970.4127494584,396245.3062514656,468201.6594575114,528344.6392747064,0.9933552600979112
24,2020-01-31,344000.0,0.1045296167247386,9.0,63.0,,289419.2550988612,392168.9912731853,585078.6827550415,287985.575274087,328686.600327737,399368.07971190056,471533.79920864943,532121.5788410633,0.993422391064416
25,2020-02-29,377000.0,0.1762711864406779,8.0,68.0,,292138.8369668238,395133.3876115261,588492.3787808707,290332.19193268026,331430.6666968845,402594.4974590935,475035.66189491376,536054.9870055894,0.9944013151221348
26,2020-03-31,358000.0,0.1224489795918367,6.0,64.0,,295312.30394860014,400727.1853095789,592522.6041259986,293332.01937594434,334614.8069205627,406037.6974677018,478795.5322609963,540271.7739995307,1.0010362755780993
27,2020-04-30,370000.0,0.1787709497206704,6.0,70.0,,298788.52784167015,406415.1294121924,597512.3347000583,296802.7681345515,338124.0067925929,409885.6258751818,483112.32521048654,545024.3236472516,0.9998608803566338
28,2020-05-31,395000.0,0.1354679802955665,7.0,73.0,,301558.6051048617,410361.2933394969,601265.7557474145,299964.0447085562,340980.3564365076,412841.5407209736,486372.4033042216,548575.4388921225,0.9982164705246293
29,2020-06-30,384000.0,0.193717277486911,9.0,86.0,,303357.49549615226,414443.8029819344,603775.7043242914,301942.24860844464,342919.053918618,414792.842569445,488514.8463312565,550861.4804568043,0.9998942479755506
30,2020-07-31,400000.0,0.1615925058548009,6.0,92.0,,305245.8358764973,420397.66822379886,606190.4637939517,303994.9924695487,344955.9907463351,416792.0876656172,490590.5597862525,552997.8334712893,1.0007448407340092
