,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,647000.0,0.1124620060790273,21.0,60.0,,481932.93831816455,682819.3508741399,1275583.1382042957,518115.800260108,593834.2818765853,660329.7870049478,742614.1091135443,817098.8353909854,0.9952317035182582
1,2018-02-28,644000.0,0.1098265895953757,15.0,57.0,,485804.1269360681,684071.154333338,1281504.2957229668,520530.9308130766,597728.8739320581,664632.5868320115,747707.3968265959,822902.811978812,0.9974034559419712
2,2018-03-31,610000.0,0.1457286432160804,16.0,56.0,,488059.7231168693,685691.2899720971,1283333.369068466,522140.6526649285,599831.1867026878,666425.0326445643,750069.0012747626,826293.8043801045,1.000017224617332
3,2018-04-30,625000.0,0.16,13.0,54.0,,489907.7718717495,692807.6037839532,1285432.7851051567,523789.3558191604,601822.8301922096,668011.3504202674,752061.5815807829,828758.6616083429,1.000997576730447
4,2018-05-31,672500.0,0.1814516129032258,13.0,56.0,,492865.15009489405,703388.7071811497,1292893.081729809,528194.1321532007,605835.6521471046,671569.5410311517,755941.2546212937,832752.9951234256,0.999937254290932
5,2018-06-30,714750.0,0.1787072243346007,19.0,52.0,,495348.8128637779,708740.6629469057,1301064.414567095,531917.4823532541,609304.9603105914,674833.206711037,759771.987768914,836419.7099764535,1.0005397766505506
6,2018-07-31,685000.0,0.2071428571428571,18.0,47.0,,496722.59630164894,709790.8853266499,1303472.1830265748,533635.2463713023,610520.7407359065,676287.7813622778,761752.6617893021,839696.5526798052,0.9978586747443356
7,2018-08-31,712500.0,0.2558558558558558,33.0,48.0,,496715.2155236763,709744.4541919442,1300021.2547776129,532436.7104699196,609617.9127609023,675598.9606857926,761651.9772897299,841335.3614417593,0.9957346824685688
8,2018-09-30,675000.0,0.2113676731793961,16.0,46.0,,496995.942469944,711068.4722738081,1297830.848623384,533568.3723703799,609782.7738409777,675538.6993898227,762287.6892070934,842886.2192429247,0.992991081249572
9,2018-10-31,644500.0,0.2210708117443868,28.0,43.0,,498869.9960243863,711350.5957498698,1303741.423083448,538159.4346185104,612999.3602529475,677848.3749858302,765137.918315977,845541.3822722383,0.989870188012509
