,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,152500.0,0.1220556745182012,85.0,37.0,,75217.02576685464,145290.7615958494,246185.62121733185,100673.84733346372,87458.07680023758,154737.09316317496,218570.30786653128,274820.35987676185,0.97409306537226
1,2018-02-28,171000.0,0.1448202959830866,45.0,36.0,,75541.17970523088,144812.82992352755,246749.82193429823,100663.32605834368,87852.78359690144,155334.15674855222,219313.7131748743,275628.77135000145,0.9755744991882044
2,2018-03-31,156000.0,0.1484759095378564,37.0,38.0,,76070.33119309308,146098.45780297762,247562.9300781632,100877.76717276008,88483.368693657,156095.0254857784,220263.20554029333,276687.71964510466,0.9801018425801756
3,2018-04-30,145500.0,0.1217838765008576,22.0,41.0,,76665.82412305455,147414.99984857932,248626.9525927208,101607.22731894512,89246.48386253575,156881.84732418787,221238.1976052113,277879.2972428068,0.9823051032609552
4,2018-05-31,162000.0,0.1441124780316344,28.0,43.0,,77293.58491850442,148640.22514407194,249807.7943910679,102651.50624993084,90074.5426559855,157627.39550334765,222147.8206014924,279130.63796662394,0.983746725399988
5,2018-06-30,158750.0,0.1547406082289803,31.0,41.0,,77521.90699918542,149600.3034964425,250492.3191092026,103266.59325936258,90481.51691984758,157976.36205637146,222565.09654570607,279868.6301287504,0.9831226563632424
6,2018-07-31,161500.0,0.1548387096774193,53.0,40.0,,77682.78753476194,151003.51314281055,251056.2825641269,103511.95698681904,90715.00955939353,158296.1432999115,222933.1670650273,280376.2938475335,0.9827777087509016
7,2018-08-31,165000.0,0.174373795761079,42.0,40.0,,77915.3533018676,151766.07277057826,251786.37202532848,103748.94457874291,90999.68324095252,158735.9950706073,223466.2386356082,281106.5497229432,0.9812258908289953
8,2018-09-30,150000.0,0.074370709382151,54.0,42.0,,78381.73601353545,152220.11639655955,252665.18674767984,104364.8073958371,91574.86720843228,159324.17503283292,224173.0832708772,282165.8710297597,0.9826896476257552
9,2018-10-31,164500.0,0.1204516938519447,47.0,44.0,,78702.96185760836,151870.2902957896,253248.429337619,104902.65531646291,92087.82849766446,159727.78809122858,224773.95660464943,283243.86296377843,0.980449910424771
10,2018-11-30,145000.0,0.1238095238095238,33.0,47.0,,79154.9245021357,151869.0790328358,253854.79129851863,105511.71959434294,92604.72605143896,160179.63947502544,225432.4792958308,284455.19202873745,0.978687248663186
11,2018-12-31,128500.0,0.0857580398162327,24.0,49.0,,79654.21007797912,151893.4304836092,254497.32535265537,106152.46254418422,93036.53178508717,160687.40175762112,226118.15949229864,285677.2559000507,0.9794681725314948
12,2019-01-31,124000.0,0.1494607087827426,22.0,51.0,,80006.74222967001,150909.05250360907,254826.2889316842,106500.18114883556,93217.4408070781,161160.55660838587,226674.55209365903,286601.73412602604,0.9755257512263452
13,2019-02-28,145000.0,0.1225416036308623,19.0,52.0,,79987.07152651303,150567.3190343387,254948.2657322648,106434.23456013943,93106.0400334843,161533.33893630584,227250.51269402247,287366.0615500068,0.9776396097162888
14,2019-03-31,149000.0,0.1341463414634146,13.0,50.0,,79937.48182992688,151368.42674529486,255188.9187141613,106109.89213127313,92974.2954837328,161909.98586719314,228081.2522716932,288304.7597091168,0.979899488097995
15,2019-04-30,164000.0,0.1443037974683544,15.0,48.0,,80130.74320284872,152601.79478699574,255893.4502038337,106114.09392206946,93075.3909468468,162541.969159588,229157.69428722988,289455.6384635794,0.9824159888819136
16,2019-05-31,172850.0,0.1607981220657277,14.0,45.0,,80627.4190480092,154504.5050190595,256765.41638704785,106295.38944839622,93495.01252766,163337.39520380626,230182.6855296481,290461.77651412325,0.9853375781847252
17,2019-06-30,175000.0,0.1777277840269966,17.0,45.0,,81036.2760484374,156387.71160472455,257666.12899050105,106535.38623092136,93903.83844304264,164212.85126951896,231040.78254806515,291077.62116440624,0.9861548243806052
18,2019-07-31,170000.0,0.1907824222936763,21.0,45.0,,81390.04623626711,157833.7853720903,258486.134991554,106777.47181386732,94468.48934430392,165031.70264134227,231845.9873053349,291448.144181643,0.9847267903033672
19,2019-08-31,160000.0,0.2177161152614727,18.0,44.0,,81683.30794324099,158708.89703856816,259239.7259671193,106943.05450714374,95016.91773790338,165763.04688218556,232644.55920973665,291805.2257674466,0.984178272669644
20,2019-09-30,166000.0,0.1641137855579868,30.0,42.0,,82016.66478197665,159370.640279724,259939.06009777065,107017.34286569658,95715.41992647528,166465.18629317087,233495.9186576172,292416.4740094194,0.9825248605156542
21,2019-10-31,167000.0,0.1892744479495268,18.0,40.0,,82519.82269974951,160313.00067342084,261092.86226400823,107406.54643013988,96458.55697459458,167436.42820677065,234641.86675545643,293532.1196514796,0.981735062845972
22,2019-11-30,165000.0,0.1551339285714285,46.0,39.0,,83118.58313161127,161083.08095490863,262607.5094125885,108085.31449604852,97300.3079137113,168716.70114949477,236144.60896658627,295012.36889924255,0.9812159993474944
23,2019-12-31,160000.0,0.1257275902211874,31.0,41.0,,83709.85844390765,161010.42508759,264093.58258909447,108855.3623874888,98072.41461325387,169972.78071127337,237652.44210520844,296451.02803243115,0.9774487745461984
