,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,79336.0,0.1458699472759226,95.0,-3.0,,48128.74767028357,100826.8231417751,184387.92405405152,47092.22885501406,70512.28823974387,107773.97031084374,142740.3980962827,139820.08849738305,0.981530447316614
1,2018-02-28,84900.0,0.0947176684881603,75.0,-3.0,,48759.56806591474,99872.19175855591,184715.75140478788,47549.46133917267,70962.89757488151,108213.46661604667,143485.5084553369,140933.30401208028,0.9741020677916822
2,2018-03-31,99900.0,0.1219931271477663,117.0,0.0,,49148.71247508082,99691.92219426342,184942.12388066185,47742.82208591886,71178.8144912361,108431.91764035323,143957.61324007084,141756.28599897717,0.9813194271803478
3,2018-04-30,69000.0,0.1487603305785124,62.0,0.0,,49533.41081671196,100800.87317024326,185011.726437882,47668.37043498644,71254.1828545902,108512.72869389954,144212.58186144728,142405.5833833832,0.984818305944258
4,2018-05-31,85000.0,0.1784565916398713,63.0,1.0,,49754.84622574301,102010.55153811208,185165.35449485504,47601.32712918729,71286.00201794835,108537.98088542013,144392.06133084546,142934.8422603242,0.9853010487262944
5,2018-06-30,95000.0,0.1818181818181818,75.0,3.0,,49894.71863456608,103668.38594414896,185815.94736149628,47568.30181180695,71398.0728738883,108806.43158564444,144948.24230343095,143698.0968918407,0.9881762995542608
6,2018-07-31,60000.0,0.1863636363636363,42.0,3.0,,50043.84448804456,105365.4586296908,186618.6297691733,47768.52922608841,71654.79825988575,109132.3414646709,145479.52894159488,144248.59716757713,0.9844148443543592
7,2018-08-31,101225.0,0.2210526315789473,59.0,1.0,,50235.96360724208,106209.25858943364,187628.11590588148,47972.26715425767,72045.34656649995,109577.35202186096,146119.67560075366,144845.4067548852,0.983917240806102
8,2018-09-30,115000.0,0.1614906832298136,63.0,-2.0,,50527.013554221776,107256.44774024008,188534.5046351968,48224.45058522443,72586.58832109255,110185.77626155889,146812.9079020229,145627.13449484555,0.9823396164299568
9,2018-10-31,95000.0,0.2319078947368421,65.0,2.0,,50685.131404616615,106523.5208870458,189181.5469311488,48260.53072305591,72936.64079268745,110679.70178348607,147357.85863325663,146362.81479220817,0.9791986429643132
