,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,,0.1,,32.0,,89372.09906324481,156716.77620793149,303314.83288599754,67075.51600436088,113377.52898520888,163130.86171035128,195198.7793641684,259158.02979823668,1.0
1,2018-02-28,,0.1027397260273972,,32.0,,90165.894119012,156555.24928791128,304080.2767627361,68129.13484401371,114208.85492887946,163907.09271635415,196200.9917732649,260475.8261613372,1.0
2,2018-03-31,,0.1354838709677419,,31.0,,91206.8349183828,158079.77847417037,305401.27341235854,69318.6667806829,115219.9565402121,164902.16776625122,197458.92636904947,262138.6199249885,1.0
3,2018-04-30,,0.1696969696969697,,32.0,,92084.69960612257,159441.62394958356,306720.3279082669,70219.05999243651,116011.22933874372,165703.90465516876,198480.4747048228,263599.618299827,0.9974554707379136
4,2018-05-31,,0.2034883720930232,,32.0,,92949.4602691534,161866.50614455313,308345.9666647822,71132.81097307074,116831.69277158794,166614.90278034404,199415.57628968905,264990.2385486983,1.0
5,2018-06-30,,0.2077294685990338,,32.0,,93586.83082736314,163775.9708410482,309890.28294606693,71898.19692443447,117610.64392970006,167429.45815452051,200140.1855813112,266178.740255167,1.0
6,2018-07-31,,0.2232558139534883,,27.0,,94293.14094086723,166308.4488167872,311823.26196021173,72836.21938459479,118523.8083824836,168480.0964240438,201199.54326530697,267723.01860869373,0.993697270471464
7,2018-08-31,,0.2760180995475113,,22.0,,94753.240720562,166923.6123078073,313276.6558461508,73364.56340988485,119156.124085458,169133.7737827724,202048.2836259991,269052.7813483816,0.9966892808683854
8,2018-09-30,,0.2307692307692307,,22.0,,95157.47323022892,167346.00541606633,314494.5727661575,73641.30599568835,119615.6353976122,169727.38351456783,203021.22715852608,270423.34430917207,0.9934107967667436
9,2018-10-31,,0.2322274881516587,,19.0,,95123.05747421244,166309.00004585928,314846.68653927336,73349.55372452996,119598.45344845376,169819.00563099957,203413.63821564143,271084.31143788365,0.9935275080906149
10,2018-11-30,,0.1913875598086124,,18.0,,95223.36118289836,165851.43051742003,315060.1729944538,73258.93592398452,119681.66065550772,170064.91553658593,203886.65726093345,271718.2821727354,0.9862703551108496
11,2018-12-31,,0.1229050279329608,,22.0,,95240.42341239,164333.4301681326,315024.7854814126,73241.42918961661,119658.98796458398,170141.2575391257,204051.78267853623,272018.0190487317,0.9925547804454072
12,2019-01-31,,0.1322751322751322,,24.0,,95636.70156687482,164031.8632538198,315432.5642873143,73687.6086578386,120155.86945738264,170710.5625256794,204559.4016914289,272626.68996770534,0.9760869565217392
13,2019-02-28,,0.1381578947368421,,27.0,,96273.1440209091,164159.24501763188,316435.88679563906,74180.08482814413,120955.47848249265,171512.0859395333,205278.6720548146,273663.2031940413,0.9838799332962757
14,2019-03-31,,0.1022727272727272,,30.0,,97242.91095828704,165813.3363280791,318272.9131557643,74984.20516711312,122122.71364727269,172663.3602596529,206426.6954140773,275374.3035328597,0.9916492329149234
15,2019-04-30,,0.2055555555555555,,34.0,,98098.69888298475,167389.33024136422,319790.8326888084,75640.92887418602,123120.55766404312,173690.33110156903,207367.2273878177,276753.26831813395,0.9870609398647648
16,2019-05-31,,0.1837837837837838,,29.0,,98998.2739615366,170112.49865136924,321256.7686290234,76526.03495077016,124030.13038375186,174756.99923391177,208287.1541766729,277945.6515020243,1.0
17,2019-06-30,,0.2193877551020408,,30.0,,99777.15412177244,172292.89973396523,322597.15128977725,77223.77542827168,124806.72286099476,175782.14889595332,209097.1430519847,278850.31456062663,1.0
18,2019-07-31,,0.2850241545893719,,30.0,,100445.42948046925,173895.8421995128,323949.09736068227,77803.11854212137,125460.9871234823,176593.70388279823,209841.39162742416,279688.7595542586,1.0
19,2019-08-31,,0.2685185185185185,,29.0,,100796.3348290258,174679.80182300077,324791.0841807116,78146.41962836114,125923.7720264502,177026.57504748367,210338.1260951213,280235.12828512955,1.0
20,2019-09-30,,0.2850678733031674,,25.0,,100912.36393659422,174549.06491183845,324903.3777234438,78281.00018480961,126139.734105747,177161.82101903207,210562.3290367147,280430.5942205644,1.0
21,2019-10-31,,0.2280701754385964,,22.0,,101144.9145769998,175065.66321626553,325464.72855812445,78448.24856035119,126497.33919500452,177659.4665005343,211290.3648681737,281300.48401763616,0.9949743589743588
22,2019-11-30,,0.2465116279069767,,16.0,,101713.98950021125,175444.05130378043,326388.145122511,78794.6741570075,127156.18260923498,178516.60578184514,212374.9224463884,282538.81786952383,0.9885714285714284
23,2019-12-31,,0.1573604060913705,,15.0,,102490.0266534107,174759.50201256643,327765.61088715534,79477.55238638936,128025.5851179884,179660.15316739937,213723.1464406423,284157.1802847866,0.979450804089428
24,2020-01-31,,0.1526315789473684,,14.0,,102843.09770070708,172139.29369218758,328040.82319292147,79742.6714309214,128367.23684260403,180083.66001483813,214289.53029658663,284794.6629990062,0.9785112644611323
25,2020-02-29,,0.2241379310344827,,19.0,,102837.3198125966,170963.9332726162,327907.744773746,79618.98683617926,128268.8855078984,180109.36447357663,214506.9011134549,285143.72948460333,0.979071038251366
26,2020-03-31,,0.1847826086956521,,24.0,,102773.27004116046,171668.25803623314,327665.4434191054,79374.43022625959,127986.8470351807,179871.53911625504,214613.63713699047,285428.6681669757,0.987979797979798
27,2020-04-30,,0.1846153846153846,,32.0,,103258.76593405516,173229.6052945775,327938.89727202174,79721.91924944265,128205.7799085087,180128.06423184086,215041.7704765692,286074.86837983585,0.9934497816593888
28,2020-05-31,,0.1897435897435897,,40.0,,103834.3633721888,175219.8195079412,328104.1956643016,80239.12260701448,128538.2830854092,180490.086522914,215348.48210791024,286334.16840687586,0.9979126085493591
29,2020-06-30,,0.1371428571428571,,41.0,,104431.05029507224,177281.58070709248,328432.3066331394,80730.49894921984,129037.48965945718,181111.169158584,215743.61851157743,286477.91025869106,1.0
30,2020-07-31,,0.1927710843373494,,39.0,,105103.090207653,180441.6642777093,329837.2556259847,81108.18731444438,129666.75508645938,182120.86172974503,216840.3648746872,287458.8034067431,1.0
31,2020-08-31,,0.1952662721893491,,33.0,,106210.6617474872,183043.2218945039,332683.7719705848,81843.6557977827,130678.6223787529,183591.8235366768,218836.6835982948,289716.11759535904,1.0
32,2020-09-30,,0.2369942196531791,,35.0,,107948.2751311134,185431.27256903035,336677.1293211389,83351.33137943278,132186.73862894255,185490.7983912237,221612.8934702959,293036.0439256272,1.0007363770250368
33,2020-10-31,,0.2147239263803681,,30.0,,109571.16373966928,185087.77024012632,339804.26390010846,84925.76400343781,133558.60339228678,186967.13496115824,223878.3328644319,295735.6987144191,1.0001755001755002
34,2020-11-30,,0.1428571428571428,,36.0,,110958.7573177708,184855.3567908257,342341.42243902216,86131.89010486157,134673.61442004665,188193.4535813087,225798.61479938225,297984.6634862699,1.0
35,2020-12-31,,0.1666666666666666,,47.0,,111683.1346488814,184263.90134591315,344011.046003713,86307.97204585244,135320.12218932027,189047.0488309656,227332.9071722061,300001.81150447024,1.0
36,2021-01-31,,0.1407407407407407,,55.0,,112429.47664479192,183729.7557326075,346025.13537305006,86371.97412294999,136102.6245010423,190137.4286031941,229145.1000319283,302546.2582488109,1.0
37,2021-02-28,,0.1136363636363636,,51.0,,113261.09068932784,184642.6584463016,348561.73612497863,86565.79823302149,137220.2157112542,191672.8013951665,231408.8231981399,305898.0839269012,1.000168361622443
38,2021-03-31,,0.1589403973509933,,45.0,,114340.74124424752,187176.423454212,350985.62152070954,87201.0291994032,138639.30441884522,193618.71126587744,233754.94349259863,308920.21852438286,1.00610363372488
39,2021-04-30,,0.1265060240963855,,48.0,,115472.46988961216,190558.11617064223,354117.5040426161,88128.72133547941,140322.28629869272,196039.7424869169,236439.18957814723,312208.38448800164,1.0176988097291702
