,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,245000.0,0.137739345274861,24.0,68.0,6000.0,193467.72679478687,274774.89867715904,407105.8259133917,122282.93753872268,179767.63910364383,246059.75837389223,279058.297637057,367023.1033318344,0.9901702410652148
1,2018-02-28,255000.0,0.1217564870259481,12.0,70.0,9050.0,195659.7241621276,276569.7318931326,409529.755357702,123909.00342820096,181921.3442565078,248223.6724945961,281496.87008086947,369530.01443594415,0.9909594569757888
2,2018-03-31,253327.0,0.1295871559633027,8.0,73.0,9500.0,198392.9331130969,281006.6018013254,412663.2881133631,125969.52418657189,184520.9668714424,250882.9492406835,284357.3945858386,372631.5497679653,0.9926470588235294
3,2018-04-30,268000.0,0.1595092024539877,7.0,73.0,10000.0,200977.572651648,284723.44519445725,415731.6768159787,128015.29458076652,186912.61276224768,253462.83707034143,287098.2878374208,375610.2513515094,0.9927657004830918
4,2018-05-31,267000.0,0.1753424657534246,13.0,70.0,10000.0,203444.223136524,289561.0305577962,419052.6529670151,129898.1885679287,189295.41995498608,256083.14777459635,289835.9206778607,378753.76543046633,0.9920508744038156
5,2018-06-30,275257.0,0.2235717498875393,11.0,68.0,10000.0,205628.81078991227,294269.20061972114,422094.6662585028,131396.11698984064,191521.0909166021,258512.26015563947,292354.4767153288,381579.5745308727,0.9949909613363674
6,2018-07-31,275000.0,0.2365269461077844,10.0,67.0,9925.5,208124.4185240384,298930.94652675843,426022.56595085695,133107.33552158732,194130.58080071065,261425.14368923567,295436.1037857493,385241.6359782789,0.9944444444444444
7,2018-08-31,275000.0,0.2974658869395711,11.0,64.0,7000.0,210381.9900401813,300289.950300921,429548.7777192875,134889.03257512624,196513.4629501837,263998.5556446105,298207.89311465184,388581.16408417135,0.9927110993096124
8,2018-09-30,270600.0,0.3005120126033871,16.0,59.0,8000.0,212410.8485029165,301202.8152233117,432723.87044236826,136711.21774141004,198645.7100503053,266225.80624452606,300624.8474742542,391620.06486550247,0.9931608814380596
9,2018-10-31,270000.0,0.3065075086638429,21.0,57.0,6900.0,214071.1789587538,301127.0502463505,434955.9892610693,138310.9558069473,200336.79738401296,267800.37358662364,302365.1402569891,393768.90536713134,0.988046502763484
10,2018-11-30,279900.0,0.2460526315789473,27.0,57.0,7000.0,215811.63536106693,300629.3859299773,437063.4699804115,139825.0422132569,201971.10120148992,269297.9666376037,303950.36324479204,395731.4209087079,0.986462060417171
11,2018-12-31,272000.0,0.1571506253398586,28.0,61.0,5100.0,217401.2876343132,300350.3037038989,438540.9664928166,141174.29323547045,203274.52938766743,270536.84415557707,305334.20752764447,397231.1983149306,0.985788846455496
12,2019-01-31,260000.0,0.210912906610703,23.0,64.0,6400.0,219284.41023992444,302004.1243318095,440788.1502864143,143002.05515043702,205000.1613183744,272300.4097886071,307192.1048654477,399332.91608362336,0.9865660050056162
13,2019-02-28,279900.0,0.1830238726790451,20.0,66.0,5900.0,221576.95884948075,305063.97114039963,444130.6658767036,145303.86728289255,207170.0872425869,274813.40957881534,309929.7501145789,402413.12164610863,0.9855469754147066
14,2019-03-31,270000.0,0.2024509803921568,11.0,68.0,6050.0,224241.2323863539,309235.7909835192,448663.82488055766,148049.35535603383,209844.662456632,277951.42938247515,313301.355205074,406441.0188891394,0.9899210048162118
15,2019-04-30,285000.0,0.1946822893195132,10.0,69.0,7400.0,226566.99024101315,313062.2041105794,452541.1379782655,150197.32598097736,212149.67670142764,280761.9621724474,316251.470578808,409869.6838623704,0.9929264759506444
16,2019-05-31,290000.0,0.2440095846645367,11.0,66.0,9100.0,228524.9489996479,317123.7941111943,455135.6359384926,152407.40491967602,214212.73248332096,282933.5686385658,318385.682290231,412139.6138037063,0.994206224802882
17,2019-06-30,300000.0,0.2544264819091609,11.0,66.0,9100.0,230145.6703981057,320336.4533180497,456626.4787345684,154612.91710695263,216039.97203126515,284558.8180239556,319845.5685171703,413324.917679517,0.9923178738102144
18,2019-07-31,291000.0,0.2587466359092656,11.0,66.0,8000.0,231657.8230310461,323072.94314616,457718.1322328388,156990.17622156278,217795.8270315028,286031.5969433412,321162.18325483496,414182.06410387246,0.9927585329785844
19,2019-08-31,298000.0,0.29081442915582,14.0,65.0,8000.0,233074.7390235902,324725.23657410947,459074.8593937289,158880.6817881613,219407.1424963628,287528.75375552505,322582.6957907912,415346.15093203326,0.9895114222159452
20,2019-09-30,290000.0,0.291214953271028,17.0,60.0,6600.0,234488.4029692023,325584.2247874148,460868.0292570638,160325.94265001014,220904.1557593993,289161.65045023384,324203.54290396464,417021.28631172446,0.990982486243745
21,2019-10-31,300000.0,0.3108056510118366,21.0,58.0,6100.0,236203.63047234053,326551.40881967545,463411.175471905,161576.00742534385,222473.1428543936,291114.14142697485,326245.9564815382,419393.33684067306,0.9877291451812038
22,2019-11-30,296000.0,0.2577181208053691,21.0,58.0,6000.0,238167.9717150629,327653.13945096463,466512.0657522322,162882.82781307632,224182.3889307344,293396.74623999017,328744.12434902164,422369.7164737803,0.990929081903138
23,2019-12-31,297038.0,0.1675946547884187,33.0,63.0,5700.0,240209.32050767765,328317.2502118674,470029.3304881216,164242.30840729063,225913.19308121104,295732.9780135578,331483.0580609487,425798.2755981787,0.988378321764676
24,2020-01-31,294875.0,0.1732142857142857,17.0,69.0,5100.0,242297.97768025656,328812.7081520836,473355.856198402,166728.60625884507,228162.0248382904,298075.36045144417,334186.1854903408,429071.2283927375,0.9895648026808386
25,2020-02-29,299000.0,0.1893988364576599,13.0,76.0,9100.0,244542.92480203047,331291.5136705316,476953.592083338,169428.4460482961,230535.1653926467,300396.25845419185,336916.50991138216,432460.8517920996,0.9918833649380272
26,2020-03-31,300500.0,0.1670951156812339,5.0,76.0,10000.0,247166.93747950185,335886.9581706669,480827.0917083891,172319.52588119663,233115.97329881453,303105.61610687315,340031.93842494284,436183.2864689394,0.9952997484199546
27,2020-04-30,310000.0,0.197,11.0,77.0,9000.0,249844.083526376,340772.43916370394,484647.5173691586,174320.8945014085,235283.22678083184,305829.0323465735,343313.3188747557,439957.1012038339,0.9912688808095534
28,2020-05-31,320000.0,0.1727316836487142,8.0,78.0,9399.0,251687.41546783785,343698.6668039045,487137.6134112315,175457.35511205098,236629.11473731595,307789.8030708728,345612.84891186794,442500.1048581176,0.9877147129035938
29,2020-06-30,315000.0,0.1595687331536388,10.0,83.0,10000.0,253003.1983343292,346760.1508883479,488564.1831378908,176165.464067556,237576.06317674063,309055.0487504904,347052.5247022353,443912.2504739461,0.9914435523513024
30,2020-07-31,337624.0,0.1425287356321839,6.0,85.0,10000.0,254575.3502153894,351357.2321531247,490301.1327849389,177017.92238066104,238800.23256269863,310501.287937668,348592.5804937982,445564.10314625566,0.9929654365272632
31,2020-08-31,340000.0,0.1314003701418877,5.0,86.0,10000.0,257364.58013108544,356545.13058432314,494101.1014062364,178937.60729182567,241235.3716608144,313321.0899385091,351787.18949896056,449137.1277610722,0.995684454519812
32,2020-09-30,342319.0,0.1142857142857142,5.0,86.0,10000.0,261481.6787721508,362581.8067171327,500488.2595122165,181810.1251401548,244846.44739015296,317786.8981512254,356954.4914703479,455166.6747080698,0.9980032095745404
33,2020-10-31,340000.0,0.1206896551724138,5.0,87.0,10000.0,266495.9180420888,368597.8437471525,509025.31064235466,185040.8465109448,249171.73936568628,323507.8605911672,363704.7012978946,463248.9119744706,0.9995044911192404
34,2020-11-30,347000.0,0.132887189292543,4.0,90.0,10000.0,272224.4696515819,374257.15074356645,518797.2263384967,188780.0936938258,254110.39589986263,330043.7034529014,371347.63780050696,472558.1438703631,1.0005909732672749
35,2020-12-31,340000.0,0.1100362756952841,6.0,91.0,10000.0,278062.7943631413,379734.3160411171,529066.335876929,192559.7120178608,259145.81344417075,336752.93648954626,379250.7524365804,482493.6906768578,0.9994728360151892
36,2021-01-31,340250.0,0.0451070336391437,12.0,95.0,11500.0,283831.19052454206,384308.3278038319,538977.3463277142,196221.81321096583,264135.82573805307,343297.92638443137,386813.40437895217,492167.4979647246,0.9987673989714864
37,2021-02-28,338250.0,0.0533049040511727,5.0,95.0,10000.0,290074.70543903153,393433.5346302546,550074.7574604234,200265.3237703356,269601.52971529006,350425.46406692563,395072.0026621391,502916.75117611047,1.0041575661672444
38,2021-03-31,364010.0,0.0673154906731549,5.0,95.0,15100.0,296961.9685645445,404951.9179995676,562207.0290018377,204913.55176968893,275870.3665669342,358467.504956815,404248.0792238887,514629.2579829912,1.0149187477602355
39,2021-04-30,393000.0,0.0869905956112852,5.0,90.0,20000.0,304392.6266478906,416854.2523677903,576200.0070404508,210601.4632145086,283067.8025536235,367374.9659542357,414315.686038943,527798.1499224781,1.0228874503796102
40,2021-05-31,405000.0,0.1123595505617977,5.0,86.0,24947.5,312145.7207230796,431042.27020768734,591440.7753280455,216580.08229780503,290678.810951099,376678.614443413,424788.3182701296,542062.7650399843,1.027600434226285
41,2021-06-30,414000.0,0.1592233009708737,6.0,83.0,15000.0,320288.5234423539,443341.1217727005,607022.2842795526,222973.36416351525,298945.75853465986,386190.065446076,435188.7932155069,556341.6236227511,1.0237440174558476
42,2021-07-31,415000.0,0.1742243436754176,6.0,80.0,15000.0,328014.8481818182,452058.0673003122,621211.4968789208,229103.14461316005,306925.2214540188,395258.93398486805,444791.125147194,569189.7317337304,1.02186161583826
43,2021-08-31,411716.0,0.2057390362750406,6.0,78.0,15000.0,334249.9819994765,456895.95108476427,632201.1587282041,234291.55036433708,313674.0603146169,402894.3958406812,452504.70326905086,579077.1739319368,1.0094210548664122
44,2021-09-30,416387.0,0.2220309810671256,7.0,75.0,12000.0,338706.4550118276,459738.12308724114,640600.7305232094,238081.1726883909,318546.13797221804,408714.1339299544,458346.7092337573,586780.8104291087,1.0036911592692566
45,2021-10-31,416150.0,0.2020905923344947,7.0,75.0,12500.0,342582.17259023414,462294.6552368171,647707.1665879575,241361.90338577228,322527.4984920918,413629.13800198486,463458.7520534117,593588.2038208451,0.9994527824721128
46,2021-11-30,415000.0,0.1607022282241728,6.0,76.0,10000.0,346816.229948058,465362.084043992,654761.6218096073,244824.023081124,326587.22727319645,418542.7687421562,468700.5287078482,600468.0717361225,0.9973101047741332
