,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,,0.0875912408759124,,17.0,,76777.346580355,133728.9787838407,229572.45128267503,,92012.72247114548,140491.80841949975,183376.36528371004,,0.9657794258771992
1,2018-02-28,,0.0769230769230769,,8.0,,78051.83754999022,135445.85239720583,232369.59254909828,,93504.19629276526,142490.94815252695,186021.64944597377,307799.00388803874,0.9687982692216904
2,2018-03-31,,0.112781954887218,,7.0,,79572.45503347891,137766.49155779983,235448.87828258844,,95095.539096965,144628.30190978656,188801.6593004268,309533.9629516471,0.9711760346714026
3,2018-04-30,,0.1544715447154471,,17.0,,80823.60856539867,139386.15839756763,237876.56936573653,,96436.13174000908,146480.50137106885,191153.37243519447,310790.6915722772,0.9714883804652046
4,2018-05-31,,0.1428571428571428,,37.0,,81730.04185100895,140943.885033725,239680.4071836906,,97498.04619573343,147894.70436577522,192974.67554359173,313098.9362854997,0.97352256984325
5,2018-06-30,,0.0652173913043478,,26.0,,82461.18753660127,142184.33180691977,241372.25646311665,,98503.06320377775,149157.81804282122,194622.4543631393,315543.85995345545,0.9741922586154594
6,2018-07-31,,0.1125827814569536,,19.0,,83556.7806455908,144826.52068008814,243840.82808696944,,99786.08763234787,150700.1100825855,196608.96206629704,318683.7448353044,0.9720641381654744
7,2018-08-31,,0.1168831168831168,,6.0,,84725.98330084537,146268.13053095157,246437.0395545909,,101245.19017645968,152353.75669166425,198744.6781504741,321866.1407652078,0.9715907582890938
8,2018-09-30,,0.1474358974358974,,-11.0,,86047.96480920142,148315.9769680103,248760.7521121424,,102843.25022210526,154062.07982507534,200871.07909082648,324444.7028821167,0.9723972654704074
9,2018-10-31,,0.1266666666666666,,-34.0,,86890.81928040792,148725.68544500554,250199.55819041128,,104120.16527920392,155337.84813403912,202482.9586405325,326053.53795733635,0.9718529267120062
