,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,140000.0,0.2026666666666666,95.0,41.0,4900.0,87396.6198122423,151847.7727160865,261603.9745092193,62659.41011292762,77575.11198469189,145420.6188360378,239469.568011226,355147.2266744063,0.972704581048344
1,2018-02-28,146608.0,0.1869363213992894,90.0,45.0,4900.0,87855.70117355297,151778.4848140164,261996.8491899534,63077.55137719961,78020.9734863749,145864.35107394875,239818.0257148264,355632.46097834315,0.980670877769338
2,2018-03-31,150000.0,0.2002029941639178,23.0,48.0,5000.0,88149.31866005443,152923.12433602998,262238.48428426275,63287.85093823176,78260.09830010172,146140.5976021531,240043.0064803176,355973.8586768831,0.9920473995374152
3,2018-04-30,145750.0,0.2141997593261131,29.0,50.0,5000.0,88496.46647254787,154303.10979189698,262551.8090484209,63440.752831089136,78511.90811652459,146367.22070347707,240303.4431154302,356379.2800563713,0.984143124761462
4,2018-05-31,155000.0,0.2368452739313666,22.0,48.0,5000.0,88673.10036468906,155135.67550807667,263001.2510751788,63495.15252622877,78548.37507054952,146554.9066153782,240698.654979573,357297.007523722,0.9825442790356564
5,2018-06-30,154000.0,0.2517557433638852,18.0,49.0,5000.0,88549.10522533602,155517.4947127494,263065.087737599,63339.46122132676,78327.75095562237,146512.15798477584,240758.26197519267,357746.89196111105,0.9823297173172476
6,2018-07-31,155000.0,0.2717864283194167,22.0,48.0,5000.0,88481.27308900806,157270.0477192255,263689.7623983578,63363.446850793145,78174.60000092787,146716.87712725686,241337.85592458287,358982.5432109689,0.9807508155060188
7,2018-08-31,152500.0,0.278590587661546,25.0,47.0,5000.0,88611.57753235498,157334.51240324203,264326.3825629574,63537.86104806231,78282.32321683136,146976.08882896404,241958.2807449436,360037.6828704096,0.9819499313144546
8,2018-09-30,153000.0,0.2450880326613932,31.0,47.0,5000.0,88976.57152105111,157301.70366158517,265252.6186569541,63856.353602542506,78541.83177683996,147457.958142183,242842.1332294905,361490.6249634684,0.9831639101873424
9,2018-10-31,152000.0,0.2583463745435576,38.0,46.0,5000.0,89308.63777889794,156906.99842685813,265701.7953222517,63990.6763559157,78820.49353608773,147794.84003269195,243313.8267010288,362171.5771972318,0.978700157016836
10,2018-11-30,148500.0,0.2153384279475982,37.0,46.0,5000.0,89846.38318637987,156619.22562935136,266319.47189538804,64224.73535146176,79273.09716996632,148337.92187542652,243876.30947128497,363148.1638384082,0.978262134672513
11,2018-12-31,150000.0,0.1611203132058425,50.0,48.0,5000.0,90475.73629263192,156411.5823198219,267069.7033657916,64630.13852832318,79838.53014174059,148985.62733407438,244564.59316278296,364120.9886864679,0.9803884681343248
12,2019-01-31,150000.0,0.2011283928026837,54.0,50.0,4900.0,91081.50255208428,156045.29900268817,267653.7595854353,64990.8561412986,80327.70553905469,149589.09469307782,245116.5617642965,364887.7823918246,0.9706405845867906
13,2019-02-28,158000.0,0.1666666666666666,48.0,53.0,5000.0,91797.42175685476,156988.0474226436,268403.5992246547,65294.7684880036,80910.6202934443,150269.77411635531,245886.4465084858,365621.7374646272,0.9710354489378747
14,2019-03-31,160000.0,0.1969742813918305,23.0,55.0,5000.0,92491.13320477156,157934.89804072448,269018.31224587274,65501.246216617,81553.7390074,150783.77350136262,246489.151029298,366253.8315978513,0.9774457453566422
