,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,162000.0,0.1461406518010291,21.0,47.0,5000.0,110808.16789613618,178268.639644426,303202.8157333109,89212.7072081744,115700.96598516246,167893.0206785072,266423.91467113607,340094.96366206993,1.0
1,2018-02-28,159500.0,0.1248246844319775,24.0,48.0,5100.0,111691.2905076458,178614.50939865172,304420.95349272096,90055.73662589172,116613.85983437866,168965.00573426328,267754.70680467034,341535.3492919525,1.0
2,2018-03-31,163000.0,0.1329211746522411,14.0,50.0,6000.0,112667.11499513772,180405.3282387746,305958.0549357485,90951.23221066824,117596.4077166429,170071.27666828138,269149.8354462626,343221.3803864836,1.0
3,2018-04-30,167500.0,0.171303074670571,12.0,54.0,6000.0,113437.35014165207,182531.55526287112,307463.8783834426,91652.47036379586,118387.69286054536,171040.96187329935,270400.7225029668,344790.7264053249,0.9974554707379136
4,2018-05-31,180000.0,0.1859756097560975,10.0,52.0,6000.0,114205.84802827216,185325.888127945,308911.9642796386,92380.05232209484,119140.3111292264,171983.82141426328,271618.0691944491,346346.049435232,1.0
5,2018-06-30,182000.0,0.2094039054470709,13.0,48.0,6050.0,114799.96284914244,187344.80394031203,309806.55684710824,92845.01421061489,119755.34270479066,172774.4753468076,272404.2445856571,347304.9331795589,1.0
6,2018-07-31,180000.0,0.2393803098450774,17.0,45.0,7000.0,115512.85577039862,189432.18448884643,310971.1488126947,93399.47719534424,120470.41992931672,173745.62862200878,273470.19162801286,348599.103230679,0.993697270471464
7,2018-08-31,172000.0,0.2595,17.0,42.0,6000.0,116042.61877896504,189724.3815183196,311947.07603006973,93786.14330379786,121093.83670603063,174540.94795963273,274442.96013438486,349814.63957516704,0.9966892808683854
8,2018-09-30,175000.0,0.2448574969021065,27.0,39.0,5100.0,116608.95127163472,189911.57319911208,312913.1401768163,94218.14613913983,121759.7592113892,175354.56604866442,275399.1254193252,351088.9940311872,0.9934107967667436
9,2018-10-31,175000.0,0.2651572327044025,19.0,39.0,5000.0,117066.1124229828,189006.0240592564,313245.8875419579,94568.24794914066,122320.30195564544,175838.1732866246,275823.94472011673,351701.7871662348,0.9935275080906149
10,2018-11-30,175000.0,0.1947835738068812,26.0,39.0,5000.0,117832.14106839328,188555.4851009883,313666.6746433192,95160.52196910768,123063.76536350213,176465.92388510043,276219.46603395854,352303.4748053654,0.9862703551108496
11,2018-12-31,167000.0,0.1175298804780876,63.0,39.0,5000.0,118711.37216389785,187824.1083611687,314152.1883015764,95984.6759396791,123817.7153147725,177028.18632418508,276694.73918820004,352915.94840245886,0.9925547804454072
12,2019-01-31,170000.0,0.2188870151770657,56.0,44.0,5000.0,119857.56600822094,187835.4495345024,314977.94510482776,97164.8828183524,124823.6774003782,177906.55535240952,277352.09267209173,353608.5699431868,0.9760869565217392
13,2019-02-28,175000.0,0.1380543633762518,30.0,51.0,5000.0,120972.65870872544,188658.7662303107,316187.327669072,98358.92528766138,125858.32848860785,178901.6684780136,278359.20380993513,354482.5512568122,0.9838799332962757
14,2019-03-31,175000.0,0.1275440976933514,25.0,55.0,5400.0,122054.01819458437,190336.94970195973,317632.6425544408,99571.3233532172,126893.0836016866,179968.6383792796,279471.18538289325,355369.7161358613,0.9916492329149234
15,2019-04-30,179000.0,0.1697206368278762,14.0,58.0,7400.0,122825.5737534416,192644.4591859615,318974.45672008226,100313.35867767844,127630.0909154348,180959.48062717984,280504.0651811087,356119.6792269146,0.9870609398647648
16,2019-05-31,188000.0,0.2049959272332338,14.0,55.0,7000.0,123409.10095072836,195536.6315861162,319907.8464585164,100821.37688772976,128145.3413077508,181806.97222221168,281217.2340162815,356472.9901245146,1.0
17,2019-06-30,190000.0,0.219683199169047,16.0,52.0,7000.0,123939.16344863434,198517.38481960664,320899.2892556068,101053.39582198265,128657.86031608652,182780.71113258603,282051.49559505266,356978.39018381294,1.0
18,2019-07-31,193500.0,0.2528301886792453,14.0,51.0,6000.0,124490.3801078612,200199.86334758083,321811.3283127213,101289.82597403544,129240.5369196091,183646.96898253044,282859.2660891659,357478.7944999787,1.0
19,2019-08-31,186000.0,0.2548543689320388,15.0,52.0,7500.0,125189.80807737872,201455.1098473636,322842.7814619199,101737.10887109237,130002.58197231455,184564.43716368068,283792.0686561514,358208.5819298881,1.0
20,2019-09-30,185000.0,0.2510845986984815,20.0,47.0,5900.0,125927.81951270509,201861.70381412908,323763.566051222,102217.40429101916,130748.58893547433,185387.9256418878,284631.48461642506,358930.71878883126,1.0
21,2019-10-31,180000.0,0.2835400225479143,39.0,44.0,5900.0,126819.86346541504,201865.22956225893,325059.8456062355,102855.97924339256,131570.75383327118,186345.3805988057,285749.8101848424,360153.57859578886,0.9949743589743588
22,2019-11-30,180000.0,0.2222942320155541,36.0,45.0,5000.0,127822.97573928158,201781.1572105262,326527.93106486055,103536.68724047384,132491.04535524972,187395.8886522419,287094.02645269776,361692.7749805978,0.9885714285714284
23,2019-12-31,178500.0,0.1606072712744706,46.0,50.0,5075.0,128865.911245457,201395.4577670446,328173.2227389328,104301.64534212448,133511.09166045734,188629.3127495617,288757.50675212126,363628.2959214185,0.979450804089428
