,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,211450.0,0.1312346688470973,64.0,37.0,5000.0,121031.54925660696,194735.64886285635,315991.7970868656,166363.49537161793,171539.65809563862,190627.75858533315,253681.3617689024,322164.9558791536,0.9657794258771992
1,2018-02-28,199600.0,0.1331975560081466,43.0,36.0,5000.0,121346.7574374178,194740.30252109305,316578.85603156587,167562.28417499372,172229.08499100982,190782.85600706315,253815.83366084905,322427.66064950265,0.9687982692216904
2,2018-03-31,224450.0,0.1490852471778902,40.0,40.0,5100.0,122228.96956770832,197874.8168450117,318151.6966031268,169205.31506627033,173720.4989143298,191532.00425407896,254601.04055731124,323983.1213876651,0.9711760346714026
3,2018-04-30,215000.0,0.1592478894858019,28.0,44.0,5000.0,123911.5256067966,201797.14444578,320652.14235544,171126.1322699709,175995.46667392703,193294.3830877299,256219.7487253036,326340.34792504006,0.9714883804652046
4,2018-05-31,220000.0,0.1778309409888357,34.0,46.0,5000.0,125816.61419823428,205223.2922437056,323758.37953972426,173245.17019781357,178584.99242368885,195367.3192866417,258252.90309621464,329616.358806872,0.97352256984325
5,2018-06-30,220000.0,0.1692880794701986,41.0,47.0,5000.0,127436.3955031699,208091.0959218928,326555.81297735684,174953.47467188118,180845.903512854,197270.20349555308,259995.4103815268,332179.21124976536,0.9741922586154594
6,2018-07-31,224000.0,0.1844416562107904,35.0,48.0,6000.0,129005.64496241024,211750.547185262,329759.1126558041,176867.4417471581,183066.59619770016,199195.09718177453,261834.87141140387,334510.2369894209,0.9720641381654744
7,2018-08-31,216500.0,0.1707810602994739,36.0,46.0,5500.0,130474.94096509548,213832.501642036,332953.600952901,178760.97169929565,185251.4117524892,201015.7802271355,263703.667672691,336533.6737916058,0.9715907582890938
8,2018-09-30,225000.0,0.1739679865206402,37.0,42.0,5095.0,131958.80241913834,216121.18097441504,336338.8349438796,181018.95925798177,187634.4564166423,202797.8916802928,265743.83536021103,339219.9522992662,0.9723972654704074
9,2018-10-31,245000.0,0.0932445290199809,42.0,44.0,5050.0,133407.93683565792,217962.2016854121,339336.9437934317,183108.74461247763,190186.7439794537,204429.35150712813,267763.360974516,342095.5081002043,0.9718529267120062
10,2018-11-30,222500.0,0.0729113924050633,69.0,48.0,5100.0,135028.68031464785,218537.7283981056,342344.43978885,184865.8077655632,192927.2224937702,206131.81489255943,269699.877169555,345166.95639224746,0.971180340009114
11,2018-12-31,192500.0,0.0759615384615384,40.0,53.0,9750.0,136220.36197329336,218078.3054330081,344871.0036774548,186038.4619752071,195190.8427198511,207385.0590817892,271088.20106109726,347282.8037143618,0.9710325938144332
12,2019-01-31,182000.0,0.1127141568981064,32.0,54.0,9000.0,135999.04604287932,212303.9614152651,345417.8020652719,186507.4452825286,195739.5636987463,206953.4429780192,270685.32597152767,347418.7290267476,0.9660924589097458
13,2019-02-28,180000.0,0.1268827019625741,64.0,54.0,9100.0,133969.7129510884,207828.4867439536,343949.886404708,186370.3560465274,194550.4597261877,204803.5561313155,268736.46107043035,345540.36628987425,0.96753312636432
14,2019-03-31,195000.0,0.1204028021015761,24.0,52.0,6000.0,131113.2594578398,206988.09399011097,341697.1728504975,186371.31601654363,192874.36675713933,201800.81965888865,266129.7121855348,343127.9753573416,0.9721962255414228
15,2019-04-30,200000.0,0.1322278911564625,31.0,54.0,6000.0,128854.6073524578,208259.3496840181,340334.8203488702,186720.2317083582,192046.15864465293,199688.2301603346,264251.9360550488,341373.5506777868,0.9737342574354224
16,2019-05-31,199900.0,0.1568872243029546,26.0,52.0,7900.0,128057.97453268344,210771.30283073505,340329.72582678846,187662.3305709848,192445.88948625023,199059.63550580607,263780.3341057791,341175.37035587843,0.9751531062115346
17,2019-06-30,198000.0,0.1664564943253468,29.0,51.0,7000.0,128535.50642888893,213932.01404024565,341303.73945738905,188701.077089334,193826.16942988383,199844.6415428573,264363.446673988,341749.54528838425,0.9755750244128284
18,2019-07-31,209000.0,0.2004357298474945,43.0,51.0,6000.0,129462.43649418309,216116.771443946,342748.8310100034,189871.7817156696,195595.61283065367,201067.85779857743,265279.013482263,342499.024743473,0.9755600056230664
19,2019-08-31,220000.0,0.2023712183156173,36.0,49.0,6000.0,130590.9381686761,218257.51124666672,344504.35322846734,191298.60394859128,197670.330317933,202484.33880556625,266235.5703732078,343244.4511622745,0.9735209686372562
20,2019-09-30,225000.0,0.1983372921615201,44.0,44.0,7947.0,131470.25549197083,220220.04852398264,346225.6495976928,192899.6731613893,199482.1735790957,203581.8149396677,267107.55008785106,344075.07348770584,0.9741186860432932
21,2019-10-31,220000.0,0.2311040759794222,44.0,39.0,7000.0,132664.08209366145,222053.6210496404,348435.1532995549,194585.1386133941,201711.2405254916,205047.0444437533,268549.68045267044,345931.9537120348,0.973204418426681
22,2019-11-30,225000.0,0.1724969843184559,61.0,37.0,5500.0,134284.74001565902,224046.51552312728,351082.69886963425,196433.130988325,204446.13969068395,207019.5447195037,270476.5501860005,348184.4681778218,0.9741057519369192
23,2019-12-31,229500.0,0.1522094926350245,64.0,38.0,6000.0,136554.47768165532,225971.38002165683,354006.00180743966,198536.1887352224,207734.32719818823,209717.9763220444,272912.1661414333,350710.25348215207,0.9722608879432946
24,2020-01-31,215000.0,0.177107501933488,71.0,42.0,7600.0,139839.2245389937,228016.50359925,357729.1074975913,201382.1903635017,211864.75714224885,213535.35638014105,276417.8860915661,353837.8033536314,0.9698108195066218
25,2020-02-29,241500.0,0.2489531785306433,31.0,41.0,8000.0,143446.90058637987,230117.25902225228,361630.1007279425,204145.2107538489,215973.2739313684,217666.0857208784,280387.7062156819,357509.24291413464,0.9725337752124292
26,2020-03-31,225000.0,0.1761052246985751,66.0,38.0,6450.0,147003.33327038967,232922.8179136224,365241.1831702886,206478.2417396716,219579.69300614984,221531.54384523653,284223.5094654846,361328.2004584407,0.975655678740745
27,2020-04-30,210000.0,0.1377923976608187,61.0,38.0,5100.0,149603.20825362604,235328.69815986505,367202.4283666991,207557.1762803757,221541.7408903501,224045.687621678,286654.3652272111,363907.1977851465,0.977086381969822
28,2020-05-31,215500.0,0.1779310344827586,66.0,45.0,5300.0,151075.42263354172,236061.24360150928,367410.7032398642,207547.6304302048,221841.8476089912,225107.94954507487,287539.5369512968,364946.9684265008,0.974795704402478
29,2020-06-30,235000.0,0.1885980638221585,75.0,50.0,5900.0,152072.83556825007,238455.0742730292,367257.3265435924,207288.37654832363,221846.95156708235,225790.27346656309,287986.1869547502,365376.15360161447,0.9756052024812604
30,2020-07-31,246338.0,0.1864026895778857,43.0,55.0,6000.0,153061.7541569666,241307.4426322856,367785.1855012009,207556.4566519548,222240.4590249145,226636.8751404922,288678.47580287844,366160.59397115983,0.9766544061216624
31,2020-08-31,250000.0,0.1704718417047184,41.0,51.0,6000.0,154797.69892951028,244201.49086383343,370062.2109183965,208925.21964654105,223787.0387634924,228392.93730034927,290537.6093321981,368437.5449533106,0.9779484248414247
32,2020-09-30,250000.0,0.1587823940765117,44.0,52.0,5100.0,156986.66256255188,247731.68856810985,373757.03673375206,210869.040011856,226007.07322142125,230714.0111682932,293382.5246780754,372248.5812834396,0.9791542993965856
33,2020-10-31,251000.0,0.1517476555839727,20.0,50.0,5100.0,159496.30529742388,250279.7631748739,378181.67727239913,213018.4348396562,228885.4091068764,233425.17298451604,296913.36224255845,377194.8768724066,0.979986833699746
34,2020-11-30,255000.0,0.1378219611387257,35.0,51.0,6000.0,161794.43532590228,252257.1387876327,383210.5543098433,215451.5171084496,232302.6935605542,236329.52036443385,300819.12293447286,382974.6547264161,0.9806064233086376
35,2020-12-31,266000.0,0.1221896383186705,28.0,51.0,5000.0,163873.67815198124,253940.28342156875,388198.2287933193,217836.2052150572,235714.42384915287,239180.0066221352,304726.3882103545,389171.2215510253,0.9809905070932572
36,2021-01-31,264000.0,0.1474014336917562,52.0,54.0,5100.0,166428.91911392089,255518.03918677475,393690.85065150686,220271.0739340493,239481.9176211624,242614.80564777728,309138.98993580975,396166.6875213432,0.9777522889592812
37,2021-02-28,280000.0,0.1431325301204819,27.0,60.0,5500.0,169589.64434926675,258096.9062833076,399570.5682703724,222675.65492581017,243614.8104878412,246413.717884856,313674.8211702735,403075.9590845702,0.9810847876034824
38,2021-03-31,275000.0,0.1358927483241925,15.0,70.0,5100.0,173087.79065946062,262197.3868296006,405626.3713809597,225382.65968377204,248229.81096266853,250269.95717159496,318023.5950643839,409413.4679814628,0.9880244018973494
39,2021-04-30,270000.0,0.1320224719101123,10.0,77.0,7837.5,175796.31161386307,267141.73845843674,411924.3414470218,228508.6447333084,252617.8902158483,253513.88766127103,321887.2144103338,415166.9715795056,0.9934617253584408
40,2021-05-31,299900.0,0.1120689655172413,7.0,79.0,8000.0,178183.15502889073,273850.8285015608,419250.2504053824,233058.2715618756,257305.013204418,256680.59415979063,326268.398261558,421945.0327870685,0.995959594794978
41,2021-06-30,286500.0,0.1538992408557626,6.0,76.0,11900.0,180597.0773846513,280937.0474350251,427958.4496812992,239684.1161126081,262951.390721889,260160.9065732991,331057.4262837781,429586.3922167282,0.9977335629109088
42,2021-07-31,312000.0,0.1757907542579075,6.0,70.0,10000.0,182806.75838237008,286713.8510223976,437430.75274770224,248688.81711743143,269417.53661624907,263494.20193601225,335786.8668586994,437054.716396141,0.9976792545694612
43,2021-08-31,301000.0,0.2069754145225843,11.0,62.0,10000.0,184489.9937108132,291114.7180394081,446173.5459674063,258499.9439375901,275592.663753513,266184.98666169884,339665.79670442914,443112.4704592512,0.9958614270610796
44,2021-09-30,295000.0,0.1936205931729155,13.0,59.0,10000.0,185798.8210596797,295675.68785896216,454416.9603326872,267968.284582526,281126.4644204467,268435.68268712115,343282.13605775504,448578.0014193019,0.995606009679036
45,2021-10-31,308500.0,0.1768397033656588,13.0,57.0,10000.0,187593.10791448463,299568.9829701862,462562.1614027344,276410.39560175646,286765.3383532991,270988.52907366795,347128.0431926092,454233.3025330216,0.9945332690801564
46,2021-11-30,329000.0,0.1791139240506329,14.0,57.0,10000.0,190180.25815650413,304070.8458903072,471492.2557244715,284674.09900601924,293288.72260735143,274393.18550661067,351838.5962880012,461245.66405371553,0.9940418729000065
47,2021-12-31,338000.0,0.1324041811846689,15.0,60.0,10000.0,192749.5034540322,306420.8755091269,479835.5821517344,292626.77506560367,299766.7743132066,277837.9270499607,356581.2779229472,468189.4435044921,0.992493419178265
48,2022-01-31,331000.0,0.1230348598769651,9.0,69.0,10000.0,196644.51832552804,312003.28309110715,489273.5166753453,300815.3409235308,307614.3545918845,282875.8103970544,362720.2602224837,477018.5239133628,0.9935180699079496
49,2022-02-28,325000.0,0.1064880112834978,6.0,74.0,10000.0,201698.36281604468,320089.1797302411,500173.0731517,309304.8393699008,317020.3693081528,289293.4139245626,370058.21842836944,487515.4302533732,0.9956335294866038
50,2022-03-31,350000.0,0.1346039309112567,6.0,72.0,10000.0,207940.70476881388,329504.3945816259,513728.247033491,318448.8401586141,328177.86734868586,297205.6882327236,378900.6815940477,500168.4904663972,0.9970616146925873
51,2022-04-30,355000.0,0.1630434782608695,7.0,64.0,10500.0,213293.0768556861,338980.3279626249,527832.941509215,328562.9449679672,339041.9488405969,304327.2890364145,387104.06087748334,512519.6568562318,0.9984205130447508
52,2022-05-31,357000.0,0.2260500235960358,10.0,55.0,10000.0,217284.0798111108,347159.25028284144,540918.8586123585,338204.4323950085,348478.9736177989,310131.01582935656,393877.5983766016,522760.10595235135,0.9988360138000094
53,2022-06-30,355000.0,0.268371904181892,12.0,47.0,15000.0,220612.64874737777,354356.57942784723,552286.4628669419,347526.19917696755,356678.27690079325,314856.1964591188,399458.8174100216,531525.8726138328,0.9963543517721288
54,2022-07-31,334500.0,0.2888971407352395,20.0,42.0,11000.0,223119.8531657247,356574.1074750241,559387.6726402813,353554.4282744303,361937.39321836416,318103.5293064084,403067.6302975272,536600.2461685837,0.9928952606403956
55,2022-08-31,354000.0,0.3057324840764331,21.0,37.0,12500.0,224734.0138052937,355533.1083752507,561532.3809502044,355789.8936984192,363729.8543690686,319700.3060979372,404865.3769067293,538793.2113808932,0.98499802727215
56,2022-09-30,372000.0,0.2577354641278476,25.0,32.0,10000.0,225434.52283661265,355114.7242724266,559672.0790191664,354906.6740374058,362817.0466787992,320022.64423801727,404958.32364073297,538019.7842705249,0.9795439119613758
57,2022-10-31,350000.0,0.2712783994574432,32.0,30.0,10000.0,226045.64627357223,354974.9922062974,558118.1167638028,353472.16010509856,361945.1231155132,320400.68495434435,405631.1944910644,538415.7792138938,0.977129123662828
58,2022-11-30,330000.0,0.2697299193265521,38.0,29.0,10000.0,226804.3593831926,352939.6181285449,557238.8095699234,352898.5090655024,361994.15541021735,320922.85935251595,406139.0366118241,538411.9362491652,0.9741391827210628
59,2022-12-31,340000.0,0.2112211221122112,49.0,30.0,10000.0,227286.77652584,350147.0104422046,556478.4512318266,352399.10275835096,362555.3663096835,321286.3337587222,406411.5646169391,538107.7184967982,0.9709646449532744
60,2023-01-31,325000.0,0.2453176643408006,51.0,32.0,10000.0,227524.33482560096,346255.25161791954,554567.1978328038,351699.8402355776,362884.6234917023,321371.06401160493,405859.1643463551,535773.9756306466,0.9700333253001064
61,2023-02-28,327500.0,0.2168721109399075,45.0,35.0,10000.0,228374.2137322903,346603.7641220088,553650.6749858817,350674.2432943541,363793.7224214932,322327.3013555074,406320.7477892093,535051.5161191658,0.9728142703989252
62,2023-03-31,356500.0,0.2229940951719347,30.0,38.0,10000.0,230067.83569009925,348334.3618688682,552832.9645036961,349354.44514345715,364866.0611099067,323860.89877090114,407026.2272956147,534638.1835588788,0.97641516224769
63,2023-04-30,360000.0,0.2231163130943672,24.0,38.0,10000.0,232224.11197405864,351998.3643412375,553072.2941541243,348015.3690296015,366075.2295898975,325674.2830075394,408143.593347752,535901.6280770012,0.9773050559371724
64,2023-05-31,365000.0,0.2567567567567567,25.0,36.0,10000.0,233760.8991077116,354845.7882530521,553099.9815479978,347587.2653951336,366698.9576286718,326669.04878285987,408301.06740420166,536379.410710517,0.9778142252632072
65,2023-06-30,375000.0,0.2443202979515828,34.0,33.0,10000.0,234828.42170977747,358312.25047814107,554347.5112110442,348284.039635324,367423.7530795143,327428.310715343,408707.3591285988,537824.7979690485,0.9788689766194896
66,2023-07-31,345000.0,0.2666666666666666,42.0,33.0,10000.0,235376.67992305112,359593.88453923963,555029.9016185923,348925.7179281949,367635.3766424333,327817.05071820604,408717.8494209687,538625.597418137,0.9782795712264526
67,2023-08-31,365000.0,0.2778390297684674,41.0,31.0,10000.0,235693.9223063436,360360.0229920759,555911.0437921361,349133.51262472325,367761.5054932897,328251.09068233374,409156.235892347,539727.7283193698,0.9746998473617244
68,2023-09-30,350000.0,0.2482193732193732,36.0,30.0,10000.0,235319.94059827703,359516.7666033408,556198.3995489512,348315.95808910875,367235.67272595695,328138.7770829439,409074.2464190701,539984.1747554232,0.9767161929914658
