,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,190000.0,0.1778879310344827,63.0,40.0,6400.0,128978.58537088025,232341.8106555981,400841.0451737875,153069.42177183766,174718.91781103672,198756.105697374,351078.6727174681,450921.6100673279,0.981530447316614
1,2018-02-28,189900.0,0.163716633282917,45.0,40.0,6000.0,129798.98678766498,231935.1147367809,402175.3939054695,153966.06469281766,175697.8006846191,200000.49600263263,352613.30088369834,452836.4661448349,0.9741020677916822
2,2018-03-31,205000.0,0.1742058592434616,29.0,43.0,7400.0,130735.53294937896,233489.3971419732,403861.9077364993,155127.18608292248,176911.9444654846,201346.3021954916,354363.7609730984,455029.081573582,0.9813194271803478
3,2018-04-30,207000.0,0.1682114658427737,24.0,47.0,7498.0,131537.52146308575,235040.4327439719,405367.1259210404,156213.52965170008,177987.2661154892,202469.525317859,355736.8896323493,456796.1838809345,0.984818305944258
4,2018-05-31,220000.0,0.2309096339561278,28.0,47.0,9900.0,132092.11357263685,237047.6031293872,406721.3864455496,156887.26431820542,178749.49712475578,203212.58843111992,356866.7480603212,458268.9824512567,0.9853010487262944
5,2018-06-30,235000.0,0.22428004137885,34.0,46.0,10000.0,132218.71324712163,239245.43610290773,407359.1885813784,156952.59938920877,178945.70838027485,203461.1074562932,357475.1534213333,459088.2947229336,0.9881762995542608
6,2018-07-31,230000.0,0.2390037095919449,25.0,47.0,9000.0,132500.31674869542,241539.4486479851,407680.4774628955,157166.77720106256,179272.4098142219,203697.9406010001,357788.63108706364,459568.6685137253,0.9844148443543592
7,2018-08-31,230000.0,0.2363139342493345,27.0,47.0,7900.0,132939.9044306421,242509.69041181533,407945.4104150047,157404.6092811225,179783.23766415202,204096.4649114687,358201.7676175921,460073.104810683,0.983917240806102
8,2018-09-30,216650.0,0.2431366822429906,30.0,46.0,9600.0,133627.66787331156,242788.5169052824,408342.7858636935,157943.22923657557,180548.2157968825,204779.47102969888,358754.68812992173,460718.8647954166,0.9823396164299568
9,2018-10-31,205000.0,0.2747288503253796,29.0,45.0,9001.0,134267.13563364177,242256.19040063457,408926.5330411463,158359.98833244262,181247.4612235319,205552.185464215,359521.2473790885,461669.95184540126,0.9791986429643132
10,2018-11-30,214000.0,0.2293347747191228,36.0,46.0,7800.0,134989.97438603768,241592.6970548432,409641.246852378,158841.00383254132,181974.3704355709,206453.7467483169,360344.7037429768,462868.5732067558,0.9797600096400564
11,2018-12-31,206000.0,0.1534303896783192,47.0,48.0,7000.0,135784.9908558171,240693.38980751976,410344.05160883936,159481.84508791586,182699.4510648613,207361.3793825968,361030.4845186486,463978.2323628057,0.9764419489206564
12,2019-01-31,195000.0,0.213511259382819,47.0,52.0,7100.0,136910.40897473728,240249.81792451016,411074.9230752974,160271.3243222637,183486.7156692704,208353.5671771993,361686.3227181869,464669.4530852905,0.9725212845315282
13,2019-02-28,200000.0,0.1857367455672984,27.0,54.0,6500.0,138235.72709144824,240379.8900370632,411967.1879236805,161101.94496607734,184311.6432647197,209407.42564499984,362464.6796355036,465299.8109855559,0.9771432768899856
14,2019-03-31,210000.0,0.1961054830698884,18.0,55.0,7000.0,139541.97859624246,241539.1475117452,413125.3921589858,161611.50473781448,185011.1095674709,210384.84955222483,363552.9164654633,466097.07379994745,0.9802140409315288
15,2019-04-30,219900.0,0.2218808295841106,15.0,55.0,9500.0,140464.94417830944,243386.35513863177,414413.4125454859,161890.83127866147,185479.33225063529,211065.19729763185,364763.90689340536,467338.9160625972,0.9854469586723632
16,2019-05-31,229900.0,0.241109709962169,15.0,52.0,10000.0,141021.57190912694,245677.39711752988,415332.98782440665,162137.91621370483,185726.43861765263,211433.72375884885,365638.7245249318,468155.71083569824,0.985515061416298
