,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,245000.0,0.2356022974231605,35.0,55.0,5000.0,181269.62069452787,260214.0735238068,411282.6756235421,124694.5623323965,200486.6530973593,239401.35160668512,298939.9627192056,406010.641130943,0.97530963372038
1,2018-02-28,250000.0,0.2128419877163595,26.0,55.0,5000.0,182996.77773384727,261450.7523371591,413406.3751694315,126248.65739636224,202340.78615063653,241471.68366525287,301009.85915377206,408111.65235538,0.9811973804264408
2,2018-03-31,251000.0,0.223324801009853,26.0,55.0,5001.0,184832.0491348217,263721.59846079466,415646.9237588171,127847.28678549908,204257.12536067373,243578.40398140028,303139.2643474794,410495.7348966929,0.9837246142783512
3,2018-04-30,252000.0,0.2233438040447534,24.0,57.0,5100.0,186324.3471832216,265924.7773937028,417696.0194695672,129119.81643262676,205822.4908579249,245250.0729935213,304982.22302924,412726.799508747,0.9823809426307022
4,2018-05-31,258000.0,0.2325346055151975,25.0,58.0,5000.0,187881.8523246201,268461.54595757526,420270.1827973593,130174.24339841932,207407.68958120668,246920.77935756967,306931.08891374577,415353.5081510844,0.9850222400164136
5,2018-06-30,265000.0,0.2239113341071629,27.0,57.0,5000.0,189418.59194252736,270657.1666243869,423082.6907322711,131045.09660857896,208951.7377642296,248540.85214410792,308936.1841810606,418074.28012956696,0.983800088133292
6,2018-07-31,260000.0,0.2401186562976028,25.0,56.0,5000.0,191270.1961041336,273127.7812849255,426372.7797254277,132172.5532049725,210825.1483809828,250402.03180967955,311189.49857688305,421276.65329616406,0.9814910051692044
7,2018-08-31,256000.0,0.2665810181467801,26.0,56.0,5000.0,192919.28726942287,274395.8481979517,429281.9803886499,133405.819195792,212624.7788314774,252165.6156058632,313294.126757189,424221.8140359162,0.980924428799812
8,2018-09-30,255000.0,0.2547143259217562,24.0,55.0,5000.0,194480.6829344296,275231.3014109958,432176.79339328455,134814.86221525064,214378.202861403,253815.57190589493,315407.8399681195,427287.6137574468,0.9818940556040184
9,2018-10-31,255000.0,0.2826019896660754,26.0,54.0,5000.0,195734.4534828534,276335.33765175915,434536.0201090423,135962.23492371905,215793.1960866353,255188.65363992736,317249.88786280085,429798.7836513248,0.9806234406695792
10,2018-11-30,256771.0,0.2530338239091144,37.0,53.0,5000.0,197034.7994126044,276606.61191455333,436619.0824686109,137086.89836318872,217089.6150094308,256420.11610465104,318884.20972167264,432055.98722667055,0.9785322049091468
11,2018-12-31,257000.0,0.2014206855235568,38.0,54.0,4900.0,198349.14808765848,277218.3734787699,438223.8495768056,138234.68889565024,218218.18652632376,257515.41945042065,320082.07365324075,433673.8439235239,0.979929965618689
12,2019-01-31,259125.0,0.2987471393661999,38.0,55.0,5000.0,200067.3018608832,278095.63952148217,439660.6325456637,139596.04877858833,219426.418173324,258600.207820942,321082.77184089104,434956.47782019066,0.9766225727006071
13,2019-02-28,259975.0,0.2744869578290611,28.0,56.0,5000.0,201993.1416415856,279587.79962422204,441178.7394538661,140765.234480003,220623.5192506964,259679.7323156444,322007.055696326,436090.67786240176,0.9766912795255424
14,2019-03-31,265000.0,0.2727850784230606,29.0,57.0,5000.0,203785.5677975066,280926.0197146139,442593.3663354319,141540.7495589008,221599.6255109193,260580.78600603784,322870.63042187266,437111.57209596346,0.9782441171582597
15,2019-04-30,268000.0,0.261654349061967,25.0,59.0,5000.0,205171.8940116217,282707.7395319698,443899.194939184,142055.29002522692,222374.1531161956,261297.18237696285,323612.68122434284,438074.4328931337,0.9820344812092968
16,2019-05-31,273000.0,0.2511151736745887,26.0,59.0,5000.0,206133.31252553457,284367.3839176389,444795.940010589,142402.60810885832,222935.56563687025,261809.4669180738,324203.3393251383,438807.8037583224,0.9845638446188868
17,2019-06-30,275250.0,0.2317668054729327,24.0,61.0,5000.0,207095.5484065024,285828.9133860474,445591.7333291405,142893.94155047927,223684.2232519152,262449.6496023413,324801.89399721025,439457.6678448297,0.982929726275956
18,2019-07-31,275000.0,0.2315363999824261,24.0,64.0,5000.0,207945.2095024,287430.9101022335,446334.97797996295,143312.8950359102,224444.0341381585,263162.315132277,325421.75736075087,439935.4298783333,0.983114563249806
19,2019-08-31,275000.0,0.2305163676208738,20.0,66.0,5000.0,209013.7381701238,289202.13154654,447728.7326465233,143936.92659181906,225511.736198234,264203.9448439336,326400.8296847903,440971.986377236,0.9827794824008352
20,2019-09-30,275000.0,0.2313898400487827,19.0,65.0,5000.0,210151.34632445127,290748.8933132154,449904.8191331217,144584.70725794195,226729.0835865613,265485.1756278369,327874.01948635204,442778.7637876277,0.9829300995834882
21,2019-10-31,279000.0,0.2556983953318745,20.0,64.0,5000.0,211639.89771731044,292632.9591836211,452583.8267558478,145502.30417579462,228251.5267142302,267156.4010157666,329798.6093020746,445283.9680704202,0.9824137239789918
22,2019-11-30,277000.0,0.2292965917331399,23.0,63.0,5000.0,213402.4320105992,294590.84709108376,455553.63551428594,146711.64933703738,229991.24743703485,269161.85212371056,332143.4983915624,448219.8152111771,0.9835187675315422
23,2019-12-31,283000.0,0.1822638631659222,29.0,66.0,5000.0,215338.82497061693,296323.4100976284,458402.3582261571,148091.6839344743,231803.32798492047,271349.4048167156,334625.24698164035,451212.3102681677,0.9821111799696202
24,2020-01-31,285000.0,0.2136808145982457,22.0,71.0,5000.0,217872.82523973583,299254.64361069247,461812.4380473203,150453.96937551422,234281.9301590484,274000.0657380757,337526.0282099261,454496.2898289673,0.9776304467399506
25,2020-02-29,290000.0,0.2312945222304102,17.0,73.0,8000.0,220995.93780000144,302760.55932276545,465497.3397936026,153578.855253957,237282.2235997845,276948.3368681725,340510.8949004316,457601.9402769013,0.9823715711075784
26,2020-03-31,300000.0,0.1853559572113611,12.0,71.0,9001.0,224535.0895093396,306698.853289961,469703.2888263083,157289.37761471886,240790.2342164536,280271.6713374933,343785.25187883823,460893.6859545118,0.986616437072316
27,2020-04-30,298000.0,0.2083514992975827,17.0,72.0,5000.0,227596.81602928863,310171.1466205825,473451.7368655734,160360.51533564893,243796.5195534844,283190.4882201015,346717.319751834,463822.5519917389,0.9866114357333432
28,2020-05-31,295000.0,0.1972034715525554,21.0,75.0,5000.0,229616.2736390101,311457.3897164508,475955.7480552657,162405.99409474348,245841.7189113728,285172.684783304,348791.7089551138,465824.3488295188,0.9826432564611642
29,2020-06-30,305000.0,0.1540348546021362,18.0,78.0,6000.0,230802.53231191085,312789.1766903346,477693.07770856895,163048.3635991528,246907.56159434924,286582.02886082773,350526.504250993,467785.4088057701,0.9897148450233864
30,2020-07-31,315000.0,0.1372495644599303,12.0,80.0,7900.0,231997.44598876336,316220.0002186739,480010.99449685885,162999.13621155554,247830.43271366344,288300.83277834294,352835.5175808939,470844.0305109871,0.9904499853518436
31,2020-08-31,320000.0,0.1388395977845889,9.0,81.0,8000.0,233931.3842507611,320451.2448951297,484485.83883550455,163024.5598253722,249401.3665809256,291189.6805552282,356782.2248530677,476263.3075431911,0.9936503855357438
32,2020-09-30,323000.0,0.14365933551708,10.0,77.0,9900.0,237202.6660611682,326576.1754897564,491525.5146819158,164007.85482226958,252391.85622958592,295650.5967411716,362494.2200254239,484002.3907563992,0.9953552368981664
33,2020-10-31,325000.0,0.1604428689360462,11.0,73.0,9000.0,241146.98076011604,331934.4463019378,499981.0583139648,165621.7403165827,256050.8396400312,300980.25857871294,369286.8411088057,493313.8556639685,0.9978548979539794
34,2020-11-30,328500.0,0.1471837890837782,13.0,73.0,9000.0,245645.0215453528,336967.44644298014,509102.5192998285,167775.4114754556,260100.63583186409,306884.46633677423,376668.0433186117,503650.1185080999,0.9977443260925356
35,2020-12-31,330000.0,0.1169957915182907,17.0,79.0,9000.0,250150.8063857605,341803.8370172607,517810.1079559477,170170.17137265523,263852.5660003082,312683.66391239554,383987.36235388176,514006.2698554618,0.9978482637721812
