,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,261500.0,0.1161616161616161,53.0,44.0,10000.0,197588.8554827995,287912.42563498707,467174.5158910874,192372.56378801272,236228.041875246,290216.4813078672,371595.0746280507,507542.6540893261,0.9791013584117032
1,2018-02-28,251750.0,0.0906735751295336,31.0,47.0,10000.0,198584.334218228,287019.6086744036,467545.9846942282,192981.4344654812,237267.2515999196,291330.48404146923,372464.13390302216,507884.7025245943,0.9944382647385984
2,2018-03-31,270000.0,0.0959614672100778,19.0,53.0,10000.0,199881.23567988005,290259.4295923222,468795.8852724216,193790.41638683176,238587.9520735924,292873.3533806264,373999.5040392126,509492.6716742405,0.990765679107349
3,2018-04-30,259900.0,0.120440467997247,17.0,60.0,10000.0,201344.9438825215,293912.0625220434,471353.7655486828,194777.86529824973,240150.21599293823,294875.07002179645,376427.4388674484,512704.6874396638,0.9864866774863376
4,2018-05-31,276750.0,0.147162083089526,13.0,61.0,10000.0,203016.5549620924,298660.6803665417,475050.0214972756,196064.368602321,241992.8413281626,297302.2141443407,379634.7725762026,517335.8507483405,1.0
5,2018-06-30,285950.0,0.1795557934171795,13.0,60.0,10100.0,204467.28255217845,302773.61252430564,478086.1430419218,197240.1971553905,243643.66072157843,299368.0125567817,382351.7289686012,521092.3606114047,0.9907883325930156
6,2018-07-31,285000.0,0.2019602785659014,19.0,56.0,10000.0,206064.058251152,307651.7143428365,480993.9401537024,198517.2536123152,245459.2300716434,301526.9673982794,385048.56278807553,524507.4917876753,0.9924528301886792
7,2018-08-31,275000.0,0.2323943661971831,22.0,50.0,10000.0,207731.3276633605,310133.444969677,483741.1350600047,199815.22452676715,247302.287455304,303639.8614058418,387647.2472205808,527923.5224447871,0.9888847721378288
8,2018-09-30,275000.0,0.2237142133265771,33.0,44.0,10000.0,209039.9268579161,310016.09091236856,486119.8182666632,200939.97642057,248754.6658677725,305321.0273358256,389793.20191605,530797.4700599267,0.9877469367341836
9,2018-10-31,274900.0,0.2213780455855384,30.0,41.0,10000.0,209695.39696545573,308400.3868218594,487417.95172575646,201620.3759190252,249491.63576870048,306227.6392905092,391041.45378165226,532756.4502285734,0.9896334500556137
10,2018-11-30,278000.0,0.1647129546137661,43.0,39.0,10000.0,210145.0042151564,307246.3769736379,488156.78653125936,202311.68018244373,249974.2176053388,306800.1377388616,391815.84126445255,533990.2692486751,0.9787234042553192
11,2018-12-31,270000.0,0.0970756707868556,58.0,41.0,10900.0,210764.1375044405,305692.5571862451,489313.68341192737,203126.4086115752,250643.8750253591,307628.51474005193,392891.1319202039,535647.1503229563,0.973703879302535
12,2019-01-31,265000.0,0.1519250780437044,69.0,44.0,10000.0,211417.6636693192,303281.9476775256,490136.944254361,203897.1414620946,251227.5430703362,308318.63146267977,393655.4753181643,536482.9741941046,0.9678077692318948
13,2019-02-28,275000.0,0.1183526589364254,30.0,53.0,10000.0,212083.9133428937,302916.6405816252,491064.82964198274,204403.27996790697,251855.00280941385,309154.383969148,394602.44883267273,537430.7239472495,0.9725482671431672
14,2019-03-31,270000.0,0.1082513247539742,18.0,61.0,10100.0,212971.3000408218,305123.35595755687,492290.4663426865,205009.60170076776,252704.50724641889,310270.6586328191,395838.8677570993,538731.9569151719,0.987898565823981
15,2019-04-30,285000.0,0.1239092495636998,13.0,66.0,10000.0,214041.3055536649,307146.7312593115,493971.12318620266,205624.9480492336,253784.5620504322,311706.1829587133,397566.1181261301,540703.5737896132,0.985266257772314
16,2019-05-31,291000.0,0.1529548088064889,11.0,62.0,10900.0,214802.8524221453,310037.5879974816,495060.6669984828,206043.064451152,254506.31453446345,312634.43887716206,398736.51445826096,542298.196670921,0.9927772017797252
17,2019-06-30,305000.0,0.1790357529794149,11.0,59.0,10000.0,215357.1451061628,314186.2879076247,495626.3135090075,206329.48718530187,255009.01416522497,313245.62133787625,399446.5894083211,543226.2219505217,0.9925602873268342
18,2019-07-31,296500.0,0.20234291799787,16.0,58.0,10900.0,215944.05477036824,317794.4689927245,496303.4887585376,206878.40099681463,255581.5772612562,313811.0360122041,399985.9044238644,543961.8938463819,0.9948979591836734
19,2019-08-31,290000.0,0.2063894523326572,21.0,57.0,10100.0,216931.0657469504,320118.35465790285,497542.1624906089,207811.99820788705,256603.4759386296,314887.2481301299,401061.3917013828,544972.7836200094,0.9879575078604352
20,2019-09-30,299950.0,0.2023659702995217,23.0,50.0,10000.0,217814.03680052923,320376.40902825334,498397.8432296671,208579.61864377977,257520.6360301995,315851.3666391131,401929.9885209901,545544.6622676151,0.9890131337966632
21,2019-10-31,289450.0,0.1827024185068349,30.0,48.0,10000.0,218898.60640056155,320806.91441934195,500173.31360539846,209476.25316729784,258671.22405254413,317253.6863240045,403555.0036256264,547609.6435598332,0.9883176317669752
22,2019-11-30,298500.0,0.1282363691745354,27.0,47.0,10000.0,220226.38896215925,321142.84218033496,502183.6215101947,210706.05810201704,260083.7615476705,318941.3811797476,405526.4056588416,549931.5116890963,0.9886935595185982
23,2019-12-31,289000.0,0.0698571979930528,52.0,51.0,10000.0,221652.18704686745,319257.51987337414,504295.51848079584,212068.2283944407,261560.56687134373,320751.592095603,407743.4330284267,552481.2627823264,0.9886929812421428
24,2020-01-31,290000.0,0.0991806813281586,57.0,54.0,10000.0,223381.73534158207,319704.221911732,506359.12397522246,213820.3376519228,263403.98980429536,322891.5331799384,410327.1545398459,555011.2543665938,0.98890623455986
25,2020-02-29,282500.0,0.1252268602540834,27.0,63.0,10500.0,225400.9437187039,321283.7212249056,509158.5717772615,215800.0979360509,265584.05583135,325375.7908099811,413295.626815648,558250.3379149134,0.9970657468836484
26,2020-03-31,305000.0,0.0875943000838223,11.0,70.0,14000.0,227964.55467899225,324308.61469989043,512815.0075657344,218141.5170648667,268319.752486916,328447.9976645936,416913.05001813086,562270.7457796911,1.0
27,2020-04-30,305000.0,0.0766986244268445,16.0,77.0,,230505.4940025569,328441.83238608495,516283.51167291467,220334.52286077983,270942.20372991875,331329.9476169315,420151.88203740073,565821.3544466923,0.9907512268780672
