,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,195000.0,0.1969761499148211,53.0,40.0,6000.0,141651.0618186663,220540.75508008164,344515.82679687184,84555.73574643863,159741.07791039982,224885.0753848414,279454.7104578687,408651.1956909261,0.9657794258771992
1,2018-02-28,199450.0,0.2142412289806933,43.0,39.0,6410.0,143159.06874993115,221806.26041537823,345797.8771521394,85323.3783427968,161033.7234447101,226645.3744194417,281073.96759476146,409888.7207888792,0.9687982692216904
2,2018-03-31,206000.0,0.2211614956245028,42.0,40.0,8000.0,144697.78314821885,224480.91880599305,347470.8696368688,86170.6052391471,162436.38101533765,228263.94889244737,282495.212928873,411670.93466337136,0.9711760346714026
3,2018-04-30,212500.0,0.1996340719658467,37.0,42.0,6000.0,145963.49000965178,226599.300945668,349294.54728577804,86927.97980044397,163760.26041496755,229672.0615520517,283787.7187656769,413696.3603299733,0.9714883804652046
4,2018-05-31,214900.0,0.1815654405474764,43.0,43.0,6000.0,146910.80435346707,228644.95096920032,351092.3429668546,87463.04253179133,164772.8875053301,230828.21649641183,285013.51350142044,415754.4416421211,0.97352256984325
5,2018-06-30,215000.0,0.1993678031158275,48.0,42.0,5100.0,147688.3101243625,230035.37338582505,352640.46664884937,87950.52642654197,165575.95937944495,231881.89513742,286215.8086027221,417411.47053824906,0.9741922586154594
6,2018-07-31,215000.0,0.186833565136764,43.0,43.0,5268.5,148667.4547091153,232053.9895828247,354652.945538826,88680.75533181433,166611.75975455565,233124.262345016,287623.8278422276,419442.61832112586,0.9720641381654744
7,2018-08-31,216000.0,0.1891828058573453,42.0,43.0,5100.0,149656.91350554055,232981.88313593663,356704.17717226804,89503.11317356868,167758.99685559375,234293.38152559308,288960.96370234154,421438.2839643876,0.9715907582890938
8,2018-09-30,213000.0,0.1853905496624879,43.0,42.0,5100.0,150593.9272872687,233684.28930017675,358692.3865713105,90322.0119230026,168843.856409604,235305.4393211538,290241.0050954527,423697.96557843086,0.9723972654704074
9,2018-10-31,212000.0,0.2307342577858604,35.0,41.0,5930.0,151407.9335777885,234255.9816028656,360281.8056858009,91059.33760392644,169709.1923606269,236194.02865863105,291445.1287646588,425809.282219741,0.9718529267120062
10,2018-11-30,205000.0,0.2128146453089245,39.0,41.0,6000.0,152275.65437021106,234089.01516703807,361650.0372540334,91813.32823354822,170561.44869578283,237049.77784241387,292632.56378823944,428124.4898385746,0.971180340009114
11,2018-12-31,209500.0,0.159265287142525,50.0,41.0,6000.0,153365.0111131719,233979.15791971592,363160.9198500296,92749.8410478357,171631.01378323848,238054.85305817053,293914.3326322261,430487.0983476634,0.9710325938144332
12,2019-01-31,213000.0,0.258761206193969,58.0,43.0,6000.0,154661.94721372356,233324.86190561627,364057.5405679934,93623.92533458314,172698.24684834023,239091.77877585604,295124.5496735845,432081.32386957953,0.9660924589097458
13,2019-02-28,220000.0,0.2464666021297192,46.0,44.0,7050.0,156013.6234192245,233879.17814907336,364839.0983804807,94445.8241021568,173773.3760568327,240309.3608807408,296352.4397203744,433209.23965248506,0.96753312636432
14,2019-03-31,218000.0,0.2422487859544266,52.0,44.0,6550.0,156986.23556792169,235029.71633626253,364965.8445769872,94910.8699411096,174397.23878578868,241260.9056822857,297273.28026497806,433568.74490513495,0.9721962255414228
15,2019-04-30,226500.0,0.231134765253754,54.0,43.0,6901.0,157506.14628751305,236588.9964489206,365231.6829523961,95370.29955298937,174851.49063906856,241969.75237876087,297856.6673709603,433932.1785949249,0.9737342574354224
16,2019-05-31,225000.0,0.2255978047824382,48.0,41.0,6320.0,157723.168929664,237640.79352456745,365104.8242934172,95810.40030552004,174996.93204367603,242261.7982826309,297986.86967542995,433664.92963783257,0.9751531062115346
17,2019-06-30,225000.0,0.197698314837649,49.0,43.0,5950.0,158053.12267653082,238760.37389597413,365420.5764884646,96382.75384007228,175395.3638255689,242643.63319893143,298131.6703762443,433595.8456872097,0.9755750244128284
18,2019-07-31,225000.0,0.207236137871976,48.0,44.0,5500.0,158512.0781982856,239853.11894571103,365855.498147005,96964.66255002172,175933.90978766652,243007.0069875469,298239.7037248567,433445.1602752797,0.9755600056230664
19,2019-08-31,220000.0,0.1770809835325964,53.0,45.0,6000.0,159073.6396801851,240553.9480793276,366792.2228075434,97621.22366666142,176680.1740571269,243484.62957577585,298481.4615512875,433909.3232322845,0.9735209686372562
20,2019-09-30,235000.0,0.1884293680297397,44.0,44.0,5100.0,159552.26971943988,241111.74057001903,367691.462531453,98184.52976027723,177310.14308340798,243854.00806245604,298728.1926955552,434583.10179812537,0.9741186860432932
21,2019-10-31,235000.0,0.2093601627854397,55.0,44.0,5500.0,160204.86018073704,241877.6997009756,368943.2323353705,98733.14383805118,178052.8067975298,244415.2757321352,299246.3633987917,435997.5439844763,0.973204418426681
22,2019-11-30,228500.0,0.1839106654512306,38.0,43.0,5400.0,161117.46720168402,242472.2928055738,370423.95372903935,99347.87275562076,179056.28362441983,245286.32686247173,300104.6257595678,437631.9911997176,0.9741057519369192
23,2019-12-31,230000.0,0.158439116125999,53.0,43.0,6000.0,162260.45917763453,242921.37661956745,372217.60318702325,100092.70382471076,180283.5191689296,246483.8974772784,301380.49649853026,439810.5650968558,0.9722608879432946
24,2020-01-31,228000.0,0.2407991587802313,51.0,43.0,6500.0,163619.865949353,243529.73354712225,374211.8794421824,101371.9383888078,181945.83280523084,247965.8165477517,302835.9147976172,442167.71425224567,0.9698108195066218
25,2020-02-29,227500.0,0.2865271286323917,34.0,43.0,9000.0,164944.279796493,244502.25374879167,376147.8850722499,102500.27704265845,183308.1053153037,249495.32541876275,304514.6154142477,444862.1679576029,0.9725337752124292
