,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,245000.0,0.1355268311790051,55.0,52.0,10000.0,202735.7392765293,292360.4427165985,450080.228601756,174004.91262145757,230405.362722358,295073.64987259754,390181.69952575,448720.8232925493,0.9803921568627452
1,2018-02-28,245000.0,0.1222852670710232,23.0,54.0,10000.0,204093.4632609341,291616.9853766037,451234.7678600962,174777.7972244277,231476.0861903373,296341.9074700719,391441.3159884578,450164.9386129705,0.9818451278251203
2,2018-03-31,255000.0,0.1185792349726776,22.0,58.0,10000.0,205689.78704155565,293982.38295223244,453110.2747930814,175814.36314724476,232848.3468979745,297944.31686865306,393312.5003562667,452517.04314464406,0.9853687667960586
3,2018-04-30,258000.0,0.1423155899541936,15.0,61.0,10000.0,207315.50339246064,296522.32657056354,455476.83000092296,176964.78461779002,234281.67085973543,299680.45413149,395577.0713171999,455405.38911461673,0.9910608551039464
4,2018-05-31,268500.0,0.1635123851934316,15.0,61.0,10000.0,208836.3974445402,300482.71615252184,458342.221126254,178164.86847540046,235763.24674154192,301514.12935211585,398146.4257500905,458655.5110300784,0.9966030265308876
5,2018-06-30,277000.0,0.1884769409636997,20.0,58.0,10000.0,209984.4007412568,304750.0928537751,460727.02291363926,178961.7481398211,236882.3291326106,303006.0292268582,400285.1913793812,461313.01807421725,1.0
6,2018-07-31,273500.0,0.2031505986137366,25.0,56.0,10000.0,211273.70894770464,308612.2738681843,463213.0447710892,179963.62128348884,238235.179327168,304616.0769814933,402425.87262088346,464037.17601710727,1.0
7,2018-08-31,270000.0,0.2215197719102516,27.0,53.0,10000.0,212717.23884169664,310698.97331520147,465625.1106318335,181039.4318220252,239691.23380417985,306172.4225620067,404517.7068217069,466903.18532379385,0.9907700107411984
8,2018-09-30,267250.0,0.2296102602415639,43.0,49.0,10000.0,214147.2478462912,311152.1582203777,467723.7600740586,182211.7503983772,241107.3937641793,307585.39834175125,406375.45697859256,469510.2693027055,0.988816392895856
9,2018-10-31,265000.0,0.2517526289434151,34.0,47.0,10000.0,215101.1360926598,309100.5592350067,468695.801769125,182993.86662943463,241947.03502502863,308271.0358860057,407275.3906639842,471062.37209001137,0.984840220138122
