,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,166000.0,0.0758426966292134,,75.0,5000.0,100835.06232841228,168093.47284523628,272334.3976210225,87662.32949205535,115812.6207769342,173931.4142249852,216109.408410238,191057.0224513216,0.9794248972544368
1,2018-02-28,145000.0,0.0691056910569105,,78.0,5400.0,101726.41389100243,168397.16764504576,273674.07100774674,88581.85556277177,116851.71418350944,175132.46081669792,217668.09044553465,192173.6330168864,0.9839083215400912
2,2018-03-31,162000.0,0.1013824884792626,,83.0,5000.0,102741.95784113451,169809.65091609018,275402.4699899135,89831.31229002874,118076.23769237724,176299.0953256936,219262.97628234536,193410.02881221907,0.992665684481699
3,2018-04-30,165000.0,0.1145038167938931,,80.0,5100.0,103792.46800983702,172129.70379640098,277437.1670887989,91231.15222521644,119402.64045095262,177680.66744477567,221045.26369620685,194933.8223052088,0.9975094019217406
4,2018-05-31,169900.0,0.1167369901547116,,77.0,9100.0,104767.18177647992,175509.90553808556,279442.7822378339,92627.0013702043,120686.30848854854,179260.6812762719,222885.69698047297,196513.29111025145,1.0000797866801987
5,2018-06-30,176000.0,0.1619937694704049,,80.0,10000.0,105611.33787316864,178949.21071908207,281131.84383195406,93671.0672513114,121760.47636958228,180891.512444488,224539.1456053386,197951.99323937023,1.000091692136705
6,2018-07-31,172000.0,0.1825962910128388,,82.0,6000.0,106496.80202366698,182487.84037761184,283157.04711551307,94521.62213570572,122827.43136909376,182650.8651294712,226348.542014972,199611.34427593427,1.0
7,2018-08-31,165000.0,0.2054794520547945,,73.0,6950.0,107272.07074298331,183557.2702043372,285144.9139317982,95156.03487481335,123778.09461301718,184182.9755132956,228071.75373035105,201225.5072861748,1.0001151191558713
8,2018-09-30,172500.0,0.2124352331606217,,64.0,5000.0,108112.9405852102,184157.07761500232,287223.4475902377,96158.33750324912,124889.098126483,185675.2485506952,229867.2302882117,202938.24335959333,0.9941397193267808
9,2018-10-31,165000.0,0.2166064981949458,,49.0,5000.0,108823.5468459776,183947.78809879348,288647.5200957895,97335.65915556828,125940.40801615364,186777.33309503653,231270.74516759533,204263.8047152783,0.9909864471374742
10,2018-11-30,165500.0,0.171018276762402,,45.0,5000.0,109711.3008690744,183639.2627975644,290014.7200128298,98722.0977285268,127076.8588722016,187898.3423410956,232575.33943792968,205523.4004533972,0.9890122905695566
11,2018-12-31,169900.0,0.091743119266055,,45.0,5000.0,110701.3965513787,183552.75859286924,291680.85244197486,100060.41944358998,128241.23531433144,189147.2880731148,233959.91259081903,206807.0419536524,0.984881985195958
