,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,,0.0753424657534246,,51.0,,138921.342651294,212382.1349654389,341833.85703389195,155686.66995702055,170456.97170422968,205209.7670352015,248426.23040690497,304190.8485852814,0.979738452763688
1,2018-02-28,,0.1165644171779141,,47.0,,139789.06170306978,211814.84265556064,342219.81878913846,156710.07173542943,171674.44460473544,206593.9644246136,249854.654204684,305486.7684900177,0.9875815000141244
2,2018-03-31,,0.1550802139037433,,49.0,,141149.6528529315,214422.82324184704,344111.521379578,158362.62138980912,173164.661048323,208160.9510901613,251577.8329221636,307324.78739255253,0.9952087041024772
3,2018-04-30,,0.154228855721393,,47.0,,142333.47725886016,216227.4144736305,346409.0393567936,159854.08677991803,174397.23981196884,209373.74536052067,253088.849286816,308986.10403294134,0.9933935692814856
4,2018-05-31,,0.1643835616438356,,55.0,,143185.35159572933,219673.46650610707,348191.49534520897,161108.18579610795,175249.41001785456,210150.2002740152,254192.17850146105,310301.0450386676,0.9953448360497124
5,2018-06-30,,0.1990950226244343,,51.0,,143349.10085514016,222726.224353712,348504.9659545285,161505.4562192211,175592.82046199872,210624.7002460569,254800.2367937072,310892.59320111555,0.9974063866736254
6,2018-07-31,,0.222707423580786,,49.0,,143947.7747093819,227388.66368487047,349661.8246618809,162148.34369317506,176476.64926168046,211813.59088086555,256186.6196218516,312519.20571329555,0.9989278055754108
7,2018-08-31,,0.2371541501976284,,42.0,,144752.05986812673,229071.3796175168,351558.2418671061,162798.98727489045,177674.6559047442,213272.14583889663,257958.59738128327,314841.51625467907,0.9930182329775612
8,2018-09-30,,0.2096774193548387,,37.0,,145728.71705224013,229403.75155702303,353806.0590893153,163640.68892857307,178959.06041257735,214627.74093771505,259663.89683283065,317384.50655000185,0.9929206175950394
9,2018-10-31,,0.2355371900826446,,36.0,,146508.00012528035,228516.21184155543,354934.4894127544,164382.01389290032,180026.71236538375,215637.19304192465,260705.2277319357,318799.26502225385,0.9942220726712016
10,2018-11-30,,0.138755980861244,,33.0,,147306.33800665228,227291.2588535293,355504.35840795905,165155.35018120013,180978.5390643676,216474.71514362536,261393.5933021645,319602.50796833646,0.9897232608073342
11,2018-12-31,,0.1098265895953757,,33.0,,148131.28865403903,225467.31177063784,356208.3596482471,166120.5857153299,181948.73002357536,217314.0021078491,262117.0879257481,320337.1883599365,0.9829783987390488
12,2019-01-31,,0.1290322580645161,,40.0,,149540.95215958034,225642.1325826916,358322.1999856999,168360.4192737099,183234.6166535201,218068.9369293408,262862.64211247885,320971.64474422886,0.9817536270085052
13,2019-02-28,,0.0764331210191082,,57.0,,151484.23500778383,226585.2933442996,361749.76591289183,171694.4943603012,184968.7198243423,219103.21604310325,263872.4903298312,321568.165013468,0.9846565435133008
14,2019-03-31,,0.0880503144654088,,73.0,,153890.80852332013,229270.3387236751,366104.7687623834,176054.0523356482,187174.60062068485,220459.1408476497,265201.446234474,322277.5747991023,0.9892539885897637
15,2019-04-30,,0.1648936170212765,,71.0,,155655.52692063965,231629.189924763,369214.23897288746,179377.26300711895,188934.7134949573,221569.80902011445,266176.6616042037,322762.291827646,0.9961073310303576
16,2019-05-31,,0.1478260869565217,,61.0,,156333.18060117448,234528.5041821935,370823.058169741,180918.72549774303,189790.58039021425,222062.41844600337,266588.47337504226,322973.68240712554,0.9963960058964348
17,2019-06-30,,0.2172131147540983,,58.0,,156349.33833813042,238315.53599608465,371661.79790791945,181163.0070803551,190057.92258114097,222200.091199394,266626.4063538026,322924.68523997493,0.9977839620696763
18,2019-07-31,,0.2432432432432432,,56.0,,156097.2807694966,240961.5297502156,372269.1864257189,180905.0453401883,190123.4817378492,222320.1363075752,266712.66019939,322964.1671841032,0.9968579623090764
19,2019-08-31,,0.2183908045977011,,47.0,,156126.01127503594,242195.95346766373,372714.2040348346,180983.3018100492,190496.3252462545,222823.27966359505,267050.7066768647,323057.63519123883,0.9967584709271318
20,2019-09-30,,0.2393822393822393,,42.0,,156463.96101232772,242822.9870085996,372662.3787913033,181411.42883048663,191095.3867117189,223499.51593726384,267445.3569626012,323065.8970490251,0.9937364538233332
21,2019-10-31,,0.198501872659176,,44.0,,157196.78979621135,242709.74519237384,373330.7275262079,182086.704140378,191940.85212258136,224468.1252819741,268410.4250729999,323682.10077205,0.991675847607003
22,2019-11-30,,0.1830357142857142,,41.0,,158548.71445600517,243012.3497637831,375192.7128782024,183429.6090917502,193119.3874551532,225724.5663198568,269997.9660714802,325157.19788511656,0.9874610893791044
23,2019-12-31,,0.1032608695652173,,36.0,,160051.97049640876,241774.09591380376,377523.7366232751,184981.82590317723,194370.0953551857,227083.65166675305,271826.1385802619,327019.42799043126,0.9851543514096396
24,2020-01-31,,0.0914285714285714,,52.0,,161798.40432432084,240892.57390047456,380132.2438989418,186784.16979821245,195828.58922883464,228786.08920990457,273782.13069709664,329232.2939480098,0.984080193181406
25,2020-02-29,,0.2254335260115607,,63.0,,163562.90185344592,241316.41650701527,382941.1316891242,188439.6205456012,197386.1400058727,230633.74335990995,275756.80170844734,331584.9229234299,0.985124642482466
26,2020-03-31,,0.1515151515151515,,64.0,,165440.68675996197,243636.04589114743,385948.9124693897,190233.0785280201,199247.2556584829,232724.5934409582,277760.89834814786,333933.2754784548,0.9881227111960842
27,2020-04-30,,0.1420765027322404,,55.0,,167314.37922302555,247151.01999337468,388597.3703024967,192116.7792188493,201182.04569195,234742.44932346744,279584.8562129108,335862.61053366034,0.995632096958498
28,2020-05-31,,0.174757281553398,,58.0,,168352.91628829096,249302.64175458305,389735.0275857299,193156.6703511265,202284.75860064392,235814.68221630296,280466.2004016457,336670.8659379853,0.9942429349730364
29,2020-06-30,,0.2102803738317757,,67.0,,168559.7841709657,251141.6498676256,390144.7295458611,192890.8871202673,202574.1477888789,236154.86474618028,280866.50655762333,337112.357543729,0.9964619836979356
30,2020-07-31,,0.1483253588516746,,75.0,,168427.21432149317,254625.8679590611,390839.6780955792,192440.7873367344,202876.8053211364,236557.6987366768,281563.3798833858,338145.8621776017,0.9949231285009724
31,2020-08-31,,0.1063829787234042,,71.0,,168548.8768686696,255287.8443615742,392425.4642616976,191619.27953067163,203191.22594762547,237459.60802832688,283114.51384370704,340203.3779959258,0.9962680929098306
32,2020-09-30,,0.2121212121212121,,60.0,,169301.3026004561,256364.1417541595,394954.4884412731,190945.9228979092,203696.2501225179,238884.32240778545,285432.8767257833,343119.6906857053,0.9978019959904366
33,2020-10-31,,0.281767955801105,,51.0,,170466.65822750604,257733.7360460029,397815.83951685065,190003.5690176823,204030.00057260483,240471.8947877905,288088.96504602977,346362.30305603886,0.997425787361642
34,2020-11-30,,0.1733333333333333,,60.0,,172179.12161988704,258319.13951177275,401610.6451005868,190249.6267552805,205187.7246665432,242740.151989396,291261.3222073708,350243.47594771744,0.9972505184112912
35,2020-12-31,,0.0991735537190082,,68.0,,173954.16751895697,258330.3822083124,406231.45669589,191487.43671015976,206759.68730658563,245354.3099997973,294858.04642191844,354742.3247485065,0.9972995861615792
36,2021-01-31,,0.1067961165048543,,75.0,,175404.64726960674,257475.73519378083,410897.23817854415,192726.43749592293,208077.43332455843,247603.49367639737,298134.54395290016,359068.5388422737,0.9948946863453072
37,2021-02-28,,0.0921052631578947,,88.0,,176866.9275632781,258869.46071401672,416209.0503683102,193999.5226610416,209465.2323346941,249887.142406208,301572.0075150299,363741.9578250365,0.9923004529264938
38,2021-03-31,,0.1486486486486486,,110.0,,178477.66662840996,261356.5253356913,420844.0157385068,195360.6739960168,210970.9418101858,252092.6419972533,304677.28905173007,367823.95490416925,1.0017613394640514
39,2021-04-30,,0.0934579439252336,,113.0,,180335.7575547608,265759.0891401248,425831.9950004754,197311.0765124218,213162.56896272604,254828.061094644,308079.72970945574,372128.1164777368,1.0024228307925729
40,2021-05-31,,0.1417322834645669,,99.0,,182466.2074194839,272542.62921830773,430780.2244538344,199692.06054390804,215896.22974334253,258015.2838224414,311777.72279453714,376644.4199162709,1.018575249141954
41,2021-06-30,,0.1605839416058394,,89.0,,185505.05199281024,280938.2647315712,436956.9054605014,202782.71055032205,219741.6006832919,262364.8821971435,316586.115755874,382231.42988277925,1.0216932087514945
42,2021-07-31,,0.1439393939393939,,85.0,,188441.1910162625,287171.5784000284,442775.48342764407,205619.2298390884,223800.4767127725,266781.15163291554,321738.1524224738,388087.7971726744,1.0173216922697468
43,2021-08-31,,0.213235294117647,,85.0,,190379.04160584373,288649.0455609547,446375.0289829071,207459.9237169868,227097.51750086364,270061.50847425073,325973.6020127735,392860.6513144407,1.0058309556654643
44,2021-09-30,,0.2093023255813953,,81.0,,190802.46305411417,288919.74012434256,447542.1885066777,208046.2704904876,229072.55165999927,271641.7077265771,328726.43698134896,396327.2622582813,1.006014264742574
45,2021-10-31,,0.217391304347826,,70.0,,190913.3261083304,288857.6154785284,447705.8383480045,208528.29712627688,230392.7657970157,272548.4452166556,330739.369140358,399093.0854355635,1.0004232211738846
46,2021-11-30,,0.1818181818181818,,64.0,,191434.69067968745,289092.0067234261,449213.9818179256,209520.8710418244,231767.38713216977,273732.3710325469,332820.3611544992,402019.5785367641,0.999825832366038
