,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,338250.0,0.1267350633675316,23.0,65.0,7375.0,245543.9629989529,350369.09725917235,536309.0314424825,163798.35750822825,254105.0968331065,327584.00596952013,409680.3034455138,532606.6722656083,0.9871557365163596
1,2018-02-28,340000.0,0.1082688875669244,9.0,64.0,10000.0,249081.2101358268,352953.47966822574,541654.9659310282,166514.71290897802,257746.92291303663,331563.3730964677,414122.9221262711,537834.3185769742,0.9917934604344056
2,2018-03-31,346000.0,0.1057317751808569,11.0,65.0,10000.0,252763.85993356525,358038.8695037168,546940.2776713314,169896.5712633351,261565.2432305715,335481.81628160994,418419.3836430406,543105.5544078811,0.99795057832441
3,2018-04-30,355000.0,0.1334379905808477,7.0,66.0,10000.0,256102.801340494,362724.99301738624,552071.4277488956,173167.37992920063,265006.27475798497,339182.6544212988,422660.4702079615,548308.0422792942,0.999137721583542
4,2018-05-31,345000.0,0.1540923639689072,8.0,65.0,10000.0,259189.2303459097,367832.697671359,557605.3973324946,175996.51017407537,268203.98681055225,342624.2649832351,426961.3128287343,554078.3013291663,1.0
5,2018-06-30,355000.0,0.1795088907705334,11.0,62.0,10000.0,261728.62562414925,372937.7792592451,562815.5236172938,178369.91255920427,270805.3387395134,345576.3158119903,430808.41176533146,559276.6416766458,1.0
6,2018-07-31,359900.0,0.2349921011058451,17.0,58.0,10000.0,264471.3235030148,378217.96323346574,568266.708485837,181217.90207821457,273743.72808990674,348613.6662988595,434539.2917137277,564665.6174827059,0.9986679946719788
7,2018-08-31,345000.0,0.2903225806451613,21.0,53.0,10000.0,267275.47140327626,381237.4494194963,573709.2077681591,183900.5756183109,276750.15979939635,351744.1937830909,438219.5484430894,569950.8598360169,0.9968253128070618
8,2018-09-30,349000.0,0.2656641604010025,29.0,51.0,10000.0,269768.31459172483,382057.6011069319,578292.2804885566,186027.0927350674,279422.6707258109,354500.2649080393,441536.2685318005,574750.0465992786,0.9909700343996104
9,2018-10-31,350000.0,0.296987087517934,30.0,50.0,10000.0,271484.2989803409,381584.45580253593,581484.2610091745,187414.9830231267,281334.25296073646,356393.5599358546,443987.4214694752,578278.505269547,0.990366397458108
10,2018-11-30,345000.0,0.2313056954668733,39.0,50.0,10000.0,272662.2512285867,380763.9873332868,583816.4373868502,188358.4698097875,282649.4546907686,357738.01017641806,445809.8527669727,580829.9379725758,0.9875643006508332
11,2018-12-31,334825.0,0.1476774758983348,42.0,52.0,9900.0,273618.0654579813,379208.9319492431,585420.6218098858,189492.8110566466,283787.132182913,358627.8529654061,446919.47145053634,582419.5837185923,0.9898827562116362
12,2019-01-31,337000.0,0.1957695769576957,57.0,54.0,8900.0,274827.35436636006,378254.3014902478,587103.0979470896,190722.1764831312,284815.646006492,359735.1302494483,448141.073206102,584190.6493086246,0.9877339100085496
13,2019-02-28,345000.0,0.1527046433700335,34.0,58.0,10000.0,276085.66537801625,378321.9876496887,588691.5126241584,192378.32417501623,285808.7591017455,360913.4290504615,449531.1175708477,586165.7496190305,0.9885341404694138
14,2019-03-31,342000.0,0.1528662420382165,20.0,60.0,8000.0,277248.5543608167,380033.3829268381,590942.9644497894,193840.03571690567,286519.8474851611,362337.8149302802,451348.6072481556,589029.959283343,0.9897706841731884
