,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,119180.0,0.1733870967741935,84.0,12.0,,85390.40031759591,136821.15736199997,223306.30434165112,,86309.6739457232,133251.42990815672,167466.93928111132,199968.64850753787,0.960211920761243
1,2018-02-28,108000.0,0.146551724137931,89.0,16.0,,86313.90449903265,135551.63235456243,224903.4529789929,,87268.5769445254,134629.27813309754,168897.04594942383,201285.46267850595,0.9618305151284072
2,2018-03-31,124000.0,0.1194029850746268,44.0,21.0,,87023.74561026099,137734.52751723697,226459.26226153912,,88039.42057316501,135701.81618454255,170093.74784163118,202547.00877247527,0.9661516298553114
3,2018-04-30,126000.0,0.1979166666666666,37.0,22.0,,87536.27164641857,140028.2447271032,227745.0640183269,,88471.43703461364,136386.8544813943,171128.14238837155,203870.83355735944,0.9713507671865254
4,2018-05-31,131000.0,0.2684563758389262,40.0,22.0,,87849.13438457662,141428.67667789248,228325.61526572143,,88555.88949996496,136543.29718618558,171648.03250565066,204743.5580836836,0.9747756380157544
5,2018-06-30,129750.0,0.2165242165242165,24.0,29.0,,87670.19673454504,143485.58630428696,228159.09213769424,,88389.63271673633,136324.05419984853,171851.95491313413,205282.9364773486,0.9756154234674658
6,2018-07-31,156000.0,0.194300518134715,21.0,33.0,,87454.81814877076,145264.4006152038,227605.9250755453,,88440.64903626643,136161.0439098053,171869.16344459288,205485.67822744817,0.9756503563209926
7,2018-08-31,129500.0,0.260989010989011,34.0,25.0,,87471.77780003673,144947.87637880625,227332.1405197132,,88851.1879933828,136346.73076992133,172194.88132134662,205982.140560917,0.9699002642107668
8,2018-09-30,137000.0,0.2412868632707774,31.0,14.0,,87733.84469090133,144543.77764478978,227211.85508237573,,89408.36702691624,136826.99932375507,172765.64771015642,206653.39600104108,0.9723572769337748
9,2018-10-31,136000.0,0.2061281337047353,57.0,15.0,,88196.95473159837,143595.43854047384,227602.2137444236,,89965.11484368714,137497.96276675715,173576.75138805967,207755.6625563996,0.9658584906078982
10,2018-11-30,137000.0,0.147239263803681,89.0,16.0,,89029.09537638724,143391.14286175204,228821.33083877128,,90694.62996677282,138590.78861442025,174876.03863268587,209420.4195125486,0.9686481746516252
11,2018-12-31,117000.0,0.1153846153846153,91.0,23.0,,90141.6758773618,143343.7584830443,230390.6499671245,,91725.11738362866,140011.27855481693,176340.25432958928,211330.17342028205,0.964610511257989
12,2019-01-31,119250.0,0.1438848920863309,44.0,24.0,,91265.78076820116,142676.3892657273,231889.53464061505,,92726.17610224412,141300.38685214883,177624.38517433,212710.37852958264,0.964579738720548
13,2019-02-28,110500.0,0.1265306122448979,94.0,28.0,,92397.4695604242,142673.9832627,233052.3075978752,,93710.9484445807,142506.76250041483,178685.74326200213,213472.52793840293,0.962100124451796
14,2019-03-31,116000.0,0.1254752851711026,50.0,32.0,,93142.8968197226,144060.1245635681,233896.04822568505,,94118.69266723962,143155.923080925,179306.81183781137,213587.5950318088,0.9671291017069668
15,2019-04-30,135000.0,0.1666666666666666,16.0,38.0,,93402.10289409412,145113.43256942788,234412.917831318,,93952.57970635,143215.3861912499,179554.1245081961,213605.8532060517,0.9725942066043496
16,2019-05-31,159000.0,0.2159763313609467,19.0,34.0,,92977.03478046694,146686.4061773106,234293.08279426608,,93210.60314228012,142586.36982551197,179175.86236453126,213205.9132479533,0.9750275840352232
17,2019-06-30,130000.0,0.2448377581120944,31.0,23.0,,92074.77533706556,147578.9508880037,233223.9950521997,,92156.02634631892,141458.29506370844,178084.58777677684,212125.3633002777,0.9775799811103092
18,2019-07-31,141500.0,0.299719887955182,46.0,20.0,,91341.25339225309,149320.9823349263,232105.00526397824,,91389.1300877034,140643.63170017092,177121.97981753745,211062.94524883284,0.9727542333818616
19,2019-08-31,156500.0,0.2678062678062678,38.0,18.0,,90882.96622915786,149265.9293232601,231363.67366972848,,90905.44591020764,140062.94134443093,176429.46179705838,210395.7475261872,0.9709565377839032
20,2019-09-30,144250.0,0.2492836676217765,53.0,19.0,,90939.67973743333,149314.2447205632,231937.77684896952,,90849.97388862653,140218.0406315143,176850.67034629095,210986.0427211205,0.9709542853860844
21,2019-10-31,128875.0,0.2041420118343195,43.0,22.0,,91469.8602659264,149077.67771947064,233104.05395468287,,91118.53945849488,140771.0979118588,177698.73568861838,212024.92402556355,0.9713348507599452
22,2019-11-30,124000.0,0.1617161716171617,61.0,25.0,,92305.05378786694,148282.6774525022,234626.1691622593,,91661.76917992468,141758.82117189016,178962.20334735358,213586.00611488207,0.9678397539353468
23,2019-12-31,136000.0,0.1647940074906367,58.0,23.0,,93329.86133677606,147542.80816957445,235877.15553680927,,92478.65093134246,142754.96720747958,180011.83660877068,214831.3023733713,0.9633290590469796
24,2020-01-31,125000.0,0.1954022988505747,77.0,20.0,,94021.54727778184,146477.67170894338,236862.41085709105,,93463.20811369333,143945.28382334657,181333.9500088723,216244.0068258401,0.9636161850502448
25,2020-02-29,134000.0,0.2178988326848249,59.0,22.0,,94731.38973330584,146011.9930623667,237653.49962433567,,94677.68318377726,145287.47519774662,182786.8884459138,217591.78047583232,0.960854935340331
26,2020-03-31,145500.0,0.1647509578544061,53.0,30.0,,94989.15982833132,146188.39269258175,237829.8362167823,,95514.1677892357,146245.78553862314,183840.14467179065,218496.5385727145,0.9680397378469384
27,2020-04-30,147950.0,0.1576923076923077,25.0,40.0,,95019.09776332873,147789.0181030745,237706.79509292173,,95795.17979597898,146456.3238008402,184105.727672112,218776.77645033927,0.971376943681905
28,2020-05-31,136000.0,0.2074074074074074,20.0,46.0,,94483.29748627606,148657.24116796453,236755.42164385293,,95310.31270132004,145710.71040952808,183381.3022847413,218079.4684388988,0.9705254591087664
29,2020-06-30,152000.0,0.2480916030534351,17.0,49.0,,93990.79497622834,150697.25096360315,235849.145164068,,94777.02963657228,144900.07581237014,182698.4473887493,217472.92805349323,0.972627200779016
30,2020-07-31,160950.0,0.1486988847583643,30.0,50.0,,94057.5667910652,154151.2536517223,235445.9609534149,,94741.17835074388,144618.5266149052,182480.19651941967,217360.0222253908,0.976653482026807
31,2020-08-31,137000.0,0.25,11.0,44.0,,95223.31532257784,157169.95363183948,236958.8350396616,,95473.29530454948,145225.47942495096,183398.80613314305,218642.91260017164,0.9774029297276996
32,2020-09-30,143500.0,0.2395437262357414,27.0,40.0,,97375.82172658504,159599.43232735986,240210.15271286728,,96927.0036891136,146741.02889776148,185361.55787953536,221392.7320896959,0.9793826909792732
33,2020-10-31,152000.0,0.2638297872340425,16.0,34.0,,99665.0454671792,160011.51433261862,243992.2644308346,,98637.93536982674,148831.94293190897,188184.3633402789,225244.07746646096,0.9794408867595172
34,2020-11-30,150000.0,0.2583732057416268,34.0,35.0,,101814.87168872089,160743.9402620113,247624.48256409285,,100624.30642562595,151529.67051538595,191573.7269653489,229578.59695715443,0.9768303578500284
35,2020-12-31,150000.0,0.1684210526315789,31.0,30.0,,103243.38021856733,159636.56544405504,250317.32443178623,,102212.08919095308,153869.77435191852,194578.1107824695,233455.93713941044,0.9739732117889004
36,2021-01-31,134000.0,0.165680473372781,59.0,42.0,,104440.71777250932,159218.4504374101,252773.36674048592,,103593.02597517316,155883.45522020536,197061.425620248,236646.27729661443,0.9699877426635856
37,2021-02-28,147500.0,0.1376811594202898,31.0,59.0,,105635.42055421426,160308.17865949305,255306.9464098264,,104917.70982852492,157706.305950148,199385.0215880936,239784.01323668656,0.9726344250334698
38,2021-03-31,159000.0,0.1134751773049645,14.0,72.0,,106931.98051706936,162182.8800010691,257924.1044000464,,106434.35107997252,159643.5495560325,201718.05238660003,242791.3218746037,0.9774963232801176
39,2021-04-30,164500.0,0.1358024691358024,6.0,72.0,,107496.04281799048,163892.03282171334,260158.81617254543,,107443.9830994893,161166.13054252192,203822.63831564845,245677.81304196827,0.981572492120272
40,2021-05-31,155000.0,0.1392405063291139,5.0,66.0,,107865.54351365728,167998.3094216155,261980.3661381643,,108220.77283276134,162369.52416865146,205665.17817161884,248337.26588652705,0.9910458375008588
41,2021-06-30,165000.0,0.1910112359550561,8.0,62.0,,108347.16286433242,172955.5920227603,264445.6120703582,,109068.24011507438,163812.00341658722,207996.1561584999,251390.020988346,0.995898270994658
42,2021-07-31,157000.0,0.2010309278350515,11.0,57.0,,109413.797769579,176369.81737588675,266588.97317490104,,110433.48225785716,165775.6250832764,210663.81441094985,254177.7390550392,0.991670422522309
43,2021-08-31,162500.0,0.1853658536585365,11.0,58.0,,110259.65750015016,177263.87941038137,267456.9787461317,,111928.91268115916,167755.34378360256,212969.32170612263,256026.1361864305,0.9925673985713116
44,2021-09-30,165000.0,0.1556603773584905,12.0,58.0,,110700.92177450145,176216.2739666182,266723.0128279671,,113371.55457756092,169397.79518382938,214515.92805079752,256880.27183912785,0.98922075779071
45,2021-10-31,175000.0,0.1711229946524064,16.0,50.0,,111735.91842051467,177568.31841505595,267517.30081019603,,114863.79261003564,171069.0089533019,216367.8483074155,258861.3623261616,0.9895892494830608
46,2021-11-30,150000.0,0.1791907514450867,9.0,42.0,,113268.41874095384,178706.9393509527,270337.5171825328,,116336.28116323732,173114.09942598274,219093.6409322676,262300.30134993274,0.9847844900395384
47,2021-12-31,143500.0,0.1510791366906475,19.0,51.0,,115274.89533364348,178273.99415417618,274360.8500845279,,117715.45146321674,175284.22078683425,222251.4791061605,266547.6768448261,0.9792699737843958
48,2022-01-31,159000.0,0.1696428571428571,20.0,66.0,,117064.99955460396,179244.595636137,278392.0450236157,,119133.47958413255,177775.8989874403,225673.4710293208,271032.68727303046,0.9787260953313228
49,2022-02-28,133500.0,0.0934579439252336,7.0,76.0,,118631.30472566882,180619.71105137587,282282.8330687974,,120712.77721199728,180607.1195432061,229342.09115122084,275896.5588143598,0.9791765687672758
50,2022-03-31,165500.0,0.1415094339622641,5.0,82.0,,119855.42360056857,183050.9626118176,286508.3864374997,,122403.10750880344,183835.679155605,233628.09678209704,281448.2284165142,0.9872800347873324
51,2022-04-30,135250.0,0.1327433628318584,5.0,87.0,,120668.1962022116,187262.7613115428,290378.1474113011,,123884.85336596308,186714.70343826493,237440.33690404825,286270.2847159309,0.9964127505438206
52,2022-05-31,152000.0,0.1785714285714285,6.0,75.0,,121161.29366101422,190649.26443910407,293030.0922114597,,124908.91526448193,188662.0886638568,240081.8117835156,289594.7316842502,0.9987065083079364
53,2022-06-30,144500.0,0.2769230769230769,12.0,59.0,,121697.12951739538,194422.2590269338,295226.4265598988,,125643.54411250244,190034.09718168047,241930.8939719171,292083.0401258176,1.0005088505501434
54,2022-07-31,178000.0,0.2112676056338028,8.0,53.0,,121600.92560465413,194575.18058284803,295414.3090227737,,125736.18285479717,190376.36986804288,242514.23002406387,293105.5466853316,0.9943991667723852
55,2022-08-31,165000.0,0.2785714285714286,11.0,55.0,,120960.35717334626,194076.2006937333,295410.5005677196,,125498.83893940308,190398.96893311225,242741.05172045936,293737.07701110444,0.9917274728280976
56,2022-09-30,162000.0,0.2480620155038759,10.0,56.0,,119969.5815845807,192108.0883704096,294306.2079102952,,125067.86320291518,189900.3408054548,242095.0375911641,293052.9357429201,0.9862102741003956
57,2022-10-31,133000.0,0.1942446043165467,10.0,54.0,,119800.41557485671,191488.30785867665,294405.52436925954,,125268.76616021596,189998.54838115736,241972.09752683569,292861.17497544555,0.9835350252689607
58,2022-11-30,166750.0,0.1726618705035971,10.0,48.0,,119943.50175661738,188827.55122318905,294226.5169383993,,125754.1903892589,190054.49520921987,241657.0159430548,292360.5621577509,0.9807464518828442
59,2022-12-31,131000.0,0.2542372881355932,17.0,43.0,,120506.5204137468,186938.25732120057,294606.56969870074,,126503.98244924426,190346.6253916072,241658.6254103415,292304.71780434303,0.97446071460244
60,2023-01-31,132500.0,0.2040816326530612,35.0,42.0,,121299.68534292358,186579.0568647181,295104.4130036705,,127044.3152921628,190132.2100420183,241156.2596402003,291688.6273590393,0.9660005651347744
61,2023-02-28,150000.0,0.1844660194174757,23.0,60.0,,121876.9154364118,184003.6946182799,295747.15662430105,,127619.52348511392,190212.3212747377,241418.0941486636,291889.0606139149,0.9698451318085778
62,2023-03-31,160500.0,0.1588785046728972,6.0,74.0,,122448.80558928508,184807.3121824639,296224.3426533321,84121.47929761965,127844.87472760445,189965.52299626503,241398.88966691555,291504.61094373773,0.981786681190713
63,2023-04-30,152000.0,0.1403508771929824,8.0,86.0,,122904.24047577898,189117.36258486213,296522.09712573624,84485.338571448,128076.84331143613,190242.79207157192,242049.3599631548,291439.9572111394,0.9877317914236028
64,2023-05-31,152750.0,0.1775700934579439,7.0,76.0,,123854.43636924223,192438.46363051905,296717.7659449318,84886.01462759079,128210.55962396372,190516.58681217287,242469.29673248483,290954.3491327019,0.9938132652361296
65,2023-06-30,201500.0,0.1491228070175438,8.0,72.0,,124704.00388255987,195408.32284834184,296573.75239411165,85499.4598278572,128606.48270453284,191375.2735118571,243571.23969666404,291319.53769231326,0.9948926068061577
66,2023-07-31,171000.0,0.1238095238095238,8.0,65.0,,124972.42429160028,196819.202137417,295565.2294101049,85891.03669659897,128848.53361552113,191863.8812991049,244380.63548406915,291879.1946893892,0.9965876200742252
67,2023-08-31,166000.0,0.1596638655462184,6.0,69.0,,125113.50010506756,197600.68970810712,294731.32771524345,85963.39892896672,129194.70780253263,192380.7156128765,245316.9182550484,292783.4374019162,0.993113803045538
68,2023-09-30,155000.0,0.2203389830508474,8.0,66.0,,125109.39314680362,196849.9483808745,293990.1070098242,85857.44614345873,129459.22368945448,192857.511939661,246032.3316437133,293436.78267506225,0.9926807782980543
69,2023-10-31,165500.0,0.3255813953488372,12.0,53.0,,125514.314322602,196916.40802663032,293891.3602726749,85939.07758425576,130258.60719526943,194054.35496318853,247296.0681838464,294498.5944918334,0.9912705948442084
70,2023-11-30,178250.0,0.2481751824817518,12.0,47.0,,126384.02555792114,196106.3734435934,293969.27898281027,86270.94070830672,131392.20097201972,195441.7396855472,248435.3063084684,295168.50718565454,0.98543051816477
71,2023-12-31,175000.0,0.146788990825688,17.0,53.0,,127642.3982133919,195013.49096208712,294591.1398493024,86729.34427000099,132724.48177844478,196938.70582197385,249786.90438024,296159.6759300679,0.97950832610922
72,2024-01-31,167500.0,0.2149532710280373,16.0,67.0,,128662.8840481325,193256.13160366804,295346.30316595366,86909.91593705206,133681.44415955298,197982.3545041751,250882.9104792505,297095.8609721204,0.9788415447727108
73,2024-02-29,172000.0,0.1842105263157894,10.0,71.0,,130000.14032925764,194670.2434916683,297126.51786395325,87167.81976576902,134934.97320791846,199509.4555778053,252755.1281415489,299064.25716476096,0.9855092935246283
74,2024-03-31,172500.0,0.146551724137931,14.0,71.0,,131671.4925006012,198264.39354986505,299717.9812245672,87743.67577070289,136497.40856453616,201564.46230784908,255349.00977834305,301916.7786787315,0.983648204425761
75,2024-04-30,,0.2169811320754717,10.0,70.0,10000.0,133197.04990570832,200966.95657823383,301908.1427367667,88557.71591747098,137993.63806262668,203726.0431279757,257933.7460622885,304584.9684641176,
76,2024-05-31,,,,,,,,,88997.71060903675,138572.16726577253,204975.8476409453,259560.77096229195,306310.187549589,
