,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,96000.0,0.1265377855887522,93.0,17.0,,53551.47371623523,107687.677873424,190716.1520332068,75952.48858347134,54081.954526826485,108716.20276099304,166612.25283340484,196051.9266231572,0.97409306537226
1,2018-02-28,101000.0,0.1018181818181818,79.0,17.0,,53973.07108459599,107585.57143776576,191242.90844571925,76418.13448272157,54658.37728368746,109106.9522913627,167248.9644561773,197048.7378840544,0.9755744991882044
2,2018-03-31,112500.0,0.1123388581952117,51.0,21.0,,54469.14437955164,108197.91879734553,191897.18145365352,76776.47241110141,55225.492276172015,109606.15633060275,167993.47881297523,198172.35759349287,0.9801018425801756
3,2018-04-30,129500.0,0.1387959866220735,34.0,26.0,,54822.34718430506,109475.82065339971,192687.3870390657,77051.61558039118,55534.46962986275,110184.17029303688,168798.3975785224,199265.1194457443,0.9823051032609552
4,2018-05-31,105000.0,0.1433447098976109,23.0,29.0,,54868.1202671944,110412.65999182496,193265.82127805703,76773.25003614738,55473.404821307886,110540.517504188,169442.7326186516,200140.23105404875,0.983746725399988
5,2018-06-30,120750.0,0.1528013582342954,38.0,26.0,,54850.01946396943,111484.89205386175,193702.19873398487,76652.39884133179,55352.48206447501,110806.48225344848,169874.5697512234,200681.4135718617,0.9831226563632424
6,2018-07-31,119500.0,0.1509769094138543,37.0,24.0,,55066.40481492591,113004.3884549384,194195.09487051587,76798.29362588366,55519.742816282,111136.74916396724,170221.07844612518,201116.4071778323,0.9827777087509016
7,2018-08-31,121600.0,0.1362007168458781,47.0,24.0,,55301.5893001845,113564.84084913017,194822.3557091347,77289.18965811198,55776.696975446015,111584.70118632897,170652.9191257898,201608.206151586,0.9812258908289953
8,2018-09-30,123000.0,0.1569416498993963,46.0,22.0,,55589.01272466152,114842.25294340152,195573.6063877556,78033.53161679748,56138.460111510416,112298.88589098584,171428.4057976884,202298.6277691134,0.9826896476257552
9,2018-10-31,111500.0,0.1790744466800805,50.0,21.0,,55703.20628406216,114775.34427853535,196123.53574733736,78728.35567644284,56314.62481258556,112912.55301341794,172131.39383644343,202919.30431321764,0.980449910424771
10,2018-11-30,103000.0,0.1690721649484536,38.0,23.0,,56020.26629374724,114559.53529732884,196687.81031772285,79495.49125894606,56696.82986442734,113629.05137452716,172931.84109130132,203654.2635358967,0.978687248663186
11,2018-12-31,115000.0,0.1162227602905569,46.0,27.0,,56459.93013856112,115057.60341820908,197391.37937597,80197.55433798906,57151.86689165022,114436.56232327293,173822.7403413187,204512.8179144531,0.9794681725314948
12,2019-01-31,105000.0,0.1401273885350318,67.0,33.0,,56830.79549430168,114087.28302577807,197985.1365613643,80960.61614281185,57530.61118938904,115101.10019467647,174508.49232193353,205203.61131215547,0.9755257512263452
