,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,120000.0,0.158004158004158,79.0,15.0,6100.0,63545.6590339308,117731.8662282886,212593.92606434948,,68163.68620176555,122746.04835501012,193152.2923148101,66490.54122950288,0.9782322033815484
1,2018-02-28,109900.0,0.1033057851239669,28.0,16.0,6000.0,64009.11573580081,117321.43693795122,213273.0102713988,,68564.92194309308,123296.644227249,194234.2186228549,67089.04294313975,0.9755416319736998
2,2018-03-31,116300.0,0.1173076923076923,28.0,20.0,6000.0,64769.16204286477,119163.52966169194,214356.84641405693,,69128.60239240051,124137.73246828752,195483.2996270788,67843.63835540706,0.9790919991942908
3,2018-04-30,131950.0,0.1245674740484429,23.0,22.0,5100.0,65657.0985240954,121512.52755269772,215427.7035490791,,69926.14702961873,125074.37335418428,196672.1241417095,68871.6606365294,0.9783872683123992
4,2018-05-31,134000.0,0.1524752475247524,34.0,28.0,5950.0,66584.35973679532,123990.44785465972,216693.0017692345,,70880.9455397602,126146.9648230106,198009.6441627288,70130.94160455819,0.9816143545260936
5,2018-06-30,128900.0,0.168,24.0,29.0,10000.0,67222.07656712942,125614.26917590204,217815.6648973156,,71782.72733139886,126998.02521623242,199254.01495945768,71146.71502034958,0.9828013026344984
6,2018-07-31,130000.0,0.1764705882352941,26.0,29.0,5100.0,67882.69110207129,127201.08645926032,219228.4934848817,,72699.44393247057,127935.13071535892,200673.1883145412,71864.77915464914,0.9803680353991628
7,2018-08-31,118000.0,0.1725417439703154,32.0,26.0,5900.0,68470.1949325824,127926.26570051338,220392.3727039896,,73589.16296149434,128856.94395825017,201913.04344297384,72362.586769615,0.9814030723460996
8,2018-09-30,115000.0,0.1575875486381323,38.0,23.0,6000.0,69379.77179841137,129314.2087728024,221787.85042928145,,74758.811225078,130155.928769203,203385.0742155396,73212.72077806876,0.9811825403011492
9,2018-10-31,115000.0,0.1574642126789366,37.0,26.0,5100.0,70317.44699907454,129875.9520855161,223080.37310143487,,75891.33934043987,131492.88577150658,204828.30225961804,74225.75072358864,0.980209426204632
10,2018-11-30,106000.0,0.1557017543859649,42.0,28.0,5700.0,71538.03098643543,130887.81278858834,224810.23396307792,,76991.48617917299,132953.24810800227,206431.9275941594,75562.16515263545,0.9781873603002316
