,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,185000.0,0.1388367729831144,58.0,45.0,9900.0,129439.31017045608,204725.93839351312,330365.18054507807,146590.9108666357,144122.30302516997,212136.95501492263,274987.1183094089,325729.46412713616,0.9895580024677636
1,2018-02-28,191000.0,0.1209213051823416,28.0,47.0,5700.0,130968.8401840193,206221.37654997685,332100.24655167136,147813.31684402775,145615.32147959186,213996.5438558544,276805.04620055977,328189.93340042914,0.989595829575364
2,2018-03-31,175000.0,0.1311188811188811,27.0,47.0,10000.0,132810.15315561576,208572.0958220061,334327.9918013734,149694.3471710102,147533.33252872032,216223.1224285652,279082.6957619696,331299.73158006865,0.988953319129551
3,2018-04-30,210000.0,0.1394148020654044,22.0,48.0,10000.0,134090.3515808131,209987.182830204,335917.31148752914,151190.90359797407,148953.9629519071,218037.3164308761,280886.07247820776,333533.7584847174,0.9910818108795674
4,2018-05-31,205000.0,0.1329113924050632,29.0,49.0,10000.0,134875.14002206826,211955.3199117632,336854.03849270294,152423.9371778137,149881.25371994814,219350.2202329613,282029.2484581059,334936.4326126473,0.9928864548491242
5,2018-06-30,224500.0,0.1898550724637681,22.0,52.0,10000.0,135204.5638999965,213668.0857186017,337365.9233315207,153054.28892414752,150338.2210964685,220219.33335239865,282819.9400881165,335953.30593244685,0.9925448036752323
6,2018-07-31,226000.0,0.2148648648648648,18.0,50.0,10000.0,135715.63141028464,216232.34903235929,338350.2665672289,153716.95937087532,150772.13149792273,221220.98218685272,283980.15760946745,337689.30344833725,0.993034278094582
7,2018-08-31,210000.0,0.2256341789052069,30.0,46.0,10000.0,136468.578425335,217488.78506142792,339661.9135774176,154615.35611784444,151440.33836877006,222316.9345845029,285485.2400649918,339841.19941210706,0.991498476115726
8,2018-09-30,192900.0,0.210958904109589,38.0,40.0,10000.0,137446.13142529046,217950.91462845032,340634.28470381274,155914.46471239426,152351.65283010184,223425.780265486,286724.59340093285,341411.9280302455,0.9846314637551514
9,2018-10-31,200000.0,0.2241887905604719,41.0,38.0,10000.0,138220.35844352294,217118.8910856665,340758.7432950995,157024.56649989382,153137.225409842,224073.5355244873,287226.04139118484,341977.98182637733,0.9862824393938852
10,2018-11-30,220000.0,0.1372549019607843,49.0,40.0,10000.0,139115.64122530734,217108.7464107752,340854.96263712744,158256.89899085698,153949.08093791883,224581.5232345232,287448.86405868625,342075.0854706365,0.9884860646152808
11,2018-12-31,215000.0,0.0994575045207956,42.0,43.0,10000.0,140031.0992484002,216811.8747037838,341513.8366898668,159565.19294846163,154654.79231310837,225091.16582449977,287942.91178406245,342634.83098060766,0.9828626108511932
12,2019-01-31,239100.0,0.1565217391304348,42.0,48.0,10000.0,141172.85122993996,216265.1609107123,342602.323701327,162606.86443928443,155979.05333246192,225637.2769224646,288097.76118903194,342335.6576168965,0.9828945546150416
