,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,138000.0,0.062200956937799,,3.0,,120798.25767922492,198211.64508689643,340077.6704119472,119244.74211976024,153473.03772587306,190437.09097628423,225233.32468703736,264628.55282728095,
1,2018-02-28,160000.0,0.0932203389830508,,6.0,,121528.06531858158,197225.0957427913,341480.6986388317,120448.50390584186,154392.88718034068,191456.3130349781,226556.82769423505,266044.2069147941,
2,2018-03-31,187450.0,0.0721476510067114,,7.0,,122172.53524901163,197860.91143194403,343221.5069651287,121992.230721094,155447.66541229584,192635.2351087704,228064.5843766223,268205.9945256017,
3,2018-04-30,153000.0,0.0998336106489184,,5.0,,122365.22095579914,198481.25539196987,344171.2239970051,123120.01393348783,156325.33438333514,193599.5170302106,229114.39427397653,269836.3615672539,
4,2018-05-31,140000.0,0.1034482758620689,,8.0,,122399.0868441983,200113.2385370257,344427.1468233407,123942.52990380856,157007.40818584888,194261.04719907432,229791.92859658,271251.6015707725,
5,2018-06-30,160000.0,0.1241565452091768,,16.0,,122164.41689457888,201261.31529952248,343490.23481623584,124142.37796968308,157210.17611512894,194443.5871483391,229828.40699217207,271499.95357602305,
6,2018-07-31,149000.0,0.1144219308700834,,17.0,,122274.13550518958,204615.7177077672,343065.6819538982,124364.24846129456,157406.9134253596,194603.71008440232,229967.0991630692,271982.04051467014,
7,2018-08-31,138300.0,0.1332518337408313,,12.0,,122668.41096848364,206173.23537967305,343369.4228535824,124600.52927169151,157749.71243331567,194948.00618958168,230455.84382154272,272812.4076102751,
8,2018-09-30,172000.0,0.117719950433705,,7.0,,123427.0223972238,206912.170574858,344695.0706101518,125238.6793062174,158416.83111503863,195573.8026155502,231347.68705853497,274151.2173036199,
9,2018-10-31,154500.0,0.1044957472660996,,5.0,,124120.22163162328,206662.4245338608,345615.33236114256,125785.35413422028,159008.3913785989,196221.86588062835,232222.45911435003,275153.7825574972,
10,2018-11-30,171900.0,0.0811554332874828,,0.0,,124820.28081385164,206230.85525349167,346294.28992379765,126006.522648995,159456.3140326496,196647.2759394724,232764.640150782,275792.68725867005,
11,2018-12-31,156000.0,0.0652173913043478,,-1.0,,125356.09805351724,204121.44902747776,346806.81755305803,125997.48942693027,159683.97998289423,196867.84254601863,233054.8616456145,275959.87726986123,
12,2019-01-31,145000.0,0.0821705426356589,,3.0,,125325.8566461713,200462.86737909823,346615.1731172782,125767.83049466232,159558.77863792283,196421.3196719373,232284.3239417488,275026.2773480139,
13,2019-02-28,115500.0,0.0699186991869918,,9.0,,124672.8780214344,197561.6101594712,345631.6623795512,125295.94069627771,159042.04746153983,195539.23881669296,230775.4037471716,273285.3437654345,
14,2019-03-31,149000.0,0.0944527736131934,,13.0,,123675.28623308965,196575.6208824688,344086.5408495883,124730.0683381665,158436.4097960246,194549.3586937373,229040.6644914311,271511.4308659023,0.9954152116351356
15,2019-04-30,158900.0,0.09375,,16.0,,122882.77049674623,197343.6759135562,343250.9741218021,124196.54533404966,158060.3017270012,193992.57565055703,227963.8843943559,270340.73324271844,0.9854014598540146
16,2019-05-31,160000.0,0.1174899866488651,,13.0,,122504.41236811438,199769.9689160296,342908.1219098714,124161.43355740736,158010.4122805666,193861.22036200165,227466.0820997984,269615.9192657902,1.0
17,2019-06-30,166950.0,0.1102564102564102,,10.0,,122602.3864953455,202801.90414953345,343392.0973207517,124521.88926519146,158402.28901399113,194296.8994308769,227702.417011098,269624.0952821918,1.0
