,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,360000.0,0.1652772743747734,17.0,64.0,10000.0,287391.5148879898,405050.3734428826,589913.4612781452,247399.9564714548,313011.0745063796,369939.0996326373,468130.67723950784,581163.3309946746,0.9952317035182582
1,2018-02-28,368000.0,0.1478873239436619,11.0,62.0,10000.0,290494.2391365335,406482.79579502007,593821.4851413635,250134.852129632,315990.4687004637,373284.66610947135,471992.66464692407,585463.3666236873,0.9974034559419712
2,2018-03-31,380000.0,0.1553526726549845,11.0,63.0,10000.0,293325.30488121515,409740.21082252025,597196.7315578086,253065.09334262635,318817.4290482267,376192.97668986296,475339.1200088049,589183.3027971328,1.000017224617332
3,2018-04-30,392000.0,0.1765260746530117,9.0,63.0,10000.0,295454.8170593519,413805.26909354347,600063.7728394447,255434.7330056805,321043.11588828714,378439.27907687664,477985.86268956354,592267.0881691393,1.000997576730447
4,2018-05-31,398000.0,0.2200945626477541,10.0,63.0,10000.0,297585.7585027877,419166.4560378177,603563.1530301812,257979.20461422345,323351.1077118156,380716.8982668272,480740.9984530028,595755.3448954028,0.999937254290932
5,2018-06-30,400000.0,0.2447974938464981,12.0,60.0,10000.0,299390.85835181724,422932.6347964421,606575.3696116399,259667.0539349533,325102.0525485858,382610.0231246887,482889.55069886567,598620.3837756963,1.0005397766505506
6,2018-07-31,395000.0,0.2761414650169714,15.0,58.0,10000.0,300769.028900056,425244.9310600449,608609.9927913033,260967.3435832316,326312.13899208605,383867.200816703,484271.7676580052,600828.887857988,0.9978586747443356
7,2018-08-31,388000.0,0.3111456713322965,17.0,56.0,10000.0,301535.90614791267,425912.1620046064,609642.8483633158,261540.2977913573,326965.8211619788,384385.279324597,484853.2511629651,602065.9432046505,0.9957346824685688
8,2018-09-30,389000.0,0.2883027768843144,21.0,54.0,10000.0,301891.9611059478,424804.2893384799,610659.3942906489,262078.73923431,327380.7158763997,384632.47463407664,485473.6781165598,603352.6108633718,0.992991081249572
9,2018-10-31,381000.0,0.3059620004367765,24.0,53.0,10000.0,302312.8199505773,423128.978661098,611876.1593896562,262558.832047127,327936.8624113444,385053.42843991873,486161.8347091247,604495.1816458523,0.989870188012509
10,2018-11-30,385000.0,0.2447397563676633,27.0,53.0,10000.0,302637.81643388554,420501.55952161097,612742.7463037682,262741.6823360449,328260.6774448399,385392.2685426274,486673.150083896,605451.2108954453,0.9895963862226476
11,2018-12-31,378000.0,0.1668168168168168,34.0,56.0,10000.0,303160.0141077943,418701.9733730597,613137.9326720732,263236.0035840608,328721.5040781228,385814.4918568799,486996.69886245887,606048.3800198269,0.9883132251141684
12,2019-01-31,370000.0,0.213806766229808,35.0,61.0,10000.0,304101.8219024489,418136.5624421117,614188.3702021773,264101.4140857959,329588.22926656593,386626.0937554256,487993.5204433137,607550.284650465,0.988744039414998
13,2019-02-28,380000.0,0.1708495713172252,14.0,65.0,10000.0,305437.8436821336,419297.9615893215,616311.83866965,265063.5937996085,330901.13322151435,388039.0242469686,489875.0494071729,610092.8033287814,0.9878372262982036
14,2019-03-31,387500.0,0.1791708506670492,12.0,67.0,10000.0,307085.1809117453,422568.4045170201,619487.275732003,265982.3598991524,332426.8029710751,389950.7576532089,492504.9216927642,613623.6625385043,0.9908190103006248
15,2019-04-30,405000.0,0.1923664122137404,10.0,66.0,10000.0,308350.19382000575,425924.820750786,622418.6370679318,266753.2476136635,333555.58841308975,391576.45343904936,494777.8397763255,616674.6698093676,0.9940540583743348
16,2019-05-31,410000.0,0.233710407239819,11.0,63.0,10000.0,309341.1001229317,429146.69758132985,624635.0753037861,267741.4019598206,334390.13127105654,392690.1111588644,496405.988054526,618961.4973079421,0.9957654633869428
17,2019-06-30,410000.0,0.2451750448833034,12.0,62.0,10050.0,310179.26852716267,432550.03430238727,625891.3729304108,268860.61270124646,335022.2729468923,393315.3316924223,497223.08745996817,620200.0317017151,0.9954805287700657
