,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,75250.0,0.1079295154185022,93.0,17.0,5000.0,48448.69632275066,96404.07585861492,173484.41170027098,47487.407304354194,66948.80585650257,110745.3647883636,148278.97222977763,178822.61266253854,0.9665308593221844
1,2018-02-28,101500.0,0.1053811659192825,92.0,20.0,5000.0,49099.23373067598,96026.14577330176,174230.44267818102,48049.26481144078,67487.96039925492,111375.60536765309,149145.37961619123,180069.8594153979,0.9698279768439872
2,2018-03-31,88500.0,0.1379310344827586,83.0,24.0,5000.0,49785.15424752486,97333.28732733575,175020.58350954214,48700.15608365517,68200.17835548894,112109.38812848592,150080.03741189616,181388.92102956327,0.97422958220035
3,2018-04-30,93000.0,0.1182364729458917,61.0,19.0,5000.0,50472.89862802103,99035.679583825,175967.35649506713,49237.90665051432,68969.60179670714,112941.4445218105,151049.4999538667,182667.6662305272,0.9740475714253508
4,2018-05-31,102000.0,0.1718146718146718,55.0,16.0,5000.0,51035.46033841662,100836.4641042814,177070.09751408777,49619.49673155599,69590.27568042271,113787.70896077414,152057.51541884182,183979.93665627783,0.9776911005264206
5,2018-06-30,122500.0,0.1545623836126629,54.0,15.0,5000.0,51443.50969830645,102703.0966534847,178188.7974706446,49746.22394889892,70055.09364166137,114594.46665928765,153043.16289665556,185225.1718752454,0.9811619297570257
6,2018-07-31,120250.0,0.1601362862010221,59.0,17.0,5000.0,52046.13286484413,104757.2075055134,179405.95782782926,50040.43624143075,70593.17581939681,115470.07510238496,154131.77117514203,186625.42829084504,0.9770818846594496
7,2018-08-31,94000.0,0.1844827586206896,68.0,15.0,5000.0,52610.67449309724,105567.00721750296,180419.22058610924,50353.50875775515,71180.35797468096,116219.72370316896,155045.78616711873,187817.22236618507,0.9765210681922782
8,2018-09-30,126000.0,0.1690391459074733,65.0,11.0,5000.0,53178.47089337942,106529.4468617302,181267.38478396105,50774.989640684216,71843.22900445499,116978.0213026601,155908.93598621432,188759.8815726407,0.9717245945722914
9,2018-10-31,112500.0,0.1777777777777777,77.0,7.0,5000.0,53406.63134695136,105881.67556700997,181547.6095652092,50935.52131312046,72228.5616854913,117368.61097791848,156325.63216898323,189171.845369864,0.9749066900875714
10,2018-11-30,106900.0,0.1244725738396624,102.0,7.0,5000.0,53852.72689384105,105999.47416498592,182014.58474342487,51306.15697174434,72791.57808756863,118004.1522260789,157007.23679433635,189852.5766404069,0.9736286192143008
11,2018-12-31,109500.0,0.0986238532110091,65.0,19.0,5000.0,54241.68954724976,105165.70780978363,182394.41169457964,51620.75544504365,73182.32450514178,118456.79953580764,157541.47286529277,190456.9303434023,0.9662527055158264
12,2019-01-31,106775.0,0.1373493975903614,82.0,31.0,5000.0,54630.90542363891,103670.09272440516,182975.8043360285,52138.77274335348,73599.57715714503,118922.63016202196,158134.46949921004,191024.4022456472,0.9619329331940092
13,2019-02-28,119000.0,0.1072319201995012,89.0,34.0,5000.0,54989.291314179696,103824.215652437,183713.58755647435,52713.90558514748,74067.75847124153,119459.14734135506,158755.84358743962,191494.34114375047,0.9673226143028222
14,2019-03-31,85500.0,0.1536585365853658,123.0,27.0,6000.0,55621.33008781123,105548.9181675502,184738.6501049029,53588.52490792101,74907.14629141918,120313.40966057702,159615.172247241,192094.8691643977,0.9725924984351464
15,2019-04-30,100000.0,0.167816091954023,54.0,23.0,5000.0,56424.169608870354,107055.75594370769,186013.06113022243,54486.83425861315,75937.47313892584,121326.99884439015,160627.20259244283,192970.2673165096,0.9775259010768592
16,2019-05-31,122000.0,0.1721854304635761,52.0,24.0,5900.0,57000.08937211127,108580.8717299824,186954.7328824055,55210.71536992174,76715.47385688567,122013.2957301013,161233.5685918883,193450.2204843716,0.977880044252278
17,2019-06-30,116750.0,0.2035010940919037,44.0,28.0,5000.0,57174.39806664972,110079.21427167344,187802.346729382,55507.06844645764,77086.48231571799,122479.9943342243,161676.22812135154,193795.9104500817,0.9828656257263564
18,2019-07-31,93500.0,0.1865828092243186,60.0,24.0,5000.0,56964.72044508962,110896.96531029552,188500.10084165496,55452.12489209734,77144.13560884456,122842.99959545529,162020.77753181744,193982.16184273656,0.977460954863622
19,2019-08-31,105900.0,0.2211155378486055,55.0,19.0,5400.0,56458.67236643625,110865.57521650662,188980.12833067865,55134.16524241839,76882.70712291925,123012.93828164756,162236.24709318567,194117.82394839104,0.9775232020916134
20,2019-09-30,118900.0,0.2157258064516129,75.0,15.0,5000.0,55898.42370398748,111089.63911056856,189216.3228337489,54731.09203117818,76543.80769151643,123045.28191080393,162276.2570540708,194125.5593234891,0.9776094134530656
21,2019-10-31,100000.0,0.19921875,62.0,13.0,5000.0,55671.00501897428,111491.37841430528,189602.80938246663,54667.85541402119,76528.69705650328,123376.45335868686,162620.3796935799,194461.5296769481,0.9739844779702768
22,2019-11-30,99500.0,0.1476091476091476,75.0,11.0,5000.0,55765.74158493854,111124.29115174888,190465.33339654803,54764.8112452504,76873.19792181307,124075.06091202173,163355.1772730512,195202.13607744384,0.968333011823158
23,2019-12-31,104950.0,0.1119047619047619,66.0,18.0,4750.0,55941.85223251738,109982.87313133873,191355.9261688352,54915.8943146383,77283.82053842016,124764.40040951315,164170.851376146,196084.5276696704,0.9700364099863868
