,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,257725.0,0.1078147612156295,29.0,66.0,10000.0,209149.5546254747,275527.1319762358,387405.29951861687,165007.84515791413,205521.837703259,266565.6440403839,328713.4571050215,364356.4346581974,0.9895580024677636
1,2018-02-28,263000.0,0.087719298245614,16.0,66.0,10000.0,211846.0415775754,277707.5054018648,390621.9272123237,167112.011010317,208179.4480630726,269345.0888958283,331781.32272725046,367775.07451479166,0.989595829575364
2,2018-03-31,267500.0,0.1003671970624235,15.0,68.0,10000.0,214824.2401074029,282219.3199413037,394246.2793826847,169440.1063274919,211140.11778957336,272438.8848284868,335188.1361873431,371691.58124330296,0.988953319129551
3,2018-04-30,275000.0,0.1065573770491803,12.0,70.0,10000.0,217804.8141592672,286690.69165783474,397973.0801080071,171764.53563110367,214091.6657208559,275602.8424608209,338625.6429283789,375709.4427406808,0.9910818108795674
4,2018-05-31,269500.0,0.1301837270341207,16.0,69.0,10000.0,220672.35745814283,291582.7006912247,401458.29975523055,174219.62920586416,216956.7358395593,278585.3954965068,341792.32770481566,379182.853315847,0.9928864548491242
5,2018-06-30,275150.0,0.138351983723296,16.0,67.0,10000.0,222947.0886801119,295266.9364180333,404104.0941140389,175959.25992353013,219145.100972072,280825.50594350457,344118.7995419893,381726.5524231584,0.9925448036752323
6,2018-07-31,290000.0,0.1569109690113133,18.0,65.0,10000.0,225214.07188290355,299417.4895873337,407073.81499894406,177843.34228454877,221307.3306832673,283160.21857061447,346669.67049643013,384534.8198363248,0.993034278094582
7,2018-08-31,290250.0,0.1948598130841121,18.0,63.0,10000.0,227476.46877259444,301914.75387672335,410053.7556203575,179890.82323010135,223499.6946050824,285486.6654473808,349240.05194407614,387584.714074932,0.991498476115726
8,2018-09-30,279900.0,0.2115475627070515,20.0,61.0,10000.0,229731.4369375837,302983.3618042413,413068.68629248,182224.03079884755,225625.72816980665,287827.63404063456,351939.73514871206,390845.9576507196,0.9846314637551514
9,2018-10-31,277500.0,0.2206595538312318,21.0,59.0,10000.0,231495.5333689514,302958.737003447,415165.9439299535,184115.1801411612,227357.1252870216,289551.0814168265,353917.5092766198,393303.4262081923,0.9862824393938852
10,2018-11-30,279000.0,0.166843220338983,39.0,57.0,9927.5,233025.10239322283,302660.2667496293,416911.64194090274,185780.24946908955,228792.7922260684,291019.21164458786,355610.0485642985,395418.1374673002,0.9884860646152808
11,2018-12-31,277000.0,0.1131961259079903,42.0,57.0,10000.0,234680.4481947269,302317.1483970146,418651.9839261903,187747.8694560644,230452.07882593013,292597.9999865901,357330.84769239713,397383.6657142048,0.9828626108511932
12,2019-01-31,274000.0,0.1713954834973943,51.0,61.0,10000.0,236600.4447172631,301762.6811018223,420324.8215271444,191547.4463691037,232791.9276421708,294352.40227410715,358882.5034201231,398676.4657780097,0.9828945546150416
13,2019-02-28,276900.0,0.132603406326034,23.0,64.0,9100.0,238617.1539763786,302875.7337039077,421969.5700616537,196422.5375723916,235541.51994258104,296173.32920189464,360286.1303367607,399526.4916903285,0.9869732609493972
14,2019-03-31,283000.0,0.1536343612334801,21.0,65.0,7000.0,240505.19035896767,305475.7783675533,423608.5760604329,201952.53221155683,238374.0061949248,297919.52667835803,361464.07976336376,399970.76276768994,0.989127390593523
15,2019-04-30,282500.0,0.1488607594936709,25.0,64.0,8000.0,242070.81421850863,308593.00624055695,425381.9470546842,206311.1415894312,240567.5582500008,299554.41530944285,362772.2358514755,400859.185326491,0.9875232766748844
