,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,579500.0,0.1586121437422552,48.0,50.0,26050.0,367366.9282665104,546331.381814024,1057671.6265247257,423601.06376150606,503185.8666626974,531063.5909153369,571546.5458076168,651985.6544668311,0.9952317035182582
1,2018-02-28,590000.0,0.1068181818181818,20.0,51.0,34500.0,370478.0606534698,548125.9201695899,1065529.0217287254,427990.310345747,507933.2306227063,534988.0590264575,576005.0842837397,657440.9335275014,0.9974034559419712
2,2018-03-31,586562.0,0.1436058700209643,18.0,53.0,28000.0,372366.1146859876,551044.5407844693,1068951.9270136782,430448.378159022,510309.9583306064,537102.5447614501,578634.8408713227,660843.0074473381,1.000017224617332
3,2018-04-30,609500.0,0.148445336008024,15.0,54.0,20500.0,374249.7020049747,555344.1425432501,1071879.1113846195,432612.6614269719,512399.5542394991,539369.0364752556,581274.1661444432,663776.6256080152,1.000997576730447
4,2018-05-31,672500.0,0.1526794742163801,17.0,55.0,25000.0,375911.0346796496,561232.6104599667,1075836.7606453083,435067.7243616685,514594.1724072231,541843.4626151609,583965.7924351684,666548.2174975426,0.999937254290932
5,2018-06-30,610000.0,0.1658031088082901,19.0,53.0,30000.0,377672.2866866263,565350.0606205242,1080375.5001510505,437182.64054239285,516962.0955698981,544436.7636883083,586658.3047479134,669136.2688817073,1.0005397766505506
6,2018-07-31,605000.0,0.1736641221374046,20.0,52.0,30000.0,379115.7617320979,566969.155624636,1082811.1702952853,438303.6730352994,518354.42641956266,546361.2738701856,588629.725562746,671329.4849593529,0.9978586747443356
7,2018-08-31,550000.0,0.1883289124668435,20.0,51.0,26000.0,380606.67183342966,567755.8863230644,1084358.0125620577,438388.1970256788,519406.6732243753,548035.0220242213,590292.3298997487,673486.3366017565,0.9957346824685688
8,2018-09-30,595000.0,0.213235294117647,21.0,49.0,20000.0,382116.519099968,567245.270527364,1087236.9709659724,438604.065214225,520620.1670943278,549807.0884550468,592280.0861851542,676288.4553380349,0.992991081249572
9,2018-10-31,593000.0,0.2409420289855072,27.0,48.0,23000.0,384642.4318124818,567775.636720078,1094968.9127985372,440410.8731633935,523705.7217806925,553255.9825509746,595865.8633158993,680670.503854259,0.989870188012509
10,2018-11-30,600000.0,0.1748582230623818,24.0,48.0,24500.0,386897.3197189875,566861.7928471817,1101579.8915720573,442031.5358609218,526158.5538609816,556118.4118408135,598893.5908926666,684662.7414484295,0.9895963862226476
11,2018-12-31,585000.0,0.1106427818756585,43.0,48.0,24000.0,389488.4452724012,566065.0473506898,1107124.8205120163,444648.8390769202,528910.8347848175,558837.3640813954,601601.291549804,688065.587486602,0.9883132251141684
12,2019-01-31,575000.0,0.175438596491228,49.0,50.0,20005.0,391329.0119867887,567752.6980974099,1108797.2259382298,446452.4767457593,530774.1492700535,560412.7618595228,603336.2618932623,690401.9153663188,0.988744039414998
13,2019-02-28,585500.0,0.1363636363636363,25.0,52.0,25000.0,393381.2219908233,568740.2047634937,1110268.573513501,448196.5048383928,533067.56371362,562307.0511640186,605467.2422630397,692901.2098574465,0.9878372262982036
14,2019-03-31,565000.0,0.1481865284974093,19.0,54.0,20450.0,395166.65017983806,572389.718063519,1111681.727394699,449017.4358747274,534854.5463307641,564449.1651018555,608274.4356255961,696460.5471921721,0.9908190103006248
15,2019-04-30,590500.0,0.1668237511781338,17.0,53.0,25000.0,396658.3091616477,577271.4384319452,1113764.8979989206,449752.67301394354,536234.3038525502,566445.4487913332,610924.1055250635,699893.6347877681,0.9940540583743348
16,2019-05-31,625000.0,0.1772853185595568,22.0,52.0,24000.0,397622.4036830423,579681.8527955753,1114442.3382314902,450118.4583176575,536902.9124605655,567685.4335996105,612810.2485057046,702551.7998214088,0.9957654633869428
17,2019-06-30,580000.0,0.1877848678213309,25.0,51.0,30000.0,398802.05550687393,585241.3501728663,1115374.5067344236,450840.5025319818,537983.2474766681,568976.8123154131,614287.2065215507,704338.7641999205,0.9954805287700657
18,2019-07-31,628250.0,0.2069892473118279,28.0,51.0,35750.0,399952.8577294399,587977.0416875707,1115274.7462832762,451455.5696779198,538972.766652285,570018.9695709575,615087.6886580477,704939.25497685,0.9945398725995772
19,2019-08-31,609000.0,0.2181328545780969,34.0,51.0,30000.0,401355.1658849564,588068.6696068869,1115228.5229080936,451696.8273783052,540012.086672805,571313.9623116115,616035.390683252,705451.4868775593,0.9928740682186928
20,2019-09-30,649000.0,0.1994609164420485,24.0,50.0,32900.0,402627.4846835966,589046.6067812785,1114235.238612796,450994.97929586447,540616.6381239741,572319.9301659643,616581.6120220018,705574.8060678713,0.992417203684879
21,2019-10-31,590000.0,0.219626168224299,22.0,49.0,28000.0,404306.54732127086,588645.3600584033,1114762.9845523334,450559.4052618464,541547.2913321168,573953.0534669217,618083.5470730754,707193.2613033621,0.992824816931412
22,2019-11-30,665000.0,0.1551362683438155,35.0,49.0,34000.0,406415.4550885979,588877.0694139651,1115908.5094611775,450990.7193448506,542843.9415394483,576003.5520475378,620240.7177346289,709814.6059107309,0.9915196335938696
23,2019-12-31,605000.0,0.112219451371571,37.0,51.0,25000.0,408806.9752588996,589618.4732263942,1117719.775342998,452714.5807604704,544654.6063412704,578521.2072589524,623158.6110158894,713201.7259680511,0.9903483170574674
24,2020-01-31,625000.0,0.1528662420382165,51.0,53.0,49000.0,412105.6243731653,591587.4589716997,1117727.6559568937,457981.9593353658,549323.0529383718,580743.5744663888,624498.7387749336,713681.1403606981,0.9883007975237712
25,2020-02-29,668250.0,0.1926380368098159,19.0,56.0,29100.0,416841.8171781628,597271.4556652223,1119865.5679665066,468184.2014751529,558150.3092889945,584441.3790722134,625832.8154224108,712776.7871201815,0.9934234670305198
26,2020-03-31,621250.0,0.1171393341553637,12.0,58.0,29000.0,422230.9632183505,602958.4830326369,1123066.86707802,480727.5191374651,569312.3481295515,588687.6123975245,627012.1418586606,711199.7169245331,0.9962847210738652
27,2020-04-30,618000.0,0.1041948579161028,18.0,61.0,27500.0,427582.76106500416,609907.6701333645,1128678.4344559654,492026.4346121876,579710.4344954151,593788.3221689643,629734.4496593497,711760.9044271415,0.9969357672235736
28,2020-05-31,620000.0,0.1471264367816092,24.0,64.0,24000.0,430725.6446166181,610690.3223413512,1130636.7950439611,499077.66860112007,586018.3856727934,596525.9621985145,631073.9855879081,711938.872779163,0.9923416943855892
29,2020-06-30,677000.0,0.1468988030467899,21.0,68.0,25000.0,432801.6423760944,614487.6827658993,1130121.2708709033,503135.8906265443,589582.4805932298,598182.0943184928,631737.23831652,711884.2036184338,0.9945075980894492
30,2020-07-31,735000.0,0.1304347826086956,19.0,70.0,26500.0,434271.6333366986,618616.9440176334,1129958.4243319985,505952.9611991706,591822.9654808386,599363.5174669008,632266.0812514323,712293.704163706,0.997118925462564
31,2020-08-31,775000.0,0.107001321003963,13.0,72.0,24000.0,437224.5817665118,626270.0217622855,1136848.7432998123,505931.6635285013,593436.3893948424,603434.578839711,637277.345986439,718645.0984870739,0.9971542359638988
32,2020-09-30,759862.0,0.111869031377899,11.0,71.0,22875.0,441996.72232088976,636066.6857149339,1150867.3023459318,504080.72164870304,595155.7983427588,610460.1387004262,646715.6644368152,731161.989811865,0.9995689953938796
33,2020-10-31,755000.0,0.1183431952662721,15.0,69.0,34000.0,448247.7841044713,643974.920305442,1168916.0718649973,500299.9132161755,596898.8489173021,619817.8678938578,659605.7658043549,748197.8772863074,1.0002029661328375
34,2020-11-30,800000.0,0.0916666666666666,13.0,70.0,30000.0,455388.27306809113,653547.0073833317,1190012.3700154447,500445.9690809629,601236.2497240072,630214.438097166,672948.5042281142,765261.809997032,1.0015870262461646
35,2020-12-31,710000.0,0.0953271028037383,12.0,75.0,50000.0,463230.4572046379,663853.5161413178,1213089.1247157345,504996.0408743369,608164.8050519745,641116.6297288471,686303.6313336306,781602.7207848729,0.9999138060576174
36,2021-01-31,750000.0,0.1097770154373928,13.0,78.0,51000.0,470547.8892109748,669372.6426050965,1234517.6406676888,510885.0249320479,614709.303341895,650849.7671082296,698409.8867091881,796363.8487824863,0.9998559608972172
37,2021-02-28,759000.0,0.1151631477927063,14.0,80.0,41000.0,478244.1497380312,680815.3893009502,1255071.818108605,515572.72075560567,621316.292275684,660717.4080188917,710722.2224247471,811357.7309934896,1.003963293779924
38,2021-03-31,805500.0,0.0941176470588235,10.0,81.0,60000.0,485378.2752683616,693490.5367975808,1273839.250315143,519457.0404263493,627334.0965139093,670253.5154658791,722841.2885007915,826004.2864398056,1.0093539544073862
39,2021-04-30,761000.0,0.0542495479204339,10.0,83.0,50500.0,493410.57739570434,709971.9339016948,1299307.4816021745,525917.8630633559,636399.5267166593,681943.8239444607,736728.055158026,842101.4790221484,1.0167970660203949
40,2021-05-31,803500.0,0.0681431005110732,10.0,82.0,50000.0,501987.3714882216,727640.2908600033,1329797.4469358483,535961.1878796691,647787.9400411714,694889.56292583,751748.0550669361,859754.0485698199,1.022063450913239
41,2021-06-30,808500.0,0.0927672955974842,10.0,80.0,50000.0,510762.1167955809,740873.3730449576,1361743.212915968,546281.5707784882,659841.6862035943,707854.427444349,766413.5023517865,876996.564007366,1.0230763810340968
42,2021-07-31,788000.0,0.1152,11.0,77.0,30000.0,518193.7763679903,745734.8054964135,1385816.596886167,554853.1776610231,669476.8900499586,718307.27226946,778261.0749237575,891114.9457024854,1.021563551744685
43,2021-08-31,810000.0,0.12,11.0,74.0,50000.0,523156.3383159859,747107.4876662417,1400721.319206157,561205.7388622068,676257.9845953294,724593.4814666635,785371.4351301332,899489.5745644775,1.0142543280618646
44,2021-09-30,785250.0,0.1403812824956672,15.0,72.0,50000.0,526601.0093634714,748581.8039738716,1409885.5711387664,566070.1697551477,681402.4945017189,728201.9837104036,789282.8773137648,904514.9943416368,1.0105488509353708
45,2021-10-31,810000.0,0.1394148020654044,12.0,70.0,50000.0,530319.7306592249,751696.8429976754,1422118.5321365327,572153.828345195,687625.3655864871,731877.8037262276,793108.3150632894,909567.075643283,1.0067516624959478
46,2021-11-30,800000.0,0.1111111111111111,13.0,70.0,26000.0,535104.2343208146,756771.0916057948,1435998.6198341371,579038.6108466312,694266.3276872082,737000.3556118537,798499.6624277948,916301.0955779436,1.0060651537329235
47,2021-12-31,841250.0,0.0741687979539642,18.0,77.0,45500.0,539531.372420505,757771.3609713534,1449590.913370827,586149.9372924278,700312.7848402299,742316.097350635,804369.8879144468,923580.7648765992,1.0076776776512646
48,2022-01-31,810000.0,0.0690607734806629,11.0,82.0,16000.0,546698.4325695386,774421.531130248,1468569.4090200958,593453.1724339055,708890.3044189877,751476.048270485,814420.8386542263,935523.6520133256,1.005320569169617
49,2022-02-28,827500.0,0.0866336633663366,10.0,83.0,30000.0,557266.8923633063,795770.2832308192,1496683.05467837,601052.6411273943,720767.3123426689,765018.7443641075,829228.1146435206,952569.1839593248,1.0153250036157908
50,2022-03-31,857500.0,0.0678336980306345,9.0,75.0,38000.0,571704.4396485218,815737.3076666276,1535800.6202605804,611411.8211709957,737085.2089862219,783232.7815370421,848954.4912485923,974766.864414605,1.024437495264211
51,2022-04-30,845000.0,0.1486761710794297,13.0,73.0,39955.0,584370.8962018605,830021.8328213429,1572347.9942236736,620694.301464547,751630.4952448104,799157.4598550132,866400.980542465,994222.9190412612,1.025163692906249
52,2022-05-31,845000.0,0.1966101694915254,13.0,66.0,45000.0,592970.9743219786,836457.4170636628,1598510.7396704222,628089.9812437254,761851.7831167043,809866.3693654634,878489.3049642876,1008204.9042070488,1.0211234476657798
53,2022-06-30,847500.0,0.2368421052631578,14.0,63.0,46000.0,597548.1753258328,838395.6256553136,1612536.5912356067,632016.8337413105,766878.5521951093,814766.4345631226,884438.7039223784,1015784.2074452544,1.0074016399533583
54,2022-07-31,880000.0,0.2206119162640901,18.0,60.0,36000.0,598084.8471941934,825800.1365937991,1608834.972622371,631392.2804985374,765804.2549350929,812878.835848862,882967.7429312048,1014889.848684344,0.9996366927165348
55,2022-08-31,800000.0,0.2180232558139535,17.0,59.0,33000.0,595382.1810702784,809824.9172777679,1589857.3171995871,626962.9724927141,760419.129825052,805806.8235879038,874765.2076438792,1005184.4077113176,0.9959741696159206
56,2022-09-30,833000.0,0.2586750788643533,25.0,57.0,27500.0,590577.8814788765,799150.1866900169,1562700.450065827,620381.946948853,752645.6733623302,796092.5328206666,863290.3517835712,990870.9975353972,0.9936211908610276
57,2022-10-31,800000.0,0.235593220338983,25.0,56.0,25900.0,586376.5968585407,793032.5312379518,1542264.3382256215,616424.1789438494,747311.6671984503,788614.8461777283,854049.7106205812,979401.60764195,0.9919457118330536
58,2022-11-30,785000.0,0.2351851851851852,29.0,56.0,34000.0,582789.7935798699,785523.4522587579,1531365.21685455,613876.0388776773,744098.3821572975,782924.6353921713,847240.4838896758,971306.0661638122,0.9883340306493572
59,2022-12-31,759000.0,0.1364605543710021,31.0,57.0,30000.0,579811.7915937396,778759.3074237378,1523457.1515455693,612149.9200827967,741960.5013320114,778239.9597508564,841731.4217571033,965192.2820394282,0.9859146629898468
60,2023-01-31,827950.0,0.171875,43.0,60.0,45000.0,575646.4420525803,771834.343223263,1512264.732087464,608059.481921021,737936.2744286084,772156.445880657,834937.7856060024,957532.0295315612,0.9867225070075284
61,2023-02-28,725000.0,0.1518438177874186,21.0,63.0,30000.0,572224.4435745919,774091.4301935324,1501857.012472789,604343.2205109317,733693.4280867547,767795.0729391895,830477.7068104269,952830.316208349,0.9928525090631152
