,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,235000.0,0.1019066403681788,93.0,39.0,10000.0,159978.81997657308,266961.3804207921,492196.0106306542,156023.73756668114,202688.0761820002,256488.43953212697,363903.2618375243,558010.7908318309,0.9819114129107364
1,2018-02-28,225000.0,0.1124223602484472,84.0,39.0,10000.0,160360.02125628456,265462.385929908,491599.2264131815,156348.70284852432,203123.43410628088,256570.16226510945,364240.07461153046,558991.5102096482,0.990882872652186
2,2018-03-31,235000.0,0.1301108139090561,49.0,41.0,10000.0,160956.23303603588,267429.18061996147,492238.4333607599,156657.80977221334,203888.7835568975,257199.750016237,365200.84873018594,560712.191933669,0.9895603614347964
3,2018-04-30,236000.0,0.147752808988764,33.0,42.0,10000.0,161749.4009833359,269814.8473360711,494193.2991179307,156921.23556760504,205004.28118375,258359.1585991305,367127.81241068087,564385.5418379002,0.9958081478482572
4,2018-05-31,241400.0,0.1757530955461097,41.0,42.0,10000.0,162663.8256760201,272500.9177739588,497277.5314851816,157336.35073180395,206440.3429350165,259879.4984887581,369508.1982505888,569471.0923318388,0.9950541499382562
5,2018-06-30,246500.0,0.1342209427851745,62.0,42.0,10000.0,163019.00775186758,274341.2900395993,498885.434614734,157593.0782200066,207214.3735717161,260606.2384771836,370959.4352979615,572695.2064671125,0.9986493847163675
6,2018-07-31,225000.0,0.1742229261532369,51.0,44.0,10000.0,163145.3552463951,276087.27036420145,499403.6305254235,158149.2901780992,208084.0900167857,260814.5847396612,371533.9538001286,573198.9809299783,0.9989092129225706
7,2018-08-31,225750.0,0.1801710097719869,64.0,45.0,10000.0,162916.3483266806,275266.9209916777,498820.6653459307,158656.71330420478,208781.3165551674,260569.75431934127,371588.2539135175,572787.7568439873,0.9895800184502532
8,2018-09-30,240000.0,0.1630965005302227,60.0,43.0,10000.0,163289.24927617432,276932.18121663126,499431.4605030656,159605.43326265752,210029.9894852904,261048.71071442045,372416.9625886353,574240.6212804274,0.993027130334172
9,2018-10-31,237500.0,0.1850586979722518,59.0,41.0,10000.0,163627.7368093553,277116.42311567266,500428.0120415516,160501.0480987115,211118.92086589825,261855.7626844047,373587.1841703613,576460.5314349375,0.9910875059729548
10,2018-11-30,233000.0,0.1457905544147844,75.0,40.0,10000.0,164384.67412008616,276564.73310663004,502438.037620214,161555.95663204722,212377.7706857632,263173.0512436707,375295.1989343816,579932.0604107789,0.99032076192305
11,2018-12-31,219900.0,0.0930175178879842,64.0,41.0,10000.0,164901.1513082902,275963.6854692108,503921.75224693696,162465.6725721454,213286.77718265264,264141.2515299903,376489.7776908942,582038.3063984149,0.9892664370295547
12,2019-01-31,221000.0,0.1419858502073676,90.0,43.0,10000.0,165654.42347907354,275017.61079545587,504614.5519383045,163232.463304569,213984.7565803776,265033.68230371753,377257.27406053175,582110.2997111956,0.9896188476621828
13,2019-02-28,230000.0,0.129300118623962,71.0,44.0,9900.0,166678.941470911,275497.4557147121,504596.2485542382,163954.3301583842,214673.87306681825,266279.2074162709,378039.891777362,580125.4915610716,0.9918490914041884
14,2019-03-31,238000.0,0.1573569482288828,43.0,44.0,10000.0,167834.76727091163,276922.3426334939,504487.904398795,164593.0687399455,215369.2444565815,267764.7734720452,379032.4140068996,578624.9112973581,0.99262144970641
15,2019-04-30,239000.0,0.1806147632936953,42.0,44.0,10000.0,169141.4138303286,280076.9175115976,505473.0583235593,165125.8183414978,216441.0350552286,269658.8177739407,380668.06938734255,579660.4063932818,0.9969696969696972
16,2019-05-31,254250.0,0.1970292704237658,40.0,43.0,10000.0,170195.2370826211,282347.39777376014,506495.3409844177,165446.4284620347,217384.44465440427,270970.57832741115,381815.0307981052,581410.3026638008,0.9971789985199156
17,2019-06-30,231701.0,0.1889258028792912,46.0,44.0,10000.0,171116.16472729194,285112.57877685793,507344.4832769337,165745.87544086995,218323.8271803079,271950.1841683348,382675.71593590034,582945.5623840442,0.9964094672821864
18,2019-07-31,247000.0,0.1954694068192433,49.0,46.0,9900.0,171730.98655203916,287236.606709382,508005.302425869,165962.74932001595,218945.24726011648,272519.502157922,383105.1495167223,583968.0527917468,0.9986291665257312
19,2019-08-31,255000.0,0.2028169014084507,63.0,47.0,10000.0,172380.58179312325,287420.28926843306,508722.85586006526,166446.3679497271,219556.74756565364,273031.1253386358,383455.0865122995,585227.9596527681,0.9947359632322136
20,2019-09-30,252500.0,0.1919265167996132,48.0,46.0,10000.0,172871.3469190218,287023.7672919466,508995.9586380186,166876.93103525878,219961.0864522984,273176.08861350606,383472.0287190396,585961.0133561675,0.9946003249580464
21,2019-10-31,252000.0,0.1894371435655839,49.0,43.0,10000.0,173561.26235633777,287802.2153040343,509169.2117759311,167673.26883816998,220542.30552231488,273356.84899963305,383486.1920262139,587158.2336488604,0.993837707629546
22,2019-11-30,260000.0,0.1511914543960558,63.0,41.0,9050.0,174432.6267122686,288228.7391544613,509558.4258912274,168665.4305228221,221438.05686440703,273841.6051224931,383896.197314836,588393.8180617653,0.9917985518552171
23,2019-12-31,249900.0,0.0991155840195181,70.0,42.0,7000.0,175734.80860231674,288305.8954103797,510990.2902711636,169807.043208553,222809.2213942633,275045.7031510906,385237.6276333051,590860.1648929571,0.9951901788956352
24,2020-01-31,250000.0,0.1306002928257686,70.0,45.0,9000.0,177345.7370362555,288453.2464533769,511920.4209017552,171513.9178209293,224688.1075087925,276279.5217767681,386023.3428169037,590977.5801320933,0.994095058024882
25,2020-02-29,236000.0,0.1921870544625035,43.0,46.0,10000.0,179047.31654518095,288671.64288201905,513100.1882980242,172918.18433113498,226386.32991902216,277620.6605661957,386981.96290756186,591473.7363409278,0.9830847346325828
26,2020-03-31,259900.0,0.137210615471485,34.0,46.0,10000.0,180829.7492975432,290279.1608020074,514101.4464657367,173961.1559234032,227675.59854072123,278986.6572531582,388018.1664574424,592359.4266533663,0.9909348155674004
27,2020-04-30,270000.0,0.0862442040185471,42.0,50.0,9900.0,182357.35344154888,291925.35726207023,514422.7828799009,173998.97667759677,228311.86922432788,280109.8956906483,388876.3189084429,593238.5583713894,0.9943933918937348
28,2020-05-31,246500.0,0.1339811542991755,48.0,55.0,10000.0,183401.6673157582,293545.0047857219,513341.7764724108,173668.24998070687,228468.6791556028,280633.6154327071,388966.58192596026,592808.860897051,0.9927588186135924
29,2020-06-30,275000.0,0.1451054453887315,44.0,60.0,10000.0,183929.87790187253,296001.4263920047,511397.1862608814,173246.1045899384,228558.56780168336,280777.9076412308,388580.978329627,591349.6883813079,0.989406157881751
30,2020-07-31,295000.0,0.1421752471871803,29.0,65.0,10000.0,184380.5784960024,299090.15004358866,510776.298380144,173004.13041384812,228861.56936089564,281449.1548640947,389470.3447271798,592390.3340994291,0.99126013369938
31,2020-08-31,295000.0,0.1301928783382789,22.0,66.0,10000.0,185608.65304227,302407.21233150066,513178.1313794116,173517.1873845225,230221.9197912948,283308.8091564409,392227.3383939858,597213.660404242,0.9936519144749848
32,2020-09-30,304000.0,0.1091749644381223,27.0,64.0,10000.0,187906.80546208497,307486.8287121302,518765.090921831,175000.69142343858,232715.24712158728,286405.0107723503,397061.963290786,606081.6380536457,0.992442227293955
33,2020-10-31,295000.0,0.143719806763285,11.0,62.0,10000.0,190917.5750175184,311877.8682506241,526206.8964941319,177401.66349934647,236040.5301569925,290305.5959381688,403308.0152454547,617551.8088940495,0.9910723779144832
34,2020-11-30,305000.0,0.1257088846880907,11.0,62.0,10000.0,194292.8392908025,316828.8108085534,535169.5732202725,180262.6337327948,239971.6621752548,295058.88892604347,410695.1498511261,630854.0496971271,0.9871234647705236
35,2020-12-31,302500.0,0.1089887640449438,14.0,64.0,10000.0,197630.3840560446,322088.2451146137,545698.9179111209,183249.8056109211,244411.19162768257,300626.376367486,419210.3880235033,645988.0355556031,0.9882276699187458
36,2021-01-31,274900.0,0.1148825065274151,12.0,67.0,10000.0,200795.16193429148,324838.1867952134,556375.0281986472,185912.4499058209,248647.24770078808,306218.0119124202,427836.7124924793,661394.6463144097,0.9937972276301054
37,2021-02-28,290000.0,0.0828304991771804,7.0,70.0,10000.0,204113.4760931905,329947.7658994463,567103.6968576679,188651.90420809,253049.01325777057,312203.8345845506,436864.3271380356,677370.9191584742,0.9936497008169188
38,2021-03-31,295389.0,0.1003236245954692,6.0,72.0,10000.0,207231.49601377072,334972.09572679823,576857.7466177457,192081.1715922026,257635.9963003288,317749.03063518525,445536.4865486976,693743.8405750293,0.99596757852077
39,2021-04-30,315000.0,0.0946524064171123,6.0,72.0,,210322.55150866223,341928.2993698972,587900.5658962877,196503.49422393608,263114.51207038347,323913.44941625616,455303.3638629381,712665.2510660909,0.998034826317752
40,2021-05-31,312000.0,0.0914169629253428,6.0,70.0,10100.0,213446.92189045995,351773.90589109866,600071.7775472192,202417.4704556379,269665.8744207404,330146.73470804776,465390.7899528604,732832.6321124118,1.0000833680700292
41,2021-06-30,310000.0,0.1262677484787018,7.0,68.0,,217171.40531289007,361402.19880942674,612587.1854948731,209340.5884307436,277036.3245793885,336714.37737172755,475192.7295125391,750580.2299520675,1.0019974840790635
42,2021-07-31,328000.0,0.159047619047619,9.0,68.0,15000.0,220835.1319675112,367979.0045855734,624497.7874654867,216244.85388933137,284718.14316074195,342952.2038983935,484221.1969432632,765632.5685211787,1.0007891389755137
43,2021-08-31,319500.0,0.1470311027332705,8.0,67.0,14000.0,223727.82136007943,371569.2598915141,635240.4152483285,221812.5323719563,291720.8798950342,348523.38125935354,492838.0894818266,779977.7738379566,1.0000002941180797
