,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,199115.0,0.1981435643564356,55.0,51.0,5001.0,130937.173653881,196465.10300936544,329297.0503588552,87543.55565447717,114518.25382281464,172535.465213279,249837.25898111265,327344.5016737803,0.9733426349931972
1,2018-02-28,198196.0,0.1739028944911297,38.0,51.0,5100.0,132118.57202594393,196922.87064176545,330198.8937280641,88394.97872358817,115805.13091337983,173569.76689839977,250625.5881372008,327877.5865272271,0.978543049027122
2,2018-03-31,208500.0,0.1851966873706004,32.0,52.0,5100.0,133415.3576165755,199098.3421699885,331202.5080442217,89367.51535692089,117299.43526281808,174508.114857837,251335.54627387505,328422.3420000949,0.9839980130151168
3,2018-04-30,209900.0,0.1854208851605438,27.0,54.0,5500.0,134592.3166905199,200949.59114860225,332236.98487481946,90334.54585465915,118780.07927381426,175307.24045167412,251997.85251129893,329094.654294567,0.9865190339620912
4,2018-05-31,220000.0,0.2131965622400887,31.0,55.0,5900.0,135659.56422698518,202953.9979088684,333456.6779885757,91014.76186269676,120093.8513092363,176141.73760317222,252835.0259720345,330030.5782946913,0.9854052511668918
5,2018-06-30,220000.0,0.2407939644332674,31.0,53.0,5100.0,136492.80423112703,204475.9291551698,334495.6215004187,91587.01771236309,121161.78382189453,176901.9880033985,253527.9099033868,330785.1539895124,0.9863438295371532
6,2018-07-31,218750.0,0.2681850918257112,32.0,52.0,5600.0,137276.38872470928,206140.37760356645,335683.97018203186,92216.76482776432,122004.01721188046,177748.76381725076,254414.5974973293,331726.8931492838,0.9843218369515054
7,2018-08-31,219000.0,0.2700532346837498,34.0,51.0,5400.0,138040.752617074,206657.2147142087,336680.36934789823,92944.006654457,122851.73511715878,178522.26694849166,255206.61550070133,332531.1385115022,0.9823433427454522
8,2018-09-30,209500.0,0.2314661471018022,38.0,51.0,5000.0,138728.4439650227,206647.6213665739,337337.899103454,93570.17470085494,123488.4189382618,179210.1650898118,255863.5345501492,333223.6574517828,0.9795694020488642
9,2018-10-31,210000.0,0.2533864541832669,44.0,50.0,5000.0,139426.22514022078,206291.5983230164,337707.0205874678,94015.1575350621,124099.5433129649,179825.8495710377,256361.47526291065,333830.7263266812,0.9795692760118432
10,2018-11-30,207000.0,0.2276980661260137,45.0,51.0,5000.0,140189.54788336033,205925.3593328962,338153.2725719666,94315.03057883828,124683.54174061038,180551.3041505992,256930.05218789747,334581.6668375341,0.9780497594059948
11,2018-12-31,209000.0,0.1707206183223459,41.0,54.0,5000.0,141070.3238493505,206154.1242424474,338889.7244241794,94720.32857316424,125363.80476888618,181455.94265436407,257720.7817977928,335472.8605414026,0.976273295121986
12,2019-01-31,200500.0,0.2291236833532414,52.0,56.0,5000.0,141612.05508636488,205431.92307488108,339585.98412664194,94955.87489461472,125554.2996877242,182241.4124198756,258447.4991499988,336153.05149524583,0.9760850837931384
13,2019-02-28,209858.0,0.2039452752147629,42.0,57.0,5000.0,141699.8741099133,205416.2790681712,340405.3588238777,94875.0233124147,125199.30398407106,182758.56670322243,259191.89334624985,337007.08408165415,0.9774794015220928
14,2019-03-31,215000.0,0.2142369575816674,33.0,57.0,5000.0,141599.69718666503,206860.27513276745,341176.4629118664,94696.2107956728,124752.11453867795,182997.95266138465,259790.7088191926,337821.3517311253,0.9848571083788036
15,2019-04-30,217000.0,0.2147903477383246,31.0,57.0,5100.0,141627.20116441397,208385.9144145583,341863.6045805327,94655.11930946262,124638.4796834486,183232.6313176003,260277.9956375109,338590.97247439047,0.9822805315065912
16,2019-05-31,226500.0,0.2433613157443892,32.0,54.0,5100.0,142052.59871599797,210174.0534114217,342247.9668544266,94977.88815393273,125051.025222506,183612.6483062381,260605.4705020468,338877.9626904605,0.9850046317389652
17,2019-06-30,229000.0,0.2572906069854188,33.0,53.0,5100.0,142576.66316168304,211735.9084312624,342560.4088818654,95289.28589267202,125553.33305703418,184142.7187483648,260919.5958596448,339079.80846753594,0.9837791684479714
18,2019-07-31,226000.0,0.2748846407382992,35.0,53.0,5100.0,143181.88129755727,212742.39580878167,342918.2387322038,95517.12436883406,126109.49737160176,184695.52769210943,261236.70580222536,339156.29739618103,0.9841930554370084
19,2019-08-31,228000.0,0.2757377598926894,38.0,53.0,5000.0,143896.38536076722,213781.1170872401,343523.5114697732,95731.8594209869,126789.9288566562,185387.6225495919,261652.9400713888,339427.7931582103,0.9815931402809466
20,2019-09-30,221125.0,0.2703496130237523,43.0,52.0,5000.0,144738.00812650908,214430.43076038803,344304.0713859589,96073.66104558768,127588.42923871028,186174.4302018705,262181.85360464413,339788.26922183984,0.98242402909528
21,2019-10-31,220000.0,0.2711987639734617,45.0,52.0,5000.0,145923.67255672,214717.82865942657,345551.9228440128,96796.3023792804,128750.96478460294,187177.85188543308,262997.5559979268,340655.2849029998,0.9781202688915588
22,2019-11-30,212000.0,0.2276626506024096,46.0,52.0,5000.0,147199.8695613578,214956.10945869103,347119.9391189802,97746.94902058796,129966.41186349271,188242.50599300908,264046.80638783105,341914.584729891,0.981165585119377
23,2019-12-31,220000.0,0.1809841534612176,55.0,54.0,5000.0,148453.23042744622,215146.874218572,348711.4338106576,98696.1726998266,131140.09282688366,189357.76424221936,265177.9682587984,343508.99832364585,0.981366314496152
24,2020-01-31,215000.0,0.2420788455505594,60.0,57.0,5000.0,149793.78529563642,215255.73591809737,350369.344565105,100678.5205286406,132918.66546994905,190473.8517715564,266351.32723872527,345001.6979889916,0.9763314715539836
25,2020-02-29,220000.0,0.2707869714748128,41.0,59.0,5100.0,151188.76378452286,216235.6362636064,351986.9102983239,102474.62954081027,134748.0334666169,191587.223725104,267498.64859369944,346373.6281394005,0.9770995907904444
26,2020-03-31,229900.0,0.1806003715654639,32.0,60.0,5500.0,152434.6843007846,217788.43326851563,353507.10287699616,103939.67453434352,136393.15796922124,192531.548887154,268456.62983833364,347420.7804934081,0.9849714050187698
27,2020-04-30,232500.0,0.183366419391913,32.0,64.0,5007.5,153241.4932497829,219135.71540615923,354335.10625332105,104131.75443681552,137081.78326789924,193148.37066859115,268959.03045240394,347951.77982446627,0.986718921002108
28,2020-05-31,235000.0,0.1991862042239876,31.0,67.0,5100.0,153558.44637694428,220471.32306929983,354466.4296276115,104042.5667345528,137189.1619178884,193413.759506556,269109.8909832817,348000.168683271,0.985630545786048
29,2020-06-30,242050.0,0.1937591418820087,30.0,67.0,5500.0,153675.37494245684,221963.5046701895,354533.00608250377,103882.26341397029,137008.39513147116,193635.3398404464,269374.9529160076,348038.7850426347,0.9876110542012276
30,2020-07-31,250000.0,0.1984491378430772,26.0,67.0,5793.5,154103.05860113207,224177.5674428112,355465.9787745445,103813.61184272336,137052.78968094566,194303.2144835587,270213.6997332359,348879.67932621745,0.988213479130257
31,2020-08-31,250000.0,0.1926251473898595,25.0,67.0,5900.0,155104.90075799418,225986.36652453124,357640.8285683398,104142.40537471956,137721.498958383,195468.8897653012,271721.38227641146,350774.3982608008,0.9862083957927558
32,2020-09-30,251161.0,0.1898876404494382,26.0,66.0,6000.0,156894.58505772756,228556.100092016,361111.1387282436,105108.27989652436,139248.65536850656,197365.33569769107,274061.9729276784,353899.0253988791,0.9894959613693082
33,2020-10-31,250000.0,0.1828687157493447,25.0,65.0,6000.0,159111.76229164738,230590.15852555644,365166.841902123,106375.56806493396,141203.7136282246,199686.20371361435,276981.9182272128,357701.6967406561,0.9881305251641882
34,2020-11-30,250000.0,0.1672487909725953,26.0,66.0,6000.0,161589.7324598994,232444.86457631752,369609.2611242819,107888.38919135187,143474.7293630423,202402.5922618929,280390.49061874714,362036.2278168934,0.986735841676162
35,2020-12-31,250000.0,0.1399631675874769,27.0,72.0,6000.0,163867.41822016556,234019.7713976592,373823.4115045259,109272.35760228154,145585.13863931058,204923.3429188993,283749.0301334308,366425.35285183735,0.9873983037837888
36,2021-01-31,249225.0,0.1364455118583008,21.0,80.0,6000.0,166015.01547561845,235585.8178799372,378105.8572283951,110245.31879061351,147445.83408784962,207333.56629641983,287187.8175623536,371113.0543698896,0.9859453026741822
37,2021-02-28,252700.0,0.106487611121619,8.0,86.0,,168291.87701152498,238628.8593401756,382758.5132298017,111157.78512739374,149368.25871389115,209788.83885510152,290739.48587843205,376079.85773440375,0.9887149274532272
38,2021-03-31,257000.0,0.0990604911818032,5.0,89.0,,170937.864877919,243173.0703789341,387843.4601060273,112414.4206880872,151715.61944418272,212676.48089757923,294603.1065115624,381289.06420344935,0.995012266182366
39,2021-04-30,265000.0,0.0997013934970139,5.0,89.0,,173616.59923752435,248074.20715316487,393440.8176795426,114147.17535947356,154330.86660175727,215847.86191847225,298781.1716247932,386794.1864152882,1.0018030347914015
40,2021-05-31,277000.0,0.1027162035591632,5.0,86.0,,176198.3606070888,254264.0072692104,400006.5926865412,116055.11411363615,156880.65380422154,219372.18836429904,303702.56860244315,393221.2255290956,1.0051974513649682
41,2021-06-30,285000.0,0.1351991707389308,6.0,80.0,10000.0,178757.76350457035,259866.65369254065,407135.7264959955,117876.87980897706,159252.16697450334,223112.89712967607,309159.16824693413,400240.9870534991,1.0063787730263147
42,2021-07-31,295000.0,0.181639601885804,6.0,75.0,10000.0,180600.4886689123,263851.515151719,414262.92069656384,119520.02600933438,160773.55074615582,226555.599940788,314905.3130167361,407653.58965908055,1.004598957482854
