,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,525000.0,0.1940503432494279,20.0,64.0,15000.0,405497.1747378499,585212.5269670248,941261.2056157364,341644.3470896296,456886.3608785334,556858.053315031,681335.3483942273,907376.3035047512,0.9952317035182582
1,2018-02-28,539250.0,0.1683853651645712,14.0,63.0,15000.0,407873.86593047576,586004.856361993,946150.1646186695,343925.6214995373,459249.4045091689,559873.3811349614,685101.1994243856,912566.1687677768,0.9974034559419712
2,2018-03-31,550000.0,0.2034711964549483,14.0,61.0,15000.0,409458.9250226876,590141.6203175964,949302.7231375566,346225.7458392246,460884.0466561944,561716.7372869533,687459.1298889074,916260.3299434872,1.000017224617332
3,2018-04-30,567500.0,0.2212217916571689,13.0,61.0,15888.0,410935.89942751714,594624.038938897,951991.3253834615,348662.57257308904,462469.7470177501,563324.3260338054,689476.8848098223,919421.5666530146,1.000997576730447
4,2018-05-31,565000.0,0.2492255100950753,15.0,60.0,15950.0,412680.72645944025,599502.0723683895,955929.0429364416,351138.7550514625,464339.02738260775,565425.8993906339,692202.1940113748,923734.5521664912,0.999937254290932
5,2018-06-30,575000.0,0.25439852700491,19.0,57.0,15000.0,414220.36129166215,602321.1769796237,959339.4349322056,353160.38417059364,466006.7014630322,567108.2164569822,694322.7634894097,927361.3446991724,1.0005397766505506
6,2018-07-31,570000.0,0.2649138712601994,34.0,54.0,15000.0,415787.2726884393,605416.6185603837,962165.5833374868,355273.14544481365,467810.05201150384,568608.9928200686,696230.6242925111,930927.5100532876,0.9978586747443356
7,2018-08-31,570000.0,0.3174102587886095,22.0,51.0,15000.0,417307.3745645717,605716.1569329097,964394.8005316406,357278.1129855304,469674.6931383776,569847.5194762461,697596.260343956,933631.3683778384,0.9957346824685688
8,2018-09-30,570000.0,0.2913876049429299,29.0,50.0,14000.0,418665.7419469748,604551.0258911429,966418.9783412088,358850.32986867154,471359.9286963988,570976.0896877319,698916.5935000881,936082.9873988864,0.992991081249572
9,2018-10-31,551500.0,0.3324232724533986,32.0,48.0,15000.0,420038.04725448205,602503.4036599268,968274.557016245,360061.73751875386,472923.1722554864,572224.3267030995,700046.0977721373,937725.2721788205,0.989870188012509
10,2018-11-30,545000.0,0.2830549406319179,35.0,49.0,14900.0,420779.5486191313,598845.1018544232,968843.0013955992,360723.3181693024,473663.96796129673,572868.0443235119,700557.8006412891,938558.9326635894,0.9895963862226476
11,2018-12-31,549000.0,0.170457182640984,44.0,51.0,12000.0,421083.0675962895,594428.014053248,967586.248673714,361248.9047076567,473840.8363548753,572757.0264724722,699848.5260728211,937493.0552495866,0.9883132251141684
12,2019-01-31,550000.0,0.2494459219858156,42.0,54.0,13050.0,422188.1017148602,593658.2534445619,965626.5885774348,363655.0697148785,475941.0755076132,572794.2728524358,697649.0663257007,933243.4598634156,0.988744039414998
13,2019-02-28,551000.0,0.2118476106584453,27.0,56.0,12651.0,424530.72512293,594082.2753783031,963201.5800447756,367679.6573245137,479888.9475935328,573459.2842614829,694592.8029691344,926578.5806175874,0.9878372262982036
14,2019-03-31,560000.0,0.2188078108941418,24.0,58.0,14900.0,428098.6706748489,597940.2797575725,962705.6017559152,372312.2894800114,485392.2803726182,575480.2356333458,692571.3395664394,920646.3365120146,0.9908190103006248
15,2019-04-30,575000.0,0.2167719931788544,20.0,60.0,15000.0,431186.73505602265,602722.4977694008,963377.9987695214,375197.3511840748,489509.0736233636,577553.5874056405,691954.7705970816,917261.9860456544,0.9940540583743348
16,2019-05-31,570000.0,0.2496184662342617,18.0,58.0,15000.0,433002.7122697082,604920.6383858677,964250.0327373302,376397.3253680529,491699.3647329947,578717.82121021,691749.7750754151,915442.6508299249,0.9957654633869428
17,2019-06-30,588000.0,0.2582893745290128,22.0,57.0,15000.0,434176.1094667306,609263.441153331,965020.714274558,377024.1338698797,492763.2514941651,579471.6956273991,691910.6957825925,914531.4150956576,0.9954805287700657
18,2019-07-31,574000.0,0.2617228040381168,23.0,57.0,15000.0,435033.5342524168,611576.9117440662,964608.7125056566,376894.362319927,492948.8259534572,579813.7133782131,691739.4550329653,913252.263955562,0.9945398725995772
19,2019-08-31,578000.0,0.270837343599615,24.0,58.0,15000.0,436500.9354191911,611882.2995493251,964644.654152515,376614.7152249513,493670.27280232665,580947.5061996143,692224.2080947988,912491.308851896,0.9928740682186928
20,2019-09-30,568000.0,0.257875833760903,26.0,57.0,14100.0,437790.1606159245,611256.9133253826,963972.7908256092,376003.2879224513,494315.43870266987,581867.8011803833,692128.066045782,910945.3227910332,0.992417203684879
21,2019-10-31,572000.0,0.248748268882497,25.0,57.0,15000.0,439341.49108562944,611180.5105317913,964605.1445102892,376270.7138708223,495608.1256025539,583362.5443797819,692942.7471916653,911117.1832252416,0.992824816931412
22,2019-11-30,583000.0,0.200024847807181,25.0,58.0,15000.0,441549.1682922765,611990.3915083497,966690.3031767956,377518.0608662441,497614.84115042834,585710.0155581472,694985.2483362786,913143.4742117102,0.9915196335938696
23,2019-12-31,563500.0,0.1388550548112058,32.0,63.0,13250.0,444447.8862110661,612821.2905074715,970764.6162997272,379495.0235992416,500207.7794910904,589072.4638998822,698775.9311200825,917928.9126935954,0.9903483170574674
24,2020-01-31,580000.0,0.1706469821971341,18.0,70.0,14000.0,447403.92857884406,615706.6610459895,975842.8468318478,380921.6135208225,502648.00386384287,592801.661968635,703551.5540235862,924421.043339378,0.9883007975237712
25,2020-02-29,579000.0,0.1785058607541307,13.0,73.0,19000.0,450390.56771760265,620852.4250945133,981814.126809789,382031.5867646852,505031.0459321063,596917.2295068883,709080.3535277508,931669.9249328484,0.9934234670305198
26,2020-03-31,585000.0,0.1531519212361548,10.0,71.0,16000.0,453498.1820264153,627625.6108545294,988611.5864838992,383120.6067682605,507481.6465941973,601314.3392515964,715080.6727672092,939404.9241953788,0.9962847210738652
27,2020-04-30,590000.0,0.1590352121759319,27.0,71.0,14000.0,456935.3256829381,634463.8078192796,995702.5032577956,384579.74286269833,510323.8688371088,605881.0269722195,720847.5762490145,946374.0734569398,0.9969357672235736
28,2020-05-31,575000.0,0.1857031857031857,15.0,76.0,15000.0,458824.0784431755,635182.1022588024,999211.1312951274,385337.7359808106,511549.4908853164,608143.1305670355,723640.7072988789,949926.9448890744,0.9923416943855892
29,2020-06-30,605000.0,0.1678813118167621,12.0,80.0,15500.0,458942.3749961364,636116.5665007827,999486.9275459066,383033.66243734845,508731.9249362678,607846.3655418777,725467.4604700812,953883.1789721752,0.9945075980894492
30,2020-07-31,630000.0,0.163787587971849,9.0,82.0,19999.0,458339.2805712642,640494.4613198657,999553.4675872688,378708.41906424105,503409.9152946809,606826.3998060963,728341.5428843818,960719.0107441456,0.997118925462564
31,2020-08-31,637000.0,0.1605146867689108,8.0,81.0,20000.0,459283.0292543971,647001.0586964706,1004371.1286346562,373734.78022248746,498586.0434743741,608303.7502499786,735546.7802254948,973991.3652198776,0.9971542359638988
32,2020-09-30,648000.0,0.1627874948354221,8.0,79.0,20000.0,463180.3103905958,657234.0720925595,1015525.7286013208,371300.26604693866,498330.4629874478,614200.0391188132,746421.4432417909,991018.316627215,0.9995689953938796
33,2020-10-31,648000.0,0.1750605978992728,8.0,76.0,20000.0,469104.9279579708,665880.7677455965,1030183.8973899746,371153.1462923247,501293.64112146426,623030.7231011833,759453.2601832455,1009783.4004682134,1.0002029661328375
34,2020-11-30,645500.0,0.1458400256986829,9.0,77.0,16000.0,476809.0826277202,676981.8623269233,1048418.027249908,373544.2397904415,506821.1486212884,634425.979073247,774937.60756099,1031167.9432713332,1.0015870262461646
35,2020-12-31,642000.0,0.115878979632193,9.0,84.0,15000.0,485030.2887160965,686150.1071145278,1066486.657926208,377477.7618801848,513372.3604820513,646261.6883109588,790526.5286568134,1052206.8076017906,0.9999138060576174
36,2021-01-31,645000.0,0.1163841807909604,8.0,92.0,20000.0,492970.1493104345,693807.8415429096,1083824.0956497735,381426.74920961686,519716.0407369931,657589.5957938246,805588.2817007904,1072697.089138453,0.9998559608972172
