,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,118750.0,0.1064638783269961,80.0,35.0,,85883.13832496516,142306.5081419442,230335.7402389597,79011.98600001348,79803.00447460347,139869.09759159747,198050.4146174735,248226.0668872032,0.97409306537226
1,2018-02-28,137500.0,0.1155378486055776,40.0,35.0,,87040.82404974838,142016.53515452787,231453.6594397069,79539.80183408326,80284.67380172189,140532.4040649157,199105.1917565125,249389.8469777805,0.9755744991882044
2,2018-03-31,138000.0,0.1632653061224489,35.0,37.0,,88538.10697905964,143500.82354314238,232690.4046480628,80285.56943334726,81050.83625377246,141334.21301967112,200287.2937120331,250771.10493999333,0.9801018425801756
3,2018-04-30,129750.0,0.1417004048582996,19.0,38.0,,90113.19962273478,146097.64704400278,233967.32152405844,81104.87259281742,82029.93608488695,142208.4557387868,201490.6849207733,252315.3848046936,0.9823051032609552
4,2018-05-31,157750.0,0.1556420233463035,14.0,42.0,,91246.76514689357,148005.02770857757,235271.8616663184,82055.62195872617,83002.59502659933,143066.75683788632,202675.80541044785,254100.3318789637,0.983746725399988
5,2018-06-30,165000.0,0.1538461538461538,10.0,43.0,,92086.80022877116,150588.18579532544,236667.12434142912,82906.01929221519,83812.14578584915,143894.88487779698,203867.4493467348,255822.5124919739,0.9831226563632424
6,2018-07-31,145000.0,0.1869918699186991,38.0,47.0,,93249.3454442358,152639.6854533467,238123.3499278951,83736.60034779472,84584.1439462445,144745.31418699631,205071.45295238963,257347.09897243875,0.9827777087509016
7,2018-08-31,154000.0,0.1563786008230452,11.0,45.0,,94492.10097784927,153735.29129769086,239538.8648194373,84369.31743412501,85407.475279733,145633.68433314012,206197.97554891685,258658.93199117167,0.9812258908289953
8,2018-09-30,144000.0,0.0986547085201793,16.0,40.0,,95743.22540163028,154584.2507109339,240631.4261648937,84931.53670245114,86194.5168553231,146454.64519668405,207105.99306740472,259776.6293122637,0.9826896476257552
9,2018-10-31,165000.0,0.1636363636363636,38.0,38.0,,96483.62707198095,154597.72704590857,241305.43370242463,85162.98886338538,86679.34209944156,147010.03161882726,207699.00386566177,260699.98061599964,0.980449910424771
10,2018-11-30,118000.0,0.1290322580645161,28.0,40.0,,97484.90191198776,155429.96211496886,241952.8215172313,85677.92662195407,87222.09064082454,147601.93019681328,208226.44532410867,261554.36291126453,0.978687248663186
11,2018-12-31,128000.0,0.0878048780487804,45.0,44.0,,98221.92929230108,155478.93116269645,242490.4449067364,86197.68927289112,87611.38483407705,148119.08710331752,208570.9506216689,261980.0225768397,0.9794681725314948
12,2019-01-31,175000.0,0.1277533039647577,47.0,48.0,,98444.2427083882,153023.71971251778,242692.4928264649,86738.82294258564,87725.52907770389,148512.50918629998,208720.6665602837,261892.09298435552,0.9755257512263452
13,2019-02-28,145000.0,0.1210762331838565,31.0,50.0,,97844.50489771596,151619.34345281302,242553.48664581907,86822.30071023812,87505.60986029949,148726.2976996829,208715.0299172792,261542.89892673705,0.9776396097162888
14,2019-03-31,140000.0,0.1184210526315789,15.0,51.0,,97478.9511359292,152437.02215879486,242612.4603768041,86892.24598524092,87546.30915830682,149040.61436973346,209028.360888554,261755.06416387355,0.979899488097995
15,2019-04-30,156250.0,0.1160714285714285,12.0,50.0,,97565.522512438,153720.0266798511,242968.1660138356,86892.21623054198,87842.36935378522,149425.4235122965,209469.8982092265,262190.8178631144,0.9824159888819136
16,2019-05-31,155000.0,0.1,17.0,49.0,,98462.65398298064,155767.261347552,243644.8754794997,87175.68055763522,88426.17620011751,149910.2784678609,210159.74856214423,262852.3818727962,0.9853375781847252
17,2019-06-30,159500.0,0.1272727272727272,14.0,47.0,,99121.98868224293,158079.67689313155,244451.96805967973,87171.63155427405,88808.61795201698,150372.67120599875,210898.0320736788,263554.9757154197,0.9861548243806052
18,2019-07-31,159500.0,0.1727272727272727,14.0,48.0,,99480.45511187332,159918.88693385565,245681.82965526395,87284.06520912334,89408.79961500173,151184.82909315292,212112.63044260463,264790.7901262245,0.9847267903033672
