,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,700000.0,0.1317829457364341,21.0,61.0,,546455.4360306077,825009.7880531295,1278782.0675921463,536894.0222026575,647477.8107235935,854958.9271813147,1056247.5975660973,1262798.0598672023,0.9952317035182582
1,2018-02-28,720000.0,0.1303370786516854,16.0,57.0,,551237.9014036384,828783.6544369065,1288290.4026151437,542040.3517433329,653416.0949123395,862696.6380078044,1064533.2572997462,1271294.857392941,0.9974034559419712
2,2018-03-31,800000.0,0.1277372262773722,14.0,54.0,,554667.3099275479,834656.7528283887,1294588.3330901011,545846.0515341008,657608.6125168869,868016.04426236,1070413.3104846177,1277220.487830178,1.000017224617332
3,2018-04-30,785000.0,0.1675302245250431,14.0,55.0,,558286.630804852,846635.6195638359,1301347.3659152417,549271.3287955755,662122.0033851512,873903.6319124786,1076590.409373294,1283352.0659193052,1.000997576730447
4,2018-05-31,799000.0,0.1759398496240601,14.0,56.0,,561431.9096755752,857405.2734309259,1308344.8392591907,552289.4098267042,666193.4940756483,879561.7744395373,1082574.7882303195,1290026.1926626794,0.999937254290932
5,2018-06-30,830000.0,0.2388059701492537,15.0,52.0,,563806.2809231612,864715.5732168478,1314266.2233046305,554104.6376677614,669369.8803785233,884599.3441161178,1087571.5723949273,1295609.806881941,1.0005397766505506
6,2018-07-31,780000.0,0.2229465449804432,17.0,47.0,,564590.3594936668,861988.7551421684,1314643.3753678128,553856.2553500016,670271.8218585947,885869.2114467421,1088560.7653657591,1297341.84324457,0.9978586747443356
7,2018-08-31,805000.0,0.2606516290726817,16.0,44.0,,565444.911475361,863205.7921772404,1314729.4061682036,552293.139150309,671019.8810801352,886550.6362211743,1089564.7767151135,1299703.7365098554,0.9957346824685688
8,2018-09-30,822750.0,0.2589395807644883,25.0,38.0,,566837.3784653369,862604.5190147854,1316122.1808454243,551284.649646924,672615.2873979872,887995.4117109386,1092145.5527694176,1303637.7278500283,0.992991081249572
9,2018-10-31,787000.0,0.2941919191919191,31.0,33.0,,568874.5793726724,860795.0819033658,1320565.7628030777,551700.2113219335,675227.113411997,891307.0283909244,1096913.9327321632,1309592.548819408,0.989870188012509
10,2018-11-30,772500.0,0.2346041055718475,30.0,30.0,,570210.4501460126,854302.9578993889,1323180.8405093784,552342.659700788,676628.4476178851,893486.4922034162,1100394.912519605,1314325.805829347,0.9895963862226476
11,2018-12-31,775000.0,0.1441441441441441,47.0,38.0,,570055.4253804926,843705.4474689743,1320457.995762407,552408.1139307938,675596.8779693336,892389.4999470016,1099093.3386193414,1313179.3405957927,0.9883132251141684
