,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,190250.0,0.1485265225933202,57.0,49.0,5250.0,111346.7168517388,187660.35220946823,323318.645179045,172134.05277760918,106810.19720131364,168503.6586935695,253561.60485779736,317442.37454187433,0.9782322033815484
1,2018-02-28,191500.0,0.1298887692859705,24.0,49.0,5000.0,112632.57513475804,188169.7602668532,324162.58854988846,174194.8949866749,108021.62607698348,169670.29267969445,254264.9874574036,317774.2655841911,0.9755416319736998
2,2018-03-31,189000.0,0.1733870967741935,25.0,50.0,5000.0,113941.71489562772,189458.82280067567,325069.08627097687,175729.67859047456,109116.80103315122,170666.34063905285,255047.9011849429,318338.38743664045,0.9790919991942908
3,2018-04-30,205000.0,0.1935163744624545,26.0,50.0,5100.0,115041.88290560315,191117.1748215171,326172.6440216611,177378.6230753866,110129.80539528331,171515.91193075172,255752.06838747207,319097.7404711563,0.9783872683123992
4,2018-05-31,200000.0,0.1856950973807924,29.0,51.0,5100.0,116170.07550862175,193246.2081068234,327658.3043373316,180022.10423449727,111267.40960595352,172357.6795634872,256567.7269092268,320190.4496437335,0.9816143545260936
5,2018-06-30,213450.0,0.1792102598717516,35.0,50.0,5000.0,117022.09299435832,194680.47959899832,328823.3305152357,181860.470457478,112138.09298966946,173080.78975398003,257056.5818311647,320676.4409013256,0.9828013026344984
6,2018-07-31,200000.0,0.2120473537604456,32.0,50.0,5000.0,117898.16493718936,196436.08991182188,329981.3227159045,183233.6560320698,112919.67886876718,173879.32486899465,257733.1899776919,321149.0800589512,0.9803680353991628
7,2018-08-31,201000.0,0.2222222222222222,34.0,50.0,5000.0,118745.03262737514,197261.2724465407,331079.7909711273,183498.99978700743,113718.51416792686,174673.06372794157,258557.8505334876,321869.8661673994,0.9814030723460996
8,2018-09-30,196250.0,0.1958254269449715,33.0,49.0,5100.0,119926.46625860548,198240.38518776093,332430.9589246653,184777.89129029456,114884.5511474032,175694.33454577523,259651.9237748099,322998.8318538924,0.9811825403011492
9,2018-10-31,199800.0,0.1967151922359089,35.0,49.0,5035.0,121019.09862436916,198163.003663443,333578.0800877293,187013.74186893544,116093.21876996769,176483.40690529408,260470.4261364824,323989.1682396319,0.980209426204632
10,2018-11-30,193500.0,0.1763117283950617,31.0,49.0,5000.0,121969.35119131891,198326.46688728945,334579.1027827793,190155.0837611912,117053.8879944028,177249.57150263188,261180.53961622567,325082.3319095043,0.9781873603002316
11,2018-12-31,187864.0,0.1233101188037689,45.0,50.0,5325.0,122865.52316377028,198720.52145470405,335705.7155639522,192765.38772795,117911.148559682,178037.74012530947,261842.32909547832,326047.91005301423,0.9817452235717342
12,2019-01-31,194750.0,0.1823161189358372,45.0,52.0,5100.0,123492.68781252325,197822.95308132924,336512.0322046122,194171.2471997233,118122.94001736087,178673.83740043864,262344.55111704423,326465.2599128621,0.9756772665327
13,2019-02-28,192375.0,0.1545875096376253,34.0,53.0,5100.0,124104.32237373634,198443.1803450376,337331.07777694246,194235.11994750265,118198.52488885396,179231.72023743912,262853.0851973646,326285.8518809683,0.9797043185381932
14,2019-03-31,199400.0,0.1627240143369175,23.0,53.0,5000.0,124835.84051005317,200102.0698324525,337961.1708460105,193858.47161529984,118420.31222781033,179750.13494272972,263339.6477171956,325884.7849340407,0.9785152809190948
15,2019-04-30,205000.0,0.1951388888888889,21.0,54.0,5100.0,125789.08097250292,201430.0077566946,338722.2543795009,193327.4876242391,119187.88999593872,180461.48325843472,263932.5302547796,325831.27135784336,0.9825124970695516
16,2019-05-31,226500.0,0.2079207920792079,30.0,52.0,5000.0,126805.19739987032,203358.828985226,339259.1185832045,193284.87652922308,120309.1333938635,181195.79474463384,264391.9492050772,325836.237356904,0.9845702538242518
17,2019-06-30,217900.0,0.1973267674991206,27.0,53.0,5100.0,127524.61196578931,204860.3600930679,339718.1682494462,193210.536176224,121295.86710706782,181748.18479947708,264764.5428429411,325920.4043957455,0.9845831909515396
