,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,106000.0,0.1314708299096138,94.0,11.0,5000.0,69569.95748237045,132333.73819839192,228269.98533528004,65403.90072757433,84969.71551124466,119749.91448945653,172461.49146328124,179459.3724800759,0.981530447316614
1,2018-02-28,97250.0,0.106655290102389,102.0,13.0,5000.0,70740.34270977096,131497.737218159,229492.94315818703,66215.26818044753,85724.6959533761,120452.4000107174,173118.31265837103,180544.64308524548,0.9741020677916822
2,2018-03-31,110000.0,0.1273157272368939,50.0,18.0,5900.0,71984.09005936091,132784.4600077601,231180.2609817662,67197.19134088932,86617.58492347178,121186.50286641272,173708.48371630782,181619.3614181881,0.9813194271803478
3,2018-04-30,98500.0,0.1539916761256148,52.0,22.0,6000.0,72929.03846508802,134103.67271274203,232690.13434633167,68078.82150171694,87474.14634613635,121952.52368508848,174416.01545793074,182778.27010501377,0.984818305944258
4,2018-05-31,110000.0,0.1676300578034682,50.0,22.0,5900.0,73615.60053674028,136110.78105375505,233817.73861927315,68656.31837200986,88164.80086333504,122680.83758719276,175148.3831414849,183761.9080739173,0.9853010487262944
5,2018-06-30,120000.0,0.1942372881355932,40.0,19.0,6377.0,73723.10046204196,137365.30963355352,234185.4244386953,68947.86006551002,88491.51349191471,123100.94268188428,175742.40666947226,184592.86822740888,0.9881762995542608
6,2018-07-31,123000.0,0.209279038718291,63.0,18.0,7500.0,73796.62699256808,138775.92039936004,234359.61300448503,69351.33741651311,88790.71203465974,123479.1885885086,176393.2811729886,185547.4390641733,0.9844148443543592
7,2018-08-31,125250.0,0.2279706275033378,35.0,20.0,7750.0,73756.71510871251,139029.95280901832,234275.18416898232,69734.11158998123,89138.0414147022,123866.14478873332,176990.80889800913,186363.87107610647,0.983917240806102
8,2018-09-30,117720.0,0.1813297515110812,79.0,19.0,6100.0,73694.14991742013,138157.31937458063,234081.2855636868,70094.86550121107,89449.68711629794,124194.67412492058,177360.42085149873,186706.8416065894,0.9823396164299568
9,2018-10-31,128700.0,0.2114918656974731,61.0,16.0,6000.0,73497.06231756903,137534.3643658467,233373.80696310627,70273.14343501076,89659.76703550143,124253.88735189191,177266.76770554134,186501.53063037567,0.9791986429643132
10,2018-11-30,119250.0,0.1498864496593489,99.0,13.0,6000.0,73465.72725959688,136135.04067076597,232394.27726764893,70406.65027479788,89863.93113536325,124340.01369059844,177152.99231255555,186466.8361889406,0.9797600096400564
11,2018-12-31,108575.0,0.1002114164904862,97.0,18.0,5250.0,73623.14791706666,135230.46361320664,231425.44742039303,70597.14633126797,90228.13633608706,124642.40670486804,177211.0883412289,186748.3121323137,0.9764419489206564
12,2019-01-31,111300.0,0.1407277509864094,92.0,23.0,5100.0,73997.92582069061,134827.07443024687,231419.19635540192,70967.4793864562,90651.68003313753,125249.1942003704,177634.62680343247,187433.4468532269,0.9725212845315282
13,2019-02-28,105500.0,0.1426618049225159,91.0,28.0,5000.0,74664.96149736567,134986.9881979755,232603.5952313688,71588.32810059114,91264.68843314196,126185.85650824213,178501.78232216788,188618.55999840607,0.9771432768899856
14,2019-03-31,119900.0,0.141155712395236,75.0,27.0,5100.0,75715.2729962852,135694.81589575997,234084.60580972384,72329.07050901308,91975.90904565148,127168.92576146132,179499.5483460014,190038.54330390383,0.9802140409315288
15,2019-04-30,106000.0,0.1653543307086614,35.0,29.0,5900.0,76901.58771296534,137552.28701442335,235425.473174574,72981.78714219872,92630.79141255066,127876.29031841963,180302.59926529185,191297.0512273904,0.9854469586723632
16,2019-05-31,117000.0,0.1770791882212495,36.0,24.0,7600.0,77631.10486955156,138947.87609647337,235632.07390374088,73302.4710859726,92859.43078870408,127997.142796079,180406.95850436203,191677.10130081527,0.985515061416298
17,2019-06-30,147500.0,0.1956686930091185,53.0,23.0,7000.0,78116.6046923684,141294.48144952982,235915.77583478563,73313.85150165843,92909.05423960324,127974.5042632742,180436.5269128269,191892.59463464905,0.9922885061479244
18,2019-07-31,127350.0,0.2226472838561591,48.0,23.0,7900.0,78440.02843015583,143317.65795707042,236065.12979064425,73307.74768857316,93024.327530022,128050.0449760492,180493.02923006265,192048.08863125448,0.9882067911086104
19,2019-08-31,125000.0,0.2289844047166223,77.0,26.0,6000.0,79036.52066919487,144896.10755510113,236955.78495273707,73476.71398763264,93433.94070728592,128490.07777252544,180921.5786959083,192570.58337463904,0.9874721535306794
20,2019-09-30,128600.0,0.2127741439015005,50.0,24.0,7000.0,79652.69397986062,145340.9711420307,237802.38758073945,73839.90387165296,93925.8241916484,129026.72223481604,181376.0061536308,193010.98816078392,0.9859531745277864
21,2019-10-31,120000.0,0.2209531311539976,80.0,22.0,7099.0,80386.42060336036,146056.45889820403,238635.5313632876,74281.74944428739,94447.2149000286,129591.47033580464,181860.3909965326,193505.0272471873,0.9852634176440992
