,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,204650.0,0.1655662772981208,58.0,38.0,10000.0,135009.51746909108,218227.00354171864,432496.2577801647,78440.7776951947,149196.80048664048,233617.1186363987,317620.483547918,543636.6468513642,0.9657794258771992
1,2018-02-28,220000.0,0.1651418115279048,38.0,36.0,10000.0,136148.76988151285,219592.50128527795,434583.1776367769,79348.02476395566,150207.1154155511,235271.5929638932,318782.3202720332,544977.2779080095,0.9687982692216904
2,2018-03-31,195000.0,0.1795092552733534,44.0,36.0,10000.0,137320.09609762297,221757.30354047017,436622.3834173135,80101.75267087083,151252.49110424382,236708.39343606253,319993.0826977854,546591.4537692965,0.9711760346714026
3,2018-04-30,224000.0,0.1653645833333333,46.0,38.0,10000.0,138232.52844745325,223574.351982075,438481.7267855974,80536.79271301937,152114.58295507124,237836.88243342983,321191.9170463077,548483.1331072325,0.9714883804652046
4,2018-05-31,219500.0,0.1570357300397,61.0,38.0,10000.0,139029.86314136814,226160.079796112,440670.6424172632,80649.13414534675,152922.94501352962,238972.1571383104,322410.1504293081,551456.4694258508,0.97352256984325
5,2018-06-30,220000.0,0.1320055581287633,57.0,37.0,10000.0,139685.0298544953,227439.2880414058,442524.2685056183,80741.55741876959,153597.08152863503,240028.20360080816,323487.78091005766,554578.4702007212,0.9741922586154594
6,2018-07-31,215000.0,0.1468703794972893,86.0,36.0,10000.0,140675.56288427958,229310.91190496853,444915.5158074531,81172.79713294799,154577.0958617886,241582.10515721948,325117.28894032794,558763.3096308071,0.9720641381654744
7,2018-08-31,220500.0,0.1479050984351337,70.0,36.0,9000.0,141676.99279039938,230293.78660382924,447210.9115533884,81812.25117397979,155579.38575134744,243101.428738481,326902.5687420056,563123.4646220198,0.9715907582890938
8,2018-09-30,214000.0,0.1363636363636363,58.0,37.0,10000.0,142553.34111666286,230502.5409456085,449421.41924077854,82386.43804505374,156434.20730930535,244294.50078690468,328737.2545341172,567535.348547984,0.9723972654704074
9,2018-10-31,208200.0,0.1639024390243902,56.0,36.0,10000.0,143287.36093556162,230551.96257121983,451146.1583141391,82849.70937944138,157182.73239427086,245085.91279924705,330103.5225440984,571234.3292160375,0.9718529267120062
