,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,170000.0,0.1109422492401215,,25.0,7000.0,91498.91393258568,156133.1742316061,349055.8295857839,83418.77321600348,93300.14589175016,163788.7886240783,311760.5369941494,499070.5703258631,0.9724121906834776
1,2018-02-28,174700.0,0.0852359208523592,,23.0,10000.0,91472.05102577768,155625.4171454679,348051.72849576944,83960.94173936313,93444.83847999918,163791.59858717027,311096.02840114536,498557.8067432325,0.9735119925730794
2,2018-03-31,166750.0,0.1066499372647427,50.0,25.0,10000.0,91133.62265666109,157007.2862209806,346625.8805754454,84400.08485057046,93593.70832705343,163822.46853245914,309759.0173183438,496782.51170416217,0.9756374934450708
3,2018-04-30,165000.0,0.1138211382113821,95.0,29.0,10000.0,90656.672251646,157581.88732804722,347004.8753696542,84691.96621584108,93989.30281905628,164382.33199272363,310050.7811328822,498154.1038563721,0.977430013225152
4,2018-05-31,162000.0,0.1323529411764706,27.0,29.0,10000.0,89985.02644280111,158975.60991136567,349029.8973544978,85006.00658620753,94549.5748127462,165319.08966573304,311809.8133072488,502683.53421694,0.9792468437613964
5,2018-06-30,178000.0,0.1418002466091245,23.0,34.0,10000.0,89206.05231225968,160520.14185095637,350963.2066006695,85112.62299599087,95055.13188240786,166149.5438654746,313493.02721309033,507352.3086341754,0.979629114267528
6,2018-07-31,178500.0,0.1316425120772947,36.0,37.0,10000.0,88845.34822165698,162310.2646567303,353507.61100187426,85455.64611372097,95629.037347538,167235.8450402032,315778.8652053403,512486.2373271635,0.9810243568419408
7,2018-08-31,189900.0,0.1211764705882352,60.0,32.0,10000.0,88698.30377671916,163345.97527871214,356035.0139498433,85778.32759856462,96283.9406620168,168287.31869065767,318013.4000784919,517157.7542239503,0.9820011639568488
8,2018-09-30,177500.0,0.1373555840821566,39.0,26.0,10000.0,89050.54355185725,164638.49583491814,358608.2347110195,86045.00317388895,97111.89981723888,169400.0868050447,320327.7218120501,521662.0058862927,0.9757315494854508
9,2018-10-31,179500.0,0.1390306122448979,56.0,30.0,10000.0,89471.28618055972,164699.19079872593,360308.9213978301,86161.02891029023,97876.61806063972,170258.10656369885,321842.402442431,524803.7542222715,0.978828783036342
10,2018-11-30,169000.0,0.1220850480109739,31.0,27.0,9100.0,90283.36586226722,165506.6700561877,361748.7333506082,86604.8780023252,98980.4026761026,171237.78713312626,323076.18905692507,527150.0093811833,0.9759483738148972
11,2018-12-31,165000.0,0.0937972768532526,131.0,24.0,6300.0,90831.650184883,165589.33247345852,363358.5927676152,87270.69087820429,99811.69693627552,172115.89634911198,324519.9406777767,529683.9648848216,0.9727218158098248
12,2019-01-31,243000.0,0.1306306306306306,77.0,30.0,9450.0,91284.79176098591,165842.01962742046,365624.2888673306,88436.60234722924,100576.69750974796,173137.03674335728,326624.20600648614,532871.9930213963,0.9730326182960134
13,2019-02-28,138000.0,0.1320474777448071,59.0,38.0,8550.0,91435.9640977754,165768.74143338867,367562.5014416974,89541.44140342518,100914.8003890646,173848.96700734494,328670.24243111286,535722.4680686444,0.970529578456329
14,2019-03-31,169000.0,0.1366711772665764,63.0,33.0,8500.0,91733.7037641442,166834.35796336643,369197.6033829591,90799.21119073068,101254.02142534852,174617.44363715113,330566.192502716,538101.3513241324,0.9760937963982016
15,2019-04-30,165000.0,0.1542483660130719,55.0,30.0,9100.0,92182.0297415403,167729.5514658792,370443.14764458576,91688.49715534784,101606.98066191084,175378.33208773175,332072.9289638533,539917.743000341,0.9776677382019492
16,2019-05-31,167000.0,0.1914893617021276,42.0,29.0,9300.0,93175.92880207284,169468.5651698332,371359.2497725015,92682.66553990958,102409.31773814817,176294.0719011809,333082.54674617184,540999.5224744813,0.9786842669291612
17,2019-06-30,169000.0,0.1587301587301587,42.0,30.0,10000.0,94073.84462745316,170844.63183959466,372011.1568572182,93292.4372113927,103329.87131272156,177119.0139494088,333661.67132537515,541352.124026761,0.9807326257072114
18,2019-07-31,181950.0,0.2009966777408638,36.0,30.0,10000.0,94783.51758678169,172745.21018700884,372688.2679745035,93875.88931167511,104438.14776567102,178024.67880112957,334159.6698427477,541211.0849161494,0.9788541085616836
19,2019-08-31,163250.0,0.1829855537720706,45.0,34.0,10000.0,95077.61100824084,173535.69238145105,373924.8030650029,94278.73062993553,105256.18559607836,178855.0100903135,335134.6726288688,541893.226873083,0.9784350765365282
20,2019-09-30,171000.0,0.1891891891891892,37.0,34.0,10000.0,95083.09676402496,173524.818578238,375142.0017340762,94442.48730444768,105786.98305291282,179486.94507851775,336313.3687713347,543205.3173125755,0.978522004577728
21,2019-10-31,155000.0,0.1885813148788927,38.0,32.0,10000.0,95194.8518511221,174428.09016400468,376720.4206853389,94770.58195960692,106277.70566168267,180165.075115168,337725.8061160866,545818.5161133279,0.9744450931044174
22,2019-11-30,170000.0,0.1290322580645161,55.0,29.0,10000.0,95448.2764908488,175540.51893680298,378440.68759042496,95462.91862161254,106912.12167278882,181141.98062040773,339318.14723266213,548752.6298872405,0.9767241470998428
23,2019-12-31,180621.0,0.0965092402464065,70.0,29.0,9500.0,96140.01975953457,175819.1974527771,380409.24367020087,96615.31167272832,107729.44687559608,182452.41531758,341082.9836984085,551954.974457481,0.9742740100333636
24,2020-01-31,172500.0,0.1818181818181818,51.0,35.0,10000.0,96815.80245363255,176544.4360502105,382160.77775826136,97750.77972238146,108655.17413294651,183925.44303265508,343044.1059264932,554838.2040330163,0.970068833702836
25,2020-02-29,158500.0,0.1761006289308176,26.0,38.0,10000.0,97311.54223028648,176671.97567012947,383294.8170642977,98652.92754137178,109514.81439205311,185166.34702444563,344627.0021295279,557159.8606487877,0.9758240666151796
