,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,249281.0,0.1463414634146341,78.0,51.0,,157436.3463071715,250187.1219840216,401482.89004001993,189975.35478153348,240519.7295870999,267234.5907858345,297241.6946175971,335995.61985392566,0.9914113182573936
1,2018-02-28,224951.0,0.099644128113879,17.0,57.0,,159434.20333289268,251526.7867808452,403524.5530237996,191182.0148886284,242415.4530421724,269437.4405496355,299462.1093412798,338173.5098627818,0.9928822723022188
2,2018-03-31,238891.0,0.1257861635220125,14.0,64.0,,161955.99037154447,255096.7063496193,406332.1879776155,193157.5611365061,244961.71520235937,272152.4088485802,302165.85572984547,341018.4287747403,0.9989723567302642
3,2018-04-30,228281.0,0.1031518624641833,11.0,66.0,,164202.0527597063,259239.30162318304,410169.1591229916,195438.2848566838,247821.990230244,275122.70713837043,305346.63284685183,344712.8062711976,0.9996307655750104
4,2018-05-31,242641.0,0.1228070175438596,9.0,68.0,,166691.08361026944,264922.9516137133,415866.3024690918,198281.424893845,251432.52716529605,278882.5149384278,309572.50003736484,349664.3941540105,1.0011216011946988
5,2018-06-30,242500.0,0.1674528301886792,9.0,65.0,,168640.76927988464,268869.35436696553,420765.2862309225,200338.1303236884,254476.78531847493,282327.11976583046,313377.18258707103,353865.50116501754,1.0005360137449302
6,2018-07-31,237091.0,0.1842650103519668,12.0,62.0,,170977.72312695076,275138.0678251452,425805.26719615865,202341.851214398,257562.43641836825,286204.2218851145,317691.4459447929,358586.3296742793,0.9985147856303622
7,2018-08-31,225141.0,0.2735042735042735,16.0,58.0,,173007.10394487632,278399.68794130447,429756.24953176064,204042.6512090172,260101.887531482,289452.09829173354,321327.8557143801,362934.3368801691,0.9988881124332112
8,2018-09-30,264250.0,0.1847826086956521,19.0,55.0,,175271.32504746164,279936.1628705372,433218.8334447428,206078.42843873115,262557.8030077889,292152.6345620995,324395.5008877109,366848.6938935701,0.9964487426007574
9,2018-10-31,245000.0,0.2033492822966507,22.0,55.0,,177305.45231593217,281067.7209810829,435423.7976056409,207852.82873394727,264488.37976829027,294132.31271706126,326576.58566750895,369713.989039694,0.994592357230634
10,2018-11-30,230280.0,0.115727002967359,31.0,53.0,,179543.4989077314,281274.01497200725,437415.6110174764,209709.7898169412,266393.8308763607,295929.61305911536,328530.44910085195,372369.5348575105,0.9949264921185405
11,2018-12-31,248360.0,0.0780141843971631,29.0,56.0,,181738.9181775908,281050.1957176006,439869.3423569456,211720.0182077024,268466.17895048804,298074.7643529678,330801.24820720364,375192.5065780838,0.9929831064939286
12,2019-01-31,225410.0,0.1544117647058823,36.0,57.0,,183457.608170296,279416.4243610349,442514.0374715991,213707.01010957253,270221.1614991497,299753.43473382207,332659.4160388511,377584.3323517476,0.9916025302602732
13,2019-02-28,247200.0,0.1291866028708134,37.0,65.0,,184511.6609282852,279938.84920692,445368.5050755162,215273.09017152028,271720.8775121632,301454.9640471269,334651.0563664022,379912.6943644111,0.9925811160000698
14,2019-03-31,229859.0,0.1192307692307692,7.0,67.0,,185462.6583034224,281900.12033939257,448703.0505792384,217018.50293343188,273369.0157902666,303111.73473778367,336738.15866091393,382466.410691792,0.9961050436782154
15,2019-04-30,279719.0,0.1337792642140468,7.0,71.0,,186152.1724251425,283110.4882964586,451113.2647327152,218264.23336792868,274771.1049380184,304502.0895489885,338387.0263710316,384444.0628500818,0.9969293098934962
16,2019-05-31,269719.0,0.1921052631578947,8.0,67.0,,187088.96471706245,286866.0319037322,452782.40212812,219664.29779837065,276202.45103957487,305759.38980227994,339669.6370537179,385804.2036510142,0.9988770606029008
17,2019-06-30,265000.0,0.1964285714285714,13.0,69.0,,188155.66215466225,291833.7534788205,454357.7423775664,220912.6441981065,277750.58408289525,307253.20340048586,341132.17872643325,387312.6311582579,0.9982134980047932
18,2019-07-31,263219.0,0.2273901808785529,13.0,70.0,,189505.03992591784,296067.20837185864,456844.6164211501,222625.43946932547,279817.8273576492,309253.07585288933,343136.58606118086,389436.23619383527,0.9990231713845056
19,2019-08-31,272219.0,0.2268292682926829,10.0,71.0,,190797.80652257183,299308.1744718412,459806.4959093654,224372.5587593852,282049.2788789161,311494.95079355844,345404.22315309074,391915.325740952,0.9981708493138236
20,2019-09-30,289719.0,0.1861702127659574,15.0,69.0,,191644.4958985096,300752.9429917737,461886.6922198453,225311.8792554112,283579.7570165491,313301.87189617567,347166.7388091042,393895.7318742794,0.99715603591672
21,2019-10-31,289719.0,0.1587301587301587,15.0,66.0,,192645.3251237112,301412.0414958957,463810.66891734325,226096.3964756655,284916.6507732926,315021.52548230527,348984.4658426405,396137.660615139,0.9962218064656204
22,2019-11-30,259719.0,0.178988326848249,20.0,65.0,,193851.699867258,302121.5461296318,465762.6484079776,227145.77590093625,286388.1993098165,316845.65924930776,351023.2750493842,398755.5057436088,0.9971116756128734
23,2019-12-31,263219.0,0.1127450980392156,25.0,67.0,,195356.3349163824,300975.31184295204,467454.1359595757,228428.2225525948,287921.4336173251,318729.49691233464,353179.83276210213,401449.3720676235,0.9933552600979112
24,2020-01-31,254000.0,0.0984455958549222,23.0,71.0,,197407.65045850453,301883.0324060771,469673.8152000969,231250.9849782161,290429.45008072053,321135.1900201784,355432.142767157,403722.3684187408,0.993422391064416
25,2020-02-29,245500.0,0.1065989847715736,11.0,72.0,,199715.85087089505,303181.63749937253,472132.2185257808,234033.92906430515,293026.2269253225,323581.6087888408,357732.3344958495,405986.8432759333,0.9944013151221348
26,2020-03-31,287000.0,0.1402714932126696,6.0,79.0,,203026.24383735564,308581.54444847803,476894.3977634019,237706.11724273663,296955.97329824854,327339.5842949012,361345.77635321306,409463.2701207548,1.0010362755780993
27,2020-04-30,275000.0,0.1309523809523809,11.0,92.0,,206822.13272936616,316120.0865211948,483248.5996453899,242008.96470596964,301824.3232950626,332039.3489599028,366001.0689815396,414316.5282601481,0.9998608803566338
28,2020-05-31,289000.0,0.1285140562248996,13.0,96.0,,210467.3578687428,320561.3506094723,489150.0281760346,245959.87584583435,306572.3051053019,336613.77091842337,370430.4546801403,418892.0072512215,0.9982164705246293
29,2020-06-30,322500.0,0.1716417910447761,7.0,92.0,,213072.2014014132,326157.3293056289,494223.9975217578,249040.5768140744,310649.0798122917,340678.7050660795,374465.4428603721,423309.7607916387,0.9998942479755506
30,2020-07-31,330000.0,0.1991869918699187,8.0,104.0,,215388.7131509,333863.3401730122,498645.30650733126,250596.52905735024,313967.8604694568,344515.43789172795,378796.9403597692,428561.21656239993,1.0007448407340092
31,2020-08-31,308250.0,0.1642512077294686,6.0,115.0,,218444.55744210983,341320.4191138974,505808.1055668884,253351.15131636188,318550.0164881469,349687.6915335322,384936.62387339113,436032.7157507019,1.0015839718938908
32,2020-09-30,368000.0,0.1118012422360248,6.0,109.0,,222813.47313003568,348580.07253877225,515073.2227470423,257491.81742282465,324214.14932728134,355923.7953869751,392473.5206109996,445110.5685634295,1.002291423286139
33,2020-10-31,310350.0,0.1610738255033557,7.0,97.0,,227607.03387748168,354467.7775452715,525827.0309329318,262206.4521741863,330440.8353375892,362891.8596230995,400917.5136978767,455031.7822368047,1.0026302100060225
34,2020-11-30,325000.0,0.1085271317829457,6.0,96.0,,232921.52119640663,360721.9249174823,537631.8192518548,267718.7320616876,337408.8704325102,370593.3023780698,410217.9573433595,465964.6971436124,1.0029594082192437
35,2020-12-31,329250.0,0.1886792452830188,7.0,97.0,,238368.70367285205,366299.4197805098,550285.2448370812,274159.3498897013,345161.0364381266,378779.5774521139,420248.87383974064,477918.3099346101,1.0027930558878262
36,2021-01-31,334750.0,0.0660377358490566,6.0,100.0,,244308.04851456048,369294.054788106,561515.1085366794,280436.4088185697,352574.95136449486,386791.06080002734,429912.00873233954,489475.8896242026,1.003793215955104
37,2021-02-28,311000.0,0.088235294117647,6.0,105.0,,250834.9230668085,377835.5942837648,573722.4505979858,287116.3876055335,360681.9758335723,395511.5955455007,440056.5614568165,501536.4980238685,1.0097531489162443
38,2021-03-31,330000.0,0.1147540983606557,5.0,102.0,,257787.72751300703,386802.0834375138,585516.1113770615,293840.0169057756,368773.89288511407,404441.0746395756,450017.0194736637,513202.45935149846,1.0182688404849731
39,2021-04-30,379000.0,0.0925925925925925,6.0,99.0,,264728.7865494157,398784.9020488851,600291.4088117373,302254.9137192613,378474.3004197702,414655.9605605498,461366.2286620242,526566.4508342658,1.028234829831271
40,2021-05-31,372500.0,0.0824175824175824,6.0,97.0,,270997.93612707977,411324.4471930282,615299.2854373335,310985.87080913887,388133.1232461556,424733.47420062026,472524.138025697,539840.6936317014,1.0316190031654031
41,2021-06-30,352500.0,0.0934579439252336,6.0,101.0,,276833.8058069343,422753.1151410518,630720.9677851108,319993.41327259544,397970.88540069945,434688.0201762093,483372.94056720455,552887.0851398146,1.0317198415603253
42,2021-07-31,399000.0,0.1715481171548117,7.0,99.0,,281277.7999123775,430527.475258505,644997.6898913882,326981.49336864235,406128.296680825,442769.6813754051,491999.6361163877,563810.8377040763,1.0233645891065344
43,2021-08-31,410000.0,0.1755102040816326,7.0,103.0,,283682.02577015065,432713.334460016,655018.9082473698,330151.00973306433,411180.7429481326,448200.2820606066,497647.3293531384,571826.9351883545,1.014837304796301
44,2021-09-30,390500.0,0.219298245614035,7.0,95.0,,284690.9111695657,434544.8645540368,661709.9462025863,330642.39158988354,413771.3260975837,451618.2409701384,501079.2057221827,578068.2040655221,1.008848720939782
45,2021-10-31,381100.0,0.1911764705882352,8.0,84.0,,285309.8468673657,433509.3988659589,665263.2235289345,330523.51965283847,414997.7224201018,453628.32408853614,502944.0341417794,582366.1659929602,1.0036608869462134
46,2021-11-30,385000.0,0.1895424836601307,11.0,77.0,,286958.98759263527,433235.3924693972,668969.0521789518,332071.11922017013,416745.6504963259,455677.0337858589,504856.7236041605,586475.1067605562,1.0030737860366197
47,2021-12-31,420000.0,0.1592920353982301,7.0,82.0,,288943.25060711993,432354.82655760687,672614.3985277115,334170.8728393536,418656.81583348097,457720.45174590807,506943.2389966962,589991.2434990882,1.003217701667389
48,2022-01-31,400000.0,0.1764705882352941,8.0,93.0,,292978.1974566012,437296.2680606185,678833.9929874968,338017.4257218625,422956.8754948641,462446.48643340217,512290.6913567499,596620.2753030108,1.0042087607195216
49,2022-02-28,380000.0,0.0923076923076923,6.0,93.0,,298959.5509807873,446365.9335923933,688525.3638322699,344128.9264826596,429886.027376364,470098.1461673708,521158.15207010135,606689.7685811924,1.0116686736762646
50,2022-03-31,430150.0,0.1914893617021276,6.0,86.0,29900.0,306183.37896955846,455246.7301225752,700996.7186376401,351722.6994264696,438858.65905884287,479582.5406880232,531984.9655558871,619140.9768966573,1.022965367276213
51,2022-04-30,415000.0,0.1573033707865168,7.0,78.0,11000.0,312405.38390794635,464647.51011253765,714037.8952430823,358631.263409426,447389.8388301249,488576.6606019855,542226.0877799973,631405.8983842614,1.025932150278514
52,2022-05-31,399999.0,0.2360515021459227,7.0,72.0,20050.0,317333.64446102927,473433.9208770086,724480.8646412404,364245.45553220535,454494.7727899045,495509.6149170974,549947.9773038258,640960.3302859248,1.0194094200877089
53,2022-06-30,451250.0,0.2901023890784983,9.0,67.0,18500.0,320882.520348307,479055.7670257306,731540.6445955787,369024.7475732085,460000.0880669426,500477.300964607,555490.8571544457,647680.6721809562,1.0039681566809615
54,2022-07-31,410000.0,0.3130699088145897,16.0,61.0,15750.0,322241.5562682229,477642.54458469193,731343.7627167978,371563.6583371835,461981.6336761085,501360.073509467,556329.1124009903,648214.7983358226,1.000265053859689
55,2022-08-31,450000.0,0.4059701492537313,21.0,57.0,20000.0,320899.96036028187,470308.6948449315,724353.3204098091,370216.4376266127,459386.489882742,498184.5789861921,553061.7990420371,643905.0834197017,0.99801250205919
56,2022-09-30,407500.0,0.3783783783783784,24.0,51.0,15000.0,317581.439937724,462074.0719681689,712649.5391650918,365865.0307248656,453565.33045412926,491607.2645828283,546019.1804031068,635061.983156274,0.9957377628070722
57,2022-10-31,375000.0,0.3550488599348534,,48.0,17500.0,314472.06995147263,457232.9592043045,702679.0521333964,361207.4844609097,448090.2235091301,485942.8495996045,540014.2873128109,627437.5229070078,0.9923867948873876
58,2022-11-30,407500.0,0.285140562248996,35.0,46.0,15250.0,311227.1336644774,448408.2078596198,694619.212966403,357226.69539020275,443460.2570803746,480832.1063192236,534297.474592459,620114.7524326112,0.9916757198303192
59,2022-12-31,375000.0,0.1758793969849246,,49.0,14925.0,307625.3875759597,438811.7618712827,687998.4491214085,352869.863220507,439027.6485790488,476599.3288306961,529585.9839215233,614235.2189299794,0.9874518064083548
60,2023-01-31,375000.0,0.1914893617021276,46.0,56.0,10000.0,303411.8092208814,431859.5018764539,679399.0237840106,347570.9859464399,433884.335537436,472042.29203226144,524366.2010278245,607402.7257326444,0.985884293168286
61,2023-02-28,390000.0,0.1165644171779141,25.0,62.0,12000.0,300305.78836568515,430329.777537789,672145.1773972539,343149.4976507085,430018.7452675356,468941.9063325816,520776.3756853964,602844.0608636917,0.9905864975995448
62,2023-03-31,427500.0,0.1751412429378531,15.0,61.0,14000.0,299318.5477130327,432614.6538749088,666946.4342115837,340581.40711328783,428147.0697502757,467853.3955888684,519563.11730869504,600742.0237852568,0.9956904070029072
