,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,162500.0,0.0923076923076923,,16.0,,99502.43361860688,168667.3783430203,299727.4606936306,,82054.69699017891,154039.98604750374,245079.99024642605,323690.9532973399,0.9733426349931972
1,2018-02-28,156000.0,0.1194029850746268,,15.0,,100528.71733391534,168081.29327510964,301635.2105356027,,83174.74883081757,155654.10769450612,247262.17342303085,324134.1637747758,0.978543049027122
2,2018-03-31,168000.0,0.119047619047619,,22.0,,101852.37388176874,170906.5971439148,304142.3581859698,,84494.34886155934,157382.2741410526,249376.0630840397,324251.7983598632,0.9839980130151168
3,2018-04-30,165000.0,0.0863309352517985,,20.0,,103662.50748575771,174503.76112086326,307077.60093065613,,85928.4816952856,159140.26769455112,251469.5096919702,325740.1519660622,0.9865190339620912
4,2018-05-31,192000.0,0.1721854304635761,,21.0,6250.0,105615.73157639336,177960.47323341676,310235.28631094,,87579.551869997,161075.79376358257,253405.018874575,328718.70735186915,0.9854052511668918
5,2018-06-30,185000.0,0.145,,35.0,5000.0,107094.1720982701,181074.14542317213,312766.61080388044,,88892.6681045426,162610.46686757475,255172.6208169301,332854.18955445365,0.9863438295371532
6,2018-07-31,180000.0,0.2244143033292231,14.0,50.0,8500.0,108472.7712375277,184228.9256602802,315349.1931386679,,90097.77548101748,164107.96276524788,257149.9476059196,337266.9978004994,0.9843218369515054
7,2018-08-31,175000.0,0.250599520383693,32.0,48.0,9000.0,109377.10730362702,184714.79492843687,317029.2101592562,,90908.12629676636,165129.20960176847,258918.22635385743,340666.77212167886,0.9823433427454522
8,2018-09-30,177500.0,0.2258454106280193,36.0,33.0,8400.0,110205.88352388826,185611.7945018727,318348.6022387182,,91820.64750714944,166203.2462062561,260602.85820822328,343417.8623612421,0.9795694020488642
9,2018-10-31,167448.0,0.2215709261430246,53.0,33.0,5550.0,110504.95475780516,184838.00888291228,318233.5850544556,,92577.01458891272,166923.53840550283,261552.4252143833,344740.5841073566,0.9795692760118432
