,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,132688.0,0.124406457739791,94.0,23.0,7000.0,97075.25353854436,157649.64707480278,249580.90394221552,81752.26230567814,105347.1625241494,152080.57708709224,209312.04619905143,275172.88220676006,0.97530963372038
1,2018-02-28,140000.0,0.1201171875,125.0,21.0,6000.0,97615.75893996526,157584.5550994523,250497.014569531,82413.275356899,106061.95639281116,152903.00916735097,210433.1182679003,276417.2223375771,0.9811973804264408
2,2018-03-31,140000.0,0.1041069723018147,105.0,22.0,6000.0,98535.1532691845,158694.64313939124,251740.33836197364,83280.28143588176,107052.92801854917,153830.3899070669,211645.1036504056,278020.79788462794,0.9837246142783512
3,2018-04-30,150000.0,0.1207065750736015,83.0,28.0,7450.0,98966.32811933028,158806.01238015477,252482.9935875421,83882.68461576656,107817.05550141024,154539.8231485974,212639.5809356057,279475.4833413469,0.9823809426307022
4,2018-05-31,148000.0,0.1208053691275167,52.0,37.0,6500.0,99177.75042674488,159922.34368052438,253045.22742224825,84593.25837724797,108529.98302602202,155143.76709764384,213526.3139602624,280880.5010617283,0.9850222400164136
5,2018-06-30,154500.0,0.1392405063291139,79.0,37.0,5600.0,99130.02614445688,160900.60080136795,253418.06480366644,85300.82025023783,109057.1642579628,155575.97323096005,214273.28835350947,282034.66970201273,0.983800088133292
6,2018-07-31,163000.0,0.1348205625606207,59.0,33.0,5000.0,99383.21933826548,162473.3730409473,254430.3053581433,86035.95115626283,109705.06244760986,156271.82486059604,215425.08657270696,283620.5218469836,0.9814910051692044
7,2018-08-31,163433.0,0.1408591408591408,72.0,31.0,5100.0,99538.73730592332,162915.76363088423,255455.0671991536,86484.93300804013,110271.90820388966,156899.62649179695,216609.64176326184,285182.2465250707,0.980924428799812
8,2018-09-30,161000.0,0.1105207226354941,67.0,35.0,6000.0,100060.4101393178,164271.39469095925,256442.77770393423,87020.06670049281,111120.25016253344,157840.23824012213,217944.9527450237,286728.68629448104,0.9818940556040184
9,2018-10-31,150000.0,0.1395348837209302,68.0,40.0,5500.0,100766.75394874816,164833.0177357264,257078.97594954143,87628.5704364362,112063.83966803814,158736.63371686378,218997.0313174276,287947.12670074543,0.9806234406695792
10,2018-11-30,158950.0,0.132890365448505,69.0,35.0,6300.0,101852.63116377308,165228.7556656379,257891.3859663025,88654.64211846444,113209.05274915668,159745.76546504613,220020.0994474133,289082.4783841663,0.9785322049091468
11,2018-12-31,164500.0,0.0932703659976387,115.0,35.0,5001.0,102565.33319509435,165624.6833857446,258799.40219449453,89682.56099407055,114139.28689138016,160534.1949006888,220866.1999652596,290033.57178306533,0.979929965618689
12,2019-01-31,155100.0,0.1548311990686845,111.0,35.0,6000.0,103482.0154947384,166325.97647142567,260420.42147208177,90932.363407637,115045.6294349255,161215.97545528688,221709.8477525448,290930.5438853463,0.9766225727006071
13,2019-02-28,145000.0,0.1158256880733945,99.0,38.0,5500.0,104863.89120064156,168119.41070084542,262760.831506637,92115.204339749,116009.93785346024,162006.239902436,222686.5541420794,292106.3889898297,0.9766912795255424
14,2019-03-31,153000.0,0.1064060803474484,67.0,36.0,7000.0,107027.22473253176,170604.82794139182,265792.3797812671,93328.33566030528,117141.17426789532,162988.31546123547,223951.1214352555,293714.9542101137,0.9782441171582597
15,2019-04-30,162900.0,0.107481559536354,47.0,41.0,5100.0,109229.89402154872,173016.67621231938,268582.0740215997,94341.8341987634,118233.76220980917,164122.9685917591,225407.74443491767,295419.9513842288,0.9820344812092968
