,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,125000.0,0.1160990712074303,35.0,39.0,5000.0,92609.6307175728,150194.14622903656,235302.1029150849,65209.77953782754,79116.07544477009,143955.20353132792,205091.37743862905,251026.02807303867,0.9724121906834776
1,2018-02-28,140000.0,0.1072938689217758,19.0,40.0,5000.0,93145.79927565802,150356.1813123181,236025.35067841844,65253.59395002796,79721.00232292885,144679.72058913423,205834.4254382579,251869.96796893608,0.9735119925730794
2,2018-03-31,147580.0,0.0928988326848249,14.0,43.0,5100.0,93993.44837846402,151967.90274444123,237085.8840088057,65490.6620788108,80488.69317238759,145507.24031795774,206782.40443039025,253117.4185335776,0.9756374934450708
3,2018-04-30,140450.0,0.11059670781893,23.0,48.0,5000.0,94848.37938848457,152967.3731233467,238096.9157198898,65751.26659568859,81195.79264887421,146220.05983940978,207588.84784035687,254145.2825136573,0.977430013225152
4,2018-05-31,138000.0,0.1334012219959267,7.0,50.0,5000.0,95660.07916917988,154729.0156192723,239311.5082857795,66085.84228914858,81800.58769720989,146945.11911340003,208567.06629664867,255427.46661866488,0.9792468437613964
5,2018-06-30,145000.0,0.1270801815431164,16.0,49.0,6500.0,96253.3523643745,156095.2243467034,240398.5207513093,66370.52960924432,82323.36239551699,147616.1257298172,209525.6085305295,256568.6498868262,0.979629114267528
6,2018-07-31,144000.0,0.1261940673705379,19.0,46.0,5150.0,97042.68405725544,157905.13071364543,241973.77516721864,66973.43648727461,83033.50665723188,148630.5557982437,210957.16114380743,258083.61631701523,0.9810243568419408
7,2018-08-31,141900.0,0.1671612265084075,16.0,45.0,5000.0,97809.07557554828,159179.5957680205,243535.1519219633,67666.25385839115,83813.38753151215,149691.0231536983,212355.0551374371,259502.32456895112,0.9820011639568488
8,2018-09-30,137500.0,0.1288311688311688,25.0,42.0,5000.0,98350.11159826066,159879.3093262114,244792.267826668,68098.2386427215,84330.91305753822,150688.1577150489,213564.72102035244,260711.3582008272,0.9757315494854508
9,2018-10-31,140000.0,0.16701244813278,23.0,40.0,5000.0,98633.03883240458,159950.1770327598,245613.84858781192,68270.66248269059,84659.61511661061,151437.87976044384,214484.1721890561,261718.44262683773,0.978828783036342
10,2018-11-30,140000.0,0.1294374658656472,34.0,40.0,5100.0,98985.6381900394,160385.61592099507,246410.83580717896,68603.18620132154,85100.2343820649,152202.62781684773,215343.7675735931,262803.44404984295,0.9759483738148972
11,2018-12-31,141500.0,0.0790255496137849,24.0,43.0,5000.0,99473.85951356082,160355.20251475554,247261.27803382985,69288.85818418597,85751.21994717512,152964.74172419275,216076.8456250348,263841.2193529736,0.9727218158098248
12,2019-01-31,135000.0,0.126752664049355,28.0,47.0,5000.0,100649.42907428992,160869.18364375358,248315.95373968023,70857.91661742552,87234.77095764736,153947.57503286158,216673.4195586012,264686.87839432736,0.9730326182960134
13,2019-02-28,142000.0,0.1379853095487933,21.0,50.0,5400.0,102217.1804431737,161471.74989150977,249209.87307731743,72874.67379324751,89224.99569699359,154930.99047773198,216913.2004811804,264969.8705867844,0.970529578456329
14,2019-03-31,145000.0,0.1225085075352455,17.0,50.0,5000.0,104129.84823070034,163003.88934953712,250050.7482409853,75294.89757294809,91621.68184817676,155913.6918181011,216992.71092646764,264911.55974566285,0.9760937963982016
15,2019-04-30,150000.0,0.1510263929618768,19.0,50.0,5000.0,105520.7647595805,164282.9136066657,250553.62366757725,77148.18414135247,93479.6362175857,156631.42441068433,216935.4902427364,264528.2809084232,0.9776677382019492
16,2019-05-31,159900.0,0.1716738197424892,19.0,48.0,5000.0,106627.80386575214,166439.0337383423,251200.1543440712,78534.48170661874,94847.63451436268,157373.89332466663,217203.24512502205,264348.73456422606,0.9786842669291612
17,2019-06-30,162000.0,0.1491764705882353,17.0,48.0,5000.0,107596.17520107856,168078.9787662124,252086.18169657688,79539.8354675395,95969.42764290574,158187.31225170454,217750.4796942951,264572.6117536402,0.9807326257072114
18,2019-07-31,163250.0,0.1633428300094966,20.0,49.0,5000.0,108419.0656430532,169313.76431237566,253233.64145375523,80206.17067318202,96793.72597269592,159066.5046289802,218571.6272946183,265216.1920139342,0.9788541085616836
19,2019-08-31,157000.0,0.1662806855025475,14.0,49.0,5000.0,108943.70856897465,170335.04390146394,254098.7783423831,80535.33853651212,97259.51484462268,159786.57240376913,219262.1099137376,265837.1723267977,0.9784350765365282
20,2019-09-30,155000.0,0.1705134243994347,22.0,46.0,5000.0,109220.45542378516,170858.6545287611,254938.7994927904,80560.79237205027,97395.01582234271,160379.45309861176,220089.1910511641,266658.9873895156,0.978522004577728
21,2019-10-31,153500.0,0.1596719729860106,29.0,42.0,5000.0,109707.43323295888,171544.50652928118,255981.9874124315,80669.15173543907,97626.7168254965,161120.4103772561,221202.82236541985,267960.0929126283,0.9744450931044174
22,2019-11-30,156000.0,0.143581938102486,21.0,40.0,5000.0,110535.82300198566,172334.12263595132,257509.09417915464,81243.98610036,98285.70797707923,162082.07703373532,222713.4635095532,269826.7951206648,0.9767241470998428
