,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,94300.0,0.1235059760956175,46.0,20.0,,56759.80801331665,104515.62463145932,180870.4647191124,41809.26787068493,69178.40471510253,112809.695479945,160097.86145283468,188654.041409762,0.9665308593221844
1,2018-02-28,93750.0,0.1265822784810126,62.0,20.0,,57105.74781953232,104000.5257033509,181054.6254256061,41995.36174276436,69457.10608610483,113084.46495733286,160377.40361948233,188923.8182984551,0.9698279768439872
2,2018-03-31,109900.0,0.146,21.0,27.0,,57744.71311091236,105426.5856847298,181432.8950281271,42464.3265484646,70010.19850468797,113582.71586361622,160849.60148809556,189501.2993877786,0.97422958220035
3,2018-04-30,96900.0,0.1636363636363636,20.0,34.0,,58513.7653633512,107270.92962857116,182059.6633171233,42976.66573440944,70650.21574046528,114184.67241258411,161437.61751077932,190219.6819336276,0.9740475714253508
4,2018-05-31,115000.0,0.1720430107526881,11.0,32.0,,59241.49473698327,109070.62616573652,183132.73888175795,43408.72181864624,71331.96220282839,115039.16834577984,162364.9556513334,191346.77675124083,0.9776911005264206
5,2018-06-30,100000.0,0.1975736568457539,15.0,34.0,,59695.94948983419,110733.08730105602,184143.8238138597,43586.56999951354,71771.43599846643,115706.97938710552,163200.64683726977,192316.6065885065,0.9811619297570257
6,2018-07-31,118900.0,0.1996466431095406,22.0,35.0,,60056.48485581324,112017.49806319864,185184.8632161372,43813.06934498167,72159.86204426906,116300.37358055724,164002.0362506658,193306.23915021875,0.9770818846594496
7,2018-08-31,95500.0,0.2351973684210526,20.0,35.0,,60283.11687779159,112370.67169349072,185938.00599421948,44108.66163797947,72565.54366473063,116775.17825296846,164574.86651318314,193972.45054791143,0.9765210681922782
8,2018-09-30,112000.0,0.218978102189781,20.0,27.0,,60535.84237354187,112942.78503383033,186622.8983155658,44433.193921506405,73025.93383957435,117299.34495544892,165144.816301158,194636.64515259376,0.9717245945722914
9,2018-10-31,111250.0,0.2712177121771217,23.0,26.0,,60648.84601520217,112476.75848775877,187019.7519904677,44579.86565573991,73364.70032996172,117729.81390521504,165560.6225015886,195109.99056041613,0.9749066900875714
10,2018-11-30,113000.0,0.2011952191235059,33.0,24.0,,61048.69048098407,112645.8926484789,187703.4984708925,44815.132667281694,73841.67919847392,118396.3453915281,166284.31322215986,195971.3774538384,0.9736286192143008
11,2018-12-31,105000.0,0.1594533029612756,42.0,24.0,,61535.54513990344,112551.46503913104,188492.4064030089,45116.81346638894,74368.37395749212,119152.69397068257,167076.7791571554,196906.95952017515,0.9662527055158264
12,2019-01-31,97500.0,0.1971830985915492,69.0,30.0,,62178.28627637558,112025.011496357,189491.8928535744,45635.30663683769,75083.00582997124,120111.55877971738,168090.5524869793,198081.6342079319,0.9619329331940092
13,2019-02-28,94000.0,0.1493975903614458,31.0,44.0,,62731.4978048516,112210.57008673593,190468.3855117632,46049.65964820277,75740.5073281485,120992.99314736872,169046.9790870288,199191.96567309825,0.9673226143028222
14,2019-03-31,110000.0,0.0992555831265508,10.0,56.0,,63387.26831966709,113705.245798195,191529.2118582996,46580.818530121054,76491.31689122732,121844.57400215352,170054.5323966234,200409.69048659285,0.9725924984351464
15,2019-04-30,119750.0,0.1632653061224489,10.0,57.0,,63856.32428512809,114831.27757355646,192421.36019262648,46820.04144710149,76997.40179267462,122402.49367770612,170816.1695729372,201311.2244714425,0.9775259010768592
16,2019-05-31,120000.0,0.159313725490196,11.0,52.0,,64309.121616383054,116257.34063230292,193061.90457560305,47166.32197651712,77354.2946729337,122765.36302434892,171343.44552000906,201949.9668006562,0.977880044252278
17,2019-06-30,116750.0,0.1743929359823399,9.0,46.0,,64405.96829981068,117893.02948397797,193546.9872915221,47221.57253981938,77382.75977321528,123032.40662647752,171725.09735882605,202359.2464183292,0.9828656257263564
18,2019-07-31,130000.0,0.204,8.0,45.0,,64413.27546231952,118926.0651098532,194080.505628216,47293.83568401311,77422.76816684443,123406.32965157289,172125.8578615023,202916.3662623637,0.977460954863622
19,2019-08-31,118900.0,0.249496981891348,13.0,41.0,,64248.67842943485,119473.17789747604,194925.1331340345,47217.13284453371,77444.54229676414,123944.66210081062,172808.78360419322,203837.2692527221,0.9775232020916134
20,2019-09-30,119900.0,0.2731006160164271,16.0,38.0,,64213.34019767612,119964.40139184316,195655.29521883145,47229.081728343815,77599.68574915941,124485.49244447112,173431.88054466914,204650.30340811203,0.9776094134530656
21,2019-10-31,123900.0,0.2557251908396946,17.0,31.0,,64458.073262250255,119968.98480400669,196506.9950935545,47587.24490547487,78020.86312780557,125221.80123719249,174286.09274920958,205641.65151237056,0.9739844779702768
22,2019-11-30,100000.0,0.2161016949152542,25.0,28.0,,64932.39437270273,119976.03165645667,197352.6476934396,48073.58098282249,78640.62223740411,126071.13587487629,175160.5458608272,206619.00228806888,0.968333011823158
23,2019-12-31,115000.0,0.1595505617977528,31.0,30.0,,65447.7431226295,119216.02997396396,198217.63828337684,48564.781662718735,79235.41066870888,126820.50243341016,176049.8472267048,207706.8212316648,0.9700364099863868
24,2020-01-31,122500.0,0.1779448621553884,47.0,42.0,,65965.95985260692,119449.1797676302,199363.5173751507,49209.04716136082,80074.358965003,127739.47359586845,176884.3450556946,209000.29383229115,0.964472500615664
25,2020-02-29,103500.0,0.2061281337047353,20.0,48.0,,66642.80588584744,120154.501089692,200515.0338147825,49669.74092629275,80966.54840034079,128731.9855356646,177833.99258635132,210491.1809221548,0.9689864648441014
26,2020-03-31,109900.0,0.1444444444444444,16.0,56.0,,67387.46736943147,121388.20143663578,201615.0981809011,50085.29524118921,81801.36104334828,129743.6829069378,178829.3116413929,212053.92730623783,0.9799009678124742
27,2020-04-30,111000.0,0.1339869281045751,15.0,68.0,,68178.13918954229,123273.69464732884,202369.6474971897,50091.444914258165,82293.64300647056,130476.88571123844,179841.34284278913,213328.81504793325,0.9790052168726152
28,2020-05-31,118000.0,0.1507692307692307,8.0,87.0,,68690.57391890623,125027.36367707505,202993.1059887548,50132.53911458716,82574.23324676142,130956.42929911746,180676.0415029116,214306.21028251632,0.9786978485270182
29,2020-06-30,120000.0,0.1666666666666666,6.0,95.0,,69012.86158822324,126848.2550867944,203840.57335338127,49953.52315399446,82831.66008394776,131574.53949399907,181653.5348075808,215335.42296952952,0.9899952074762582
30,2020-07-31,127750.0,0.1413793103448276,4.0,97.0,,69233.26763695263,128768.86583227813,205022.18583139905,49729.34813665034,83092.08309946842,132438.89847790095,182855.5794604865,216577.274108448,0.9911062837188144
31,2020-08-31,124450.0,0.1621621621621621,6.0,88.0,,69887.37000421999,130723.0380445233,206904.93740497925,49921.79452015635,83791.39204617716,133782.46067793606,184567.76244395747,218488.67751948663,0.9911889570959092
32,2020-09-30,129900.0,0.1855670103092783,8.0,77.0,,71069.16012162268,132922.15745181296,209596.87636499875,50808.58416945176,85000.40845743963,135655.26564374953,186988.0701179706,221393.69875299683,0.9921364133308734
