,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,123500.0,0.0675990675990676,66.0,24.0,,83318.52083921674,142959.19791411902,236386.4335457771,97376.07344784318,72737.45196024452,138513.9127323101,191606.10979269512,268423.94612754835,0.9782322033815484
1,2018-02-28,137900.0,0.0616302186878727,31.0,26.0,,84017.55166004499,143007.6201225499,237260.41921222047,98133.7199180664,73391.15131564272,139210.54823241066,192412.3707260957,269464.2083977183,0.9755416319736998
2,2018-03-31,133850.0,0.0881147540983606,36.0,28.0,,85149.74031018514,144994.21445135862,238278.8270749364,99243.78100794367,74213.95145618892,140081.31041107813,193296.24629893168,270557.65564275085,0.9790919991942908
3,2018-04-30,145000.0,0.1428571428571428,29.0,27.0,,86225.18200527194,146546.00920190068,239193.3637696804,100221.392087288,74889.61664466975,140894.2204922171,194051.97343606417,271338.1721988734,0.9783872683123992
4,2018-05-31,128825.0,0.1097046413502109,57.0,25.0,,87168.18571411804,148086.31049999976,239987.9436840769,101328.426105666,75502.41000981328,141614.9678474488,194653.73234001457,271927.0502843195,0.9816143545260936
5,2018-06-30,142500.0,0.1065217391304347,68.0,21.0,,87455.55563905944,148717.16695097345,240134.5165038528,102070.82766671822,75696.50026216306,141828.9172826497,194743.99093775343,271834.24427384505,0.9828013026344984
6,2018-07-31,146700.0,0.1399082568807339,61.0,22.0,,87577.86531530553,149331.97184833523,240437.68531738463,102485.08854429652,75840.41590385065,141874.18979023708,194984.96603610352,271972.8507467636,0.9803680353991628
7,2018-08-31,149900.0,0.1219512195121951,50.0,24.0,,87833.77689474764,149858.67052874944,240949.45009668783,102655.00225933874,76042.66075147524,142043.73956818707,195414.28225104348,272405.92752764624,0.9814030723460996
8,2018-09-30,130275.0,0.094059405940594,77.0,28.0,,88291.03012606005,150343.89931604842,241923.4964883964,102918.93024851312,76418.09544686355,142530.7931183836,196165.7254892872,273477.0591826565,0.9811825403011492
9,2018-10-31,120000.0,0.1280788177339901,33.0,30.0,,88589.1212508024,149879.8915909619,242509.7172012564,103108.24915107196,76635.7532194504,143031.23240720728,196757.0664466528,274460.0210922695,0.980209426204632
10,2018-11-30,129900.0,0.0614973262032085,81.0,29.0,,88846.37529303254,149844.7825591051,243103.3476855552,103349.76123066938,76805.73256455746,143569.5033515951,197427.4011365813,275644.07376117114,0.9781873603002316
11,2018-12-31,147000.0,0.0568181818181818,101.0,30.0,,89313.4680774944,150547.91920169373,243776.8533601341,103588.73738379256,77055.16717369,144340.20046537693,198322.90503546107,276917.66543370235,0.9817452235717342
12,2019-01-31,122650.0,0.1,42.0,36.0,,90145.56028609618,150449.30946122622,244403.7615281136,104234.0017817214,77921.65790130764,145365.79656947675,199210.01975458348,278078.45934541244,0.9756772665327
13,2019-02-28,127325.0,0.0858725761772853,33.0,40.0,,91152.87890834305,150627.73640810215,244737.89051964425,105248.03320745032,79334.05099764357,146403.7250827214,199890.0379737128,278885.93061048625,0.9797043185381932
14,2019-03-31,142900.0,0.0970149253731343,31.0,36.0,,92280.33247424326,151488.95217767134,244615.4113228185,106515.81941776066,81194.00842242547,147105.99476322808,200162.0622642714,279276.4717534171,0.9785152809190948
