,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,149200.0,0.1386138613861386,57.0,49.0,,130548.37634689128,192798.9534532141,321286.9500220564,122999.79230998734,158142.83308109196,185767.89058024503,218616.2268229851,269834.43614822446,0.979738452763688
1,2018-02-28,158500.0,0.1624500665778961,36.0,51.0,,131239.9178601255,192534.24773386423,320945.1468734986,123573.20603253249,158573.89378993565,186300.0263551336,219107.51352543847,270088.9148136513,0.9875815000141244
2,2018-03-31,164900.0,0.1320093457943925,33.0,53.0,,132129.90428139796,194232.9598649484,321128.5158664091,124444.53650449216,158971.70967591947,186838.6035404401,219569.71893418592,270434.9941431644,0.9952087041024772
3,2018-04-30,173900.0,0.1412556053811659,28.0,56.0,,132896.34494842018,195770.14933965428,322136.9721323057,125296.93352518644,159434.79293907047,187510.17302501985,220243.34381660016,271329.2487239451,0.9933935692814856
4,2018-05-31,175000.0,0.1703629032258064,19.0,58.0,,133593.57093525838,198358.57907906623,323336.5326763538,126192.0846930336,160023.9219008293,188295.9514822832,221136.17874033985,272341.4283038166,0.9953448360497124
5,2018-06-30,185000.0,0.2052052052052052,23.0,57.0,,133992.83719367313,200729.8246297697,324220.4557991835,126511.1675356326,160509.8929228936,189054.6354000835,222060.63713498504,273197.4358065872,0.9974063866736254
6,2018-07-31,179400.0,0.2380019588638589,24.0,54.0,,134730.6724021794,204254.82995068925,325791.781765379,127075.09356289516,161498.7583299259,190409.9073988242,223689.85145388893,274719.34867245256,0.9989278055754108
7,2018-08-31,187500.0,0.2303822937625754,31.0,51.0,,135484.95045488508,205585.4455976023,327571.8970485605,127641.26976360752,162468.46504527517,191681.5277886335,225263.73904533908,276623.0325845265,0.9930182329775612
8,2018-09-30,175000.0,0.2525458248472505,31.0,48.0,,136541.36961154544,206307.9370895197,329348.9726450317,128773.06910166256,163764.89146727356,193139.61555306587,226923.13428701856,278658.9544203929,0.9929206175950394
9,2018-10-31,170950.0,0.2274247491638795,36.0,47.0,,137149.08743086088,205580.36185279072,329765.53510298417,129469.59054249908,164450.42052729006,193834.0213567972,227754.33821039984,279690.3887241983,0.9942220726712016
10,2018-11-30,178900.0,0.1684073107049608,43.0,48.0,,137843.8493868968,204777.33424181576,330159.8608894555,130318.25743854146,165180.25066119924,194467.4851511075,228470.48542998044,280597.1127039331,0.9897232608073342
11,2018-12-31,169900.0,0.1068111455108359,44.0,49.0,,138440.9910387753,203681.2999966411,330702.2230544849,131112.96225913792,165762.66969862118,194998.17336222777,229131.8017798264,281528.6347056069,0.9829783987390488
