,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,279450.0,0.1261187957689178,35.0,57.0,10000.0,203449.1274428384,296898.02652182296,449344.409034192,117052.04467239842,192898.2721106645,256566.0900385252,343518.2894290678,427919.35850140033,0.9901702410652148
1,2018-02-28,290500.0,0.146067415730337,30.0,54.0,10000.0,206928.8394051588,299298.9382814123,452267.7016450975,118733.80318022404,195079.8313842696,258839.87141793023,345440.08701986884,429564.7856677896,0.9909594569757888
2,2018-03-31,300950.0,0.1954445260837619,27.0,53.0,9740.0,210500.0498122648,303442.454891004,456008.3316791108,120559.74787987478,197662.70925265984,261352.04238067885,348027.67440590827,432118.2713745201,0.9926470588235294
3,2018-04-30,265000.0,0.1777445855115758,31.0,57.0,10000.0,213585.8611598243,306777.05506041006,460104.4658348216,122128.15701915772,200249.07691348888,263760.7174811007,350791.9199257498,435273.9463889236,0.9927657004830918
4,2018-05-31,299000.0,0.1814024390243902,19.0,60.0,10000.0,215958.96569185107,310507.04614869336,464147.8210747477,123340.4480019236,202452.02970568865,265912.733373577,353596.1382305836,438857.6525823648,0.9920508744038156
5,2018-06-30,295000.0,0.1634036144578313,22.0,61.0,10000.0,217812.15991380656,314805.458644793,467516.479535626,124678.04756785772,204299.67353958823,267731.6912339952,355967.5466226069,441886.43090919865,0.9949909613363674
6,2018-07-31,297378.0,0.165895061728395,28.0,58.0,10000.0,219870.7262343281,319436.1868702486,471139.191621068,126494.88551090832,206491.1590079037,269949.9053034416,358793.30558976304,445542.3070100889,0.9944444444444444
7,2018-08-31,285000.0,0.1667885881492319,31.0,55.0,10000.0,221905.0954821515,321549.5763353791,474685.5270840455,128471.56268206931,208772.62147064507,272301.4545065217,361732.3956342346,449045.712121625,0.9927110993096124
8,2018-09-30,293689.0,0.1827880512091038,22.0,53.0,9973.0,223814.3185123788,323208.9210925363,478021.3347378384,130079.23073292202,210866.5400114224,274658.9639516195,364627.65252966224,452509.7268916695,0.9931608814380596
9,2018-10-31,307063.0,0.2222222222222222,26.0,51.0,10000.0,225204.1594082476,323961.3335579068,480780.3238237137,131134.24374976687,212385.74101840853,276648.166592402,367197.2130766901,455526.008647043,0.988046502763484
10,2018-11-30,289617.0,0.1732233502538071,36.0,48.0,10000.0,226624.15512030537,324272.9869308352,483631.1311094857,132154.29603124267,213885.9486910705,278621.42279801,369856.6659054415,458964.4116667979,0.986462060417171
11,2018-12-31,284000.0,0.126068376068376,45.0,48.0,10000.0,228012.26917608792,324554.1634491042,486074.1433454108,133225.90148747308,215261.44513776584,280466.8757171557,372137.6959658871,461913.2110074766,0.985788846455496
12,2019-01-31,299000.0,0.2039344262295082,55.0,52.0,10000.0,229840.66173014216,324937.5863713526,488547.3938084392,134745.2078300504,216672.66756495368,282378.2602424503,374296.4894320009,464386.6765360569,0.9865660050056162
13,2019-02-28,284000.0,0.1765744555620953,29.0,55.0,9000.0,232073.5599611188,326546.67313661374,491059.4109232134,136336.44208739031,218108.79673456223,284305.03564798087,376381.044715124,466380.25464243535,0.9855469754147066
14,2019-03-31,299000.0,0.2145725760183591,30.0,57.0,9500.0,234417.18991307565,328824.511636327,494075.6250867098,137695.03882917165,219610.1154600291,286147.9285253675,378655.753357294,468749.2540548488,0.9899210048162118
15,2019-04-30,298880.0,0.2088423502036067,31.0,56.0,10000.0,236436.8276982001,332113.1896908271,497000.1912660792,138742.96520222188,221119.5345315741,287852.92879977106,380802.02994656336,471317.1821580117,0.9929264759506444
16,2019-05-31,313500.0,0.1994047619047619,34.0,55.0,10000.0,237665.30652246936,334004.18088912126,498714.8471736146,139413.21330971282,222165.15547299592,288907.25780638494,382052.0695044866,473065.1496942265,0.994206224802882
17,2019-06-30,306870.0,0.191167192429022,38.0,55.0,10000.0,238243.2920651112,335878.0352294999,499531.1180152221,139985.2857711682,222806.9409320564,289461.631621159,382672.7394974001,474001.7748375168,0.9923178738102144
18,2019-07-31,307000.0,0.192079207920792,36.0,56.0,10000.0,238472.5508465889,338186.9987579432,499599.48233628366,140315.40018405943,223215.22042026243,289712.1290418108,382861.91155914223,474214.7687860372,0.9927585329785844
19,2019-08-31,324268.0,0.1904450261780104,21.0,55.0,10000.0,238706.38452621552,339240.8215114924,500000.9462128826,140726.91479336095,223765.99127851505,290277.94548673945,383485.1994757544,474827.7719533336,0.9895114222159452
20,2019-09-30,316000.0,0.1997455470737913,23.0,52.0,10000.0,239239.4835400368,340367.7496515849,500729.8362989027,141179.051781064,224605.00565570823,291339.859499978,384650.2847476418,475892.9153292008,0.990982486243745
21,2019-10-31,309150.0,0.2380660954712362,35.0,53.0,10000.0,240133.9512697004,341991.10200821434,502302.2717406649,141537.73557164604,225712.6331563653,293032.3426499681,386622.6952673912,477847.9293484032,0.9877291451812038
22,2019-11-30,313171.0,0.1793193717277487,47.0,55.0,8550.0,241476.7980348309,343274.3251744997,504826.6216166196,142054.16170052957,227170.7144285279,295249.6000883057,389318.72661187575,480858.2940970979,0.990929081903138
23,2019-12-31,309229.0,0.1130690161527166,43.0,57.0,9100.0,243283.8120887531,344872.9746673536,508489.47300594585,142909.17631852103,228864.23092714403,297822.80703050044,392761.7983071885,485063.74950985325,0.988378321764676
24,2020-01-31,304120.0,0.1890614449696151,35.0,57.0,10000.0,245702.7373994384,345875.8962882113,512875.9995771444,144514.66106998298,230812.4804091384,300544.191131678,396560.0548589634,489961.4477212839,0.9895648026808386
25,2020-02-29,326750.0,0.2261086820737039,29.0,59.0,10000.0,248501.4001277665,347636.7830699338,517426.8069999316,146466.15067741278,232805.16874194416,303121.5456963946,400140.1789374565,494654.9510934263,0.9918833649380272
26,2020-03-31,330750.0,0.2014787430683918,26.0,59.0,10000.0,251406.3805653083,351110.5877483642,521651.99511778494,148600.037920522,234867.9196575253,305652.5141663814,403343.1793275674,498844.08834698674,0.9952997484199546
27,2020-04-30,323750.0,0.1473880597014925,22.0,59.0,10000.0,253710.548637441,354588.00387052965,524607.1020182366,150487.62833941274,236563.68123169965,307770.5256666076,405625.1825405468,501804.8162869676,0.9912688808095534
28,2020-05-31,323000.0,0.1413316582914572,36.0,63.0,8000.0,255026.55966564023,356053.18759535125,525965.9625351098,151553.62315450868,237518.69839251065,309077.2157728495,406874.1053677189,503326.0739959593,0.9877147129035938
29,2020-06-30,349500.0,0.1436740528949249,20.0,66.0,10000.0,255692.7598896653,358456.6813618925,526319.1237231841,151820.69452744306,238041.33610355807,309796.87866710685,407455.2668974521,503859.6783016098,0.9914435523513024
30,2020-07-31,362000.0,0.1278976818545164,19.0,72.0,10000.0,256350.5736418272,362965.45602571947,527517.1917999423,151722.93621896146,238674.21037401367,310672.9021606292,408655.9182968558,505287.1039580277,0.9929654365272632
31,2020-08-31,366500.0,0.1187290969899665,7.0,73.0,10000.0,257652.2029596044,366875.91444416856,530752.3492645073,152041.53486427528,240047.26767600863,312683.85934589687,411435.6688062945,508810.7850688095,0.995684454519812
32,2020-09-30,375000.0,0.1393078970718722,17.0,79.0,10095.0,260240.1203480322,373519.7507545829,537061.6003543409,153331.945503058,242588.27382330745,316379.3384902977,416466.56241954793,515594.4598479769,0.9980032095745404
33,2020-10-31,384653.0,0.125140924464487,8.0,84.0,10100.0,263756.3934232049,379214.7752276097,545147.8999720137,155100.31164559536,245976.3690267492,321248.76488698786,423068.1301016268,524352.3391962481,0.9995044911192404
34,2020-11-30,390000.0,0.0985732814526588,10.0,87.0,,268565.73989557434,386070.9238909832,555212.2931380932,157612.8329105033,250416.0122829684,327449.7462497523,431383.72718952346,535050.1094382285,1.0005909732672749
35,2020-12-31,385000.0,0.1087267525035765,16.0,88.0,15050.5,273673.86363472074,392522.0087269626,565824.2839375121,160070.4369213114,254855.9809230183,333898.9241096354,440343.8350107668,546506.2687985192,0.9994728360151892
36,2021-01-31,359000.0,0.1128010139416983,15.0,93.0,15000.0,279374.7752090858,397463.16114915017,576876.2976424438,162688.21079194403,259331.8195692488,340592.9390246009,449615.85504510417,558372.0407197472,0.9987673989714864
37,2021-02-28,390000.0,0.0808219178082191,8.0,98.0,15000.0,285728.2628906073,405975.9966366152,589038.2123888814,165393.9667540081,264052.861090115,347630.6604026071,459479.23865723313,571264.0519901896,1.0041575661672444
38,2021-03-31,426393.0,0.0745428973277074,7.0,99.0,20000.0,293486.90726217563,419582.0294721736,603659.103509223,169272.2283016894,270115.3632275799,356343.0374160973,471400.1272912407,586440.8998587186,1.0149187477602355
39,2021-04-30,407309.0,0.0736698499317871,5.0,93.0,,302756.46730151155,436699.0460074535,623093.2185432367,174562.7575344819,277951.7745649024,367330.4108173328,486796.9209451019,606061.8516547756,1.0228874503796102
40,2021-05-31,438121.0,0.0873533246414602,6.0,86.0,,313482.9619330481,456684.685830887,647196.4706659195,181482.76082357788,287662.2159387505,380743.3736592117,505864.04655517126,630140.0394069314,1.027600434226285
41,2021-06-30,443354.0,0.1492204899777283,7.0,78.0,,324609.6197712985,472622.61486229656,672094.7786079249,189447.9978751549,298264.103583822,394426.8649290136,525101.4549908539,654752.1688501905,1.0237440174558476
42,2021-07-31,455000.0,0.1777996070726915,10.0,74.0,20000.0,334704.2226377135,485530.81694391737,693671.9617969911,196779.47713348025,308037.28879293875,406858.3508967459,542031.4996255646,676108.4303136809,1.02186161583826
43,2021-08-31,471000.0,0.2204585537918871,9.0,65.0,20000.0,342783.9729489333,495089.8000727431,709839.7784394501,202672.9455511176,315912.21468160814,416923.85700293205,555222.686733147,692759.0233558244,1.0094210548664122
44,2021-09-30,422000.0,0.2643029814665592,13.0,62.0,20000.0,348681.8617148797,499248.1170811531,721184.5969448149,207193.67200975973,321623.93846213043,424389.3687796781,565242.1588698985,704775.5159027319,1.0036911592692566
45,2021-10-31,471651.0,0.2146985962014863,18.0,59.0,20000.0,354128.6332523325,504757.12021160586,730526.9671883493,212166.8141991149,326948.66044209566,430680.62905446783,573912.2209483677,715043.6324132155,0.9994527824721128
46,2021-11-30,464750.0,0.2040816326530612,18.0,65.0,19950.0,359357.24768567266,508429.5908691598,737807.1185635127,217313.09430124177,332082.2104412893,435918.5929295994,580918.2461631659,722906.2926491144,0.9973101047741332
47,2021-12-31,467563.0,0.1261261261261261,16.0,74.0,16000.0,364918.25897108746,512105.2363787133,745101.7359706694,222174.8353183989,337232.3870971212,441400.7775103701,587791.0785997167,730863.7107435557,0.9972351663138996
48,2022-01-31,465000.0,0.13268156424581,12.0,85.0,20000.0,371415.3448913113,519473.1536761967,754628.0354336923,226889.712313803,342499.5104119742,447816.5215188465,596101.8082185049,741190.8597205948,0.9999588890623404
49,2022-02-28,487492.0,0.114609571788413,7.0,87.0,25000.0,379217.8295957028,529511.3663685707,767549.6355146185,232020.74805709688,348390.5510322169,455627.09994644695,606924.2976879223,754904.1214651134,1.0099879916826222
50,2022-03-31,529931.0,0.1474820143884892,8.0,82.0,23999.0,388361.1692698434,541780.4739494373,783989.9734441731,237665.026862619,355323.7803617182,464990.21136315103,620016.8320781946,771659.0560140003,1.0163621704062535
51,2022-04-30,541350.0,0.1568206229860365,7.0,73.0,21000.0,397749.24286202696,557435.8759171998,802881.4805577109,243626.084039478,362947.8589180801,475088.2432205218,634521.5251792818,790709.6593291223,1.019739775711732
52,2022-05-31,512500.0,0.2906360424028268,8.0,61.0,25000.0,405452.3774958669,564514.8842657023,819239.3149894554,249047.00311580463,369799.4599149663,483619.9059942523,646510.3887616402,806807.133632124,1.0132483731237796
53,2022-06-30,544755.0,0.3613899613899614,13.0,54.0,25000.0,410347.2189107688,566212.8442950147,829790.154172311,253289.1118828672,374642.1233946706,488919.8319064462,654118.8169860068,817715.090628584,0.9991120996045596
54,2022-07-31,522500.0,0.3374149659863945,19.0,48.0,20100.0,410417.0004173136,559837.0794214299,828538.1470698118,254467.3579095703,375404.3097035924,488417.7986182687,652829.9574848027,816995.1729391236,0.9941852371775842
55,2022-08-31,506597.0,0.3634590377113134,32.0,46.0,20000.0,407098.4113811853,549912.9715265514,819876.2568521564,253550.46157932773,373032.535763765,483846.262364804,645917.8942826253,809188.8477751481,0.9914917287170706
56,2022-09-30,467845.0,0.323960880195599,32.0,42.0,20000.0,402139.644414892,541355.0343671317,807418.5297238501,251240.8579006906,369041.76237572526,477322.05695289286,636111.7414713496,797436.5535203186,0.9876980248609786
57,2022-10-31,521776.0,0.3393393393393393,41.0,40.0,20000.0,397271.3146654365,533465.28105765,796247.3223312031,249059.4578644208,365090.4688196681,471206.42087547487,627183.2546453247,786731.0354190674,0.9831055915511564
58,2022-11-30,505238.0,0.2845691382765531,49.0,41.0,20000.0,392946.3740925376,525819.4364468677,786662.6402049757,247217.93770898745,361592.273527625,466037.09457128943,619413.4547213571,777510.9776971418,0.977382816685432
